whorfian	沃夫假说
repressive	压抑的
python	巨蟒
mhr	of
panelling	镶板
subjectless	无主题的
idle	闲散
rigmarolish	胡言乱语
beravement	丧失
accredited	可信任
minicell	小细胞
simple	无经验
tatty	不值钱的
suspender	袜吊
scutate	圆盾形的
sapphirine	假蓝宝石
vestige	退化的器官
disappointed	失望的
insinuative	暗示的
flounder	辗转
ringwise	呈环形
dislimn	使的轮廓模糊
tradable	可买卖的
singularity	异常
pouch	把……装入袋中
clime	地方
monogamian	=monogamous
reinforce	增援
alveolate	多小孔的
whop	打败
penoche	=penuche
various	多样的
tricolette	针织网眼丝织物
sequestrum	腐骨片
geezer	古怪老头
arms	武器
tontru	南京市政府重点支持的信息产业龙头企业
amylose	多糖
cirrous	有触毛
hii	健康保险学会
stravage	徘徊
kanu	Kenya
unapprehended	未被理解
bird	鸟
promises	承诺
natively	生来
skupshtina	国民议会
credence	信任
converse	倒
rituality	墨守仪式
fruit	成果
fortress	要塞
traditionary	惯例
dews	system远程预警系统
suborning	行贿
boatyard	船坞
iconomatic	名称
punisher	惩罚者
ps	IBM
delate	告发
vein	使成脉络
worrier	担心的人
radialization	辐射
blotchy	到处有污点的
red	红的
underbush	=underbrush
monosymptomatic	单症状
dessiatine	俄国的地积单位
furrier	毛皮衣制作工
alleviate	使易于忍受
haemolytic	血球溶解的
excursion	远足队
synchronization	同一时刻
regrant	重新批准
anglomaniac	崇拜英国的人
rancher	农场工人
ciliated	有纤毛
camp	扎营
woodcraft	木工术
trame	=tram
reproduction	复制品
rupestrian	在岩石上发现的
sequestrectomy	死骨切除
emblaze	点燃
madcap	狂妄
tx	德克萨斯州
pothanger	吊杆
rabbanist	rabbinite
sahuaro	=saguaro
schlemiel	倒楣的人
joint	合办
podsolisation	=podzolisation
plumb	铅锤
moorish	摩尔人的
outskirt	郊区
arbitrative	有权公断的
academicism	形成主义
unmoral	无辨别是非能力的
floatable	可浮起
bakkie	小型厢式轻便货车
androgenous	雄性单性生殖的
decahedral	十面体
warn	警告
dysteleological	无目的论的
curtle	ax=cutlass
mustardy	芥子粉的
protrudent	伸出
philomel	夜莺
angry	狂暴
savage	野蛮
pesky	麻烦的
procoagulant	促凝血的
extract	开方
hdcd	高解析度光盘
caravaggesque	卡拉瓦乔的
drawbench	拔管机
coalhole	煤库
eonism	异性装粉癖
hobbyhorse	摇动木马
sabbathbreaker	不守安息日的人
chronograph	记时计
mirador	塔楼
squamaceous	鳞状
remoteness	远离
equivocator	说话支吾的人
antitone	反序
becripple	使成残废
amniotic	有羊膜的
reins	激情
examinator	审查人
reconcilably	不矛盾地
flexibility	弹性
disclaimer	放弃
primary	根源
woman	女仆
lumbermill	锯木厂
brash	仓促
famulus	助手
theirself	pro
sthenic	精力旺盛的
shareable	可分享的
leviable	应纳税
numbhead	=numskull
nymphet	放荡的少妇
acyclic	脂肪族
unaccountable	无责任的
easygoing	懒散
seize	逮住
invertebrate	无骨气的
extortive	强求
informative	见闻广博
intelligibility	可理解性
chromophil	亲色性
nce	新天主教版本
fructiferous	结果实
hogg	尚未剪过毛的小羊
smooth	圆滑
psephology	选举学
bergamot	香柠檬
valet	衣物架
eeoc	Egnal
brushwork	画法
excusatory	辩解的
brimless	无边的
apolitically	不关心政治
oxenstjerna	Axel即Oxenstierna
discoloration	污点
brunhild	布伦希尔特(德国史诗
anaesthesia	感觉缺乏
enlighten	教导
elisor	司法
underemphasis	重视不够
backlining	背衬料
eyepatch	眼罩
laten	变迟
entoplastron	内腹甲
distance	遥远
devotement	奉献
intensify	强化
prothesis	圣餐的准备
muscle	臂力
hyperdactylia	多指
boustrophedon	右行左行交互书写的书法
dissectional	剖析
teleostome	硬骨鱼
bioautography	生物自检法
mephitic	有毒
villiform	绒毛状
deceitfully	骗人
spicily	痛快
rics	皇家特许测量员协会
supersensitive	过敏的
presence	存在
cerdar	雪松类植物
larrikin	喧闹
comstockery	对有伤风化的文艺作品的强烈反对
bailiff	镇长
irinite	铈钍钠钛矿
jokari	乔凯利球戏
flanerie	漫无目的
unbranded	无物主的
friend	朋友
omnidirectional	全方向
debark	使下船
nicotian	烟草
indented	锯齿状的
levyist	主张没收资本者
reposal	信赖
illatively	根据推论
anigh	靠近
batman	传令兵
arithmetical	算术的
mowing	割草
pocket	小型的
catenary	悬链线的
compunctious	惭愧的
recitative	吟诵的
gnarl	生节
phosphokinase	磷酸激酶
speak	操
walnut	胡桃木
untillable	不能耕种的
dead	无感觉的
pitch	斜度
eventless	平静
drolly	诙谐地
explore	探究
wrapper	包装材料
doited	老糊涂
clear	完全
greta	格里塔
fairyhood	小神仙
bhoodan	(20世纪50
carucate	卡勒凯特
looped	酩酊大醉的
hcg	human
opaque	迟钝
millionfold	百万倍地
winder	螺旋形阶梯
terrifically	可怕
stimy	阻挠
grandee	大公
kinkled	卷曲的
aerophagia	吞气症
dead	呆板
righthearted	正直
sesquioxide	倍半氧化物
taxis	整复法
discombobulate	使混乱
tickler	记事本
caliban	凯列班
commissariat	粮食
ambulation	步行
forebrain	前脑
poud	=pood
mixotrophic	混合营养的
mukhtar	乡长
statuette	小雕像
papaveraceous	罂粟科
belfried	有钟楼
hemocytoblast	血胚细胞
convent	女修道院
buccaneering	海盗的
katalase	=catalase
whichever	pro
spiritedly	活泼地
xms	extended
padova	=Padua
hardcore	绝对的
aleak	湿气的
amplitude	振幅
reinstate	恢复
anechoic	无反响的
calix	杯
redoubted	可惧的
monomaniacal	对一事狂热
tiliaceous	椴科植物
electoral	选举的
glycerate	甘油酸盐
super	过分
akvavit	=aquavit
slavery	奴隶制度
arillode	假性假种皮
sympetalous	合瓣
disproof	反驳
raising	提高
inadvertency	怠慢
narrows	纽约湾海峡
buirdly	粗壮的
empoison	使蒙受毒害
alienism	外侨身份
crista	羽冠
encarpus	花果形装饰
usphs	States
dieresis	分音符号
cankered	不怀好意
fantod	烦燥
phil	菲尔
apparente	明显
distance	一长段时间
great	大写
monosexual	单性别
mode	模式
thiophosphate	硫代磷酸盐
send	送
while	时间
fissile	易裂
isoplastic	等基因移植物
accumulative	积聚
fast	彻底地
capsulary	蒴
falculate	镰刀状的
saltireways	成X形
alight	落下
discriminatorily	歧视地
heteronymous	同形异音异议词
sensoria	感觉系统
altorilievo	圆雕
comparable	可比较
dreamfully	梦多地
abolitionist	废奴主义者
uncensored	未经审查
device	发明物
amused	开心的
computernik	电脑人员
aquifer	蓄水层
fragile	脆
pledge	典当
helplessly	无能为力
crossette	门耳
naeb	of
phe	Engineer
comtian	实证主义
boycott	联合排斥某国货物或与某国绝交
jo	Jordan
unsoldierly	不英勇
whisht	默然的
aerophobe	飞行恐怖症患者
lymphosarcoma	淋巴肉瘤
diplophase	双倍期
numerously	多数地
gharry	车
sindon	优质布料
conversance	熟悉
remunerative	有利
weathermost	最上风的
auxiliary	补助的
haemophilic	血友病
cynegetic	打猎的
drive	驱使
mesothelial	间皮
despiteously	可恨地
deposition	免职
nonfluency	不流畅的言辞
dance	舞会
fire	烧制
vestibulospinal	前庭脊髓束的
anarchic	无法无天
curacoa	柑桂酒
corposant	放电光球
unreasoningly	无理智地
outboard	外侧的
dragonesque	龙状
macerate	浸软
mire	泥潭
costful	昂贵
forswore	为forswear的过去式
onwards	在先地
slicken	光滑
blacking	黑色鞋油
dressing	敷裹
pennant	短绳
gulf	深渊
born	天生就……的
fatted	肥胖的
logogram	速记用略字
niggerize	使黑人化
afforce	加强阵容
flowerless	隐花
limy	涂有鸟胶的
corsican	科西嘉
poltfoot	=poltfooted
antirust	防锈
noiseless	寂静的
tame	使变得平淡
heterocaryotic	=heterokaryotic
salbutamol	柳丁氨醇
unequalable	超不过
protension	伸展
rushlike	像灯心草
arterial	动脉
numerate	读
trichomonad	毛滴虫
swathe	包围
evolving	展开的
fringlish	法式英语的
gibbose	拱起
clop	马蹄声
hateful	可恶
mean	不舒服
cacography	书法不佳
micromanipulation	9maIkrEJmE`nIIpjJ`leIFLn/
mesmerize	施催眠术
fine	美好的
guidwillie	热诚的
blusterous	虚张声势的
utter	发出
psychotogen	致精神病药物
acd	自动呼叫转发器
nerd	讨厌的人
acetic	乙酸
thanatopsis	对死亡的见解等
gangman	劳动班组成员
nagmaal	举行圣餐仪式的时刻
lysimeter	溶度计
whither	目的地
whorl	涡
antique	古董
washy	稀薄的
atomy	侏儒
peacock	炫耀
hateful	可恶的
exhausted	疲惫
sulfonal	索佛拿
revolvably	能旋转地
sound	健全
razorback	狭尖的背脊
whatnot	不可名状的东西
deposition	沉积物
autocephalous	自治
perception	DPS公司出的数字影像压缩卡
respirometry	呼吸运动计量法
tease	梳理
droning	发嗡嗡声的
buildup	组合
shebang	事情
davey	戴维
matrix	矩阵
dionysian	酒神节的
mealymouthed	转弯抹角说
spatula	压舌板
sportswoman	女运动家
arthroplastic	关节造形术的
illusionist	魔术师
uselessly	无用
incendiary	纵火犯
trueness	真
dissimilation	异化
level	瞄准
wise	明智
khoums	库姆斯
paroemiographer	谚语汇编者
pileup	连环相撞
feverfew	菊科植物
interlineate	=interline
short	简略
summerhouse	凉亭
terrorist	恐怖分子
tardigrade	节肢动物
medially	平均地
smooth	流畅
pungent	严厉
twu	Union
typhomalarial	伤寒型疟疾
traditional	传说
thermophil	喜温的
bulbous	球根长成
mothery	含醋母
comfortlessly	不舒服
triphibian	善于陆海空战的
macumba	马库姆巴
tale	叙述
evenminded	沉着
floricultural	养花的
dingo	澳洲野狗
exterritorial	治外法权的
cornily	产谷地
bust	胸部
flea	跳蚤
kickdown	换低挡
suboceanic	洋底
oceanaut	海中作业员
jcr	Junior
cotyledonous	有子叶的
laver	水盆
inexplorable	无法研究
victrola	维克多牌唱机
unwilling	不愿意
evolvement	演化
dog	犬
coralliferous	含珊瑚的
jussive	命令的
durable	持久
mitreboard	斜锯架
condottiere	雇佣兵
plena	的复数
wuchang	武昌
niftic	漂亮的
intimidatory	恐吓的
chlorophenol	氯酚
quadrantal	象限的
latent	潜伏的
jaculatory	投掷
indwelling	留置的
eugenic	优生学
coastward	向海岸地
homostasis	同态
tother	别的
ackey	西非黄金海岸用银元
bluecoat	穿蓝色衣服或制服的人、警察、士兵
disbandment	解散
polyamine	聚胺
zootechny	畜牧学
volkslied	民谣
placidly	平静
venous	静脉
angelic	天使的
kokobeh	果皮粗糙
festoon	花彩
ashkhabad	阿什哈巴德
illimitable	无边际的
smokeless	无烟
misdirection	写错
yh	hostel
usurpatory	篡夺的
giselle	吉塞尔
fiery	炯炯有神
exploratory	探险的
punner	夯具
besiege	围困
jerk	急拉
himyaritic	希米亚里特语
belock	锁闭
egoistical	自我中心的
dendrochronology	树木年代学
epigeal	生长在地上
upset	使心烦
occlusive	闭塞的
poignant	尖锐的
oilily	油似地
publishable	可出版
harlotry	卖淫行为
pussley	=purslane
zoologize	研究动物
dolerite	辉绿岩
ostentation	夸耀
dissected	多裂
prolixity	罗嗦
invite	邀请
frostbiter	冬季帆船运动员
backstop	捕手
fuel	燃料
barytic	重土
through	通过
hitlerism	希特勒主义
scatter	驱散
punitive	刑罚
sustainable	养得起
animal	动物
practicism	务实主义
serriform	锯齿形
restrain	制止
circumambient	周围的
styliform	刺针状
chaliced	杯中的
windshield	挡风玻璃
submaxilary	下颚
nitroaniline	硝基苯胺
insubordinately	犯上
zygomorphic	两侧对称
froggish	蛙状
byr	十亿年
acarpous	不结果
icu	intensive
formalism	虚礼
trevira	聚对苯二甲酸乙二酯纤维
cytotropic	细胞互向性的
belecture	谆谆教诲
linux	一种可免费使用的类UNIX操作系统
hiking	徒步旅行
polak	波兰人的
neonatal	初生
rabelaisian	法国讽刺作家拉伯雷
oceanaut	潜航员
stillborn	生下来已死的
sbn	Standard
palytoxin	水螅毒素
unexcited	镇定
diminutively	仅仅地
vealy	初生牛犊般
bold	粗体
spongiose	多孔
walk	走
unworthily	不相称地
start	惊跳
diplacusis	复听
kidnapper	绑匪
ludwig	路德维格
bowerbird	澳洲产的一种鸟
baneful	有害
sink	水槽
audiphone	助听器
jewry	犹太人
hunt	搜索
pretty	机灵的
nonfluency	不流利
softbound	=softcover
haemoid	像血
sportfishing	从事垂钓
unturned	未颠倒
pancarditis	心包内膜炎
breezee	微风
unsearched	未搜寻过的
hybridise	=hybridize
rpc	Corps
bittersweet	又苦又甜
ordonnance	安排
attenuation	变细
blond	白肤碧眼金发的人
typhogenic	引起伤寒的
pollinize	=pollenize
terrify	恐吓
hydroboration	硼氢化反应
caribbean	加勒比海
vigneron	葡萄栽培学家
lacerable	撕得碎
capsulotomy	晶状体切开术
bike	自行车
unstudied	未学过的
stilt	支柱
amorously	好色
lenitive	减轻痛苦的
homy	自在
gimcracky	华而不实的
cetacean	鲸类动物
postpartum	产后的
epistle	书信体诗文
unrazored	未修剪过
interrupt	打断中断信号
neighboring	接壤的
besieger	围攻者
stinking	臭的
coordinate	并列的
sextus	第六个
temporal	现世
nonfinite	非限定的
coverlet	床单
lias	早侏罗世
studious	热心的
vdc	Volunteer
satiation	厌腻的
worthy	应……
woodworking	干木工活的
criminologist	犯罪学者
genearch	族长
tiffin	吃午饭
scraggly	起伏的
dichloride	二氯化合物
gratefully	感激
stockpot	什锦锅
bisulfide	二硫化物
criminal	罪恶
fledgy	盖以羽毛的
unquestioning	不加疑问
roily	焦急的
scrappy	杂凑的
delightedly	欣喜地
gni	gross
picaresque	以歹徒为题材的
scca	Club
bum	游民
untrodden	杳无人迹的
impeccance	无误
vortices	旋涡
recreancy	胆小
inerrability	确实
napoleonist	拿破仑式统治方法鼓吹者
ungainly	笨拙
insulation	绝缘
transformation	改EnEl/
neuroactive	刺激神经组织
confusedly	受困惑
amentia	智力缺陷
dapperling	短小精悍的人
waterloo	沃特卢
supervisory	监督的
contrastimulant	有镇静作用
disturbingly	令人不安
ccitt	Committee
glimpse	一看
benty	多硬草的
slicker	刮子
apeak	立锚
tsoris	麻烦事
maelstrom	大漩涡
railing	扶手
available	可用到的
inerrably	无误地
adder	小毒蛇
during	在……的时候
educible	可引出的
arrestment	阻止
interzonal	区间
diadochic	同晶性型的
ramekin	小干酪蛋糕
variety	种类
underemphasize	对……重视不够
monotrichic	单鞭毛
defiant	目中无人的
hant	常到之处
cisalpine	阿尔卑斯山这一边的
dialogize	对话
lithocyst	石囊
parpen	系石
matchmaking	火柴制造
service	服务性
najd	=Nejd
effeminacy	女人气
undiluted	未冲淡
discrete	离散的
nonenforceable	不可强制执行
snifty	傲慢
radiotoxicology	辐射毒害学
unqualified	无资格
dizygous	两受精卵的
buzkashi	马背叼羊
fist	拳打
invalid	有病
riot	暴动
clicket	弹簧锁钥匙
sleet	雨夹雪
aerially	空想地
wail	哀号
bms	Science
visitatorial	巡察的
depopulation	灭绝
parkland	公用场
consternation	恐怖
veranda	走廊
haily	冰雹
plaint	悲叹
phineas	菲尼亚斯
drum	击鼓
hemimetabolic	具有半变态特性的
recalcitrant	顽抗的
curdle	凝固
neurocirculatory	神经循环系统
athwarthawse	横在
tufa	泉华
podgy	矮胖
myob	不关你的事
universally	全体地
supposed	假像
pack	捆扎
condensative	易凝缩的
temperate	戒酒的
totemistic	图腾
neologist	新教义信奉者
trash	垃圾
lavendery	芳香
eld	古人
dm	Music
jackhammer	手提钻
cloxacillin	邻氯青霉素
unpatriotic	无爱国心
willing	自愿的
supervisal	管理
volleyball	排球
bourne	小溪
rainbelt	多雨地带
naris	鼻孔
limy	涂有鸟胶
keratose	角质物质
gentilesse	礼貌
allelomorph	对偶值
rearmament	重整军备
topically	总论地
crochet	用钩针编织
composmentis	精神健全
graven	雕刻的
scurrilous	下流的
crustless	没有外壳
scots	苏格兰人的
encapsulate	压缩
oni	Naval
galvanocautery	电烙器
cryptic	含义模糊
deadhouse	停尸所
bonhomie	敦厚
porky	肥胖的
theocrat	神权政治家
riancy	兴高采烈
pentachord	五音音阶
bec	economics
angor	绞痛
dais	讲台
antihelix	对耳轮
bulgy	膨胀的
tlo	total
charily	节俭
seedy	不适
inconceivable	不能想像
nemoricoline	生长在树丛中
octangular	八角形
ethos	民族精神
retentivity	记忆力
demonize	使成为魔鬼
aesthetics	审美学
monostrophic	单韵律
rap	Projectile
gamesmanship	竞赛时使用的虽不光明但不犯规的方法
nauseate	使恶心
adunc	向内弯曲
corporation	法人
protectress	女性保护人
consequential	结果的
algonkin	=Algonquin
comfortlessness	不舒服
adiathermancy	绝热性
argillaceous	粘土
murphy	马铃薯
agravic	失重
veil	口实
dank	透水的
ruddily	呈现赤红色地
natural	自然界的
nonabsorbable	不能吸收
discoverist	发现教学法
exorable	可用恳求打动的
weird	超自然的
homophonic	同音
sculpture	雕刻品
downrange	发射中心和沿着试验航向的
highjacker	强盗
corporative	法人
wire	电信
dislike	讨厌
wftu	of
antipruritic	防痒的
intelsat	International
neuter	无性
transferability	可转让性
paotou	包头
slapman	便衣警官
semplice	单纯的
hectograph	胶版
message	消息
liechtenstein	列支敦士登
susceptibility	易感性
darkling	黑暗的
heliotype	胶版
embellishment	修饰
volume	册
axisymmetrical	轴对称
veteran	老兵
fenestra	小孔
benedick	新婚者
haemoptysis	咳血
call	呼叫
pentalogy	互相关联五部分的组合体
unneutral	不公正的
fungitoxicity	杀真菌毒性
brittle	脆弱的
rhapsodic	狂想的
epididymis	附睾
satisfaction	令人满意的事物
ambivalent	好恶相克的
crownling	幼主
injective	单射
deconvolve	展开……卷积
debeak	去喙
incitement	激励物
ketch	一种双桅船
naughty	淘气
convivial	欢乐
thesaurosis	贮积病
tenner	十磅纸币
haplology	重复音略读
fiver	五镑钞票
sternforemost	倒退
periventricular	室周的
snafu	天翻地覆的
bagarre	骚动
streaky	容易变的
chasmic	如深壑般破裂
enclosure	围住
herbalism	草药医术学
foil	阻止
kayo	击倒
secretary	秘书
guanine	鸟嘌呤
lane	巷
bacchic	喧闹
crownwork	齿冠成形术
salvageable	可挽回的
kanarese	卡纳拉人
dormie	=dormy
astern	向船尾
crescive	成长
mineral	矿石
physostigmine	毒扁豆碱
closely	接近地
equivalent	同意义
cfs	second
isapi	Internet
opprobrium	责骂
additional	额外的
inchoate	未形成
isdn	Digital
orb	围着
tyrannical	残暴
mouthy	爱说话
corporate	共同
aborative	精心的
suberect	几乎直立
death	致死的原因
shortgrass	短禾草
avariciously	贪财
decumbent	横卧
shroff	鉴定
sternutative	喷嚏的
inverse	反面
sexual	有性
spitsticker	船首形木刻刀
waxweed	叶柄萼距花
stinkweed	发出臭味的植物
greensand	绿砂
phototypesetter	照相排版机
serotonergic	血清素激活
beloid	前窄后宽的
tinned	镀锡的
banditi	土匪
lifeful	充满活力的
regal	适于帝王
troubleproof	无故障的
gleam	瞬息的一现
slivovitz	梅子白兰
masticatory	咀嚼剂
apiarian	养蜂的
hindward	往后的
bevy	一群
unhasty	慢吞吞
suffrutescent	半灌木状
astroid	星状
instantial	实例的
ostrejculture	牡蛎养殖
enzootic	地方性动物病
rhymeless	无韵
monadism	单元论
donnish	象大学宿舍的学监一样的
nervily	大胆地
cheek	颊
throughput	生产量
promptive	激励
jointing	焊接
crankery	脾气古怪者的行为和想法
salability	出售
gothicism	野蛮
marathon	马拉松赛跑
reformatory	改革
moonish	反复无常
cuddle	拥抱
ethnologist	人种学者
flintshire	弗林特郡
polyzonal	多圈的
muddle	混浊状态
byzantine	拜占庭派的建筑师
deerstalking	猎鹿
logograph	语标
boa	围巾
adaptability	适应性
retract	所卷
semiorbicular	半球形的
computernik	电脑迷
virtue	德行
happify	使高兴
maharaja	王公
saccharomycete	酵母菌
urticaceous	荨麻科植物
tankfuls	一槽的量
troop	群集
methadon	美沙酮
shoo	嘘
deathlike	象死人
collision	冲突
castellan	寨主
kerman	科曼地毯
geniality	亲切
innovatory	革新
humpery	交媾
imputation	归罪
caisson	弹药箱
odour	香味
fairly	公平对待某人
recast	重做
wheatland	适宜种小麦的地
halfway	部分
chevy	追逐
forrader	更向前
phenix	不死鸟
ambisonics	高保真度立体声响复制
fine	杰出的
desiccant	干燥剂
citral	柠檬醛
cancroid	癌症状
overplus	过剩
decidophobia	决策恐惧
disloyalty	不忠实
otp	开放商务协议
atwitter	兴奋
unwholesome	不健康的
upward	以上
photovoltaic	光电的
emblazonry	炫耀的展示
soliloquist	独语者
oppugnant	敌对
pyroborate	=borax
acceptable	合意的
leer	斜视
colligation	捆绑
unfenced	没有防备
quoter	引用者
thermostatic	温度调节装置的
ferric	铁的
seminatural	半自然的
warily	留心地
befriend	待人如友
agamic	无性生殖
teutonization	条顿化
gaullist	反纳粹德国占领运动的支持者
thuriferous	产乳香
heptaglot	用七种语言写成的
irksome	讨厌的
fallacious	令人失望
syncretic	类并的
amiantus	石棉的一种
astringer	驯鹰师
foursquare	坚定的
acclimate	服水土
veneration	尊敬
erratic	无确定路线
gangplank	跳板
cymar	女衬袍
insoluble	不能溶解
simplehearted	心地纯洁
declarable	应申报的
meanwhile	其时
vilely	讨厌地
marrate	说明
neogene	晚第三纪
sweetheart	情人
mechanics	结构
creepy	皮肤上有足爬似的
hematozoon	血寄生虫
honeymoon	蜜月
rifle	用步枪射击
undp	Development
affinitive	关系紧密的
gay	尤指男性同性者
hexabiose	己二糖
stymie	完全妨碍
expo	展览会
cutaneous	影响皮肤的
finlet	小鳍
underlaid	underlay过去式及过去分词
unture	不正确
elliptically	省略地
rigorism	死脂
vervain	马鞭草
mint	薄荷糖
eskar	蛇丘
farmy	有田地的
sphygmomanometer	血压计
foldout	插页
judo	柔道
capapie	完全地
germanophobia	恐德症
cockeye	喝醉的
lymphopoiesis	淋巴细胞增殖
starry	布满星星的
white	蛋白
topocentric	以地面上的某点为中心的
lickerish	好色
entirely	完全
opaquely	不透明
anilingus	舐肛
brimfull	盈满
straightforward	正直
fanatic	盲信者
ligurian	意大利土语
cameralist	经济学者或官员
rampant	猖獗
belecture	时加叱责
stunt	矮小的人
potass	钾
climograph	气象图
dagoba	佛骨堂
stirring	忙碌
rabboni	先生
absorbable	可吸收
coxcombical	浮夸
neuridine	纽利定
acidimeter	酸比重计
subjunctive	虚拟
mhr	Representatives众议院议员
record	履历
rubberize	涂橡胶
undone	未完成的
choler	大怒
destrier	军马
wire	打电报
workmanlike	精巧的
craniotomy	颅骨切开术
nlp	loan
tripey	无价值的
refluent	倒流
memory	内存
frizzle	使卷曲
personal	容貌的
lacustrian	湖上住屋的
unimer	单聚体
uncoil	解
bidialectalism	两种方言通
temperable	可回火的
railwayed	有铁路
quiesce	沉寂
fashionably	按照流行
thorium	钍
claque	一群捧场者
leaflike	像叶子的
houseperson	料理家务的人
chanceless	无可能性的
generosity	宽大
fixure	固定位置
loam	用肥土填
bms	Marine
fragmental	断片的
gnaw	啃
early	及早的
pubic	耻骨
microalgae	微藻类
tress	发辫
enigmatical	谜一般的
uneven	不平均的
unsuspectingly	信任地
csma	Mutiple
unpoetic	无诗意
noblest	华丽
bald	枯燥的
concertation	协调
mudslide	泥流
carnassial	食肉的
autotruck	运货卡车
inflator	充气者
algidity	发冷
villose	长绒毛的
seventeenth	第十七
treason	通敌
doglike	忠实
clift	断崖
cryptographer	译解密码者
consanguineous	密切
rason	黑色宽袖长袍
cycle	一段时间
contempt	耻辱
tepid	不热情
holozoic	以摄取有机物为食
here	此时
dolerite	粗粒玄武岩
methodologist	方法论学者
coi	中央新闻署
pravda	俄
ethical	民族特有
careful	仔细的
insatiable	不知足
flighty	轻狂的
upholster	装饰
preteen	青春期前的
imaginabale	可想象
swore	swear的过去式
jaboticaba	拟爱神木
peritrack	=taxiway
chinois	漏勺
maleficence	坏事
inconsonant	不协调的
scutter	疾走
diastereomer	非对映异构体
anvil	砧骨
mechanistic	机械论学说
underpass	高架桥下通道
yb	镱
itching	渴望
anchylose	变僵硬
dogwatch	暮更
iba	Independent
marengo	马伦戈式的
omnific	有无限创造力
hutchie	临时帐篷
exostosis	外生骨疣
rouse	奋起
hols	假期
enigmatical	不可思议
cerite	铈硅石
sixfold	六重
unserviceable	无用的
aeciospore	锈孢子
arrant	彻头彻尾的
maisie	梅齐
platiniferous	产铂
jillet	轻浮的女子
daphnis	达佛涅斯
fenderless	无挡板的
visitorial	访问的
hydroxyketone	醇酚
tripper	旅行者
immunosorbent	免疫吸收剂
typhogenic	引起斑疹伤寒
ecosystem	生态系统
concertize	演出
dermatozoon	皮肤寄生虫
levelheaded	清醒的
gunite	压力喷浆
unaccountably	不能说明地
proselyte	改信仰者
kook	怪癖的
mothy	多蛾
closet	储藏室
vetanda	禁忌
compathy	共有的情感
lenity	慈悲
rhodomontade	=rodomontade
ligature	绷带
kama	爱神
several	单独的
tetrarch	小王
lubberland	极舒适的地方乐土
unseparated	分不开的
overmountain	住在山上的
viewpoint	观点
hood	引擎罩
vasculature	脉管系统
solion	电化增益器
privateer	武装民船
undutiful	不顺从的
relation	亲戚
manna	吗哪
unchain	解除
landaulet	landau
servant	仆人
compromise	妥协
bibulosity	酗酒
unexcelled	极好
atrocity	凶恶
mediocritize	使变得平庸
convalesce	渐愈
opisometer	曲线计
rive	撕开
slentando	渐慢
animalization	兽性化
steeper	浸润器
ungainly	难看地
refulgent	灿烂
mustache	胡子
infinite	极大的
verminate	孳生害虫
mazu	马祖
charlatan	吹牛者
aew	airborne
azygos	无对偶的部分
ingenuously	率直
pantheon	伟人祠
apivorous	食蜂
hardball	硬式棒球
lightfastness	耐光
blet	疲倦
niggle	小气地给……
conmanship	骗术
kingstown	金斯敦
guttiferous	产藤黄的
unblest	不幸的
euphemistic	委婉
allantoic	尿囊内的
uddi	Discovery
fagot	柴把
awry	错误
civil	文职
apoplectic	患中风者
mesothoracic	中胸的
tuffaceous	凝灰岩的
airman	飞行员
flowery	绚丽
crank	易怒
encephalic	脑的
revulsant	引起诱导的
vinous	葡萄酒的
diphenylaminechlorarsine	二苯胺氯胂
lapsed	堕落
vacuum	产生真空
posseman	民兵
faint	无力
antienergistic	逆能
interdependent	相互依存地
crassitude	粗糙
leftish	左派
tuneful	和谐
armourial	纹章书
startler	令人惊骇的人或事件
cask	桶
derangement	发狂
corneous	角状的
okazaki	冈崎
councilor	评议员
agenesis	发育不全
rataplan	敲鼓声
esthetical	美术的
hegumen	修道院长
flow	泛滥
truckage	搬运费
discordancy	不一致
unwakened	未觉醒的
milton	米尔顿
apocynaceous	夹竹桃科
brakesman	轫手
polemarch	官员
jacobian	函数行列式
neutrality	中性
samel	半烧
ryukyu	琉球群岛
unanimously	无异议地
transmigrator	移民
onager	中亚野驴
polycrystal	多晶体
linolenate	亚麻酸盐
freeform	形式自由的
gamebook	猎获物记录簿
totality	全食
plo	Liberation
skinpopping	皮下注射麻醉品
plateresque	带复杂花叶形装饰的
reclame	臭名
nibble	轻咬
urolith	=urinary
monomial	单项式
susceptibility	磁化系数
innervation	神经支配
isthmectomy	峡部切除术
fretful	焦躁
airer	晒衣架
guilty	有罪的
ah	希吉拉纪元
metallise	=metallize
antagonistic	反对的
preharvest	收获期前
blowlamp	汽油吹焰管
foozle	笨拙的行为
unsicker	不确实的
preinvasion	入侵之前
trivially	很一般的
audiogenic	声音所引起
love	爱慕
regress	回归
proportionment	比例
separator	脱脂器
parameterize	=parametrize
undeify	使非神化
merciful	慈悲的
inferiority	自卑
seiko	日本精工株式会社
devastatingly	讥讽
oligotrophic	贫营养
almsdeed	善举
bofors	博福斯式高射炮
hammada	石质沙漠
mu	字
bourne	目的地
coq	羽毛
hibernation	避寒
validate	使生效
pharyngal	咽的
unfading	不凋萎的
predator	掠夺者
nerc	National
vitellogenin	卵黄蛋白原
guiltless	无辜
semon	义符
liabilities	债务
merchantable	有销路的
enol	烯醇
undertrick	宕墩
pugilistic	拳击家的
outcast	流氓
start	出发
unsuitability	不相称
sickening	令人作呕
extraparliamentary	非国会所能控制的
erect	笔直
boltrope	帆边绳
prejudicious	有损害的
indigoid	靛蓝类染料
omnific	创造一切的
