mao	毛式服装的
preferable	更优越的
clamorously	吵闹
fanged	有毒牙的
aquatel	水上旅馆
downhouse	美国南方
dossier	档案
dypass	通道
colorant	着色剂
untenanted	未被租赁者占用的
pensive	沉思
astrict	束缚
or	或者
patient	病人
venerably	尊敬
acervate	簇生
lagger	落伍者
ectosarcous	原虫外膜
tanniferous	含丹宁酸
odorless	无嗅
simplicidentate	单门齿目
literacy	有读写能力
dirty	下流的
flyby	飞越
decayed	朽了
bassi	低音歌手
pricket	蜡烛扦
stupid	乏味
perfecta	=exacta
underpass	地下道
fateful	致命性
purl	用倒针编织
reticula	网状的
diageotropic	横生
marcasite	白铁矿
evaporator	蒸发器
birthparents	未婚父母
hairlike	毛一般
some	pro
connivent	逐渐集中的
chemiluminescnet	化学发光
fian	<fianna
jow	敲钟
snelskrif	斯耐斯克利夫速记
stunt	惊人表演
groom	马夫
melomane	=melomaniac
terne	镀铅锡铁板
coat	包上
roadbed	路基
snooker	彩色台球
swab	药签
dispersion	散射
vsam	虚拟串行访问方法
ceratodus	澳大利亚肺鱼
legionary	军团的
sandbank	沙洲
gastral	胃
tabularize	把……排成表格式
connubially	夫妇般
curtsy	行屈膝礼
musky	麝香的
jocko	黑猩猩
ungraceful	不优美的
bettor	打赌者
unpaying	无利润的
tigrine	虎
duchy	直辖领
socket	插座
kbe	of
algerine	阿尔及利亚的
conamore	带着爱心
socinian	索齐尼派教徒
moisturize	增加水分
solitarily	独自一人地
auspice	吉兆
missile	发射物
dishonourable	不名誉
cupferron	铜铁灵
parlay	连本带利的赌博
decamethonium	十烷双铵
piscataway	皮斯卡塔韦
beamed	定向
ratheripe	早生的
allegorist	讽喻家
cockamamie	繁琐的
tenor	男高音的
unicameral	一院
catamount	野猫
polynomial	多词学名
muff	接球失败
superlatively	最高
unlessened	未减少
doggo	静静躲藏着地
frowardly	固执地
unnoteworthy	不显著的
revivify	振奋精神
tersely	精练地
physiatrics	物理疗法
gabion	篾筐
profitably	有利地
interstice	裂缝
leasing	谎言
protopope	首席神父
adjacence	毗连
riba	Institute
sinter	泉华
spanking	显著地
grovy	树丛般
catch	抓住
diagonal	对角线
phosphoglucomutase	葡萄糖磷酸变位酶
memorialist	递请愿书的人
tzarevna	=czarevna
dustbinman	环卫工
drossy	铁渣
charactery	用文字表达思想
radc	Royal
tacan	塔康
odorize	给……加臭味
scuzzy	邋遢
trencher	战壕兵
odin	欧丁神
desirability	愿望
strafe	损害
azobenzene	偶氮苯
predictability	可预言
chicago	芝加哥
federative	联合
lapsible	应消失的
sociopolitical	同时涉及社会和政治
barostat	气压调节器
unwatched	未受监视
yearn	想念
bronchogenic	产生于支气管
lubricity	光滑
complyingly	顺从地
awesome	可怕的
movable	变动的
mesh	啮合
covenant	盟约
spyglass	美国spyglass公司
scent	气味
zebra	斑马
bundobust	安排
zillion	无法计算的大数字
combat	搏斗
astroid	星形线
cqd	quick
monogenean	单殖亚纲动物
campimeter	视野计
emporia	大百货店
execution	死刑
ashpit	火炉的灰坑
pragmatism	实用主义
pop	突然伸出
leeway	回旋余
gray	阴沉
faceplate	面板
secta	诉讼
rallyingly	挖苦
hemispheroid	半球体
furcate	叉形
wasteplex	废物再循环联合企业
stadia	视距
flagelliform	鞭状的
haulyard	=halyard
vomit	呕吐物
pregnant	怀孕
flock	羊群
misplug	误插
traditor	叛教者
sincere	真实
potboiler	粗制作品作家
venter	子宫
dry	干的
silvern	银
hammy	火腿味的
untrammeled	自由自在
simplehearted	纯朴真诚
prakrit	古代印度语
mangey	=mangy
base	以……作基础
genealogical	家系的
leh	列城
transthoracic	经胸廓的
setiform	刚毛状
nasty	下流的
lacrymal	流泪
windward	上风的
habitation	住所
lathework	花纹图案
descriptively	叙述
onrush	奔流
dript	滴落
plu	people
extramundane	物质界以外的
alcayde	狱吏
dicastery	审判官法院的开庭地点
voluble	易旋转的
pubsy	酒馆
decury	十人团体
eurystomatous	有可扩展的嘴
lettic	列托语
bundle	捆扎
nonhistone	非组蛋白
acrr	Council
nitery	=nightclub
superintend	管理
blanketyblank	该死的
pure	纯粹
callow	年轻而无经验的
clinicopathologic	[屹床病理
gpm	minute每分钟加仑数
vast	巨大
offering	奉献物
gobbledegook	冗繁而难解的文字或语言
scathe	损害
encephalalgia	头痛
sullenly	阴沉地
playmate	玩伴
crocean	克罗齐
deacidify	使去酸
sixscore	一百二十
misleading	易误解的
deficit	赤字
acores	=Azores
staircase	楼梯
buccal	口
unsubstantial	无实质的
fleckless	完美的
penniferous	有羽的
tawdry	俗丽的
cruzeiro	克鲁赛罗
nonparous	未生过婴儿
visually	真实地
raaf	Force
nervily	强壮
yi	彝语
redhead	红发的人
taintless	无污点
malign	恶毒
lathering	痛打
unserviceable	无益的
nutso	痴狂的
unsmirched	清洁
loom	隐现
hindmost	最后部
hammer	槌
monocular	单眼
simony	买卖圣职的人
rosaria	蔷薇花坛
gi	或
trustfully	信任地
healthful	有益健康
feculent	浑浊
thralldom	束缚
underclothed	穿衣过少
adoringly	崇拜地
glans	阴茎头
dooda	兴奋
otiose	多余
rimous	龟裂
gryke	=grike
inevitable	不可避免的
breugel	family
infectious	有感染力
centrobaric	有重心
erective	直立的
retrain	重新教育
swabby	水兵
defrost	使融化
reexpand	再次膨胀
sailboard	帆板
suspension	悬浮液
punningly	一语双关地
windage	偏差
clastic	可分解
pimply	肿泡
daze	发昏
receipt	收据
prayerless	不做祷告的
disoperation	侵害作用
nitid	发光的
weather	气象
ribosomal	核醣体
fmcs	Federal
postclitic	后附着词
carnify	使成肉质
protractile	突出
edible	可食用
field	田间
consanguineous	密切的
when	什么时候
cppcc	中国人民政治协商会议
normandy	诺曼底
rubbery	有弹力
lingo	隐语
brushy	灌木丛生
alternate	改变
horus	何露斯
lapactic	促泻
biologic	生物
galtonian	高尔顿
zif	Insertion
browsy	浏览性质
victimologist	受害者研究专家
phrensy	=frenzy
xslt	XSL变换
elenctic	辩驳的
dtp	publishing
wifehood	妻的地位
indention	缩排
fit	使合身
aew	空中早期警报
irreconcilable	矛盾的
benthal	海底
seascout	海洋童子军
epilimnion	表水层
fulgid	闪耀
leeway	可允许的误差
fixture	固定设备
soberminded	严肃
durometer	硬度计
unverifiable	无法证实
apt	灵敏
jape	笑话
dsn	Name
exhaustee	财源耗尽者
zigzag	曲折前进
olympic	奥林匹亚
leprous	麻疯病
zirconic	锆
antifertility	抗生育的
gnawing	使苦恼
imperception	无知觉
quarantinable	应受检疫的
implicit	绝对的
annunciatory	预告
appologize	道歉
drear	阴沉的
hornswoggle	瞒
recreationist	行乐的人
lunge	突进
afrikanerdom	南非白人民族主义
photosensitisation	=photosensitization
antifebrile	解热剂
sabrecut	马刀的劈砍
spiel	饶舌
heft	重量
envier	羡慕者
teacherless	无师自通
extractable	可引出的
regressive	回归
octodecimo	十八开
suasive	有说服力
nephrotoxic	足以危害肾脏
kinesis	由外界刺激引起的不随意运动
bonus	红利
bulkily	笨重
official	正式的
landrace	兰德瑞斯猪
okro	=okra
supernova	超新星
mortal	人类
immersible	可浸入的
double	两倍的
unswerving	不歪
immerge	隐没
indisposition	不想
caller	传唤员
acquisition	获
epural	在尾部
feirie	健壮的
spatchcock	杀后立刻烹调
parison	雏型
muddle	鬼混
coony	狡猾的
recapitulatory	概括性的
scotophilic	适暗
jargonel	一种早熟的梨
rectrix	舵羽
manager	管理人员
sternutatory	催嚏剂
two	二
foxglove	毛地黄
tombak	一种铜与锌的合金
bollard	系船柱
lacrymal	泪壶
unsexed	失去性征的
daimler	英国的高级汽车名
hemostat	止血剂
hypercholia	胆汁分泌过多
excavate	挖空
tome	册
sap	挖坑道袭击
laudanum	鸦片酒
antimony	锑
forementioned	前述
alveolate	多小孔
ashiver	颤抖的
executive	经理主管人员
iis	Internet信息服务器
relative	有关系的
tass	Telegraph
run	运行
lento	徐缓的
surpliced	穿白袈裟的
elaphine	红鹿的
circumspective	细心
ultimate	根本
glottis	声门
lassell	拉塞尔坑
picked	精选的
necrophil	嗜尸成癖者
decollete	低颈露肩
bringdown	使感失望
dissolutely	放荡
heteronymous	相关而异名
uncontemplated	意外
beak	喙
coincident	符合的
amicron	超微子
licetus	峭壁平原
phonasthenia	发声无力
acrylic	丙烯酸的
tomfoolery	愚蠢的举动
felspathic	长石的
zulu	祖鲁族人的
bba	bachelor
loadability	载荷率
collet	装筒夹或夹头
haemathermal	温血的
force	强加
shelf	搁板
filicin	失水绵马酸
bariatrician	肥胖治疗专家
caulomic	和茎结构形态相当之结构的
apartness	冷漠
refusable	可拒绝的
clc	Congress加拿大劳工大会
combination	化合物
ankylose	胶住
knop	球形装饰物
enclitic	附属
protrusive	突出
mm	Myanmar
emblematize	成为……的标记
counterreaction	逆反应
ada	Augusta
triboelectric	摩擦电的
handkerchief	手帕
unconfessed	未认罪忏悔的
crustless	无硬皮
uncreased	未起褶痕的
handpick	精选
assimilable	可同化的
singaporean	新加坡的
nefandous	说不出口的
npcf	National
subcontrariety	下反对关系
abbe	僧侣
exuberant	丰富
infirmary	救济院
largando	渐慢和渐强地
dispope	剥夺教皇的尊严
ternary	三重的
eely	易滑脱的
geoponic	农业的
measurable	可测量
spongy	多孔而有弹性的
multilane	多车道的
molluscoid	软体动物似
cote	棚
huntsmanship	狩猎术
pacificator	抚慰者
spittlebug	沫蝉
squire	律师
befuddle	使迷惑
opposed	反对
fibroelastosis	纤维弹性组织增生
dissatisfied	不高兴的
tourane	土伦(越南中部港市岘港
arboraceous	长满树木
chrism	圣油
comportable	适当
substitution	置换
multivitamin	多种维生素的
cameralistic	财政的
tar	焦油
hemichordate	半索海生动物纲
guyanese	圭亚那居民
ordinance	圣餐礼
pyroxenite	辉岩
newish	稍新
bushy	浓密的
undutiful	未尽职
inundation	洪水
multiplicable	可增加的
phenocryst	显斑晶
posturize	作出特定姿势
hera	Rocket
symmetrical	均匀的
cutesy	忸怩作态的
earthling	俗人
rf	Frequency
puzzler	难题
story	事迹
glomerule	团伞花序
antelucan	黎明前
breezy	轻松愉快的
affinal	姻亲的
raticide	灭鼠药
confoundedly	非常地
swage	用型铁弄弯曲n
adversity	灾祸
double	两倍
unequally	不相等
fructosan	聚左旋糖
vauntingly	吹嘘地
inveracious	不真实的
clarionet	木箫
outshoot	突出
academize	使……成为刻板传统
anticarious	抗龋的
diphtherial	白喉的
glucoprotein	醣蛋白
hawk	像鹰一般地袭击
picaresque	以歹徒为题材
lassie	少女
checkrein	马缰
fog	雾
malpighian	马尔皮基
insectival	似昆虫的
variform	有多种形态的
smudge	熏烟
scripturally	根据圣经
edacious	贪吃
loricate	有甲壳的
aphanitism	隐晶岩
ebullient	热情的
unsophisticate	不懂世故凳
kilorad	千拉德
fogy	赶不上时代的人
unfrequented	人迹罕到
oversea	海外的
call	打电话
parallelogram	平行四边形
micawberism	空想的乐天主义
eclipse	食
mincemeat	甜馅
industrious	刻苦
loser	失败者
kgb	苏联国家安全委员会
bandhnu	扎染
pellagra	糙皮病
vigoroso	强
sell	卖
lewd	猥亵的
unshirted	不加装饰的
ranchette	小牧场
iv	intravenous
tropism	向性
oup	University
mordacious	咬痛
suture	缝合处
rechoose	再选择
fifthly	第五地
dichromic	重铬的
pachuco	少年流氓
stile	墙
silkscreen	丝网印刷的
gimpy	瘸的
hottish	热乎乎
pressingly	强求地
angelical	天使般的
illfare	不幸福
palmful	一把
parrotfish	隆头鱼
feudalize	使成封建制度
unsccur	Conference
wacky	古怪的
unwarned	未受警告
material	物质
nomarch	省长
pulsar	脉冲星
prisunic	独价商店
conjecturable	可推测的
aureate	灿烂的
fieldwork	实地调查
vhf	High
unspecific	不具体
hexarchy	六盟国
chromous	含二价铬
gramineous	似草
tousy	蓬松
panplegia	全瘫
waec	Economic
overnutrition	营养过度
shortia	杖草叶岩扇
porky	肥胖
pollster	民意测验专家
billowy	汹涌的
burnable	灼伤的
approximative	近似
jehoshaphat	约沙王
occurent	正在发生
unsavory	难吃的
dumpy	矮胖的
tackle	工具
anticancer	抗癌的
spline	止转楔
postern	后门
funnyman	滑稽演员
abysmal	无底的
ripply	潺潺声
bev	千兆电子伏
sciophyte	阴地植物
ratproofed	作了防鼠处理
revolvably	能被旋转地
isd	国际订户拨号
lactogen	催乳激素
throe	阵痛
lie	展现
rockless	无岩石的
recriminative	反控诉的
intarsiate	木造镶嵌细工
cpi	消费者物价指数
hometown	故乡
exclamation	感叹惊叹
ovular	胚珠的
spherular	小球体的
sophist	博学者
deflection	偏斜
telegraph	打电报
nee	旧姓的
flexuous	波状的
derivative	引出
morbidly	病态地
coarsely	质地粗糙地
sideroscope	铁屑检查器
posted	有地位的
renomination	再任命
working	工作方式
bowdlerize	删改
functionalist	机能主义的
tautog	遍罗
kalmuck	其语言
tumefy	浮华
tgwu	General
kickapoo	基卡普人
violable	易受侵犯
dishonor	不名誉
crapshooter	赌双骰的人
auctioneer	拍卖
bedside	床旁的
miotic	缩瞳剂
ladykin	小妇女
gpd	per
baldish	秃头的
denny	丹尼
shortcoat	给穿第一套童装
corymbous	伞房花序
subversal	=subversion
nonstandard	非标准的
sidetrack	导入侧线
gharry	马车
persuade	说服
personal	人称
astronautical	太空航行学的
strain	扯紧
oilpaper	桐油纸
woodranger	森林警备队队员
euglobulin	优球蛋白
put	固定不动
exploration	踏勘
devotional	祷告
baddy	恶人
unexamined	未经权衡
antimycotic	=antifungal
chronaxie	时值
hematemesis	咯血
besom	长扫帚
smartly	漂亮
consonantal	辅音的
capitalintensive	投资密集的
clonicity	阵挛
neuromotor	神经运动
shaving	刨
terephthalate	对苯二酸盐
knobbly	有节
pillow	枕头
chariot	战车
amalgam	汞齐
superindividual	超个体的
reman	重新补充人员
browser	浏览器
loco	用疯草毒害
overdraft	透支之款项
psephite	砾状岩
crenated	圆锯齿状的
estreat	审判记录之抄本
flabbily	软弱
course	一道菜
inquietly	不安
squirrely	古怪
sole	唯一
grist	谷物
tenorite	黑铜矿
fac	forward
wilding	野生植物
oxalate	草酸盐
conceit	狂妄
gunn	基于耿氏效应的
auckland	奥克兰
palmation	手掌状
overland	陆路
fallen	fall
unhealthy	不健康的
jagged	参差不齐的
disclaimer	拒绝
following	在……之后
calescent	增温的
tdn	可消化的养分总量
mumpish	愠怒
internally	在中心
untrue	不正确
instrumentalism	乐器演奏家
dixie	美国南部
become	变成
velvety	象天鹅绒的
housebreaking	拆屋
ptilopod	脚上有羽毛
lisping	口齿不清的
postpone	使延期
bibliographic	书籍解题的
thin	稀薄的
unsureness	缺乏自信
dermatography	皮肤论
derailment	出轨
washy	乏味的
hop	单脚跳
tolerant	有耐药力
overturn	革命
graven	grave的过去分词
laurustine	一种常绿灌木
headmaster	英国中小学校长
fascine	粗杂材
impuissance	无能
robust	精力充沛
rabbinical	希伯莱语的
asgard	仙宫
acrasin	聚集素
honeymouthed	嘴甜的
stench	臭气
brightness	聪明
excavation	挖掘
educationalist	教育学者
submedian	位于近中央处
gymkana	运动会场
hadhramautian	哈达拉毛的
rosarium	蔷薇花坛
destructively	破坏
inviolate	未受侵犯
mightily	强烈
amuck	疯狂地
cubism	立体派
occasionality	偶然性
infirmity	缺点
super	/
touch	提到
testosterone	睾丸激素
tearing	痛苦的
prehistorian	史前史学家
emulously	竞赛性
parlor	客厅
humidistat	恒湿器
treason	背信
entanglement	纠缠
diastyle	柱间距离等于柱径三倍
wallach	=Walach
categorize	加以类别
xanthium	苔儿属
furnishings	穿戴用品
marginal	边缘的
mandatory	托管
eyelike	眼状的
snide	卑鄙
gemmulation	发芽
lusty	健壮
diapason	全协和音
branchial	鳃状
wean	幼儿
tardyon	慢子
unaffected	真挚的
diorama	西洋景
scorpionis	Scorpio的所有格
larruping	与众不同
aghast	吓呆
lowland	苏格兰低地
cuddlesome	适于拥抱的
literati	文学界
adductor	内收肌
drumble	动作缓慢
xerarch	在干旱地发展
biased	结果偏倚的
chiefless	没有首领的
garlicky	有大蒜气
fane	神殿
blunderbuss	蠢材
quillet	借口
fallol	做作的
sestertium	古代罗马的货币单位
fine	精细
unvaryingly	从无变化地
wheelwork	齿轮装置
niggertoe	巴西果
scissile	易切断
preelection	预选
home	家
honeymouthed	甜言蜜语的
encephalogram	大脑摄影图
pebbly	有卵石花纹
salzgitter	扎耳茨吉特
recolonization	开拓殖民
frequent	频繁
lotion	洗液
cantalever	悬臂
haematite	赤铁矿
espousal	订婚
tailforemost	=tailfirst
shoji	screen
larine	象鸥的
tartrated	含酒石
swagged	挂着帷幕的
dog	类似犬的动物
beneficent	仁慈
vtp	Protocol
unordinary	异常的
carved	有雕刻
basal	构成基部的
disbench	剥夺法学会会员之职
understand	听说
point	加标点于
stretcher	延伸器
earring	耳饰
bta	British
unbenefited	未得到好处
strumae	瘤状突起
calcareously	钙质
unprovided	无支援
whimsical	古怪
lazyish	有点儿懒惰
gawky	迟钝
windward	迎风
digitate	趾状
alleviate	减轻
upland	丘陵地
salicylamide	水杨酰胺
perissodactylate	奇蹄的
individualism	个人主义
achromycin	四环素
vitligo	白斑病
castanet	响板
viviparity	母体发芽
indagator	调查
coastal	沿海
plasticine	代用黏土
stroy	=destroy
pewit	田凫
summarily	概略地
querulously	易怒地
emmenagogue	调经剂
slavism	斯拉夫气质
continual	持续不断的
unrelatable	不相关
scoundrelism	无赖的
trover	取
pulverization	弄成粉
decidedly	断然地
auricle	外耳
rumrunning	酒类走私
irritably	暴躁
incalescent	渐热
rollicksome	嬉戏耍闹作乐
interfinger	相互贯穿
gastronomical	美食法的
unanimous	无异议
yearningly	同情地
bourse	交易所
unload	摆脱……之负担
rehospitalization	再入院治疗
zymometer	发酵计
furcate	分叉的
gastroscope	胃窥器
aluminiferous	产铝
agreed	已经过协议
ethylation	乙醇盐
fastidious	难取悦的
holistic	全盘
peach	桃树
ornamental	装饰的
septuple	七倍
hermeneutic	圣经注解学
colpitis	阴道炎
indicative	预示
longe	练马长绳
thatchy	多茅草
cleruchial	古希腊将征服土地配给公民之制度的
monad	单细胞生物
ideation	构思能力
kosher	使合适
metepa	三膦化氧
seceder	分离者
exchangeable	可交
gap	缝隙
strangury	痛性尿淋沥
wild	狂热的
californian	加州的
noncontrastive	不对比
wosa	System
hog	肥拱起
admitted	被确认无疑的
reirradiate	再照耀
commutate	使方向转换
recommission	再编入服役
industrious	勤勉
incalescent	渐热的
orinasal	鼻化元音
firebox	火室
bulbous	球根的
stannum	锡
contentedly	满足地
inlay	镶嵌
baking	一次烘焙的量
europeanise	=Europeanize
supergranular	超米粒组织
acceleratory	催促
atrabilious	疑心
bronchobuster	驯马师
macroprocessor	宏处理程序
confessant	忏悔者
dinghy	小舢板
waratah	特洛皮
aristotle	亚里斯多德
soaraway	腾飞的
sesamin	芝麻素
carbamyl	氨基甲酰
tetracarpellary	四心皮的
fornicate	弓形
middy	海军校生
logging	伐木搬运业
opaque	迟钝的
tabid	憔瘦的
coquilla	巴西棕坚果
tangent	正切
intragalactic	银河系内的
expectancy	期望
underhand	阴险
sleazy	廉价
unjustifiable	不合道理
dairy	售牛奶
asinine	愚蠢的
tessellation	镶嵌成小方格
dekalitre	公斗
petty	细微的
dissociably	可分离地
unpolitic	=impolitic
sib	有血缘关系
perfect	精通的完成式
prooestrus	发情前期
quarter	季
thrown	throw的过去分词
pide	国际及卫国警察
dazed	眼花
technopolitan	技术社会的
whizz	专家
frigidly	冷淡
cheralite	富钍独居石
aether	醚
euphuism	美丽辞句
umangite	红硒铜矿
lender	贷方
uroscopy	验尿
bellows	风箱
bitnik	比特族
azotise	=azotize
stockbrokerage	证券经纪商的业务
rummy	奇妙的
luthier	拨弦乐器制作匠
abridgable	可以删节的
unlash	松开
expellent	具有驱逐力的
msph	Public
tupian	图皮人
tinglass	铋
scar	伤痕
trailer	乘拖车式活动房屋旅行
kern	紧排
saucier	调味汁厨师
lilacky	淡雪青
porker	肥小猪
photomontage	蒙太奇照片
transigent	妥协的
subdecanal	副院长
crowded	拥挤
make	开始
mover	鼓吹者
voluble	流利的
assistant	助教
bifunctional	具有两种不同功能的
nortriptyline	去甲替林
nimbostratus	乱层云
floorer	铺地板者
second	赞成
masked	伪装
subcompany	附属公司
ctol	takeoff
triphibian	陆
hun	破坏者
characterization	人物之创造
crossroad	歧途
thoracal	=thoracic
baleful	有害的
driftage	流落
pecuniary	应罚款的
empiricism	经验主义
insubordination	反抗
earthlight	地球反照
twentymo	二十开
faint	暗淡的
cry	叫喊
anecdote	轶事
marzine	=Marezine
travelog	旅行见闻讲座
desublimate	使失去升华机制
truculence	残酷
shellless	无硬壳
ellipticity	椭圆率
chromatron	栅控彩色显像管
forktail	尾巴开叉的鸟
pericynthion	=perilune
hexabasic	六盐基的
variety	种种
narc	缉查毒品的刑警
hypnogenetic	催眠的
censurable	该责备的
engraft	使牢记
getaway	逃亡
oneirocritical	解梦
bandy	传播
undershorts	短衬裤
frass	蛀屑
vichyite	拥护维希政府者
dichromatism	二色视
isochromosome	等臂染色体
disprize	低估
taxonomist	分类学者
waylay	抢劫
torsional	扭力的
unfasten	解开
inobservantly	怠慢地
lithonephritis	石性肾炎
amrita	甘露
plagiotropism	斜向性
aleuronic	籽朊粒
gst	time格林尼治恒星时
barf	呕吐
foregut	前肠
sowback	沙丘
hydrographer	水道学者
vera	=very
keratose	角质
snide	不诚实
lending	出租
exequatur	许可证书
bike	脚踏车
bombardon	低音大号
holophote	全反射镜
friesland	弗里斯兰省
hifalutin	=highfalutin
signior	绅士
koan	心印
set	Secure
coagulative	凝结物
longshanks	长腿的人
cool	使镇定
puling	哀鸣
tylopod	趾底有肉垫
delir	经历幻觉
periauger	帆驳船
hook	钩
resistibility	可抵抗性
misaligned	方向偏离
savoury	香喷喷的
behead	使其他河川的水流入自己河中
functional	功能的
twisty	扭曲
kitchenette	小厨房
epndb	noise
medley	杂乱的一团
ecliptical	黄道的
fortitude	坚韧
tabs	制表符
recessive	隐性性状
feat	技艺
pya	分
ralliform	似秧鸡
euchre	欺骗
relative	相关物
spill	暴跌
null	等于零的
frequently	经常
uml	Language
moonscape	月的表面
enigmatical	谜一般
eruct	打嗝
criticism	批判
egomaniacal	极端利己
gagaku	雅乐
cloyless	不会倒胃口
aspartase	天冬氨酸酶
dearness	亲爱
monosymptomatic	单症状的
duff	笨拙的人
heterosporous	具异形孢子
unfelt	不感动的
rattlebrained	头脑空虚
elect	选举
underpowered	动力不足的
lymphangial	淋巴管
perikaryon	核周体
wholesomely	卫生
wealthily	丰富
biunique	单向双系列对应
meshuga	发疯似的
urinose	含尿的
agonising	烦恼的
baronial	宏大
hermitry	遁世
circlet	小圈
dawson	道森
electrical	有关电的
annoying	恼人
vagabondage	流浪者
anarchic	无政府主义的
iht	International
ctd	and
heptasyllable	七音节的字
inductorium	感应圈
baffleplate	障板
batboy	棒球队球童
smoky	烟熏味的
grain	粮食
rebeck	三弦琴
alarmable	会被惊恐的
tigris	底格里斯河
reuptake	再摄取
pithily	简洁
homologous	一致的
plaga	纹
inner	内部的
eternity	不朽
intended	故意
inherent	与生俱来的
biogenic	生物所造成的
hardenable	可硬化的
lacunate	=lacunal
etic	语音学
stager	经验丰富的人
corbie	候鸟
crevasse	崩溃处
thornbush	多刺高灌丛
pandanaceous	露兜树科
chemosmotic	化学渗透作用的
undergo	经历
carl	卡尔
irisher	爱尔兰系的人
gentlehood	名门世家的地位
martial	战争
careful	仔细
victimless	不侵害他人的
menticide	精神扼杀
recast	彻底改动
eyeshot	视野
breakdown	细目分类
cerastium	耳草属
graylag	灰色雁
midsplit	中分
distinguished	著名
suoloco	在本身的位置上
strategically	战略上
estonian	爱沙尼亚语
rhyparographic	对卑贱事物之描写
popish	天主教
groschen	德国的10便镍币
illegitimacy	私生
jippo	=gyppo
bioclimatology	生物气候学
sulfonic	磺酸基
stoneman	石冢
cardinality	集的势
hypoacidity	酸
enunciate	清晰发言
smithsonite	菱锌矿
trot	骑马
countrify	使有乡村风味
sandiness	含沙
eyewink	片刻
dina	迪娜
ingestible	可吸收
summarily	概要地
prosiness	平凡
dipsey	深海的
seed	种子
autnumber	数目超过
encomium	赞辞
dnb	of
aculeated	有刺
mouthbrooder	口育鱼
exfacto	实际上
massacre	大屠杀
topgallant	上桅
multiformity	多样性
fabricable	能加工成形
ddn	Network
swordbearer	执御剑的人
quadrate	长方骨
availability	可用性
unrwa	Relief
devotional	献身
loco	疯草病
grading	等级
pulmonic	有肺
decoct	熬
hematoblastic	血胚细胞
radiological	放射线学的
micah	弥迦书
acrodrome	脉向尖聚集的
glenoid	浅窝
byplay	配角戏
hipshot	股关节脱臼的
constant	持续
usrc	Corps
flameout	燃烧中断
daqing	大庆
awedness	充满敬畏
peddling	忙于琐事的
titleholder	冠军保持者
sncc	National
isostatic	均衡说
pantheress	雌豹
alder	桤木
uncatchable	捉摸不住的
snackery	快餐厅
enow	充分的
newspaperwoman	报社的女从业人员
scribble	滥写
summons	唤出
openwork	透孔织物
aconitic	附子
nllst	Technology
epeirogenesis	=epeirogeny
present	赠品
peel	剥
coronation	加冕礼
audiogram	听力敏度图
hydrophobia	恐水病
censurable	可非难
diplomapiece	会员资格作品
serjeant	陆战队士官之通称
tumbrel	二轮车
outflung	张开
triskele	=triskelion
pstn	public
spitball	小孩弄的唾液湿纸团
bibliographical	书籍解题
nix	不行!
steenbok	小岩羚
slack	松懈
veining	饰以脉纹
glycose	葡糖
ceroplastic	蜡塑术
whereabout	=whereabouts
fog	尘雾
raintight	不漏雨
noncellulosic	非纤维素的
semipostal	高价邮票
ames	test
runologist	如尼文字学家
glabella	印堂
jade	玉制的
councilman	议员
aborted	流产
falderal	廉价的装饰品
passively	顺从
circean	使人着迷的
validly	妥当地
nonpersistent	非持久的
nuciform	核子状的
vigorous	健壮的
coccyx	尾骨
subtle	狡猾的
imprest	预付的
shock	浓密的
citramontane	阿尔卑斯山北侧
windless	平稳
parcel	捆扎
sinople	赭石
exponible	可说明
rembrandtesque	伦勃朗风格的
phthisis	肺结核
mulatto	白黑混血儿
cruller	油煎饼的一种
fungi	似真菌的
contiguously	连续地
factum	自己的行为
chimera	羊身
extant	突出
pndb	noise
disappear	不见
ammoniated	与氨化合了
steam	蒸发
amblyoscope	弱视镜
asyndetic	使用散珠格
gothamite	蠢者
secessionism	分离主义
undersecretariat	副部长
woorali	=curare
exploder	放炮器
leachate	沥出物
hill	丘陵
touzle	=tousle
kibed	生冻疮的
garret	顶楼
humaneness	慈悲
frowst	不通气
asper	阿斯皮尔
phratry	氏族集团
brahmanic	婆罗门的
propagation	繁殖
rattlepated	头脑空虚
weatherstrip	挡风雨条
nietzschean	尼采哲学的研究家
wittiness	临机应变
lapse	失误
soar	昂扬
fittest	适当
bolter	筛面粉的机器
culch	废物
unsolvable	无法解释
inharmonious	不和睦
fixing	固定
belief	信心
suprathreshold	超阈值的
unsc	Security
cyanidation	氰化法
safeguard	捍卫
tutu	由腰部撑开的芭蕾舞用短裙
leakiness	易泄漏秘密
flyaway	海市蜃楼
hardener	硬化剂
running	赛跑
semipro	半职业性选手或运动员
suburbicarian	设在罗马近郊
hottest	热的
neutrino	微中子
pontificate	装作教皇的说话
intersex	阴阳人
whereunder	在其下
chronically	长期
rsj	Rolled
madagascar	马达加斯加岛
balzacian	巴尔扎克专家
colloidal	胶状
hexahedral	具有六面的
tsipouro	齐普罗酒
grimm	参见Grimm
bull	公牛
cyclopedia	百科全书
weatherability	抗风化力
dog	跟踪
sf	有力
cadmean	卡德摩斯式
fretted	腐蚀
semifarming	半畜牧业
equatorial	赤道的
derivable	可推论的
masterful	专横
roseal	玫瑰色
alyssum	香雪球
enterochromaffin	肠嗜铬细胞的
absolutization	绝对化
exoteric	公开
enervation	衰弱
panglossian	过分乐观者
biographically	传记体地
tortious	侵权行为性质
nuthin	=nothing
familarity	精通
unanimous	无异议的
scene	一场
share	参股
peltast	轻盾兵
