dover	多佛
distilment	蒸馏液
nigritude	黑
personality	名人
desolately	寂寞
gap	隔阂
gainings	收入
strove	strive的过去式
gasifiable	可气化
hermia	赫米厄
unabridged	完整
gullible	易受骗的
optoacoustic	光声的
scale	生水垢
lark	骑马玩乐
complexity	复杂
untread	退回
english	英格兰的
santalaceous	檀香科的
routinize	使惯例化
operational	操作的
strange	不惯
pompom	对空速射炮
acarpous	无果实的
peer	凝视
quenchable	可抑制的
occupational	占领的
rhabdocoele	单肠目涡虫
fieldfare	一种鸟
pedlary	破烂
illuvium	淀积层
mastership	主人身份
inextirpable	无法消灭的
regenerate	更新的
chemnitz	开姆尼斯
daughterly	女儿似的
jocularity	打趣
numbing	使麻木
foully	下流
morigeration	谄媚
subsonic	比音速稍慢的
deceitfully	骗人地
ghastfulness	恐怖
flanerie	无所事事
shelvy	渐渐倾斜的
imagination	空想
venation	脉络
autarchic	专制国家
sncc	Coordinating
alme	歌女
cry	哭
vibratory	振动性的
seigneur	诸侯
duff	虚饰以欺骗人
decamp	逃亡
floriated	花形
electropolar	电极化的
unhcr	联合国难民事务高级专员
stanton	斯坦顿
crusade	改革运动
parlement	最高法院
arborescent	树木状
hotfoot	恶作剧
telecopter	空中电视台
hessian	粗麻布
yapped	卷边装钉的
prebiotic	生命起源以前
pharmacological	药理学
unsocial	不合群
portray	描绘
instrumentally	有益地
guiana	圭亚那地区
talkativeness	饶舌
triploid	三倍体的
fightback	反攻
count	注意
waterman	船夫
diatomite	硅藻土
blabber	多嘴的人
cheops	基奥普斯
subfamily	亚科
dimorph	二形之一
infective	会传染
tintinnabular	丁当响的
amiably	和蔼可亲
gracefully	温文地
metapsychic	心理玄学的
pardonably	可宽恕
remontant	一季多次开花
multicenter	多通道
morphological	语形学的
siphonal	水管的
uprise	起义
ichorous	脓水
coacher	拉车的马
unvouched	未被证明的
outlive	比……长命
ideological	意识形态
logman	采运工
polymorphism	多态现象
ruthlessly	残忍
roman	罗马的
arthrodic	滑动关节的
worthless	无益
macrodont	巨牙的
mac	Access
eskimology	爱斯基摩学
collarband	领子
exploitability	可剥削性
temporality	暂时
noumenon	实体
chockablock	塞满
beachside	=beachfront
hugeness	巨大
captious	挑剔的
superbomber	超级轰炸机
biotype	生物型
pelter	大降
primiparous	初产
workaholic	工作第一的人
crayonist	蜡笔画家
amos	阿摩司书
direct	直接的
backwardation	交割延期费
dantist	但丁学者
superficies	表面现象
cayuse	印第安种的小马
ips	inches
churchillian	邱吉尔作风
fujitsu	全球最大的计算机公司之一
dilettantish	一知半解
outfit	机构
tactic	排列
pinup	钉在墙上的东西
kronos	克隆那斯
caducei	MERCURY的手杖
actualize	实施
imperviously	透不过
coralliferous	产珊瑚
eucalypti	桉树
choreology	舞谱学
udometric	以雨量计测定的
devouringly	贪婪地
archly	顽皮地
meclizine	=meclozine
constabular	警察的
criminative	使负罪的
mensurable	可测量
pronouncing	表示发音
gainings	利益
bestow	给予
lightpen	光笔
psychologic	心理上
tsangpo	River
goddamnit	天杀!
xerophytism	适旱性
potecary	药剂师
mitis	可锻铁
forecast	预测
smartweed	荨麻
mononucleate	单核
trouper	戏团演员
mode	时尚
gallantly	献殷勤
eyen	eye的复数
omnisexual	包括男性与女性的
realgar	雄黄
repleader	第二次申诉
kerr	克尔
misgive	疑虑
alternating	交互的
brilliantly	灿烂
deltoideus	muscle
trochal	轮状的
synod	大会
intercommunion	各教派间举行的圣餐
absorptiometer	吸收测定器
quaggy	泥泞
felloe	外轮
polling	投票表决
compassable	可完成的
ultrastable	超稳定
nettlesome	恼人
bierhaus	小酒店
natural	普通
sociocentric	群体中心论的
hexagram	六角星形
extractant	提炼物
grovy	树丛般的
secondhand	间接获
exlex	法律以外
stargazer	空想家
excremental	排泄物的
mortimer	莫蒂默
tanalized	用防腐剂处理过的
staminiferous	具雄蕊
diffidently	踌躇
chorioallantois	尿囊绒膜
adjt	adjutant
pygmyisn	像矮人的
judgement	看法
jell	成胶状
dentirostral	喙边有齿状突起
undefiled	洁净的
untapped	未使用的
irgb	强度红绿蓝编码
obstructive	阻碍的
fiduciary	受信托的
miami	迈阿密
ascap	Publishers
exorbitant	昂贵
dividual	分开的
rancorous	怀恶意的
clavus	垂直紫条
condescend	屈尊
ejectamenta	渣滓
tetraploid	四倍体的
satirist	讽刺作家
mellita	mellitum
ltjg	Junior
advisor	指导老师
karaite	圣经派信徒
alternately	交替
mental	智力
mesolithic	中石器时代
barranco	深峡谷
hematocyst	血囊肿
desecrate	把供俗用
geanticlinal	具地背斜
peach	桃子
through	直达地
intragenic	基因内的
dedicatory	献呈
smoketight	烟密的
eternal	永远
hygeia	司健康的女神
tintinnabular	铃
fictionalize	使小说化
electrotonic	电紧张的
overwrite	写在……上面
residue	残数
removable	可移动
westerveldite	砷钴镍铁矿
fullhearted	充满感情
relique	遗俗
phlebogram	静脉搏动描记图
dissatisfied	不满意的
bundle	捆
unpregnant	不恰当的
arterial	动脉的
temperately	节制地
brethren	弟兄们
introspectionism	内省论
rhizopus	根霉属菌
evulse	拉出
overcharge	超载
horselaugh	傻笑
refreshing	凉爽
general	概括
moderatorship	教政组织首脑的职权
event	结果
undisturbed	没受到干扰的
farinose	具粉
subclavian	锁骨下动脉的
oso	Solar
snaggletoothed	牙齿不齐的
orangey	=orangy
tundrite	硅钛铌铈矿
snack	一份
faulty	不完美的
impairer	伤害者
uncorrected	未订正
dogmatize	武断地提出
unwedded	没有结婚的
hyte	疯狂
inequivalve	两片壳不等瓣的
sialkot	锡亚尔科特
unmerciful	无情
triumphal	胜利
rebuttable	可反驳的
corpulency	肥胖
convention	惯例
repaint	重画
unforced	非被强迫的
seity	自我性
centering	定中心
synergetic	协作的
incapacious	狭小
inerrant	无误
postscript	附言
filiopietistic	过分表示孝敬
palship	友谊
become	变
oap	Age
pectoral	胸的
therapeusis	=therapeutics
faint	模糊
unsubmissive	不柔顺的
thrustful	有强大推进力
hetairism	=hetaerism
flexible	灵活的
passible	易动情的
expiator	偿罪者
anchorite	隐士
megavoltage	兆伏数
conscribe	征召入伍
abactinal	无触角
numhead	=numbhead
spindle	长得细长
wart	瘤
discursion	推论
stripfilm	片带
rimal	裂缝
fusicoccin	壳梭孢素
mitred	戴着主教冠
whomsoever	pro
casually	临时地
eutomous	有明显解理
synergetic	协同
circumgalactic	围绕星系的
plumage	鸟类羽毛
presswoman	女新闻工作者
divinization	偶像化
founderous	泥泞的
jarring	不和谐
teeming	丰富的
dissectional	剖析的
cathodal	阴极
centralized	集中的
matinee	妇女便装之一种
galley	军舰
nodulous	有小结节
eclecticism	折衷主义
impiety	不尊敬
toolshed	工具室
snopes	不择手段的商人
cnd	核裁军运动
acquiesce	默许
metoestrum	动情后期
superciliary	眉毛的
coma	昏迷
debridement	扩创术
alberich	尼伯龙之首领
pgdn	pagedown
floodtime	涨潮期间
featurish	像特写文章
sparing	节俭
symptom	征兆
brightness	亮度
titaniferous	含钛
lienable	可留置
clx	climax
some	大约
sedentary	不移栖的
stereotype	老套
uncreased	未起褶痕
dunghill	卑贱的地位
endergonic	吸能
fold	包
gillaroo	爱尔兰鲑
foamy	泡沫的
priam	普里阿摩斯
corresponsively	相当
achlorhydria	胃酸缺乏
meiosis	成熟分裂
gusset	甲胄
might	能
impalpably	难以理解地
unduly	不适当地
fjp	Federation
fucoxanthin	岩藻黄质
minitance	战斗
sulphurous	硫磺
tinnient	丁当响
factum	呈文
vulva	阴户
deadish	无生气
wareroom	商品展销室
smokeless	无烟的
mulierty	婚生
hypophysitis	下垂体炎
essayistic	小品的
areaway	通道
girly	合适少女
lodgeable	适合居住
reversely	反对地
belletrism	纯文学至上主义
sillily	糊涂
externe	=extern
froglet	幼蛙
copernican	哥白尼学说
caterwaul	发尖叫声
distribution	分发
fingerling	极小之物
susceptivity	敏感
programme	程序
nonrecurrent	不复发的
prentice	学徒
asternal	不连胸骨
humidifier	湿润器
shoofly	糖馅饼
oap	养老金
hognose	切削刃磨圆
kendal	肯德尔耳绿色粗呢
outback	内地的
inhibitory	抑制
sewing	裁缝
crop	农作物
reason	劝说
faro	一种纸牌游戏
unsaddle	解下马鞍
savoury	风味极佳的
ittf	International
nick	刻痕
eosinophil	嗜曙红细胞
ailment	不安
voyageable	能航海的
deacidify	降低……的酸度
fluidonics	流控技术
error	错误
pterylography	羽区研究
scrobiculate	具粒陷
floc	棉丛
suffer	经历
pnr	of
wave	飘动
sempervivum	长生花
thoroughpaced	十足
dalian	大连
extemporaneous	不用讲稿的
stenciller	刻模版工
underinflated	充气不足
rhyme	把……写成诗
gneissose	像片麻岩
septisyllable	七音节的词
worthful	宝贵
tope	翅鲨
clerihew	克莱里休4行打油诗
cyberculture	电脑化文明
adventureful	奇遇的
pillwort	美洲线叶苹
capable	有可能的
rebellion	叛乱
legged	有腿
libri	liber的复数
kayser	凯塞
leon	利昂
spectrotype	抗原谱
presurmise	预先推测
multiphoton	多光子
electropositive	金属
landwind	=land
ditto	很相似的东西
trunk	树干的
toronto	多伦多
capitalize	变成资本
decasyllabic	十音节的
basting	疏缝用线
hexadecimal	十六进制
squeg	作极不规则的振荡
infertile	贫瘠
atabal	铜鼓
saleable	=salable
ependymary	室管膜的
freemartin	和雄犊双生的雌犊
exclamatory	惊叹
pledge	保证
substitutional	代用的
ottava	=octave
documentary	纪录片
mendacious	说谎的
sweeping	广泛
unbutton	解开……的钮扣
remint	改铸
isauxesis	=isogony
deadish	无生气的
canvass	游说
borland	以开发计算机语言及软件开发工具而著称
revelatory	启示的
impenitent	顽固的
treacle	过分甜蜜的声调
sack	洗劫
spinate	有脊的
daily	每日的
petty	小器
hymenopterous	膜翅类的
stealthily	悄悄地
rainsquall	暴风雨
aid	资助
break	打破
gizmo	小发明
eisa	扩展工业标准结构
vagotropic	向迷走神经的
countercharge	反诉
drumlin	冰堆丘
cobweb	蜘蛛网
ingenuously	正直地
idiogram	染色体组型
sukhumi	苏呼米
ectoparasite	皮外寄生物
jaundiced	有偏见的
fellmonger	生毛褪毛商
footy	保管很差的
easygoing	逍遥自在的
entry	对房屋的侵入
fortune	命运
perennial	长期的
echovirus	virus艾柯病毒
register	记录
nonfarm	非农场
parochialism	狭隘
duff	半腐烂的落叶堆
sfx	cinematography
naughtily	顽皮
odonate	蜻蜓目昆虫
sdh	同步数字系列
felicitous	恰当的
eyesome	可爱
strigilation	刮身板的刮擦
cissoid	蔓叶线的
molise	莫利塞
teething	出牙期
zoomimic	模仿动物行动
nix	女水妖
scraggly	零乱的
indeterminate	不确
ducat	从前流通于欧洲各国的钱币达克特
hemic	血的
viewer	电视观众
hyperemia	=hyperaemia
klutz	傻瓜
northeasterner	住在东北部的人
catlike	偷偷摸摸的
misprise	轻视
frogface	蛙状面孔
crested	有纹章的
nephrotoxic	足以危害肾脏的
ontologist	存在论者
contravene	抵触
cotentin	Peninsula
thunderous	打雷的
silkaline	仿丝薄棉布
unsccur	the
ducky	极为愉快
elucidation	说明
crowded	塞满的
leaflike	成薄片的
sulk	愠怒的人
gonogenesis	精子发生
flivver	失败
puzzledom	困境
chapped	有裂痕的
stingy	缺乏
assr	Soviet
raffle	抽彩售货
monotechnic	单科的
vindicability	可证明性
glacieret	小冰河
homoscedastic	同方差的
householder	户主
conidial	无性孢子的
roily	搅乱的
proverbialist	使用谚语的人
kimberley	金伯利
extractor	抽出者
venin	蛇毒素
usable	可用
waterman	桨手
gigameter	百万公里
yield	生长
precessional	因岁差而导致
qarnns	Alexandra''s
lacustrian	湖
scarp	悬崖
referendary	谘询官
zoologic	动物学
underproduce	使生产供不应求
weanling	刚断奶的
megacity	大城市
credulously	轻信
comical	滑稽
rfe	Europe
subapostolic	十二门徒后的时期的
blastema	胚轴原
bps	比特/秒
plural	复数的
boatel	水上旅馆
ghastful	恐怖的
infamous	声名狼籍
gdi	图形设备接口
altho	纵使
causerie	文艺随笔
waveless	无波的
loosen	放松
untaa	United
phrenetic	狂热的
wont	使习惯于
phlogistic	炎症性
allosteric	变构
cheliceral	前肢之螯的
trinary	三倍的
stoutly	刚强地
chemigraphically	化学镌版术
simulacrum	模拟物
lengthen	延长
fecund	肥沃
aheap	堆积
quincuncial	五点梅花状排列
tetartohedral	具有四分之一结晶体对称面
duotone	两色网版的一种
expiration	终止
toast	烤火
deposable	可供证的
devouringly	贪婪
redoubted	可敬的
slade	Process
dobla	多卜拉
pia	Pakistan
chloroacetone	氯丙酮
tricklet	细流
potty	微不足道
eaux	eau
blatant	俗丽
rectificative	整流的
science	科学
hogskin	猪皮
orotund	夸大的
bustee	贫民窟
extraofficial	职务以外的
alphametic	字母算术
leachability	可滤取
affixation	加词缀法
infectious	有感染力的
denominational	使教疟鸬
counterpunch	迎击
cauliflower	花椰菜
flee	逃避
kermes	胭脂
graticule	格子线
sultriness	纵情声色
fall	变成
witted	智力……
infighting	混战
parenthetic	附加说明
softhearted	好心肠的
tan	日晒后的颜色
exasperating	激怒人
hwan	青紫色
conicity	锥形
cahoot	合谋
credibly	可信
groundout	被杀出局
jcl	作业控制语言
unaccustomed	不习惯
encampment	宿营
gapemouthed	张大嘴的
netcropper'	NULL)
whopping	非常
trustiness	可信任
flub	失策
diaplasis	复位
hoodlum	恶棍
sunward	朝着太阳
multiparous	非初产的
northwestern	来自西北的
hospitality	好客
downhearted	垂头丧气的
gesticulatory	做着手势的
terpsichorean	舞蹈家
precostal	肋前的
handle	口实
respirometric	呼吸运动的
saint	圣人
striking	罢工的
gwadar	瓜达尔
groundless	无根据的
playreader	剧本读评人
tocometer	=tocodynamometer
accentuate	着重强调
rosepoint	玫瑰花纹网地花边
affront	公开侮辱
muck	粪肥
esophagean	=esophageal
tan	棕褐色的
unreaped	没有收获的
lunate	半月形的
quadrinomial	四项的
gramma	=grama
jolo	霍洛岛
hetaerae	妾
udsl	单方向DSL
impotency	无力
parsimonious	节俭的
party	政党
equatorial	赤道
hematinic	补血的
owllight	微明
je	六月的简写
foreshow	预示
hectic	狂热的
evolution	发展
zincous	阳极的
colosseum	罗马圆形大剧场
eightieth	八十分之一
activist	行动主义分子
cluster	丛
vibratiuncle	轻微颤动
sprigtail	针尾鸭
alive	活着的
astir	活动的
abject	可怜的
erotological	色情文艺的
converge	集中于一点
factrix	女代理人
tricarpellary	三心皮
domainal	=domanial
liminary	开头的
foreseer	有先见之明的人
quick	核心
araeosystyle	对柱式的
nautilus	缸鱼
competent	胜任
hoppingly	卖力地
brutish	粗野
scourway	冲刷水道
halfway	部分的
explosibility	容易爆炸
gammon	腌
tumorous	肿胀的
equal	不相上下的
reestimate	重新估计
sanctification	神灵化
baldicoot	秃头之人
parade	阅兵
jillaroo	牧场女徒工
joisted	托梁
penetrative	渗透的
temperateness	节制
penetrameter	=penetrometer
antagonistic	反对
riskful	危险重重
honeybee	蜜蜂
floriferous	有花
guileless	坦率的
rudesby	粗人
sunfed	for
inquisitorial	严格审问的
refreshant	提神清凉饮料
eventless	平静的
lav	Light
ohmic	欧姆的
pyemic	脓血症的
legatine	具有使者职权
pwd	Department
telephone	电话
untold	未透露的
choledochostomy	总胆管造口术
strip	条
biker	骑摩托车的人
thistly	象蓟的
desiccator	使干燥的人
relation	关系
encore	经要求而再唱
compensate	付报酬
perennially	永久地
understrength	人员不足
fatigueless	不会疲劳
vesuvian	突然爆发的
mobese	职业罪犯的切口
sfa	Scottish
logic	逻辑性
lacerant	令人痛苦
extracondensed	特狭活体
ftp	Protocol
agreeable	使人愉快
trigram	三线形
flotant	空中飞翔的
hestia	赫斯提
nondollar	非美元的
fitter	适当
welsbach	burner韦耳斯拔煤气喷嘴
moonstruck	耽于幻想的
verderer	皇室护林官
unskillful	不灵巧的
yeuk	痒
sorceress	女魔法师
conventioner	与会者
reasoned	理由充分的
mesophile	=mesophilic
flyspeck	蝇粪留下的污点
dungy	肮脏的
barky	含有树皮的
trilemma	三难困难
avt	付加价值税
fleuret	小花形装饰
legalization	合法化
gable	尖顶屋两端的山形墙
chemotactically	趋药性地
creasy	有折痕
kneeboss	护膝
wsb	Wage
launcher	发射者
captainship	统率者的资格
wattle	编条
grape	葡萄
demeter	得墨忒耳
pet	宠爱的
extensible	可延长
corresponsive	反应
workable	可使用的
mishook	Ⅰ
effortful	需要努力
promptive	激起
flank	胁
libratory	保持平衡的
resection	切除术
towering	高耸
automatous	机械
gray	老
harquebusier	火绳枪兵
polyembryony	多胚
digitate	有指的
cohabitation	同居
benedictional	使人幸福
preatomic	原子弹使用前
disparlure	环氧十九烷
paleoclimatology	=palaeoclimatology
raised	发酵
unattended	未敷裹
gastrointestinal	胃与肠的
deponent	立誓词者
pyriform	梨形
undersexed	性能力弱
countryfolk	乡下人
root	使立定不动
marianao	马里亚瑙
demo	演示
colossal	庞大的
lameness	僵而疼痛的
premiership	总理
prima	第一的
impersonal	非个人
running	奔跑的
intercalary	插在中间的
mpls	Multiprotocol
obcordate	倒心形
viscoelasticity	黏弹性
fretted	附有弦马的
dispersibility	可分散性
morphophonemics	词素音位学
convulsively	痉挛性地
deed	行为
adoptive	收养关系
humorous	富幽默感的
usurious	进行高利剥削
setoff	衬托物
multihull	多船体船
etruscan	伊特鲁里亚
bobbly	圆块状的
abegging	无人问津
wise	知道
setdown	叱责
phallocrat	男权主义者
rondure	圆形物
felstone	霏细岩
unretarded	未被妨碍的
crumble	崩溃
nuchal	项
stabbing	刺穿的
reconcile	使和解
suitability	适宜性
jot	摘要记载下来
very	非常
unknit	解开
sesquioxide	三氧二某化合物
babbling	婴儿发出的咿哑声
conciliative	融和的
acronical	薄暮
biotical	关于生命的
fusion	熔化
infula	主教冠带
clubbable	适合俱乐部会员资格的
nisus	努力
maintainability	可维护性
implacable	不缓和的
snifty	卑视
conclusive	决定性的
circumference	周围
piccaninny	黑人的小孩
toolhead	刀夹
amygdale	杏仁孔
amendment	改善
misbegot	私生
puller	拉的人
bubble	幻想的计划
illusage	折磨
fudge	纸中另版插印记事
topmost	顶端
biogeocoenology	生物地理群落学
pediculus	虱
bloodsucker	水蛭
sumptuosity	奢侈品
muciferous	分泌黏液的
dreamy	空幻的
lao	老挝人的
ial	英特尔架构实验室
accessible	易受影响的
dagger	短剑
corolitic	树叶纹装饰
ue	America
promptive	激起的
relegation	驱逐
rayon	人造纤维
arithmetize	用算术算出
peritectoid	包析
osmoregulation	渗透调节
unmoved	无动于衷的
prognosticate	预言
brassard	臂章
streptococci	streptococcus
untasted	未体验过
harlot	妓女
wide	远离目标地
subeconomic	不经济
eupatrid	贵族
helium	氦
unstiffen	使不僵硬
preceptive	教训性
unashamed	不知耻的
mairie	市政厅
hermeneutics	解释学
egis	保护
encourage	鼓励
portulacaceous	半枝莲
follow	跟随
gushy	易动感情的
emissive	放射性的
masturbate	进行手淫
blastochyle	囊胚腔液
elongate	拉长
pathophysiology	病理生理学
safeguard	维护
hag	劈
fictitious	小说中的
corkage	拔瓶塞
raucously	沙哑地
pride	自尊
salic	撒利族的
rap	火箭助推炮弹
afterwar	战后的
uninspired	未赋予灵感
farthing	极少量
lobe	圆裂片
arsenious	含砷
ore	矿石
cagy	=cagey
multilist	多重表列
buttonless	没有钮扣
brutehood	野蛮
monition	忠告
severely	严格地
uppermost	最主要
chirurgery	外科
succursal	附属的
owing	未付
gibbet	绞刑架
telegu	=Telugu
arrowheaded	箭头形
mendicancy	托钵
elisor	行政官
underwrought	的过去式和过去分词
squall	暴风
stellate	星形的
inviolateness	未受侵犯
puky	令人恶心的
fluky	变化无常的
copier	复印机
unsolvable	不能溶解的
aluminosilicate	铝矽酸盐
leggy	腿过长的
bundook	来复枪
ailurophobia	对猫的极度厌恶
haematoblast	血小板
laxation	松懈
perennial	四季不断的
alcoran	古兰经
out	通过
unnoteworthy	不值得注意的
lampbrush	灯刷染色体
resting	休眠
riyadh	利雅得
skokiaan	非法酿造的威士忌酒
siena	锡耶纳
undirected	无收件人姓名的
pekingology	中国政策研究
mystification	弄不清楚
seriate	连续
morbid	病态的
umbelliferous	伞状花科的
cesium	铯
furcate	叉形的
inosculate	连接
turmeric	姜黄根
internuncial	中间人的
christmasy	有圣诞节气氛的
fruity	果味的
katzenjammer	沮丧
quixotic	狂想家的
klister	湿雪蜡
localizer	定位信标
cosmopolitism	大同思想
foldboater	折叠式舟艇驾驶者
aarnet	Australian
serious	严肃的
nightcap	睡前饮料
quadraphony	四声道立体声
disaffiliate	退出
microstomatous	小口的
halfway	在半途
cyprus	塞浦路斯
cedilla	变音符号
flexure	屈曲
apocalyptic	启示录
libelous	损害名誉
galbraithian	具有加尔布雷思学说特点的
transfiguration	变形
resplendent	华丽的
diverticulum	支囊
deflorate	过了开花期
cfs	per
spreathed	痛的
becharm	使迷醉
jacobus	一世时代的金币
pericardiac	心包的
hypertensive	高血压的
housecleaner	打扫房屋
squash	挤进
seafaring	航海事业
dictagraph	窃听器
crevice	裂缝
chatellany	职位或辖区
nosogenetic	发病原理的
letdown	减退
ferromagnesian	含有铁与镁
hexatone	六声音阶
unharmed	未受伤害
ghosty	鬼的
reptilia	爬虫类
pressural	机械压力的
browningesque	勃朗宁风格
ber	Encoding
mesenchymatous	间叶细胞样
exhibitionism	喜出风头癖
about	忙于
bag	袋子
bases	见base
interscholastic	学校间
alibi	犯罪现场
paramilitarism	准军国主义
etherealize	使脱俗
pyrogenic	火成
triboelectricity	摩擦电
canting	伪善的
deurbanize	非都市化
rheumatoid	风湿症的
crossable	可交配
chosen	choose的过去分词
homogenize	使均匀
ashy	灰烬的
assaultiveness	喜好攻击
exhaustibility	可竭尽性
electroengineering	电机工程
germinability	发芽性
chemism	化学机制
eldo	Launcher
dadaist	达达主义的艺术家
extraventricular	室外
matt	马特
intrazonal	隐域性的
apparition	离奇出现的东西
aca	Associate
withindoors	=indoors
nodular	小节的
fattypuff	一身肥肉的人
kindly	好意的
decenary	征收什一税
swingeing	猛烈
princess	公主
vaporise	=vaporize
streptococcic	链球菌的
strickle	刮型器
discrepancy	差异
jokingly	开玩笑地
trainload	列车载重
purin	咖啡碱
lingy	遍生石南的
anechoic	无反响
subah	=subahdar
journalism	新闻业
defendant	为自己辩护的
squinny	斜视
evolutive	演化的
unacquirable	学不到的
cankered	腐烂的
tectum	顶盖
led	Emitting
ratafee	果汁兴奋剂
unkink	松开
bisync	Binary
significant	有意义
eighteenth	第十八
overcharge	过重的负担
clepe	命名为
rail	铺铁轨
anonymous	匿名
bounteously	慷慨
optimize	使最优化
nephrotic	肾病
highflying	高飞的
absolutize	使……变成绝对
bedeswoman	女乞丐
discontentedly	不平
other	另外地
jadish	精疲力竭的
dunghill	堆肥
cockleboat	小舟
hipped	着迷的
aetiology	原因论
daleth	希伯来文字母第四个
xerothermic	适于干热环境的
tintinnabulous	=tintinnabular
linty	有棉毛
complacence	满足
monoculture	单作
recherche	罕有
atlantic	大西洋的
episcopacy	主教的职位
ineffectively	无用
flaccid	软弱的
tousle	搅乱
lancinating	刺痛
valetudinarian	9vAlItjU
dovish	稳健
timbal	铜鼓
sensitize	使具有感光性
msgm	in
rational	合理
shcherbakovite	硅铌钡钠石
felicitous	极为适当的
theocratic	神权
ritzy	豪华
shapoo	中亚细亚的山羊
nomad	流浪者
skinfold	皮肤褶
unsightly	难看的
headwork	脑力劳动
ccco	Committee
compellation	称呼他人姓名
carbonate	碳酸盐
recitative	叙述的
subsistent	存在
sedgeland	苔草地
uncopiable	无法模仿的
monophonic	单频道的
prop	螺旋桨
parachor	等张比容
weak	不牢固
fulvous	黄褐色
tonnage	排水量
mesocecum	盲肠系膜
madras	一种结实耐用的丝绸
dolorous	悲痛的
exonerate	证明无罪
susceptibility	感情
echelon	梯阵
shinkansen	新干线
admensuration	分配
hovertrain	气垫列车
eelgrass	鳗草
metaphorize	使用隐喻
gnawing	咬
jumper	跳跃者
drillship	钻探船
resist	抵抗
unbarbered	未剃须
enzootic	地方性动物病的
dryly	冷淡
volumenometer	体积计
drift	漂流
oculate	具单眼
unverbalized	未用言辞表达
dextrocular	右眼优于左眼的
gadgetry	小玩意
feb	二月
clamant	吵闹
tetrasyllabic	四音节的
bellow	吼叫
cystoscopy	膀胱镜检查
anastatic	锌版术的
unswerving	始终不渝
hereof	于此
sanguine	有望
appellant	上诉的
repair	修理
uninvoked	未被恳求的
pentose	戊糖
antependium	桌布
peculiarly	特有
hemicellulose	半纤维素
overhear	无意中听到
stp	Shielded
improver	改良物
unutterably	非言语所能表达地
resumptive	概括的
rhamnaceous	鼠李科
palmitic	采自棕榈
offal	头
comptometer	高速度计算机之一种
inobservant	不遵守
belibel	谗
squeal	激烈抗议
scut	可鄙的家伙
vaesite	方硫镍矿
whence	何处
elective	随意选择的
revokable	可取消的
livingness	鲜明
vitrifacture	玻璃制造
custom	承接定做活
dysprosium	镝
aerogram	航空邮件
omit	省略
reelingly	摇晃
instant	刻不容缓的
laniate	撕开
incept	接收
ululate	嚎
interlope	干涉他人之事
moravian	摩拉维亚教徒
soubriquet	浑名
merchant	店主
through	从头到尾
banister	栏杆的支柱
briery	多刺的
smd	Sacred
polyzoarium	苔藓虫的群体
lorrie	洛丽
substantive	有实质的
submerge	掩没
exaction	勒索
totally	完全地
kernel	核心
thecate	具鞘
tartar	鞑靼人
lauretta	劳蕾塔
imperfect	未完成
megavolt	兆伏
java	一种新型的计算机语言
truehearted	真挚
awing	飞翔地
animative	令人振奋
stoma	气孔
deterrable	可防止
tentaculiform	触手状
monocarp	一次结实植物
department	学部
biquadrate	双二次
deadman	木桩或水泥桩
carabid	步行虫
nyse	York
sanbornite	硅钡石
cock	阴茎
exegete	注释家
connatural	同性质
labouring	操劳
bland	刺激性少
sublunar	上
conscriptive	涉及征召或征用的
slide	滑
pro	正面地
gruel	使极度紧张
consumedly	大大
volubility	流利
sportscaster	担任比赛实况转播或说明的广播员
piercer	放卵管
hypopselaphesia	触觉减退
unswerving	坚定
bailey	城壁
spaceworthy	能作航天飞行
wheezy	气喘声的
touching	令人同情的
majagua	牙买加黄槿
ethnography	人种志
vasoconstrictor	血管收缩神经
rootle	搜索
callable	随时可偿还
familiarly	亲密地
metrication	施行公制度量衡
rio	de
bewigged	戴假发的
earthborn	地中长出的
aleuronic	糊粉
liquorice	由甘草根熬成的精
tumble	滚动
cdd	公共数字字典
dicer	帽子
website	WWW的站点
aquiline	弯曲
simple	率直
itt	Telephone
riproaring	喧嚣
skinny	小
doozy	非常显眼的
detension	松驰
renature	使复性
memorization	默记
catchall	包罗甚广的话
adventurously	爱冒险
resultingly	由于
branching	分歧
hyalinize	透明样化
hosiery	针织品
spiry	尖端
hydrotherapeutic	`haIdrEJ9Wer`pjU:tIk/
tempt	诱惑
fakement	蒙骗
ghyll	峡谷
waster	挥霍者
sourish	微酸的
tetrahydrofurfuryl	四氢化糠基
rhetorician	雄辩家
schottische	polka
appreciate	赏识
kopek	苏联的货币单位
gemini	双子座
unmercenary	不是仅仅为金钱的
motorcar	汽车
assure	断然地说
geminiflorous	二花合生
brahmanism	婆罗门教
hornlessness	无角
vicissitudinous	有变化的
bms	Black
namma	水井
sutural	缝口
windrow	干草列
polyzonal	多圈
expellant	排毒药
oxycalcium	由氧钙产生的
hydrophobe	狂犬病患者
psalter	圣诗集
eupatorium	泽兰属植物
laboratory	实验室
fractionary	分数
horopter	同视点
levallois	文化期
retrospectively	回顾地
dirty	弄脏
overemphasize	过分强调
semeiography	症状记录
necessitous	贫困的
cooperancy	合作
perishingly	厉害地
phthisic	痨
assibilate	使成咝擦音
louche	声名狼籍
lectorate	大学讲师教职
maine	缅因州
bathymetric	深测术的
tipi	=tepee
immigration	外来的移民
turbinate	鼻甲骨
asymptotic	渐近
fingerling	小东西
photronic	光电池的
aeolic	伊欧里斯人的
unfair	不公平的
wollongong	伍伦贡
essentic	表露感情
pedosphere	土界
vividness	活泼
underlease	转借
otb	offtrack
lumberjack	伐木工人
