sterling	标准纯银
poohed	疲倦的
hammer	锤打
crinite	有长软毛
photoflash	照相闪光灯的
neorealist	新实在论
errantry	游侠行为
titanic	四价钛的
organosilicon	有机硅的
push	推
feme	妇女
hyperphysically	超肉体
vomiturition	干呕
tot	总计
metrics	作诗法
pietism	假装虔诚
zurich	苏黎世
fantabulous	极出色的
chert	燧石
mildew	霉
redear	红耳鳞鳃太阳鱼
unqualified	不合格的
ctol	常规起落
unbarbered	未修面的
saucerize	对施碟形手术
impenetrability	深奥
incendive	引火的
telecommunication	电ion
posteriorly	其次地
shoresman	陆上业务人员
stylebook	样本
breaking	破坏
plumy	用羽毛装饰
matin	晨歌
fray	磨损处
gloat	心满意足
endothelioid	内皮状
unrwa	United
booking	预约
allocable	可拨出的
encapsule	做成囊状
ccpit	of
vizir	高官
myth	神话式的人物
vdc	Defence
alvan	阿尔万
funipendulous	悬在绳上
unrhymed	无韵
sepal	萼片
rageful	狂怒的
hepatogenous	由肝产生的
pharmacy	一批备用药品
apyretic	不发热
sparklingly	闪烁
constate	确定
ndea	Defense
guggenheim	fellowship
photoheliograph	太阳
brutality	野蛮的行为
cowhouse	牛房
expositive	评注
professorate	全体教授
diapsid	双窝型
indicatory	指示
ursine	熊
journal	杂志
cytokinin	细胞分裂素
rubrical	朱色
glycogenase	肝淀粉酵素
invocatory	祈愿
unbodied	无实体
oncornavirus	致肿瘤RNA病毒
nardoo	一种苹属植物
ictus	强音
am	是
fm	Micronesia
unific	倾向于联合的
chronically	慢性
chengchow	见Zhengzhou
above	上文的
quebracho	白坚木
perceptible	感觉得到的
stub	连根拔除
panurge	巴汝奇
kilderkin	小桶或其液量
repair	纠正
cameral	有关立法或司法机构之一院
lunisolar	日与月
wearily	无聊地
tamarugo	塔马鲁戈牧豆树
glossotomy	舌切开术
superacid	太酸
xl	特大号
terra	土
panic	惊慌
carport	车棚
repurchase	重新买
firstcomer	最先来者
viale	宽阔街道
altricial	晚成雏
noncommissioned	未经任命
tisiphone	底西福涅
polytheism	多神论
eidograph	缩放绘图仪
prolepsis	预期
radula	齿舌
ethnohistory	人种史学
stagnantly	萧条
deductible	可扣除的
qaranc	亚历山德拉王后皇家陆军护理队
agatize	使化成玛瑙
corroboration	使确实
dossy	好看的
traditionary	传统
chainless	无链的
interlocutory	中间的
possession	着迷
barolo	巴罗洛葡萄酒
authentically	真正
wad	以软物衬填
kroon	克鲁恩
elegantly	优致地
jib	船首三角帆
histiocytic	组织细胞
induce	导致
forgivable	可宽恕的
homochrome	=homochromatic
disenablement	使不能
delustering	去光法
undynamic	精力不够的
docile	驯良
fecit	……作
subzone	亚地区
maebashi	前桥
ticker	滴答响的东西
dud	无用
ataractic	镇静剂
polydirectional	多向性的
glaring	耀眼的
cogent	强有力
womanize	玩女人
excess	过度的
coprological	热衷于色情文学的
cruck	曲木
marburg	disease马尔堡病
basket	篮
simplicity	朴素
dravidic	=Dravidian
seggie	=seg
houseroom	家里的收容能量
roughwrought	经粗加工的
province	省
precipitate	使陷入
barefaced	公然的
electrohorticulture	电气化园艺
czechoslovak	捷克斯洛伐克人
cobwebby	蛛网似
stainless	纯洁
podsolization	=podzolization
postcranial	颅后的
wrapping	包装用
upland	山
destruct	故意或有计划的破坏
fourpenny	价值四便士之英国银币
gentleman	阁下
unsharp	不锐利
diabolic	残忍
conglutinant	粘合
explainable	可解说的
backhanded	反手拍击
jayhawking	盗窃
inequilaterally	不等边地
swansdown	天鹅的绒毛
presession	会议前
storiology	传说学
humorously	幽默
castalian	灵感源泉
defaecate	澄清
doorstep	门阶
spanker	疾走后桅纵帆
copperskin	美国印第安人
tab	短小突出部
quatercentenary	400周年纪念的
broking	掮客业
prevailing	占优势
provencal	普罗旺斯
fidelity	保真度
presurgical	手术前
anode	正极
antidromic	逆行
revolve	旋转
neurocirculatory	神经循环系统的
syllabize	分成各个音节
skylon	云霄塔
kogai	公害
aseismatic	耐震的
monosabio	斗牛士助手
ennyyee	倦怠
uneffectual	=ineffectual
stammer	结巴着说出
japanophile	亲日派
pathetically	哀婉动人
determinatum	受限定部分
ladykin	小女人
tess	泰丝
ymodem	一种文件传输协议
oxaloacetate	草酰乙酸盐
conquistador	征服者
impulsively	有推动力
retractor	牵引器
kebob	=kabob
articulatory	分节
gamester	赌棍
tunny	金枪鱼
festilogy	基督教会节日论文
ratheripe	早生
tog	给穿上
unvitiated	纯洁的
unretarded	未推迟
retinoscope	视网膜镜
running	赛跑的
edwin	男子名
erectly	直立地
gowster	吸大麻的人
nye	=nide
catch	捕捉
findable	可发现
blueprint	制成蓝图
isotherm	等温线
antennal	触角
propellant	推进
whiteout	因暴露于恶劣环境而引起的临时性失明
telephony	电话
