caudillismo	军事独裁者的统治
febrifuge	解热的
sex	男性或女性
pussyfooter	抱骑墙态度者
subliminal	下意识
superaddition	添加物
commissary	代表
deduction	扣除
gambado	乱跳
palatinate	palatine的职位
motley	穿染色衣
antimonial	锑的
gallize	加水和糖于……
iturup	=Etorofu
willinghearted	心甘情愿的
haulm	茎
retiring	退休的
gutty	胆大
roulette	轮盘赌
blae	深蓝色的
greensick	患萎黄病
uptown	住宅区
bichrome	双色
legioned	组成军团
irritative	刺激
pixie	小精灵
rhopalic	楔形诗的
smart	严厉地
ore	含有金属的岩石
begirt	被包围
fraudulency	欺诈
civicism	市政
leiotrichi	直发人种
propeller	推进物
personal	亲自的
erodent	腐蚀
sesquicentenary	=sesquicentennial
pungent	刺激性的
deromanticize	使非浪漫化
avatar	化身
yew	红豆杉
cowled	带头巾
gain	腰槽
calaboose	拘留所
eraser	尤指墨水消除剂
gaudiness	俗丽的美
moxibustion	艾灼
idioplasmatic	种质
prelection	讲课
strangeness	奇妙
feigned	伪装
chatoyance	闪猫光
preem	初演日
unweighted	未加权
plaintive	悲哀的
brisk	敏锐的
stodge	艰难地行走
sawbones	n医生
semitic	闪族的
shoshoni	=Shoshone
intrados	拱之下面
seagoing	适于远航的
triform	以三种形式存在
diffusive	散布性
palatably	美味地
threesome	三倍
endoparasite	体内寄生虫
time	时期
nongreen	不含叶绿素的
scholarly	学者风度的
attempt	尝试
columniation	列柱法
noncountry	不具备国家特征的国家
neuropterous	脉翅目的
ebullient	冒泡的
mamie	玛米
sneaksby	偷偷摸摸的人
stria	条纹
ccsa	公共控制交换设备
phosphureted	与磷化合的
romping	乱蹦乱闹的
rule	支配
hemofuscin	血棕色素
hypoxia	氧不足
nemertinean	纽虫
fixation	定影
waltz	华尔兹舞曲
classical	正统派的
caraqueno	加拉加斯人
singly	个别
mrbm	medium
malicious	恶毒
physical	自然
mammiform	乳头状的
outgush	喷出
truckman	卡车司机
take	抓
unimaginative	无趣的
organic	器官的
resting	静止的
vaccinotherapy	菌苗疗法
savoury	可口的
dress	童装
cuso	Services
bookstand	书摊
draggletail	遢女人
great	重大
recess	凹进处
antivivisection	反痘钐褰馄/物实验手术
acetophenetide	=acetophenetidin
opiophagy	吸食鸦片
ascogonial	产囊体
tenent	=tenet
megaparsec	百万秒差距
neurogenic	起源于神经组织的
calcific	钙化
obdurately	执拗地
mut	狗
bypath	小路
polloi	=hoi
err	犯错
nakedly	露出地
gooseberry	醋栗
insinuative	讽刺的
ex	无权得到
mischoice	不恰当的选择
murrhine	默勒石制
decrescendo	渐弱的
maidenish	似处女
strum	乱奏
reecho	再反回响
riba	Architects
antidepressant	抗抑郁剂
changjiang	长江
smtpd	邮件传输服务器软件
languidly	疲倦地
summary	摘要
unknown	未知
nominate	提名
disme	1角硬币
hogwild	疯狂
dapple	起斑纹
selves	自身
ruddleman	卖赤铁矿的人
risc	Instruction
latewood	=summerwood
sympatric	分布区重叠的
specky	有斑点
irradiant	灿烂
daf	Air
expedite	迅速的
ceasefire	停战
graduation	分等级
tenability	可保持的性质或状态
japonic	日语的
apprehensible	可理解的
nemertine	纽虫
triacetin	=acetin
flammability	可燃性
isogenic	同基因
ganov	扒手
steamboat	轮船
listenable	值得一听的
peremptorily	专横地
jacketing	上衣
cryptogram	密码
ctd	on
pastorate	牧师团
shalloon	斜纹里子布
kouros	青年雕像
rhizomatic	根茎
rebutment	举反证
anticoherer	反粘合器
conclusive	确实
impoliticly	不得当
wireless	无线的
kinemometer	流速计
wrangle	口角
clew	绕成线球
ichorous	脓水的
prosaically	散文式地
alleviative	减轻的
bromoform	三溴甲烷
pacificist	和平主义者
defiant	挑战
competency	资格
precedency	上席
erogenous	唤起情欲的
vine	蔓
antidrug	反对服用麻醉品
radicle	根
great	伟大的
lisbon	里斯本
brilliancy	光辉
richly	贵重
appropriable	可挪用的
clubman	交谊性俱乐部的会员
blackfin	黑鳍白鲑
unutterably	非言语所能表达
pyrogravure	烙画术
rampion	匍匐风铃草
banefully	致害
jibuti	=Djibouti
inferrible	可推断的
kbe	Commander
unequal	不平衡的
homolog	同族体
arrhythmically	没有节奏地
ah	啊
practicing	开业
phrenitis	横隔膜炎
megashear	巨横推断层
officinal	成药的
historied	史上所载
confoundedly	恼人
comradeliness	同志爱
chasten	磨炼
illusory	错觉的
antiperiodic	抗疟药
accusingly	责难地
zapu	Zimbabwe
tetrarch	一州的四分之一的领主
luxuriant	丰富
kibbitz	=kibitz
filling	填充
lapse	背离
plenteous	丰富的
quadricorn	有四个角的
synthetist	综合者
unitary	一元的
lighterage	驳运
billycock	低圆顶的毡帽
benactyzine	苯乃静
push	逼迫
neaped	搁浅的
branch	枝
spcc	Society
heterography	违反规则之拼法
magyar	马扎尔语
comonomer	共聚用单体
carload	车辆所载的货物
ovovitellin	卵黄磷蛋白
thud	砰地击中
unskillful	笨拙的
iridocapsulitis	虹膜晶状体囊炎
necrobacillosis	坏死菌病
crevasse	裂缝
flyway	候鸟迁徙所经的路径
fancydan	华而不实的运动员
gypsyhood	=Gypsydom
under	在……之内
afterhours	业余的
estimate	估价
nostradamus	占卜者
adiaphoretic	止汗的
inculcation	谆谆教诲
sley	筘座
tittlebat	刺鱼
abuttals	地界
shiny	擦亮的
saiva	湿婆教徒
labour	努力
astigmatoscope	散光检查器
burnisher	磨擦者
excuse	清借条
kwangchowan	广州湾
founder	倒塌
peptogen	助消化制剂
inductance	自感应
phenoxide	苯氧化物
eventually	最后
numberless	无号码的
overly	过度地
dahomey	达荷美共和国
lymphocyte	淋巴球
civil	公民的
honeymouthed	嘴甜
inaptly	笨拙地
hotch	坐立难安
buckboard	四轮马车的一种
peacekeeping	维护和平的
redissolve	再驱散
apparel	装饰
laudability	值得称赞
trowel	移植泥刀
flush	淹没
participancy	参与
brandied	加白兰地酒来调味的
fortunate	幸运
slp	社会劳工党
dolce	悦耳而柔和的记号
immanent	无所不在的
squamate	有鳞的
imperceptible	极细微的
dolce	温柔
idyl	田园诗
themselves	pro
unsc	Nations
athwartship	横过船
climactic	高潮的
wfdy	Youth世界民主青年联盟
flexuous	弯曲
demothball	解除的预备役状态
blindfold	眼罩
hydrometallurgical	湿法冶金学
colonialist	殖民主义者
gorge	塞饱
unharmed	未受伤害的
hardhearted	心肠硬
qanat	暗渠
simple	简易的
blagueur	吹牛者
cuirassier	穿着胸甲的骑兵
come	嗨!
try	考验
unemployable	不能受雇者
walkable	可以走去的
lardon	肥碱肉片
ungraceful	没有风度的
boughten	买来的
wise	博学的
heterogeneous	不同种类
feathered	像鸟般飞得快
sure	可靠的
indianness	印度安人的身份
toxicologist	毒物学者
oligophagous	寡食性的
fireballer	投快速球取胜的投手
hydrothermal	热液
bouncing	跳跃
millirad	毫拉德
remontant	一季多个花期的
superweak	超弱
consolatory	慰问的
asexual	无性的
utopia	理想的完美境界
pnr	point
wysiwyg	所见即所得
billingsgate	下流的
yeh	而且
liberian	利比里亚人的
radius	有效航程
appear	发表
unexcited	不激动
transmitter	让渡者
cladistics	遗传分类学
havelock	遮阳布
perfectionist	至善论者
neatness	干净
highbinding	欺骗行为
incognito	化名的
paramagnetism	顺磁性
astringently	收敛性地
parpen	穿墙石
prejob	就业前的
geotropism	屈地性
favourer	保护者
polite	有教养
manager	经理
butcher	屠户
sheepcot	羊圈
curator	监护人
laotian	老挝人的
rutland	拉特兰郡
periostracum	角质层
pony	每日摘要
mitomycin	丝裂霉素
fellate	吮吸口交
wimple	起涟漪
payslip	工资单
fattest	胖
tortive	扭曲的
loyalism	忠诚
lexical	词汇
lenticulated	小扁豆状的
capitoline	Jupiter神殿的
slopewash	斜坡冲刷
mathematical	数学的
ultrashort	极短
trivial	价值不高的
raec	Educational
damnification	损害
pouch	育儿袋
exoteric	通俗的
tass	Agency
morbid	恐怖
pyrrhonist	Pyrrho
meek	和缓的
mis	Information
optophone	光声机
superweapon	超级武器
aut	Association
earthward	向地面
ossifrage	鱼鹰
tricolor	三色
corban	对上帝之奉献
junky	无价值
muffle	包
microscale	微观大气现象
burglarproof	避盗
advocatory	拥护者的
airfreighter	运货飞机
bask	感到温暖
affected	假装
hierodeacon	身兼执事之僧侣
fiefdom	封
bathos	突降法
macrostomia	颊横裂
goniometrical	测角计的
arsis	强音部
resummons	再传唤
unary	一元
sneaker	运动鞋
quadrillion	千的五次方
hypochondriacal	过分担心自己健康
scs	水土保持局
detruncation	切
thrift	节约
gradus	韵律
congener	同种
desirably	愿望
yogism	瑜珈的教义
feracity	丰富
hatband	服丧时帽子上的黑带
grace	Grace
barebacked	无鞍
pansophism	万事通
aboil	沸腾的
oily	油腔滑调
butterfly	蝴蝶
vacancy	空
grysbok	羚羊之一种
siphonal	虹吸的
lamby	羔羊似
moxie	勇气
wga	Guild
arboricultural	培植树木的
haemolyze	使溶解
bisector	二等分线
ocd	民防局
poignant	刺激的、辛辣
citramontane	阿尔卑斯山北侧的
quaint	做得很精巧的
cpsu	Union
antarctic	南极地带的
awag	摇摆的
swabian	斯瓦比亚人
crystallize	明确
effusiveness	吐露
spumous	起泡沫的
siratro	大翼豆
fathom	长度单位
chaperon	女伴
former	样板
specialize	使专用于
oceanographic	海洋学的
woolenette	=woollenette
regular	规则
nitrification	硝化作用
lobulate	由小叶片组成
shapelessly	不成形
dockmaster	码头现场主任
demimonde	暗娼阶层
changeroom	更衣室
individualistic	个人主义
supine	仰卧的
dalailama	达赖喇嘛
frypan	pan
supplementation	补充
polt	阴谋
pugh	呸
fluorometric	使用荧光测定法
quickly	很快地
film	薄膜
pellucidly	易懂
anthropometer	人体测量器
squawkbox	扬声器
rhovyl	聚酰胺纤维
dinky	极小的
peritonealize	使腹膜化
conventionality	常规
tousle	弄乱
population	人口
subcompact	微型汽车
substation	变电站
indochina	印度支那
lighthearted	心情愉快
coliseum	大剧场
upton	厄普顿
crawler	爬行者
sensibly	明显
substantive	巨额
honorary	道义上的
obstruct	阻塞
hamose	具钩的
ddk	设备驱动程序开发包
awaken	醒来
coreper	常驻代表委员会
unhasty	不急躁
larky	爱闹玩
metalworking	金属工
freemasonic	互助团的
escapement	卡子
papyraceous	纸状的
eyeable	赏心悦目的
league	盟约
laddish	男孩
unset	未安装
sextillion	千的七乘方
sunnily	快活地
annuity	年金享受权
costful	昂贵的
eventless	平凡
rhapsodize	作狂想曲
antiglobulin	抗球蛋白
manicure	修剪
ridgetree	栋木
phaseout	分阶段
working	施工用
institution	公共机构
tindery	易燃的
verticil	轮生体
cistron	顺反子
septuple	七
tabularize	把列成表格
coalescence	合并
gouge	沟
hydraulician	水利工程师
engraver	雕刻师
interlaced	交织
movably	可动性
thuggish	杀人的
ruritanian	理想王国的
bierkeller	德国式小酒店
ophthalmic	眼科
calathus	古希腊水果篮花瓶式果篮
psychotherapeutics	精神疗法
meaty	肉
downright	明白的
freckly	多雀斑的
whithersoever	到任何地方
trustee	保管人
uncombed	未梳理过的
lavvy	厕所
coloury	色泽良好
canephorus	古希腊之顶篮少女
thetatron	θ收缩
japanese	日本人的
ironhanded	严厉的
sorta	可以说是
alluvia	的复数形式
syndactyl	并指
malaprop	用词错误可笑的
granivorous	食谷类
astrictive	使收缩的
indiaman	大商船
endogamy	同系交配
carlsruhe	=Karlsruhe
polymath	博学者
dentiform	齿形
ventriculogram	脑室造影照片
judiciable	应受审判的
hodographic	矢端曲线
fls	Linnean
posnet	金属器皿
summing	做加法
stoniness	一文不名
areopagy	古希腊的最高法院
embryonated	具胚的
computable	可计算
quotidian	日常
cephalitis	脑炎
cartographer	制图师
concoction	调合物
sonifer	=Sonifier
hepatitis	肝炎
dewlap	喉部之垂肉
reductive	还原的
varied	各式各样的
fibrillous	纤丝状的
parlor	业务室
exaggerated	夸张
anteriorly	先前地
miniaturize	使小型化
contract	契约
fenderbeam	护舷材
micrurgy	显微操纵
grizzly	呈灰色的
xenogeny	=xenogenesis
stabling	马厩
tremulously	发抖地
substantive	名词
disedge	除去……之锋刃
allomerism	异体同晶
postpose	用在后面的
disparaging	毁谤的
hypercorrection	矫枉过正
erstwhile	以前
guido	导航控制中心负责人
philatelic	集邮癖
immunotherapy	免疫疗法
clouted	凝固
campfire	营火
core	中心
avascular	无血管
vetchling	连理草
boundlessly	无限
worthy	杰出人物
ourself	自己
talcous	滑石
feveret	轻度发烧
nervy	冷静
montane	山区的
wonderworld	=wonderland
nickelic	含镍的
fluey	绒毛似的
vain	空虚的
ravage	破坏
gorgy	多峡
pyrosis	胃灼热
sidetrack	次要地位
agglutinative	胶合性的
renogram	肾探测图
hylozoism	万物有生命论
mesenchymatous	间叶细胞
recess	休假
visually	真实
batrachoid	似蛙的
unpeaceful	不平静的
avernus	阿佛纳斯
septate	被隔膜分开
succotash	豆煮玉米
permissibility	容许性
stannary	锡矿山
eudiometric	空气纯度测定管
briskly	精神勃勃地
smear	涂上
division	分开
sins	船舶惯性导航系统
limited	缺乏创见的
israelitish	犹太人的
horological	钟表术
superincumbent	在上面的
touch	达到
kindly	亲切地
sanitarian	保健专家
crossed	十字
lar	家庭守护神
refractory	难控制的
yellowbird	黄雀
caravansary	商队旅馆
impiously	不虔诚
extroversion	外倾
spur	驱策
parergon	第二职业
chemotropism	向药性
iatrochemically	化学疗法
una	巫娜
satellite	人造卫星
tumorous	浮夸的
jackass	愚人
pesky	麻烦
initialize	初始化
galvanometer	检流计
uncultured	未开垦
autosomal	正染色体
doxy	淫妇
ally	与……有关联
beforehand	预先
firry	冷杉木制的
amnestic	=amnesiac
fatuous	昏庸
halloween	万圣节前夕
thalamus	丘脑
goddam	讨厌
magellanic	麦哲伦的
unrounded	不圆唇
drivel	胡言乱语
primiparity	初产
congruous	符合
nonproliferation	防扩散
ichthyophagist	食鱼的人
aback	向后
swivet	极度的激动
ball	球状物
egomania	极端利己
amdg	gloriam
bullhorn	手提式扩音器
maytide	五月时节
headwork	劳心的工作
archaise	=archaize
operatic	歌剧风格
eely	滑头滑脑的
cultch	贝壳屑
soln	solution
meandrine	多纡曲
edge	开刃
antipathic	不相容的
hearth	家庭
racquet	球拍型雪鞋
incommutable	不能交换
aestivation	度夏
alternant	交替的
pdsa	Sick
solutizer	硫醇溶解加速剂
delegate	代表
zs	Zoological
flotage	浮力
quadrilingual	四国语言
incendiary	纵火
antemundane	世界形成以前
torpefy	使迟钝
bilsted	胶皮糖香树
intentional	有意图的
bojardo	Maria
roesti	瑞士式炸土豆
level	标准
emparadise	=imparadise
knobbly	有节的
farming	农业
ruth	怜悯
cardiotachometer	心率计
probenecid	羧苯磺丙胺
flocculent	柔毛状的
gorge	暴食
adversely	逆地
elementary	基本
cleverly	灵明地
unnoted	无价值
uncharming	使人不愉快
saltimbanque	骗子
largo	缓慢
pinnatifid	羽状半裂的
pedagogic	教育学
decimally	用小数
zecchino	古金币
malcontent	不满的
bemegride	美解眠
paragraph	节
emarcid	凋谢的
cellularized	分裂为很多细胞的
infant	幼儿
ganglionic	神经节的
ratton	老鼠
impregnation	注入
thinnest	薄的
ratoon	长出截根苗
elvan	淡英斑岩
dankish	潮湿的
evangelic	福音传道的
hexapodous	具六足
tensity	紧张度
technism	=technicism
masonwork	砖石建筑物
prepunch	预先在……上打孔
fluvioglacial	河冰生成
telesport	瞬间移动
resolvent	使溶解
scoriaceous	烧石
decennary	十年
ergophobia	工作恐怖
swept	sweep的过去式和过去分词
paludism	疟疾
plashy	湿
refreshing	使人喜欢
pickin	小孩
craniometrical	头盖测量的
evangelism	福音传道者的工作
ontogenetic	个体发育
supernatural	不可思议的事
homoplastic	同形
nephridial	肾管的
nonnutritively	与营养无关
streetward	向街
germanist	德语专家
sexennial	持续六年
synovial	含有滑液
voltammetry	伏安法
heyday	喜悦、惊奇时所发声音
draconic	古代执政官的
commissary	物资供应所
emmer	二粒小麦
meniscus	新月
humble	谦逊的
constant	持续的
succose	多汁
grammarian	文法学者
samely	无变化
slugfest	激烈的殴斗
rhadamanthus	拉达曼提斯铁面无私的法官
participial	分词的
yeggman	恶棍
compunctious	惭愧
pileorhiza	根冠
girasole	青蛋白石
unforced	不费力的
tig	拍着
approvingly	满意地
wifeless	无妻
arroba	阿罗瓦
gnarled	多瘤
kaffiyeh	头巾
visualiser	=visualizer
takeoff	开始
inexcusable	没法辩解的
sauropod	蜥脚类动物
pfc	class
illuminant	发光
ern	白尾海雕
nab	捉住
assentor	同意者
perfoliate	贯穿性的
foliiform	叶状
gandhian	甘
longbill	长嘴的鸟
quadriform	有四种形态的
masterate	硕士学位
unseaworthy	不适于航海
consult	商量
agrologic	农业土壤学的
following	其次的
faulty	不完善
smoking	冒烟
canis	犬属
enervation	虚弱
anticathode	对阴极
barren	无聊
inapprehension	不可解
bogeyman	可怕的人或物
nitrobacteria	硝化细菌
priestly	僧侣似
clearinghouse	票据交换所
enshroud	隐蔽
medium	中等的
unprofessional	外行
ethnomusicological	人种音乐学/y/`eWnEJ9mjU:zI`zIkE`lCdVIkLl/ad音乐学地
coverall	无所不包
perchromate	过铬酸盐
bgp	Gateway
waiver	弃权
orach	=orache
obsession	迷住
laudator	赞美者
trump	吹喇叭
leninist	列宁主义者
predicatively	断然
hjs	hic
colicweed	荷包牡丹
uneducated	没有受过教育的
unassuming	谦逊的
neurone	神经元
additional	额外
petrifactive	造成石化的
gassy	夸夸其谈
uncle	姨丈
trimness	整齐
subungulate	次有蹄类
communicative	畅谈
fly	溃逃
saucerman	乘坐飞碟的外星人
wise	聪明
academicals	大学制服
fissionable	可引起核分裂
octosyllabic	八音节的诗句
bilsted	北美枫香树
consequent	随之发生的
teleplay	电视剧
reredos	祭坛背后有装饰的屏风
monomania	偏执狂
texian	=Texan
gruff	粗哑的
condemnatory	非难的
cinquecentist	作家或诗人
cockish	自负的
widespread	分布广泛
petrifaction	化石
subtropical	亚热带
sprawl	蔓延
sext	第六时祷告仪式
disenroll	除名
diecious	=dioecious
pantun	隔行同韵马来诗体
bloom	旺盛
transfluent	越流的
mediatress	mediator的女性
parabolic	寓言似
at	奥地利
tell	讲的事
reductivism	极少艺术
mild	温和
carefulness	仔细
monetarily	在货币问题上
simplehearted	天真无邪的
oversailing	挑出的
swoop	飞扑
damnatory	该死
spectacled	戴了眼镜
icky	粘得讨厌的
vernal	春天的
checkage	核对
hilly	多小山
bahamian	巴哈马人
labour	劳力
inp	International
planula	浮浪幼体
flightily	轻浮
say	背诵
endostosis	软骨骨化
innerspring	内装弹簧的
yellowbill	黄嘴鹃
episcopacy	主教制度
cumbersome	麻烦的
reduce	还原
abbreviative	缩写的
impress	留下印象
laicize	摆脱宗教色彩
strongbox	保险箱
onrush	洪流
wizardly	神汉
path	轨道
completely	完全地
regionalization	分成地区
megabuck	一百万美金
lingala	林加拉语的
unrelenting	冷酷的
starveling	饿瘦了
basque	巴斯克人
allotrope	同素异形体
gorblimey	竟有这等事
benthoal	海底
campanologist	鸣钟术专家
ruby	红宝石
chaw	咀嚼物
fetoscope	胎儿镜
repower	重新提供动力
xciii	罗马数字
courageously	勇敢地
sulphamate	氨基磺酸盐
suspensible	可悬浮
homograph	同形异义字
pluralistic	兼管数个教堂的
pleonasm	烦冗
preoption	优先选择权
disentrance	使清醒
orthodox	保守
add	添加
assignment	分配
whin	棘豆
comicality	滑稽性
dignify	使高贵
bogle	妖怪
unashamed	不害羞
allopelagic	生于不同深度的
archetypal	原型
systematization	系统化
deflation	通货紧缩
flex	松紧带
arid	干旱
suffixation	加后缀
heavenly	极优美
folkloric	民俗的
pinnated	羽状
debe	罐头
bactericide	杀菌剂
labour	与工党有关
tensometer	=tensiometer
style	使合潮流
trick	恶作剧
apolaustic	放纵的
prophetic	预言的
established	确定的
expressive	富于表情的
tall	高
constantly	不变
basan	栎鞣羊皮革
assheaded	笨蛋
meow	猫叫
oak	橡木
smallpox	天花
cca	通用通信适配器
demurely	装成端庄地
weftwise	纬向地
ruefully	可怜
zenophobia	=xenophobia
taking	迷人
beryllium	铍
haemic	血
stateless	没有国家的
protonation	加质子作用
laniard	=lanyard
relucent	明亮
lewis	Lewis
reliable	可信赖
calabar	西伯利亚之松鼠皮
oloroso	西班牙甜雪利酒
performance	表演
stanvac	Vacuum
maidhood	=maidenhood
coversed	余矢
coloured	有彩色的
semiscientific	不十分科学化
fib	无伤大雅的谎言
inessive	指示地点的
possession	拥有
remanet	残存
undefended	无辩护人的
republican	有关共和的
blustering	狂暴的
sogat	Allied
flsa	Fair
fretwork	浮雕细工
immune	免疫的
tartrate	酒石酸盐
wwf	世界摔跤联合会
hexahydric	六元的
conventionalise	传统主义
outstep	走过头
excremental	粪便的
smart	时髦地
infaust	不吉
fossilate	使僵化
pots	Old
suspectable	可疑的
distress	悲痛
repolish	再润饰
bantu	班图语
antielectron	正子
mammary	乳房
call	认为
vagarious	越出常规
bloodily	血迹斑斑
quadrasonics	=quadraphonics
gyrose	波状的
doll	洋娃娃
unenlightened	落后的
suriname	=Surinam
another	不同的
odic	颂诗
peroxisome	过氧物酶体
vitrectomy	玻璃体切除术
phytopathogene	植物病原体
debug	调试工具
foreseeingly	深谋远虑地
slog	艰难行进
admiral	舰队司令
butyl	丁基
disappointing	令人失望的
sebaceous	脂肪分泌的
duke	公爵
uncertainty	半信半疑
hairpin	发夹
regress	使倒退
medic	医师
jingoist	侵略主义者
aphorism	警语
infamous	声名狼籍的
tentative	尝试的
occident	欧美
phenocopy	拟表型
scandic	钪的
organophosphorous	9R:^EnEJ`fCsffLrEs/
intragroup	社会团体内部的
enduringly	耐久
ticklish	易痒
unprescribed	自由
reserve	储备
abustle	忙碌
retarded	发展迟缓
metz	梅斯
kionectomy	悬雍垂切除术
prowler	徘徊者
ingenious	有独创性
paralyse	使无助
dissolute	放荡
overearnest	过于认真
concupiscent	沉迷情欲
shoreless	没有陆
adenoids	腺状肿大
partite	深裂的
object	提出……来反对
retransfer	再转移
agonize	感到极度痛苦
canalicular	似微管
eld	古代
exemplarily	作为模范
machair	沿岸沙质低
natural	关于自然界的
shandong	山东
syriac	叙利亚语
synchronal	同步的
fuliginous	烟垢
slim	减肥
ageing	成熟
hankou	汉口
ascensionist	上升者
thermotropic	向热
unscientific	不科学的
spark	火星
vapor	自夸
indwelling	存于内心中
sear	烤焦的
unashamed	不知耻
triaxial	空间
collop	小肉片
turkeytrot	火鸡舞
sessional	开会的
benthal	海底的
chanceless	无接球机会
hellebore	菟葵
imperfection	不完整性
alienism	精神病学
stumble	蹒跚
athermancy	不透热
serigraphic	绢网印花的
aheap	堆积地
igbo	伊博人
lease	租出
comicality	诙谐的事
decidual	蜕膜
bioflavonoid	生物类黄酮
hymeneal	婚姻的
rear	背面的
bookmobile	流动图书馆
shit	粪
bracket	括在一起
symptomatic	有症状
ostium	门口
diamondback	菱形斑纹
narrow	变窄
cyproheptadine	赛庚啶
snowmelt	融雪水
inferior	次
lamentoso	哀怨地
transpose	颠倒顺序
tough	坚持
neosalvarsan	九一四
etypic	由某种形态转变的
inlet	入口
tenpenny	十便士的
learning	知识
axenic	无菌的
noseless	无喷嘴的
eutherian	真哺乳亚纲
indentureship	学徒契约期间
overdesign	超安全标准设计
baae	航空与航天工程学士
educatory	教育的
wallwasher	墙照明装置
psychoenergetic	精神能dVetIks/
feat	漂亮的
jew	犹太人
illimitable	无限的
distance	远景
thresh	翻滚
lightsome	轻快的
hydria	提水罐
semimythical	半神话的
crake	秧鸡般叫
fellow	伙伴
device	安装设备驱动程序
excogitate	发明
bather	浴疗者
vraic	海草灰肥料
zip	拉开或拉上
aps	美国物理协会
sas	英国空军特别部队
banditi	强盗
javaite	爪哇熔融石
transvestism	异性装扮癖
improperly	不正确地
lazar	麻风病患者
abstruseness	难解
roughage	粗糙的原料
termagancy	脾气不好
pungent	苦痛
photoinduced	光感应的
teardrop	泪珠
magnetofluidmechanic	[用作单
scorekeeper	记分员
yezo	虾夷(日本北部大岛北海道
bacterial	细菌的
mignonne	小巧玲珑
protonotary	首席书记官
unprevailing	无影响
drillmaster	教官
altisonant	冠冕堂皇
preconceive	预想
maladaptive	适应不良的
fishing	捕鱼
toedrop	趾下垂
semicomatose	轻昏迷
conceptism	格言派
nomocracy	依法成立的政府
whirl	急动
symphony	交响曲
unshapely	丑怪
repairman	修理工
venereal	性交
flavourful	有香味的
great	伟大
degerm	除去……的核或仁
adoringly	敬慕地
anisodont	牙齿高低不齐的
stubbed	株状
multiphoton	多光子的
accessorius	副腺
upsweep	活泼化
tamperproof	可防止乱摆弄
warrantee	被保证人
didymous	双胎的
far	久远
bequest	遗产
waffie	漂泊者
position	形势
diseconomy	经营管理失当
engineer	工兵
ole	Embedding
unobstructed	畅通无阻
syngas	合成气
manna	精神食粮
trippy	由致幻药引起幻觉的
negatively	消极
unreversed	非倒转的
antimonarchist	反对君主制度者
goosey	呆子
byzantium	拜占庭
sure	对……
arthrodial	摩动关节
fingerparted	如手指状辐射的
clonal	无性系般的
langoustine	海螯虾
cretinoid	矮呆病样
wide	广阔
proximal	最接近
peopleless	无人的
become	适合
unrope	解绳放开
huffish	不高兴的
squinny	使斜视
inductee	应召入伍的士兵
poignant	令人痛苦的
autocratic	独裁的
peacemaker	和事佬
dihydric	二羟基
warrior	战士
gently	逐渐地
pastorale	牧歌式歌剧
identically	相等地
unflaggingly	不衰
for	至于
inquest	审讯
fluerics	=fluidics
sequential	有继的
gesticulate	用手势谈话
horehound	苦薄荷
lillian	莉莲
solarise	=solarize
hibernant	冬眠的
allround	多方面
prepensely	故意
checkroom	衣帽寄放处
wry	歪斜
triturator	捣碎机
bisque	浓汤
ergosome	多核糖体
xeromorph	旱生型
fitfully	断断续续
infanticidal	杀婴儿
flit	掠过
stripper	剥离器
changeless	稳定的
convert	使转变
aiff	Interchange
machiavellian	马基雅弗利
bughouse	发狂
metonymic	换喻的
fungistatic	抑制真菌的
lifo	first
ectotrophic	体外营养
hexode	六极管
oos	Stock
prelatic	主教制的
deoxidant	除氧剂
tamandua	小食蚁兽
bisector	平分线
thievish	象窃贼
roquet	用自己的球碰击对手的球
rasorial	抓地觅食
iconodule	崇拜偶像者
aftertime	后世
primary	初级的
covenantor	契约之授方
euclidian	欧几里得几何学
crackbrained	精神错乱
tolstoyan	托尔斯泰的
urbanization	都市化
governessy	一本正经
ashur	阿舒尔
italianism	意大利的爱好
malic	由苹果取得的
unsocial	非社会
superfoetation	=superfetation
turmeric	姜黄
subhumid	半湿润气候的
pekin	北京鸭
sweltering	酷热
mythical	虚构
aerotropic	向气性
baron	男爵
immediate	直接
pretty	优美的
atmolyzer	微孔分气器
dexiotropic	向右的
proclamatory	公告的
unlistening	不敏感的
hexachloride	六氯化合物
truest	真
obeisance	敬礼
ashpan	炉火盘
redowa	雷多瓦舞
plp	Labour
dowd	邋遢的人
suspectable	值得怀疑
transpositive	互换位置的
argumentive	=argumentative
entrain	使空气以气泡状存在于混凝土中
gnomology	格言集
monocular	单目镜
maugre	不管
taligrade	行走时重量落在足外侧的
beefburger	德式牛排
vaginismus	阴道痉挛
ahemeral	不足一天
genevieve	吉纳维芙
fielding	守备
statistic	统计量
mince	切碎
appendicitis	盲肠炎
fleecy	以羊毛盖上
dung	施粪肥于
uncomforting	不舒适
gazoomph	=gazump
mending	修补工作
pectin	胶质
unshrinking	坚定的
sum	总数
niobous	亚铌的
thews	筋力
goggle	睁眼
mend	改正
complice	同伙
hemochromogen	血色本质
wise	贤明
underplay	表演不充分
extort	敲诈
ambisyllabic	属二音节
ceuca	and
extra	特大
ucky	脏兮兮
patagonian	南美南端地方的
boring	钻
asphyxy	窒息
exoteric	外界的
lush	繁荣
exultancy	大喜
circumspective	慎重的
arrogantly	自大地
indiscernible	难识别的
alba	Alvarez
emergent	浮现的
potestas	字母的音值
most	最多的
somatopleure	胚体壁
uncertainty	无常
aborative	精心
semiautomated	半自动的
waspish	尖刻
shipment	出货
bosom	怀抱
usa	美国
