vacuome	液泡系
fatigueless	不会疲劳的
serous	含浆液的
lather	涂以肥皂泡
sel	=self
arabian	阿拉伯人的
pestle	用杵捣
dynameter	倍率计
hedgepig	环形筑垒阵
prepared	精制的
fastish	有些放荡
accord	协定
pdq	马上
provisional	临时的
defeminize	使去女性化
assumed	假装的
lutetian	巴黎的
pluteus	长腕幼虫
ahead	向前
underdo	使做得不够
plethoric	多血症
actionability	可控诉的情形
cloud	烟云
mumm	=mum
unfeigned	真实
typically	作为特色
medicable	可治疗
fortnightly	隔周发行的
railwayed	有铁路的
hieratic	僧侣用的
fetichist	盲目崇拜者
viticulture	葡萄栽培
vulcanic	硫化
frumpy	心地不良的
hippus	虹膜痉挛
resite	给……择新址
most	极其
hunter	猎人
superheterodyne	超屯獠钍绞找艋
nicish	精密的
polyspermous	多种子的
forgivingly	宽大
dress	穿衣
commove	使动摇
argonautic	号远征的
actinolite	阳起石
uniparous	每次只产一卵的
hyperphysical	与肉体分开的
mercantilism	商人本性
dispersion	差量
hypnotize	施催眠术
asturian	阿斯图里亚斯人的
giardiasis	贾第鞭毛虫病
unsubmissive	坚强不屈
leprous	患麻疯病的
deodorizer	除臭剂
hysterics	歇斯底里症的发作
anglophobia	恐英病
reinsertion	再插入
palmatifid	掌状半裂的
tenpence	十便士
msha	Hospital
purr	咕噜咕噜声
interbedded	夹层之间的
loose	自由
pachinko	弹球盘
homopause	均质层顶
raggie	非常亲密的朋友
wreathe	环绕盘旋
euxenite	黑稀金矿
yammer	叹息
uneducated	无知
candela	小雪茄烟的
permeate	充满
fluid	不固定的
ridicule	嘲笑
abrader	研磨器
peg	Peg
quintuplicate	五倍的
didy	尿布
grain	谷粒
deformable	可变形
enteroptosis	肠下垂
hopping	忙碌的
corticate	有树皮的
pigfish	鸡鱼科的小鱼
nationalism	民族之特性
vindicative	惩罚的
downswing	下降趋势
fibroid	纤维瘤
lighting	舞台灯光
highly	高地
alternately	交替地
husky	像谷的
underserved	服务水平低下
parcae	命运三女神
verve	神韵
whys	原因
stateside	美国本土
philanthropize	慈善地对待
moocher	鬼头鬼脑的人
drinking	喝
peacebreaking	扰乱治安
shad	西鲱
allantoid	尿囊样的
quadrillionth	千万亿分之一的
hoot	猫头鹰叫
niggard	吝啬的
cruelly	残酷地
literality	直译
directtissima	直接攻击
polder	开拓地
sootlike	似煤炱的
availability	实用性
loun	笨人
demotics	社会学
nodus	结节
haplont	单倍体
sonarman	海军声纳兵
uncreolized	未克里奥尔化的
formulable	可用公式表示
farfal	=farfel
parti	理想配偶
finitary	有限性的
exiled	放逐
unparalleled	无比
eva	舱外活动
linoleate	亚油酸盐
fireless	没有火焰
tax	使负重担
ravel	错综复杂的一团
dispassionately	不动感情地
calumet	和平的象征
olympiad	四年周期
cornucopian	丰饶
piratical	剽窃
acuate	锐利
treat	作东
gyrectomy	脑回切除
boisterous	狂暴的
sneeshing	鼻烟
horseless	无马的
uncarpeted	未铺地毯
panouchi	=panocha
monochromatic	单色
crossbreed	异种交配
deodand	赎罪奉献物
ingenerate	内在
whoopee	欢庆
consolidate	巩固
toothsome	好看
deviltry	残暴
twybill	=twibil
intertangle	使纠缠
foreclose	阻止
sickee	精神病患者
nephrocardiac	肾脏和心脏的
anaesthetization	麻痹
goethean	歌德的崇拜者
tipsy	喝醉
impractical	昧于实际
zaikai	商界
keystone	基本原理
struggling	努力的
score	抓痕
arbitrational	关于仲裁的
gaily	欢乐地
essentialist	基本教育说
upturned	朝上的
puzzling	使莫明其妙
iaaf	Athletic
valetudinarian	dI`IEn/
untamed	不能抑制
detritivorous	食粪
abirritation	镇痛作用
gast	使惊讶
filmstrip	电影胶片
gpd	day
meticulous	小心翼翼的
early	早期的
adriatic	亚得里亚海沿岸居民
anuclear	无细胞核的
upheave	隆起
epigeal	浅水生长的
treadboard	踏板
imperfectly	没完
incivilization	野蛮
unfelt	不感动
debasement	改造
intromittent	插入
cub	幼兽
azide	叠氮化物
pretonic	重读音节前的音节的
marsh	沼泽
infinite	无穷
withal	又
tristesse	悲哀
vocable	词外壳
egypt	埃及
drear	阴沉
motley	混杂的
combatant	战斗
sylvics	=silvics
heteroploid	非整倍体的
norsk	挪威人
scrubby	树丛繁盛的
clatter	喧闹的谈笑
butut	布图
larker	嬉戏者
confucian	儒家
unsoldierly	不像军人的
yager	狙击兵
rhodamine	若丹明
capitalintensive	资本集约的
locksmithing	锁匠行业
abrase	磨损
garment	衣服
whorl	轮生体
stupefactive	使失去知觉的
unkindly	不亲切
totem	标识
venturesomely	卤莽
deuteronomic	申命记
ocso	Observance
atactic	不合语法的
tanniferous	生丹宁酸
antimonarchic	反君主政体的
hardcore	绝对
rolled	包金箔的
ruthenious	二价钌
syringomyelia	脊髓空洞症
clypeate	有唇基
inturned	内弯
redistribute	重新分配
outside	在外面
obituary	死亡
steamy	多蒸汽
devotional	信仰
speaker	说话者
coloured	有彩色
barbarous	沙哑
elytra	翅基
nogging	壁砖
methodologist	方法学学者
cloak	宽大外衣
pubic	耻骨的
qaranc	Army
grike	岩沟
similarity	类似
eyestalk	眼柄
matchwood	做火柴杆的木料
station	驻扎
dermoidal	=dermoid
imperfectible	不可能完美的
adamic	亚当
nontitle	赛的
flounderingly	总是失败
gynaecoid	具女性特点
anisocercal	不等尾叶的
bereavement	丧亡
outlandish	奇异
actinoid	放射线状
synectics	共同研讨
controversial	争议
erotophobic	憎恶性爱的
christless	违反基督精神的
reference	涉及
nullarbor	Plain
quizzical	引人发笑
symmetrical	对称
direttissima	陡峭攀登
ceraceous	蜡状
ectypal	复制
readiness	准备就绪
mesothorium	新钍
conceivable	想得到的
alphanumeric	包括文字与数字
diphycercal	圆尾鳍
nonpositive	负值
winning	赢得物
clansman	同族的人
narcotic	致幻毒品
amphicoelian	两凹
irrepealable	不可废除的
bluesy	布鲁斯乐
improvisatore	即兴诗人
inadvisability	失策
primy	在最佳期
crust	面包皮
fair	公正地
coastel	水上营房
lathing	覆以板条
gunport	枪眼
chip	碎裂
ceresin	地蜡
misfit	不适合的东西
i2o	智能输入/输出技术
pascual	牧场
anamnestic	记忆的
tranquilly	安静地
already	已经
gannet	塘鹅
cochleate	状如蜗牛壳
mucosa	membrane
flambe	烧过的
biconditional	双态
ccitt	Consultative
klipspringer	山羚
prevue	预告片
sfx	effects
breaststroke	蛙式
ultramarine	天青石做成的蓝色颜料
liberative	同意释放
toothful	微小
hologynic	全雌遗传
crosslet	小十字形
skittish	轻佻的
fallen	陷落的
sulfur	硫黄
shortweight	重量不足
currently	通常地
flaring	燃烧的
apothecial	子囊盘的
alliterative	头韵
unadvised	未曾受到劝告
loggerhead	傻子
average	达到平均水平
nerf	冲撞别的汽车
flyer	传单
desirability	希求
comate	有毛
polypragmatical	爱干涉的
mere	纯粹
swaybacked	弄伤了背
karyosome	染色质核仁
fixedly	不变
flutter	鼓翼
proposal	提议
spectrally	幽灵似地
unwind	展开
nupe	Public
insobriety	饮酒过度
outline	外形
ondometer	频率计
undo	撤消
admiral	海军上将
emarcid	枯萎的
condensability	可简约性
noaa	Administration国家海洋和大气局
endamage	使损坏
ethnoarchaeology	种族文化考古学
phonolite	响岩
lapidarian	刻在石头上
befuddle	使迷糊
telecom	电信
condignly	应受
underlet	转租
christless	违反基督精神
harmine	骆驼蓬碱
beckon	召唤
yttrium	符号Y
dprk	Republic
stainless	纯洁的
enunciator	声明者
wise	博学
vinca	长春蔓
orismology	术语学
selenous	=selenious
menagerie	动物展览
keratometric	角膜弯度计
unboundedly	无限制
reconstructed	改造的
atrazine	莠去津
efflorescent	风化的
shoofly	摇动木马
vatic	预言的
necropolis	大墓
debouchment	河口
diluent	稀释
smalt	深蓝色
etherization	化为醚
questionable	可疑
fissionable	可裂变物质
bioenergetics	生物能学
path	通道
plant	种植
tupelo	紫树木材
tweak	拧
cardinal	红衣主教
wormseed	土荆芥属植物
definition	清晰度
sclerodactylia	指硬皮病
intersidereal	=interstellar
erratic	奇怪
unclamp	松开……的夹钳
displeasure	不满意
vilyui	维柳伊河
girdle	围绕
britisher	英国人
trillionth	第一百万兆
criminy	老天
counterappeal	抗告
sexagesimal	六十进位
impertinently	不礼貌地
alight	点着
debilitated	操劳过度的
mlw	mean
veritable	真正的
theropod	兽脚亚目食肉恐龙
bios	Input
tetraalkyllead	四烷基铅
guggenheim	=Guggenheim
gram	鹰嘴豆
hesped	悼词
balminess	爽快
unreligious	非宗教
unpliant	不柔顺
guide	引导者
constabular	保安队的
vicenary	20的
whig	辉格党
tyrolean	提洛尔区居民
early	早熟
vmtp	多用报文处理协议
german	德国人的
leaden	沉重的
love	性爱
eth	=edh
alluvium	冲积层
execute	制成
tramp	践踏
plaintful	悲叹的
serialize	连载
helleri	剑尾鱼
foreboding	预兆的
besieged	使烦恼
jank	同时改变飞行高度和方向
columba	天鸽座
xylophilous	适木的
cripplehood	无能
wolf	极度的穷困
fibrillous	纤丝状
lacy	花边
do	制作
eccentricity	偏心
jumbuck	绵羊
mall	林荫路
console	控制台
p	人员
cruelly	残忍地
skytroops	伞兵部队
incapable	不能的
tutelary	保护
unguligrade	蹄行的
cannonade	连续开炮
messidor	收获月
wolf	残忍贪婪之人
insectivize	施行强暴统治使沦为奴役
petrinism	彼得首位论
fungistat	抑真菌剂
august	令人敬畏
horsefaced	似马脸
frostbound	不热情
superradiant	超辐射
thin	薄地
recrementitious	垃圾造成的
hmv	His
trapes	懒妇
adiaphoretic	止汗
lumbricoid	蛔虫
coach	长途汽车
suberose	软木质
praetorian	禁卫队的
cuso	加拿大大学海外服务处
tahine	芝麻酱
aids	爱滋病
autostrada	意大利的高速公路
dishonorably	卑劣
cambogia	藤黄
cupric	二价铜
injunctive	指令的
bedehouse	=beadhouse
phonematic	音位学的
bluesman	的人
maddish	有点疯狂的
kunzite	紫锂辉石
pornography	色情文学
plectognath	愈颌目鱼
gabble	七嘴八嘴地说
smallholding	小农场
wolf	狼
recapitulate	摘要
debacle	崩溃
hieland	易上当
overproportion	不平衡
motherboard	底板
drunk	的过去分词
sedulous	坚韧不拔
noways	一点……也不
reprogram	改编
gingival	齿龈的
prediabetic	前驱糖尿病
partner	合伙人
methodic	有组织
dignified	有威严
unmarry	和……离婚
reflexible	反射性
bagged	松弛下垂
tarsal	跗骨
bloodshot	有血丝
mirthful	愉快
gradualness	逐渐的
noumenon	本体
epigenous	生长于叶面
cervine	鹿
scepticize	怀疑一切
cubital	前膊
anzac	新西兰军团之士兵
smsa	Standard
contextless	无连贯性的
sulphurator	硫磺熏蒸器
cervelat	熏香肠
honied	多蜜的
spend	消磨
indecorousness	无礼
hydrofluoric	含氟化氢
koala	树袋熊
mind	精神
radio	用无线电发送
isoagglutinin	同种凝集素
lifesome	有力的
hypothecate	担保
nooky	性交时的女性
toffee	中褐色
allantoid	尿囊的
discipula	门徒的
swingeing	极大的
cation	阳离子
dependent	依赖的
acclivous	向上斜
abandon	遗弃
nautical	船舶
tall	夸大地
pasquinade	讽刺诗
nasty	威胁
acetic	醋
themselves	她们自己
ochlocrat	主张暴民政治的人
rantipole	喧闹的
roentgenolucent	X光可通过的
subsequent	并发
ruckle	起绉褶
recalcitrate	顽抗
wattle	用编条做成
mridang	姆里丹鼓
floriated	具有花卉装饰
dioptometer	眼折光力计
vagabond	流浪的
equinoctial	春分或秋分时的暴风雨
crenel	城或墙顶之垛口
creationary	创造性
misdiagnose	错误地诊断
fiat	批准
jacobian	雅可比行列式
molder	分裂
foliiform	叶形
bazaari	店主
nop	not
deliration	精神错乱
illusionism	幻想说
guarantee	担保
parallel	平行线
sedentary	久坐的
annihilative	有消灭能力的
earworm	一种有害幼虫
revise	修改
snipe	鹬
immanency	内在性
exalted	尊贵的
cleansing	有去污作用
ratafee	果酒
ophidian	蛇
fowling	打鸟
managership	经理的地位
lithotritist	膀胱结石碎石专科医师
mongoloid	先头愚型患者
calciphobous	不适于石灰质土壤之植物的
underfinanced	资金短缺的
spermic	种子的
gnawing	咬的
around	在……周围
yourself	pro
coupist	政变支持者
flourish	繁荣
ncv	commercial
isobutylene	异丁烯
deepwater	靠近海洋的
protanope	红色盲者
information	报告
misspoke	读错
breadbox	面包盒
deferentially	表示敬意
buprestid	吉丁虫
fslic	Savings
thankfully	感激地
raphide	针晶体
grim	严酷的
reward	奖金
boardroom	交换场所
undertake	保证
purgation	净化
reflectional	反映的
balloonist	气球驾驶者
ungual	爪似
overexert	用力过度
boottree	鞋楦
bechic	治咳嗽
courtyard	院子
organically	器官上地
coagulation	凝结
scrap	文章
precaution	防范
heliotactic	向日性的
embossment	浮雕工作
lounder	重击
aristotelian	亚里斯多德
linkup	会合
yeanling	小羊
reducible	可减少的
debut	开张
lung	呼吸器
duplicity	狡猾
nights	夜间
aqua	浅绿色的
keening	哭丧
franciscan	圣芳济会的
lineskipper	不按排队顺序抢先的人
superexcellent	卓越的
iadl	国际民主法律工作者协会
lovable	可爱
choreographic	舞蹈术
monstrous	凶暴
coi	Office
matinee	白天举行的音乐会
accommodationist	妥协者
schismatic	分裂论
collapsar	为blackhole之别称
promulgation	颁布
ruthless	无情的
airsick	晕机
ineradicable	根深蒂固
sempiternal	永久
convertiplane	可以垂直升降的飞机
wilson	威尔逊云室
misdistribution	不当
probationership	试用期间
runnerless	无长匐茎的
oreshoot	富矿体
featly	优美
ambrosia	特别美味的食物
phlogopite	金云母
aghast	吓呆的
moujik	农民
ludicrously	滑稽地
federal	联邦制
caveat	告诫
erotogenic	引起性欲
moony	恍惚的
creamer	乳酪分离器
proselytism	改变信仰
lean	倾向
tutelary	守护神
hominoid	似人猿
disambiguate	消除……的歧义
overassessment	估价过高
pardonably	可原谅地
subtitle	副题
colonnaded	有列柱
indefinably	不明确
moulder	制模工
judgement	审判
ammoniacal	氨的
course	运行
timeous	=timely
supercolossal	巨大的
perfoliate	茎贯穿叶而生长
jeopardousness	冒险
pilgrimize	使成为朝圣者
stylebook	时装式样本
outvalue	比……更有价值
chapbook	小本的诗歌集或故事书
featureless	无特色
audacious	大胆创新
immorality	不道德
worldful	全世界所能容纳之最大容量
childbed	产褥
weatherproof	不受天气影响的
vertebra	椎骨
monostome	具单盘的
prancy	腾跃的
coccus	球菌
veterinary	兽医
antalkaline	抗碱
chowderhead	愚笨的人
unpopular	不受欢迎的
dance	跳舞
polenta	以玉米或大麦或栗粉等煮的粥
contagion	歪风
taboo	禁制
knifepoint	刀尖
clarinet	竖笛
brackish	有盐味的
slack	懒散
lettered	精通文学
facilely	轻易
haifa	海法
levelpeg	保持势均力敌
rare	半熟的
muchly	长久
nonresidence	不住在任所
interoperability	/互用bIlEtI/互用性
prescience	预知
hatty	Harriot
republican	有关共和
hadron	强子
dropout	中途退学
ssr	苏维埃社会主义共和国
bulbous	球根状
anoa	小野牛
fingery	排成指状
dna	Distributed
sapient	伶俐
indent	契约
outward	在外
congratulatory	祝贺的
costotome	肋骨刀
despondency	失去勇气
automorphism	自同构
confluent	汇合的
lithophilous	生长在多石环境的
neglected	被忽视的
valiantly	勇猛地
weatherboard	装以护墙板
exceptional	异常的
vatic	预言
shirr	拉成褶
skelp	快步走
mitigatory	缓解的
tinty	色彩不调和的
prominently	显著
archangelic	天使长
unenlivened	无生气
minish	缩小
euphuism	夸饰文体
zorille	臭鼬动物
battels	学生膳宿杂费帐目
kanarese	卡纳拉人的
remove	升级
metafemale	超雌
incretionary	激素的
incognito	隐名埋姓的
antipyrotic	消炎
favoringly	有帮助地
plead	托称
hereditarily	世袭
indigently	穷困
luminaire	泛光灯
manufacturing	制造业
recuperative	使恢复
gadolinite	硅铍钇矿
vasotomy	输精管切断术
foretop	前桅楼
hydroid	水螅虫
moldingplane	=mouldingplane
grungy	丑的
swanky	爱出风头
humidify	使潮湿
avens	水杨梅属植物
unbenefited	未得到好处的
wampee	黄皮
lisping	口齿不清
rye	绅士
fauvist	野兽派风格
trainsick	晕火车
astable	非稳态的
indigent	贫乏
wolfer	狼吞虎咽的人
cretan	克利特岛的
nibmar	先组成由非洲人代表占大多数的政府然后准许独立
england	英格兰
multipurpose	多目标
apocalypticism	启示论
macropodous	大胚轴的
prevaricator	说话搪塞的人
cryptozoite	潜隐体
calculous	结石的
corpselike	似尸体的
lacunose	多空隙的
vend	公开发表
primrose	报春花
staph	=staphylococcus
fuscescent	略带暗褐色
embryon	表示"胚
asio	Stream
intubate	把管子插进
barebacked	无鞍的
whaleback	鲸背船
unlively	无生气
polyglot	通晓数种语言
holozoic	全动物营养性的
slablike	板状的
supposition	想象
leavy	多叶的
swarthily	黑黝黝
spoilbank	矸石堆
cordilleras	南美安地斯山系
vulcanizate	硫化产品
gray	老练的
junkyard	旧汽车丢弃的地方
whence	从哪里
helsingfors	=Helsinki
vox	声音
currier	鞣皮匠
pukkah	纯良
appositive	同位格
exceptionable	可反对的
conte	小故事
bicker	流水声
subtilise	=subtilize
carcass	畜体
fearful	吓人的
scant	节省
otto	玫瑰油
arbitrative	有权公断
alary	翼状的
precedents	引用单元
motley	混杂
unco	不知名的
bewray	泄露
petticoat	裙子
mtbf	Failures
thallous	铊的
visionally	梦幻般地
centric	中心
comminatory	威吓的
jaundice	使患黄疸
straggling	脱离队伍的
clearing	空旷
counterplea	抗辩
canvass	劝诱
lambkin	小羊
strained	做作
flexural	弯曲
polyprotodont	多门齿类动物
rhymist	诗人
insusceptibly	不受影响
eyealyzer	眼测醉
refreshing	提神的
generation	发生
rigidify	僵化
invertebrate	无骨气
ossification	骨化
waspish	如黄蜂的
annunciatory	预告的
apheliotropic	背光性
semiuncial	半恩锡尔字体
chink	中国佬
wake	警觉
librarian	图书管理员
thud	重击
urinose	尿的
unwelcome	讨厌的
swirl	漩涡
cubeb	含有荜澄茄粉的药用香烟
violet	紫罗兰色
lemma	辅助定理
furibund	愤怒
pindaric	风格的诗
intracutaneous	皮内
ochreous	赭石的
atherogenic	导致动脉粥样化的
hexahydrothymol	六氢百里香酚
immiserization	悲惨化
inapplicable	不适用
claudian	克劳狄族人的
joyo	卓越网
socialistic	社会主义的
exhaustion	筋疲力尽
shoppe	专柜
sennight	一星期
kmps	kilometres
homoscedasticity	同方差性
usha	美国住房管理局
beplaster	布满
uncommitted	未遂的
wrcb	Board
captation	以狡猾手段谋取利益
armipotence	兵力强大
limited	高级快车
vamp	捏造
apollinian	=Apollonian
axinite	斧石
winning	胜利的
residual	剩余的
power	能力
contrived	做作
sweeping	彻底的
coordinate	整理
unido	Development
downy	多丘岗的
hereditarily	遗传
excremental	排泄物
blueing	带青色
coarsely	鄙俗地
frock	僧衣
astasia	不能站立
ccpit	Trade
rough	粗野的
aspca	to
arioso	咏叹调的
sodomist	尸奸者
piccaninny	小孩子
minor	二流
plebs	平民
twiggy	多细枝的
everglade	沼泽
pentagraph	个字母
ghibli	朝向风
lunkhead	呆子
bowed	有弓的
ipsu	Utility
porphyrization	研细
phoniatrics	语音矫正法
gravific	使变重
unperfect	=imperfect
sententious	警句
paternal	象父亲
verminicide	灭虫剂
seedily	心情不佳
accentual	重音的
finely	美好
combination	联合
wee	很早的
disclaimatory	否认的
carla	卡拉
ubication	场所
perceptible	显而易见
capnomancy	用烟占卜
admirably	极好
impossible	难以忍受
reradiative	再辐射
retaliation	报仇
contributory	捐助的
psychometrics	心理测验学
misaligned	不重合的
trichomonal	毛滴虫引起的
drophead	活动帆布车顶
plutus	财神
telecurietherapy	=teletherapy
wheeled	有轮的
vertebratus	脊状
prejudiced	怀偏见
stupid	麻木的
amok	杀气腾腾地
godfather	当教父
exemplar	模范
pococurantism	不热心
cadmiferous	含镉的
rabbiter	捕兔者
pish	表示轻蔑
cloak	披斗篷
acanthi	acanthus的复数
muzzleloading	前装式的
unprovided	无供给的
unpatterned	无图案装饰
kotka	科特卡
oberon	之夫
actual	目前
roomie	=roommate
diffusive	散布性的
drop	落下
dispope	罢黜教皇的职位
anthophagous	以花为食
knobbiness	多小丘
classwork	在教室做的功课
psychogeriatric	`psaIkEJ9dVer`AtrIk/
vestibule	前厅
ensanguined	满身染血的
monohydroxy	一羟基的
collude	串通
valuable	颇有价值的
voluntary	自愿
puerperal	产后
abiogenetic	偶发的
complainant	原告
colonic	结肠的
aconitic	附子的
unhcr	for
epicondylar	上髁
assuage	减轻
soundproof	隔音
flourish	手舞足蹈
armature	牙齿
tolerant	宽恕的
bmr	metabolic
allophane	水铝英石
minoan	克里特文明的
plutocratic	财阀
necessity	需要
atomization	分离成原子
kithe	证明
upriver	在上游
telophase	末期
humiliating	羞辱性
shyly	害羞
provocate	惹起
yamoussoukro	亚穆苏克罗
homeomorphous	同胚的
nowaday	当前
bps	second
safedeposit	安全保管
bft	Transfer
treblinka	特雷布林卡
mammock	碎块
shoeless	无鞋的
cacodyl	二甲砷基
sorbonnist	=Sorbonist
limit	限制
nickeline	红砷镍矿
rounding	舍入
unhip	不谙时髦的
worshipful	值得尊敬
voyeur	窥淫狂病人
carcinoid	良性肿瘤的
barouche	一种四轮两座大马车
easel	黑板架
handwoven	以手织机编织
disagreement	意见不同
quaintly	古雅别致
episcopalian	主教派会员
labour	支持工党的
edgeways	以刃向外
stop	被塞住
unappealing	不能打动人
god	上帝
poll	选举中获
barred	被禁止
sedimentable	可沉淀
nasara	Nasrani
hypodorian	副多里亚调的
smd	of
algebraist	代数学家
institute	协会
unattained	未获
insessorial	适合于栖止
deficiently	不充分地
retrodisplacement	后移位
hairdresser	理发师
konstanz	=Constance
funicle	纤维
favela	贫民区
extrabold	用特黑体字排印
excentral	中心以外
ue	Electrical
chattily	爱讲闲话地
belligerent	好战
cuss	坏话
recondense	再浓缩
gastrostege	蛇腹部之鳞
linty	有棉絮的
onstage	台上的
unplagued	未染瘟疫
driftage	风落
chuffy	像农夫
worsen	变得更坏
misdiagnosis	错误的判断
synovia	关节骨液
gymnosophist	天体主义者
vapidness	无趣
conduit	泉水
mandatory	强制的
licensee	获许可的人
unseconded	无人后援的
mobbist	暴徒
hieland	易受骗
quotha	确实!
merryman	丑角
combustibility	燃烧性
charge	责令
governable	可统治的
unsaddle	使坠马
coranto	=courante
biquadratic	四次
nerd	卑微的人
whole	所有的
rate	被评价
limonitic	由褐铁矿构成的
distribution	分配
mock	模仿
gneissic	像片麻岩
lacustrian	湖的
felicitation	庆贺
infinitesimal	极小
smith	金属品工匠
postcode	邮递区号
mina	古代希腊的金额单位
photolyze	用光分解
karabiner	岩钉钢环
arid	贫瘠的
fulminatory	爆鸣的
lixiviate	浸滤
irreclaimable	不可矫正的
retardance	阻滞
jauk	拖延
breadthways	横
androgenous	雄性单性生殖
wvf	Veterans
filigree	饰有金银丝细工
muzzy	无精神
unwarmed	未被激动的
hereupon	因此
pogonip	冰雾
archaist	爱写古体文者
sarcoma	肉瘤
bibiolatrist	书籍崇拜者
floating	流动
overflow	泛滥
wood	木材
sculpture	雕塑品
glandular	有腺的
aok	完美的
cony	兔毛皮
impromptu	即席的
peaceably	温和地
shufty	=shufti
caiaphas	该亚法
aduncate	向内弯曲
stingy	有刺的
distinguishing	有区别
basipetal	由上往下
resource	智谋
unmeasurable	不可测
phyllotaxic	叶序
mechanical	呆板的
convulsion	惊厥
essential	提炼的
whitehanded	清白的
eunuchoid	惧内
untapped	塞子未开
interlinear	隔一行书写原文和译文
handicap	阻碍
introspective	反省
internationally	国际性地
wheeze	喘息
identifier	标识符
impropriety	不适当
fool	莽汉
leucopoiesis	白细胞生成
ylem	伊伦
snorty	心眼小的
dawk	非鹰非鸽派
elbert	埃尔伯特
polemology	战争研究
netop	伙伴
riparian	水滨
pocket	隐藏
thinker	心智
epical	英勇的
trichocyst	丝胞
soil	土
unconsolidated	松散
fecund	多产的
blithely	愉快地
tambov	坦波夫
hahnemannian	哈内曼的
proprieties	礼仪
sombre	昏暗的
unbirthday	非生日当天送
sagittate	镞型
prettiness	漂亮
laying	产卵数
bid	投标
controllable	可操纵
vivific	赋予生气的
fnma	National
vertigo	晕头转向
regress	复原
ampullae	壶腹
institute	制定
subornative	买通
preestablish	预先设定
musaceous	香蕉科
nikethamide	可拉明
subtitle	说明对白的字幕
sliver	长条
physiographical	地文学的
pearly	珍珠似的
briefly	简要
convulse	震撼
bannerol	小旗
electricize	使带电
crankish	古怪
flexuous	弯曲的
hyena	鬣狗
jellied	涂凝胶物的
tubilingual	有管状舌的
mediterranean	地中海的
dump	倾倒
fairyhood	魔性
contemplate	企图
lh	LH
there	在那里
oscular	嘴
pare	削减
graven	雕刻
night	夜
barware	酒吧酒具
polocyte	body
destructor	破坏者
pebbly	多卵石
handbill	招贴
ischium	坐骨
jank	闪避
petiolule	小叶柄
inertially	借助地
belligerent	交战国
spine	书脊
petrographical	岩类学
ovariotomy	卵巢切除
subset	子集
unimpressionable	无情的
scholastic	经院的或经院哲学家
dantonesque	大无畏的
actually	竟然
intermontane	山间
verus	确实的
leprose	皮屑状
droit	所有权
archducal	大公爵的
anthropoid	似人类
fillip	刺激
fissiparous	分裂生殖
foreman	工头
semismile	勉强的笑
tumid	肿胀
undistracted	不分心的
nitroguanidine	硝基胍
metathesis	交换
unsoiled	未弄脏的
plantation	种植园
millennialist	的信徒
cryptography	密码使用法
quasimodo	=Low
occidentalist	西洋崇拜者
ganoid	表面光滑的
ally	支持者
heavenly	如天堂的
plodding	沉重缓慢的
premature	太早
excuse	为……免去
orthoepic	发音正确的
voyeuristic	喜好窥阴的
besieged	围绕
episcopalian	主教派的人
slaughter	屠杀
depletion	损耗
devilish	精力旺盛
apices	apex
bodily	全部
resettlement	重新安置
reject	不及格者
bionic	利用仿生学的
spokewise	辐射状
mellita	的复数
lh	把驻留程序装入高端内存
gibing	嘲弄
semicolony	半殖民地
slashing	苛刻的
schism	教派
animalization	动物化
spinstress	=spinster
humidity	湿度沼泽中的肥沃高
award	奖
scenograph	透视图
scavenge	打扫
rancidly	讨厌地
blodge	污点
animatism	万物有灵论
sylvicultural	造林学的
falda	白丝法衣
detoxicant	麻醉
medieval	仿中世纪
deutschland	德国
choroid	脉络膜的
material	重要的
controversial	争论的
warty	似疣
reign	占优势
retrenchment	删除
semibold	半粗体
raven	乌黑的
galactosamine	氨基半乳糖
attributive	定语
mungarian	匈牙利
sabalo	=tarpon
narcissi	自我陶醉
chimaeric	=chimeric
tearaway	行为鲁莽的人
supposable	可假定的
miogeosynclinal	冒地槽的
ethical	民族的
discover	发觉
inimitable	无法模仿的
butcherly	残忍
revolutionist	革命家
dovish	鸽派的
stocky	健壮结实
putty	用油灰接合
coagulation	凝结物
suprafacial	同面的
hqmc	Headquarters
hexaemeron	创世之六日
elitist	优秀人材的
densify	使增加密度
noncommunicable	不会传染的
encephalograph	en9sefE`lC^rEfI/
harvest	收割
unsophistication	纯正
executive	行政
worried	闷闷不乐
ocdm	Mobilization
replicable	可复制的
virginal	无瑕的
undertenant	=subtenant
smartly	潇洒
intranasal	鼻内的
towmond	1年
obadiah	俄巴底亚书
bigeminal	成对
whisker	扫拂者
maintopsail	中帆
unuseful	无用
loudmouthed	高声讲话的
forbearing	宽容的
elspeth	埃尔斯佩思
supposedly	按照推测
typically	代表性地
olein	脂肪之液状部分
prostyle	前柱式构造
philanthrope	=philanthropist
servia	Serbia
numerical	用数表示
equipment	器材
boding	先兆
unpolluted	未受污染
motile	能动的
gioconda	不可思议
erratic	不稳定的
emasculate	删削
shade	微减
ludicrous	滑稽
threaten	似有发生或来临的可能
stagnantly	淤积地
iad	Astrophysical
unmalicious	非恶意
extrapolation	外推法
syph	=syphilis
deflexed	向下弯曲
mycelioid	菌丝体状
jelly	一种果冻甜品
tackle	固定
decimalize	使作十进制
mollify	平息
raisonneur	说教者
gular	咽喉
allmains	万能供电
maillot	紧身衣
snuffless	不需剪烛花的
audiometric	听力测定的
colorific	给予颜色的
chromoplasmic	染色浆的
body	尸体
illegibly	暧昧地
forebode	预言
heirless	无继承人的
