francophil	亲法
city	城邦
plutocratical	富豪政治的
substratal	基本
surliness	险恶的天气
sternwards	向船尾
bladdery	膀胱状
unwisdom	无知
nyctitropic	夜间变更方向
unco	没看惯
vibrational	振动
alembicated	过分精炼
dexamethasone	地塞米松
surprise	使惊奇
tetramorphic	四形的
archaist	拟古主义者
dicom	医学中的数字图象和通信
swellhead	夜郎自大者
percheron	佩尔什马
unlearned	不熟练
cabbage	甘蓝
beguilement	欺骗
repechage	补充赛
feathering	羽毛箭
picomole	微微摩尔
blm	Management土地管理局
slip	纸片
whither	无论到哪里
derivable	可诱导
enticement	怂恿
afs	Fire
spheric	球状
lanceolate	披针状的
roric	似露水
napu	矮麝香鹿
nitric	硝石
sharefarmer	与农场工人共享收益的农场主
micrococcal	微球菌的
uniflow	单流的
modelly	模特儿似的
eyebolt	吊环螺栓
eleven	十一
hydroxide	氢氧化物
zoogeographer	动物地理学家
dragbar	斜井矿车防坠杆
remorseless	不知过错
kenspeckle	引人注意
chinar	法国梧桐
infertile	不结果实
toluic	甲苯酸的
pathbreaking	开创性的
emotion	情绪
attributable	可归于……
polyxena	波吕克塞娜
knotless	没有结的
ergograph	肌力描记器
filially	子女似地
worshipful	崇拜的
signaling	发信号
encephalic	头
nc	New
truculence	粗野
carloadings	装车数
prophet	提倡者
goosegirl	照顾鹅群之女孩
jensenism	詹森理论
primidone	扑痫酮
idlesse	懒散
ecp	Port
essential	精华
piratical	盗版
buggy	多虫的
formant	共振峰
alsace	阿尔萨斯
npr	Public
unwilled	非故意
aduncous	向内弯曲
transurethral	经尿道
extensible	可展开的
exit	出口
psammophile	适沙生物
weatherworn	风雨侵蚀的
pulmometer	肺量计
impressively	令人难忘地
antisexist	反对性别歧视
paretic	局部麻痹
rumply	压绉
homostyly	花柱同长
moabitess	摩押族的妇女
headword	中心词
infer	推断
uncreated	未创造的
incandescence	白热
federally	联邦
lack	需要
japheth	雅弗
overdid	overdo的过去式
hong	洋行
hematoblast	血胚细胞
dateline	日期栏
neaples	那不勒斯
antisudorific	止汗剂
convergescence	聚合之倾向
pyrethrin	除虫菊酯
cutesy	矫揉造作的
declension	衰退
rampage	暴跳
monetarist	货币主义者
peace	安宁
exoteric	外界
bicorn	双角的
nutmeg	肉豆蔻种子中的核仁
punitive	惩罚性
teratologist	研究畸形学学者
electropositive	金属的
place	住所
borah	=bora
stereometry	体积测定
overchurched	设有过多教堂的
heteroatom	杂环原子
scurviness	无礼
distance	距离
pickerel	梭鱼子
cry	哭泣
interstitial	形成空隙的
land	使上岸
kibbock	乳酪
cannes	戛纳
swingboat	船形秋千
material	原料
verbalization	以言语表现
massy	巨大
analysable	可被分解的
nonhibernating	不能冬眠
estrogenic	动情激素
investitive	授予
choleraic	霍乱性的
phe	Public
voetganger	南非无翅蝗虫幼虫
archiepiscopacy	大主教
syllabically	分成音节
mina	古代希腊的重量单位
foreland	前沿
luminarist	外光派画家
trendy	穿着时髦的人
conifer	针叶树
quatercentenary	400年的
therapeutist	治疗学家
stale	使变旧
inventroy	详细目录
guzzle	暴食
gruziya	格鲁吉亚共和国名
uppermost	至上
antidotal	解毒的
phytocidal	除莠
babouche	平底拖鞋
electrocautery	电烙术
feculent	浑浊的
ribband	临时装设板
overprotection	过度保护
iliyria	伊利里亚
regalvanize	重新振奋
seminal	生殖
fit	使合格
sloughy	蜕皮的
inequilateral	不等边
glycocoll	氢氨乙酸
glassworm	=arrowworm
frass	幼虫的粪便
eumycete	真菌
sunshade	遮阳伞
madbrain	性急的人
takingly	传染地
chorten	圣骨冢
dressing	穿衣
gangsterism	歹徒及其犯罪行为
parody	拙劣的模仿
desulphurize	除去硫磺
kernel	要点
syllogism	演绎
frenglish	搀杂法语词语的英语
recognizance	保证书
solstitial	冬至
elucidative	解释
dissaving	支出多于收入
brute	畜生般的
bistort	拳参
diabolology	魔鬼研究
donatism	多纳图派教义
bipedal	两足动物
conventionalise	墨t/
organizable	可组织
scion	幼芽
drachm	古希腊的银币名
shipfitter	轮船装配者
such	这样
baroque	形式怪样的
woodpie	斑啄木鸟
crackled	有脆皮的
adjustable	可调整
fashioner	创造者
undo	解开
boldface	粗体铅字
supernal	神的
flashiness	灿烂
unmirthful	一本正经
handsaw	手锯
controvert	参加辩论
graphemic	字形
desire	要求
barkhan	=barchan
zmodem	一种文件传输协议
circumoral	在嘴边的
jv	资浅代表队
golden	金色
altaic	阿尔泰语
nonarticulate	不连接
xylographic	木刻的
deicide	杀神者
handling	操作
hesitance	犹豫
invariance	不变性
horsefaced	似马脸的
malodorant	恶臭物
limation	磨光
papilloma	刺瘤
submillimetre	小于1毫米
venerable	庄严的
glitch	小故障
golly	发誓
miee	Engineers
deoxygenize	还原
dm	Mining
persicaria	=redshank
albata	德国银
elephantiac	象皮病
cannoneer	炮手
spiritualize	使灵化
silicon	硅
cacodyl	四甲二砷
worsted	精纺毛纱
supernal	超自然
rutty	遍地车辙
padrone	包工头
gillian	吉莉安
tailhead	尾基部
tailing	尾料
attention	关心
classy	上等的
epidermal	外皮
weatherboard	护墙板
contempt	轻蔑
redshank	红脚鹬
angelic	似天使的
electroencephalogram	IlektrEJlographic/I`lektlography/I`lektrn5sefElEJ^rAm/
dislimn	变模糊
grinding	碾
strained	紧张
strikeout	失败
query	怀疑
jiggers	小心
qualification	赋予资格
sick	病人
steady	坚定
viviparity	胎生
gussy	粉饰
sleugh	泥沼
uptrend	趋势
courteously	有礼貌
pallidly	苍白无血色地
pullulation	抽芽
spectatoritis	观众病
elegantly	优美地
fancy	异样的
mediagenic	所喜闻乐见
vizsla	维希拉猎犬
sheeplike	绵羊般
craftsperson	工匠
cryoprobe	冷冻器
zooming	快速上升的
bestially	残忍地
lounder	重打
biedermeier	保守
carnally	世俗地
katalyst	催化剂
gullible	易受骗
loneness	幽静
steeper	险峻
ichthyomorphic	鱼所特有
maidless	没有侍女
gallanilide	棓酰苯胺
vindicative	辩明
subsensible	比感觉范围更深的
otherworldly	来世的
hexagonal	六边形
agrometeorological	农业气象的
waggish	爱开玩笑
offertory	捐款
clement	宽大
zenographic	木星表面
covert	隐藏处
salvationism	救世军之教义
prodigal	浪费的
educe	使显出
msdn	Microsoft
yellowhammer	黄鹉
franco	邮费准免
umohoite	钼铀矿
aicpa	Institute
amdg	Dei
postmitotic	有丝分裂期后
piracy	海盗行为
wane	衰退
unmethodical	无方法
godwinian	戈德温派的
genealogist	系谱学者
proof	考验
alleyway	通道
petunia	矮牵牛花
aerodynamics	空气动力学
fortnightly	每两星期一次地
baptismally	洗礼
luster	光彩
brindled	有斑的
semiglazed	略上釉的
expand	使膨胀
fungal	真菌
redeemable	可赎回
daee	航空工程学博士
tan	棕褐色
tenemental	地产的
narrow	使缩小
undigested	未经整理
correctly	正确地
grand	极重要
story	谎话
fuzhou	福州
serotonergic	含血清素的
unsugared	不放糖
ang	Guild
druid	德鲁伊教团员
beatific	祝福的
dissolution	分解
underripe	不够成熟的
lowlihead	低下
unconscious	无意识的
rule	准则
byzantine	拜占庭人
wfdy	Federation
jawline	下颌的轮廓
azus	太平洋共同防卫组织
thunderstorm	雷暴
trichopteran	有毛翅
elastically	有弹性
unspecific	不确定的
tenner	十元纸币
undersurface	下面
aerobatic	特技飞行的
fluidram	dram
cockleshell	海扇壳
discal	圆盘的
hypaethral	露天
defibrillation	去心脏纤颤
unscrupulous	肆无忌惮
freely	自由
atilt	挺着长矛
gsm	一种数字移动电话系统
uranic	天
araneiform	像蜘蛛的
decantation	移注
gillie	侍从
pickwickian	匹克威克
floodgate	防潮水闸
iota	极微小
tuneful	和谐的
demagog	煽动家
ironclad	打不破
babyhouse	婴儿玩具室
professional	专业的
cosmologic	宇宙哲学
endocranium	硬脑膜
strigous	覆盖着糙伏毛的
rhinopharynx	鼻咽
featheriness	轻吹
quickening	兴奋
nontraditional	不符合传统
lallan	苏格兰低地的
rotogravure	照相凹版
feudatorial	封建
life	生活
bowknot	蝴蝶结
nucleogenesis	核起源
detassel	使
lorn	寂寞的
scamper	奔跳
nog	木钉
isobarically	恒压
oleoresin	树脂油
garcon	男孩
vestibular	门厅
scrapnel	炸弹破片
wetland	沼泽
scamper	奔跑
serve	服役
necromimesis	死亡妄想
grail	圣杯
obelize	加疑问号
subastral	面上
utriculate	=utricular
vedic	吠陀梵语
wash	冲洗
seeker	探求者
brs	Services
cryophorus	凝冰器
needlework	缝纫
capacious	广阔的
hood	兜帽
influential	有影响
italianism	意大利式
aether	苍穹
atheoretical	非理论的
encapsidate	用壳体包裹
subdivide	再分
zeolitize	使化为沸石
efficient	能干
slotback	进攻前卫
festive	节日似
savage	野蛮的
fellow	人
grazioso	优美
wordy	冗长
neral	橙花醛
undreaded	不被畏惧
cytaster	星体
unheroic	胆怯
compliable	依从的
trigonal	断面呈三角
rolleiflex	禄来福来反光照相机
debilitate	使衰弱
catty	狡猾的
anthomania	爱花狂
pleasure	愿望
ssr	Socialist
unsanctioned	未通过的
sarcolysis	肌肉分解
toes	脚趾
nsf	国家科学基金会
litholapaxy	碎石洗出术
coppernose	酒糟鼻
unfortunate	不合宜的
cottage	小别墅
forwearied	筋疲力尽
strontium	锶
pierce	刺破
enfetter	使为奴隶
americana	史料
intelsat	Telecommunications
aircraftman	空军士兵
drunken	酒醉的
ethnos	同种同文化之民族
embolum	铁嘴
helvetia	赫尔维蒂
sound	测……深
photochemical	光化学
cementum	牙骨质
stiffener	使僵硬的人
outswing	外弧线球的运动
lubricious	不稳定
hls	HLS色彩模型
chance	机会
counterproductive	使达不到预期目标的
miee	Electrical
hairiness	多毛的性质或状态
marking	作记号
gloss	作注释
scraping	吝啬的
alterne	交替群落
gec	Company
forced	动用武力的
halakist	编辑犹太法典法律部分的法官
vernal	春天发生
msee	Electrical
groupuscule	小派别
calathiform	凹陷的
scapular	肩衣
hydraulic	水力的
outburst	突发
retinispora	扁柏属植物
tediousness	沉闷
preincubation	预诱导
leukovirus	白血病病毒
apyretic	无热
demagnetization	除去磁性
sill	窗台
tentacular	有触手
ccpit	China
velocipede	手压车之一种
ece	for
irrevocably	不能撤回
pouched	袋形
magnetograph	磁力记录计
pianette	竖型小钢琴
commercialese	商业语言
bisulphate	重硫酸盐
plunderer	掠夺者
moonlit	月光照耀的
appointor	指定人
slide	幻灯片
ultramontane	山那边
deep	远离中心
kvetch	老找碴的人
vcd	Video
exumbrella	外伞
henchman	党羽
aeroamphibious	海陆空联合
objettrouve	被发现之物
bacony	脂肪质的
interior	内部的
semievergreen	半常绿
motiveless	无动机
throstle	画眉鸟
investment	可获利的东西
finite	限定的
reg	雷吉
mathematicization	=mathematization
rampant	狂暴
columbine	鸽色的
outright	直率地
zalophus	海驴属动物
envious	羡慕
monopteral	圆形外柱廊式的
undercharge	低的索价
corrector	修正者
experiment	实验
polygonize	多边形化
luetic	梅毒的
disconnected	不连贯
unwittingly	不知情地
advocatory	有关拥护者的
pinstripe	细条纹
tom	雄动物
enclises'	NULL)
coinstitutional	中学
stanch	忠实
felicitous	恰当
damning	受永罚
heterofil	异质复合丝的
goodwife	女子的敬称
yachtsman	游艇所有者
abbreviate	缩写
netted	网状
inkyo	隐居者
alimentative	富于营养的
ultramodern	超现代化的
lubra	女土人
mongrel	杂种的
sink	水池
affection	爱情
supervenient	伴随产生
outright	直率的
suspend	延缓
nuggar	大驳船
digitate	有指
efficacious	灵验的
repute	名誉
pds	Direct
discovery	发明的东西
solemnify	使神圣
cupule	壳斗
aduncal	向内弯曲
chapote	墨西哥柿子
incognizance	不认识
collect	收集
degressively	递减地
euphemia	尤菲米娅
meningitic	脑膜炎的
softhearted	好心肠
eht	tension极高压
bluet	开蓝花的植物
recessional	后退的
roughscuff	大众
catonian	加图式
changeful	易变的
bipinnate	两羽状
unvanquishable	不能征服
assignment	委派
slip	活络的
peaky	尖峰的
filamentous	纤维所成的
ergometer	测功计
mean	低劣的
turkistan	=Turkestan
airframe	机身
after	以……命名
surfboat	冲浪艇
stardom	演员们
omphalotomy	断脐术
propeller	飞机上的螺旋推进器
mujik	农夫
hans	德国人或荷兰人的绰号
viviparism	胎生生殖
canned	喝醉了的
rotiform	轮状
plenitudinous	充足
salify	使与盐结合
unco	不可思议的
denervate	切除神经
derivative	派生的事物
congener	同类的人
interspecific	中间
hotch	使摇摆
sensurround	包围感
bended	弯曲的
narrow	眼光短浅的
valuableness	昂贵
ncaa	National
bidarkee	海豹皮小艇
sudatorium	发汗室
jotunheim	巨人之家
sinister	险恶
poor	可怜
wealthily	丰富地
upturned	翻过来的
economic	产供销的
baitandswitch	"上钩调包"诱售法的
tersely	简洁
lame	不知内情的人
exhaustion	耗尽枯竭
initializtion'	NULL)
dexter	吉利的
etep	Progrom
hollywoodize	使符合美国电影业标准
semisecrecy	半秘密状态
hogwild	疯狂的
easternmost	最东部的
rubrical	仪式指示
certainty	确定
ruleless	无规则
fining	澄清
breadbox	面包箱
mammary	乳房的
athodyd	冲压式喷气发动机
environmental	环境论
quadrisyllabic	有四个音节的
tetragonal	四角形
equivocal	意义不明确的
adviser	顾问
thermalise	=thermalize
coaction	强迫
horatia	霍雷希亚
lampedusa	蓝佩杜萨岛
dewy	如露
noiseless	无声
response	回答
spectrochemistry	光谱化学
actinogram	X光像
lawny	细麻布的
psia	absolute
sainted	德高
bluebutton	"蓝徽"
jockstrap	护身三角绷带
pulpify	使化成纸浆
osteitic	患骨炎的
urbane	文雅
terrorism	恐怖行动
townet	拖网
hemocytoblastic	原始血细胞的
blastocoel	囊胚腔
vinegary	有酸味的
writer	作家
favorable	有利
disparaging	蔑视的
tepidity	微热
reflect	反省
generic	属的
joyful	可喜的
motherwort	茺蔚
mean	惭愧
inhuman	野蛮
earhole	耳孔
popularization	普及
trinary	三重的
enstatite	顽辉石
pasta	意大利面食
meshugaas	疯癫
believable	可信
lacteal	乳状
anatole	阿纳托尔
resolutive	消肿的
legazpi	=Legaspi
lumberly	迟缓
upsweep	向上斜
metropolitan	首都
reviviscence	复活
diseaseful	产生细菌的
hausa	豪撒语
dinosaurian	似恐龙的
popout	劣质冲浪板
tiptop	出色的
dealer	经销商
scratch	凑合的
unsound	不佳的
fetwa	判决
bagger	装袋工
overripe	过熟的
effacement	抹杀
jism	元气
triable	可以试一下
hcs	human
fructuous	会结果实的
toeshoe	芭蕾舞鞋
sizz	使发出嘶嘶声
zone	使分成地带
acne	粉刺
cheesecake	半裸体或露出曲线美的女人照片
estanciero	牧场主人
pregnant	富有意义的
thrill	发抖
silicon	硅元素
polysemous	多义的
priestcraft	神职者的谋略
rodman	垂钓者
selective	选择性
octahedra	的复数
accelerant	促进剂
unfaltering	稳步
premaxillary	前颌骨
underlying	在下面的
crustily	粗鲁地
truant	逃避者
fluorography	X光间接摄影法
fancied	空想
throughother	乱七八糟
gargle	含漱剂
coulometry	电量分析
obscurity	含糊
official	公务的
uncopiable	不能复制的
jazz	颜色过于艳丽
stellated	星形的
escheat	重还
sialagogue	催涎
regard	尊重
endymion	恩底弥翁
casework	生活环境调查
concyclic	在同一圆周上的
unnecessarily	不必要
eniac	ENIAC
lithium	锂
audion	三极管
ai	Aritificial
vhs	System
last	持续
sinitic	中国的
discrete	不连续的
recumbency	躺着
energetic	精力充沛
elegant	雅致
ectal	表面的
heavy	阴沉
hymenotome	外膜刀
diseur	朗诵艺术家
qq	quartos
explicative	解释的
unofficially	非公认
floriated	花形的
liturgical	礼拜式
fibrovascular	维管
heedless	不注意
transvalue	以新价值观重新评估
ophthalmologist	眼科专家
plectrum	琴拨
altar	圣坛
shooting	发射
microscale	微观大气现象的
tvp	protein
putresce	开始腐烂
galvanism	流电学
degree	度
proverbially	如谚语所说的
cataleptic	全身僵硬症
cholane	胆烷
rba	Artists英国皇家艺术家协会
rally	给予新力量
radiantly	清朗地
weather	气候
madid	潮湿的
umbilicate	有肚脐
asparagus	芦笋
didactics	教授法
myopia	近视
scirrhous	硬癌的
excess	超额
material	物资
catamnestic	诊后病历的
ebony	黑檀的
razzle	旋转木马
vulturous	贪婪
caravansary	大旅舍
whippy	鞭子一样
golly	天哪!!
repute	名声
augustan	奥古斯都时代的
devotedly	一心一意
hydrozincite	水锌矿
hypermotility	运动过强
copiously	充裕地
krill	磷虾
curriculum	课程
twirl	快速转动
ungalled	未受伤的
grotesque	奇形怪状
manual	实际占有
grillage	格床
sempiternal	永恒的
shmoo	玩具什穆
snaphaunce	燧发枪
mite	力所能及的微小贡献
basset	一种矮脚的猎犬
resinous	含树脂
lsat	法学院入学考试
tragicomical	悲喜剧
balmy	温和的
numbered	时日无多
crankily	任性
decapitator	斩首者
recolonize	开拓殖民
settler	财产赠予者
rakish	俏皮
vcd	Compact
subside	减退
grown	长大的
kaiser	皇帝
toxicologically	毒理学
gi	直布罗陀
northwestern	西北方的
featherhead	蠢人
cacao	可可树
sinner	不信神的人
outstare	将……瞪得无法招架
motley	穿染色衣的
far	远
substantive	大量
rotfl	Floor
decree	天命
deltawinged	有三角翼
geo	海门口
generalship	将军军阶、地位、任期、或权力
adapt	使适应
cosmopolite	属于世界
parasympathetic	/
subeconomic	不经济的
pieplant	食用大黄
eschatological	末世学的
roundly	完全
devolution	滚下
picayunish	=picayune
blighty	老家
aarp	AppleTalk
anomy	混乱
hidropoietic	流汗的
pore	细想
balneotherapy	浴疗法
haemodynamic	血液动力学
slaky	多烂泥的
tolerant	容忍的
screwy	螺旋形
decrescendo	乐节
piping	滚烫的
underage	未成年的
overprize	对……评价过高
ast	Average
terminal	每期
micra	micron的复数
fat	肥大
hurtlingly	飞奔地
baroceptor	=baroreceptor
extraterritorial	治外法
ovotestis	卵睾
haematoxylin	苏木素的
cleidoic	与环境隔离的
jacksnipe	小鹬
circumfusion	从周围灌注
silicule	=silicle
colourize	使有色彩
visional	梦幻般的
multicentric	发生于多中心的
con	记诵
fullmouthed	威势十足的
angell	天使
beelzebub	魔鬼
lexloci	地方法律
cashaw	长颈南瓜
confucian	儒家的
nepman	苏联新经济政策时期短期经营私人企业者
outboard	向舷外
dustheap	默默无闻
gazetteer	记者
atempo	还原速度
unwarmed	未被激动
tonsilar	扁桃腺的
contemptuous	侮辱
triturator	捣碎者
ammon	阿蒙神
consistorial	红衣主教会议的
telegenic	适于电视广播
subtractive	有负号的
festa	节日
irritating	刺激
winebibber	酒鬼
petrolatum	矿脂
intervene	介入
zoografting	动物体素移植术
parse	解析
unfix	脱下
cleistogamy	闭花受精
uniform	均衡的
phosphoglyceraldehyde	9fCsfEJ`^lIsE^lIsE`rAldEhaId/reIt/
spadicose	肉穗花序
marriage	密切结合
denazification	消灭纳粹化
lamby	羔羊似的
pajamas	睡衣
ternary	三重
to	比
vaalhaai	灰鲨(翅鲨
bask	愉快或舒适
thickly	厚地
brutal	残忍的
distomiasis	肝吸虫病
above	上文
retro	制动火箭
recast	重铸
sixtine	=Sistine
inspirator	激励者
photogun	光电子枪
embarrassingly	使人难堪
upset	推翻
lymphangiography	淋巴管造影术
waveguide	波导
nonage	早期
finite	限定
margrave	边疆伯爵
plectra	plectrum
innervate	使受神经支配
paediatrist	儿科学家
postscript	后记
exceeding	非常
kingpin	主脑人物
salification	成盐状态
muzzy	酩酊
rutile	金红石
interiorly	在室内
lifo	last
cockneyfy	使具有伦敦人的特性
ponticello	琴马
twain	两
winning	成功
tensegrity	无一定尺寸限制的结构
perfect	使熟练
rhapsodic	狂想曲的
experientialism	Ik9spIErI`enFElIzEm/
rational	合理的
actinochitin	放线菌壳多糖
gulch	冲沟
jarless	稳定
bessarabian	比萨拉比亚人的
thinking	思想
episcopalian	主教制度的
vaginitis	阴道炎
liberally	公平地
nyt	New
chemotropic	向药性
syncretize	结合
correct	正确
lawrencian	=Lawrentian
schistoid	片岩状
babiroussa	野猪
fanwise	如扇形地
lickerish	好色的
tongueless	沉默
nuque	颈背
inscape	构成要素
eristic	争论的
zolaesque	左拉作品
bacchantic	崇拜酒神
indecency	下流
involute	纷乱的
cold	不热情
skill	巧妙
optometer	视力计
araliaceous	五加科
tidytips	宽舌莱氏菊
almemar	犹太教会的讲堂
hilac	linear
plazolite	杂水榴石
carbachol	氯化氨甲酰胆碱
film	胶卷
scv	of
daywork	按日计酬的家务活计
chip	碎片
kinsey	Charles
slaver	淌口水
cursely	该受诅咒地
cana	迦南
threaten	预示
inimically	有敌意地
aubrey	奥布里
waste	废弃
clannish	氏族的
erda	Development
doubtful	疑心的
puddling	捣成泥浆
senior	地位较高的
nevada	内华达州
kronshtadt	喀琅施塔
coitus	交媾
draff	糟粕
ingredient	因素
unpaid	未付款的
septuplicate	一式七分的
autorotation	自转
leptospira	钩端螺旋体
emphatic	显著
mithraic	密特拉教
bioscience	生物科学
mounting	登上
pathognomonic	能确定诊断
knitwork	编织业
acculturize	使……接受外来文化
nooning	午休
dewdrop	露珠
fodder	素材
gaekwar	牧牛王(印度西部原巴罗达
promontory	岬
running	流动
tattered	破烂的
declension	词尾变化
algebraical	代数学的
extended	扩大范围的
studiously	故意地
abye	偿
druidical	督伊德教徒的
seventeenth	十七分之一的
excuse	饶恕
reedy	尖声的
satiation	饱享的
cms	color
vitriolic	讽刺
wild	野蛮
fluey	蓬松的
hunky	匈牙利人
gentlest	温和
altai	阿尔泰语
doltish	呆笨
dogra	多格拉族的
refution	反驳
dibber	挖洞具
betweenmaid	女佣
floodwood	漂流木
time	定期的
erythropia	=erythropsia
lcm	最小公倍数
pentachord	五弦琴
scorecard	记分卡
batter	打坏
decapitator	免去他人职务者
disclaimer	不承诺
stand	站起
sudorific	促使发汗的
examinatorial	考试的
leavisian	利维斯风格的
jesuitical	耶稣会士
pharmaceutic	调药
haemagglutinin	血凝素
fruitlet	小水果
hazel	淡褐色的
unwarrantable	不允许
beauideal	十全十美
panhandle	讨钱
curriery	鞣皮业
snipe	猎鸟
tremulant	=tremulous
playclothes	轻便装
scribe	抄写员
alveolate	蜂窝状
criminatory	使负罪
frugivorous	常食果实的
infuse	注入
asthmatic	哮喘的
wash	洼
adgb	of
naval	海军的
pulverulent	粉状的
rebate	折扣
intonate	吟唱
seat	所在地
bolter	常脱缰的马
aspect	面貌
terebic	芸香酸
unfurl	展示
apocarp	离心皮的果实
tartrated	含酒石的
kneebrush	膝上毛簇
synthetically	合成
horopter	两眼视界
clavicular	锁骨的
rhetorically	在修辞学上
beijing	北京
flown	fly的过去分词
maltworm	豪饮者
emancipatory	有助于解放的
starchy	淀粉的
seditionary	骚乱煽动
contention	争论
garrigue	=garigue
whiteout	乳白天空
plumbaginous	石墨的
equerry	侍从武官
filature	缫丝
dissociate	分裂
ulf	Low
ansate	有柄状部分
slp	Labor
fidge	抽筋
topically	谈论地
strepitous	喧闹的
antiballistic	反弹道的
humoristic	幽默的
unmerge	分解
outmeasure	在分量方面超过
chardin	Teilhard
peke	狮子狗
offendedly	生气
testimonial	推荐书
obtrusively	莽撞
jewelry	珠宝类
bfa	Bachelor
jock	运动员
unexpected	未预料到
ratbaggery	古怪举止
phrynin	蟾毒
waywardly	任性
x	罗马数字10
sensualist	感觉主义者
azalea	杜鹃花
dermatophyte	皮肤真菌
endangered	将要绝种
collide	抵触
discriminability	辨别力
unimpugned	未被指责的
hierodule	圣役
epithalamium	喜歌
polygonum	蓼属植物
conflagate	燃烧
landsat	卫星
exilic	放逐
subsynchronous	亚同步
our	pro
nanocurie	十亿分之一居里
buzz	嗡嗡作响
tribunary	保民官的
doctrine	学说
prop	倚靠人
nominate	命名
moonquake	月震
compensator	补偿者
faint	微弱的
drossy	碎屑
preem	首映
assembled	组合
dud	无用的
haussa	=Hausa
borak	嬉弄
detonation	爆炸声
curse	诅咒
intuitionism	直观论
magma	乳浆剂
newsroom	编辑部
magnetite	磁铁矿
signal	用信号通知
lordly	贵族的
agreeably	愉快
footstock	=tailstock
mondial	全世界范围的
quilled	有硬毛的
ndea	国防教育法
retinoscopy	视网膜检影法
quadrisyllabic	有四个音节
tipple	致醉的饮料
apogamous	无配子生殖的
respectant	向后看的
necrophagous	吃腐尸
toneme	调位
occlude	使锢囚
rideress	女骑者
piagetian	皮亚杰关于儿童思维发育理论的
cashmere	开士米
hysteric	歇斯底里症之发作
millepore	多孔螅
sjd	Doctor法学博士
taletelling	讲故事
sphenoid	楔状的
consign	托运
prismy	棱柱
gymnosophist	修行者
metier	工作
synoptic	对观福音书
aminophenol	氨基酸
ceaselessly	不断地
deathplace	死亡
deflocculation	抗絮凝
behoof	好处
eutrophied	超营养作用
process	进行
titular	有名无实
mid	中间
violable	易受侵犯的
settings	设置
inextricable	逃脱不掉
diaplasis	回复
orem	奥勒姆
vigorously	精神旺盛地
reduction	变形
diorthosis	矫正术
conversance	精通
grain	谷物
overroast	把……烤得过度
anoxic	缺氧
shelf	架子
contracted	收缩了
crassilingual	有厚舌的
curvilinear	曲线
gloriously	光荣地
mature	充分考虑
mcluhanesque	麦克卢恩学说的
melitriose	棉子糖
swoop	猛扑vt攫取
microlithic	细石器的
herborize	采集植物
bice	绿色
hypergolic	自行着火的
lay	打赌
sewage	装下水道于
syncretic	融合
degradedly	[
contain	容纳
kvar	kilovar
interstation	台际
caressing	爱抚
dimness	微暗
argufy	说服
impressure	印象
living	起作用的
lockout	停工
ichthyolitic	鱼化石的
genealogical	系谱的
proposal	建议
cantonization	划区
fanback	有扇形靠背
bacterioscopy	细菌镜检查法
now	目前
figurable	能成形的
ineloquent	不传达表情
unilocular	单室
deprecation	祈免
alaskan	阿拉斯加的
columbian	美国的
bluejeans	粗蓝布裤
polypoid	水螅似的
fuzz	作绒毛状飞散
bullpout	=horned
tendril	卷须
fulminatory	怒号
proof	不能透入
unbearable	无法忍受
psikhushka	=psychoprison
cytotropic	向细胞
scapular	无袖外衣
irrepleviable	不准保释
thematic	主题的
quinsy	扁桃腺炎
unreflecting	无思虑的
calculatedly	故意
answer	答辩
fontal	原始
arala	印度产的鹳类
xanthochroism	黄色现象
ned	Edward
chapeaubras	绸三角帽
woolly	羊毛
ashman	清道夫
antifreezing	防冻
dun	微暗
liable	有责任的
petting	抚摸
state	国有
tomium	啮喙
transferrer	转录的人
square	弄平
cloddish	土里土气的
readership	读者人数
calvarial	颅顶的
ultimate	最终
sweepingly	扫荡地
tervalent	三价的
gag	作呕
unwelcome	不受欢迎
upbeat	欢乐
recherche	讲究的
astrophotometry	天体光度测量
appropriable	可侵吞
triggerfish	热带鱼的一种
tatpurusha	两个名词合成的复合词
gayer	华美
chemotropically	向药性地
allopatrically	单独地发生地
fast	忠实的
ravishment	强夺
dissolutely	荒淫
humbleness	卑贱
spermatophorous	精子包囊的
pictorially	绘画般
glycosphingolipid	鞘糖脂
wearproof	防磨损
gushy	流出的
attention	立正!
lankiness	过分细长的
nidi	nidus的复数
bhadon	印度历的6月
existentialist	存在主义者
nematocide	杀线虫剂
subjacent	在下方的
porphyrization	粉碎
expedite	派出
gummiferous	有树胶
tricksy	狡猾的
subaltern	下
boomlet	略为繁荣
elephant	一种纸张的尺寸
predistortion	预矫正
clear	空旷的
roi	of
pleading	答辩
declivitous	向下倾斜的
unshakable	坚定不移
oceanological	有关海洋学
rebut	反驳
catechist	问答式教授者
worship	尊敬
early	早期
orthonormal	标准正交的
teen	伤心
wuzzle	混合
finish	终止
novelese	拙劣小说的写作文体
psn	number
testiness	暴躁
brawly	喧嚷的
gynecopathy	妇科病
dens	齿状部分
lionhood	名人地位
sociobiology	生物社会学
fellmonger	毛皮商
plantigrade	跎行的
med	Sea
virginity	处女
irreproducible	不能繁殖的
chairoplane	旋转飞椅
traveled	旅客多
polynomial	2
hedonistic	快乐论
chlortetracycline	氯四环素
identic	措词相同
congruity	一致
sas	Special
character	字符
choosy	好挑剔的
mechanics	技巧
dagger	匕首
obligatory	必须的
synesis	非成文造句法
aeciostage	锈孢子期
veteran	老兵的
eudaemonic	幸福的
beanball	击中打击手之头的球
