onfound	使混淆
ultraviolet	紫外线辐射
sinkage	下沉
prepayment	预缴
attitudinal	态度
cowtail	有牛味
unconstrained	不受强制的
scurrilous	说话粗鄙恶劣
clathrate	窗格形
beauteously	美
dingily	暗黑地
gandhian	甘地的
lactoovovegetarian	乳蛋素食者
knawel	纱球草
conchae	半圆屋顶
cornered	有角
differentiable	可区分
inseminate	栽植
subclavate	略似棒形
clop	发得得声
flowing	通顺
utilitarian	功利论者
pediment	山形墙
parkland	温带之草木区
correlativity	相关关系
shiur	犹太人传统课
philippines	菲律宾群岛
sedimentable	可沉淀的
compute	估计
ably	能干
yetorofu	=Etorofu
gutty	生气勃勃的
counterplot	用反计
humate	腐殖酸盐
strac	战略陆军部队
rosarian	玫瑰花栽培者
dbms	数据库管理系统
hermetic	密封的
excorticate	剥去……的外皮
sebaceous	脂肪过多
margarine	人造黄油
degasify	排除……的毒气
burdensome	繁重
armangite	砷锰矿
unaccountable	无法解释
swidden	临时性农田
chargeable	可记在某项帐目上
over	结束
policy	政策
aarnet	the
flit	迅速飞过
muzzleloader	前装炮
worshipful	可贵
do	可用
somatosensory	体觉
mezcaline	=mescaline
scepter	授予节杖
ferocious	十分强烈的
rudely	无礼地
semiyearly	半年一次的
frequentative	表示反复动作
damsel	处女
evillooking	相貌凶恶的
barbicel	羽纤支
fill	填充
ream	令
spadework	基本研究
ataraxy	心气和平
chromatin	核染质
acidifier	成酸剂
resourceless	无资力的
elegance	雅致
nullification	废弃
anonymity	作者不明
saleroom	销售活动
spoonbill	篦鹭
tsoris	烦恼
chromize	对处理
saving	存款
trellis	格架
cegb	Generating
mopey	没精打采
spindle	纺锤
ungirt	不缚带的
blackboard	黑板
commensal	同吃
optometrist	视力测定者
cathodal	阴极的
hereditable	可继承的
waterlogged	浸满水
quaker	教友派信徒
histidine	组氨酸
pc	Personal
current	草写的
frequentative	表示反复动作的
adder	猪鼻蛇
haven	港口
doa	on
curlypate	有鬈发的人
chalybeate	铁剂
meretricious	俗气
umbellar	伞状花的
idioglottic	自我语法的
consider	考虑
pilferage	偷盗
herbary	药草园
wareroom	商品储藏室
knotweed	紫菀科植物
caespitose	丛生的
racer	比赛者
floristic	植物的
proteiform	多型
sulfate	硫酸盐
ripsnorting	了不起的
foucquet	Nicolas
downy	丘原
galactopoietic	催乳剂
embolic	插子的
copperworm	衣裳蛀虫
cgh	of
exquay	码头交货
meteorologic	气象学
pedestrianize	使无车辆行驶
pure	抽象
ethereality	轻妙
rising	起立
goodman	夫
sciurine	松鼠科的
southmost	最南的
urnflower	瓮花草属植物
ultraclean	超净的
nautical	船员
desalinize	除去盐分
neatherd	牧牛人
lima	利马
hiding	隐匿之所
octangle	八边形
asean	East
cyprian	淫荡的人
conquerable	可征服的
botheration	讨厌!
obsidionary	=obsidional
cultrate	锋利且尖锐的
sessioneer	=session
tajo	塔霍河
illinoisan	伊利诺斯州人的
stormy	有暴风雨
fun	玩笑
angioma	血管肿
unwit	使丧失智能
finecomb	仔细搜索
jellyfish	水母
continuous	持续的
simulator	假装者
shakiness	不坚定
auc	founding
grisly	令人毛骨悚然
ptolemaic	托勒密的
felicitation	庆祝
buran	布冷风
putter	置放者
valeric	颉草的
flunkey	穿制服的仆役
quizzical	引人发笑的
upstream	逆流地
homosexuality	同性恋
lowball	向虚报低价
sweepback	后掠角
eyewink	霎眼
explant	外植体
plutocratic	有钱有势的
ignatius	伊格内修斯
transferability	可转移性
barbarous	残暴的
unlighted	未被点燃的
inductile	没有延性的
thereagainst	反之
baculiform	杆状的
skyey	高耸云霄的
rushing	旺盛
obelisk	疑问记号
tilt	以言词或文字抨击
decamp	秘密而匆忙地移居
quivive	谁
scuttle	天窗
flageolet	六孔的木箫
lacunosis	网状
microteaching	微型教学
worry	担心
secretory	促分泌
gunnery	重炮
camphene	莰烯
sweepstakes	赌金
anestrus	不动情期
broad	宽阔部分
shivering	颤抖的
grub	食物
renunciative	脱离关系
polarisation	=polarization
apollyon	亚玻伦
arsphenamine	六零六
platiniridium	铂铱
acutilingual	尖嘴
communicate	传达
norsteroid	去甲类固醇
weldable	可焊
scraggly	零乱
rooty	根似的
roundly	全面
olea	oleum的复数
prolific	丰富的
muttonhead	笨人
premium	奖金
binate	成对
snubbingly	冷落怠慢地
noblesse	贵族阶级
ark	约柜
aseptic	防腐剂
inertial	不活泼的
bridle	昂首
unbeknown	不为人知的
mirror	典范
subhepatic	肝下
yielder	屈服者
taps	熄灯号音
sailing	航行
indigoid	靛蓝类
duds	衣服
photoinduced	光致的
marked	显著的
promptitude	敏捷
stem	干
dungeness	crab
furbelow	饰以俗丽的装饰
electrograph	传真机
dilutive	冲减每股收益的
optotype	试视力字体
poikilothermic	冷血动物
monospermal	单种子
dumpy	粗短
democritean	德谟克利特
experimentalism	试验者
pneumonolysis	=pneumolysis
shoreless	没有岸
seti	extraterrestrial
mellowness	怡然
cancha	手球场
sanidine	透长石
frisian	Friland的
bastardize	使质次
unsubstantial	薄弱的
denali	德纳里峰(即麦金利山
cinerous	灰色
zamboanga	三宝颜
rendezvous	在指定地点集合
allegorization	讽喻方式的叙述
josh	玩笑
howl	喝住
heartstricken	悲痛欲绝的
xenix	微软开发的用于PC机的UNIX操作系统
transcontinental	横贯大陆
flog	鞭策
olent	有气味的
reen	沟
floriculture	栽培花卉
laval	似熔岩般灼热
shockheaded	头发乱蓬蓬
emcee	司仪
uncontradicted	不矛盾的
nonentanglement	不牵连
costless	无须付出代价的
ralline	秧鸡科
hand	交给
tenacity	坚韧
cinchonize	使金鸡纳中毒
linguatulid	舌形虫
ventriloquial	口技
incorruptibly	不被腐蚀
ichthyotic	鱼鳞癣
inherency	天赋
fruition	成就
neptunian	海王星
scrambler	扰频器
valdez	瓦尔迪兹
lunatic	疯狂
sulk	生气
ingrained	彻底的
unbefriended	无人扶助的
dissociate	游离
plaza	露天汽车停车场
overhead	高架
creviced	有裂缝
sadhu	苦行僧
hose	用软管浇水
crafty	狡诈的
leftlaid	左搓
lexigraphic	词素文字
specifical	=specific
bucker	突然跃腾使骑者摔下
organic	组织
choplogic	诡辩
enate	母系亲戚
viticultural	葡萄栽培
haemophilic	嗜血
naw	不
shakable	可摇动的
ashy	苍白
deadwood	朽木
flambeau	有装饰的大烛台
singly	直截了当
windup	挥臂准备投球的动作
vtc	Compression
washingtonologist	华盛顿学家
unrecognized	未被承认
enthrall	迷住
pop	抛出
rasp	刺耳声
home	家庭的
foolery	蠢事
casuistry	决疑法
prosecute	起诉
surgent	澎湃的
capucine	=capuchin
emesis	呕吐
parsonian	帕森斯社会学理论
table	桌子的
synechia	虹膜黏连
alcometer	测醉仪
wetland	沼泽地
commend	推荐
reign	统治时期
plagiarize	剽窃
andes	安第斯山脉
late	最近
spar	晶石
exteriority	在外
hereat	此际
sunny	照耀
unremitted	未赦免的
tell	吩咐
hoosegow	监狱拘留所
kindlessly	薄情
restrainedly	有限制地
fibrillous	纤维状的
digitalose	毛地黄糖
strikingly	醒目
procurance	获
gloss	光泽的表面
semiurban	半城市的
puggry	印度人用的头巾
uneventful	平凡
hsaa	Advancement
canadian	加拿大人
lynch	诽谤
spongious	海绵般多孔的
chrysophyte	金藻
seismonastic	感震
elf	恶人
reperforator	复孔机
digit	一指宽
medical	医学
chrysarobin	柯桠素
upcast	向上
whp	water
abdomen	腹
swat	重拍
deep	纵深
subcapsular	囊下
sooty	乌黑的
imbody	拼凑
heterotopy	异位移植
atremble	发抖
realize	了解
metapsychic	心理玄学
flowery	华丽
suburbia	郊区居民
coparceny	=coparcenary
female	女子的
laryngeal	喉的
weird	超乎事理之外
owlish	面孔严肃
towel	手巾
tee	T字形
bleaching	漂白的
runover	超过篇幅的排印材料
deed	契约
iconometer	直视取景器
effusively	热情洋溢
whipsaw	利用一方打击另一方
ameristic	不分割的
kelleg	锚
rapine	掠夺
word	字
entozoologist	内寄生动物学
hid	hide的过去式和过去分词
subdolous	有点狡猾的
sinneh	=Sanandaj
dog	卑鄙的人
demagoguism	煽动方式
odour	名声
heathland	欧石南丛生的荒野
lookum	吊车棚
flexure	打褶
ensorcellment	迷惑
grand	盛大的
radiophone	光线电话机
enate	母系的
homozygotic	纯合基因的
surjective	满射
catchweight	无体重限制的
yearbook	年鉴
orchidist	兰栽培者
totality	全体
usphs	Service
occlude	使闭塞
foreordination	预定
marcando	=marcato
boorish	乡土气的
copulation	交配
circumspection	慎重
jointer	接合人
videoporn	色情电视
saccate	囊状的
housework	家务
unembroidered	简单的
candle	对着光检查
incoherently	无条理地
oddly	奇特地
cumulostratus	层积云
prey	掠食
tcs	station
arsenical	砷
willow	柳树
strac	Corps
amimeche	I
schoolmate	同学
biyearly	两年一次
resume	重新开始
prosecute	告发
deterrence	妨碍物
tattersall	塔特萨尔花格呢
epsom	英国
pointillist	点彩派画家
hefa	Higher
unbent	不屈服
unassuming	不装腔作势
naeb	Educational
grasping	贪婪
econometric	计量经济学的
unvanquishable	不能征服的
foozle	笨拙的人
wise	狡猾
grinningly	露齿而笑以示
stoke	大吃
ppe	Ploitics
done	注定要完蛋的
taint	感染
gmbh	股份有限公司
jeer	嘲笑
quick	急剧的
iatrical	医学
epidural	硬脑膜外的
pyrogen	热原
pool	共享
enforce	执行
themselves	她们亲自
soddish	极坏的
substantive	独立存在
jointing	填料
bumpity	=bumpety
testacean	贝壳的
gramineous	青草味的
hoarsely	嘶哑
fecundity	丰饶
testacean	贝壳类
assumably	大概
auriscopic	耳镜的
concentrical	共中心的
treacherousness	奸诈
convexity	凸状
brokenhearted	极度沮丧的
incorrigibility	难望矫正
suctorial	有吸附
underlaid	置于下面的
unhip	非赶时髦派的
whisk	扫帚
throwback	阻止
toucan	犀鸟
cybele	西布莉
scr	Scout
unremitted	继续不断
inspiratory	吸气
mithraic	密特拉神的
labouratory	研究室
xanthein	花黄素
flocculus	一丛柔毛
counterelectrophoresis	对流电泳
lomentaceous	节荚的
plp	Party
sled	用雪橇运
paint	颜料
cantonment	兵站
menstrual	一月一次
spintherism	闪光幻觉
catoptrics	反射光学
macronutrient	大量营养素
virion	病毒粒子
gold	金币
counterdrive	反强攻
hand	搀扶
ox	牛
someway	以某种方式
micromeritics	微晶学
cyprian	放纵
erne	白尾鹫
gummatous	梅毒瘤的
transitional	过渡期的
ridable	可以骑的
undetermined	未确定
edge	尖锐
khfos	=Chios
muddle	使微醉
sartorial	缝纫
isolato	与世隔绝者
blae	青灰色
safener	安全剂
funny	有趣的
asexually	无性
stingy	小气的
callous	无情
aga	宗教领袖
lackluster	暗淡
notionalist	理论家
ringlet	小圈
disharmonic	不和谐
scarcely	简直没有
present	礼物
thermalgesia	热性痛觉
snatchy	不规则的
computerizable	可以电脑处理的
shutdown	停工
eccentric	古怪
vlbi	baseline
cleanser	清洁剂
conservative	守旧
jsp	Java服务器页
psoas	腰肌
inexpressive	无表现力
dna	acid
naxian	纳克索斯岛人
othello	奥赛罗
veracious	准确的
event	精力
innocent	清白的
monochromatic	单频的
waylay	伏击
crewmate	同船工作之船员
elliptic	椭圆形的
sphenoid	楔状
omniscient	全知的
biocidal	杀生
stylish	流行
stannous	含有锡的
frank	老实的
winter	对……进行冬天保护
controversial	争议的
clou	中心思想
botswana	博茨瓦纳
reflexible	可反射
intelligentsia	知识界
antitrade	反贸易风的
rude	粗鲁的
enforceable	可实施
fob	混骗
pedestal	搁在台上
containershipping	货柜运输
ppm	per
schumpeterian	熊彼特的
adjustive	调整的
eremurus	独尾草属植物
introspective	反省的
witted	头脑……的
decillion	数达1
tyrannously	压制
handwoven	以手织机编织的
fertility	丰产
fasten	扎牢
gftu	General
file	用锉刀锉
imp	小淘气
dirtily	龌龊
waver	犹豫
disbursement	支付
excitatory	兴奋的
uninspired	平凡
hexagonal	六角形
baccalaureate	学士学位
meliorative	改善
hurricane	飓风
hypostatization	使实体化
sterile	毫无结果的
improvvisatrice	女即兴赋诗朗诵者
myth	神话
inexact	不精确
exhilarative	使高兴
defrayal	支出
haematological	血液学的
sparsely	稀少
womanlike	像女人
gelable	能变成胶状
sundry	各式各样的
stump	截去
magnetic	有磁性
visive	视力
pyramidion	小金字塔
prognathous	下巴突出的
velutinous	有绒毛
prewar	战前
miesian	密斯建筑式样的
sickee	道德败坏者
senary	以六为基础的
silex	硅石
lessee	承租人
lumber	砍伐木材
changer	改变者
taoist	道士
eunuchoid	似阉人
apt	敏捷
sedately	镇静
outdoor	野外的
animatingly	鼓励地
bigoted	顽固
themselves	它们亲自
substantiate	证实
roydon	克里登
sophistic	强词夺理
apical	顶上
boomerang	回飞棒
uptodate	最新式的
milieu	周围
micronutrient	微量营养素
flaringly	华丽而俗
snatchy	断断续续
distichous	二列
interlocution	对话
lumber	乱堆
proprietary	所有的
useless	无益
barbadian	巴贝多人
rowboat	小舟
timberwork	木结构
nccw	Catholic
twistification	歪曲
capitulary	法令集
spate	大水
kevlar	纤维B
amimeche	Member
unbuttoned	无拘束
corydon	农夫
drolly	诙谐
nietzschean	尼采哲学的
submedian	位于近中央处的
eunomia	欧诺弥亚
thumbmark	拇指痕
trisomic	一套半染色体的
sleazy	质量差的
ddn	Defense
wrest	费力取得
gastrology	烹饪学
objectively	客观地
novel	异常的
monotony	单调
efficaciously	有效地
enserf	使成农奴:
involve	笼罩
pernoctation	彻夜不眠
limacine	似蛞蝓的
fmi	taire
invertible	颠倒的
minorite	小兄弟会修士
dance	舞蹈
continentalism	大陆主义
emulate	仿效
apathetically	无动于衷
quadriplegia	四肢麻痹
morose	郁闷
unreasonably	不合理地
gruffly	粗声
infective	会传染的
countrify	使土里土气
abscond	潜逃
dissertation	论文
preatomic	原子弹使用前的
filiopietistic	过分表示孝敬的
collaborative	合作
stemma	侧单眼
zwinglian	茨温利
unfoiled	未被击退
vase	花瓶
break	休息
inanimation	不活动
visitatorial	访问
ocherous	含赭石
weakly	软弱地
heroicomical	戏谑性的
tripodic	有三脚
incorporation	组成公司
herpetic	疱疹的
fin	鳍状物
chewie	橡皮糖
anniversarian	为庆祝周年纪念而演说之人
semiannular	半圆形的
legpuller	捉弄
swart	有害的
subdual	缓和
overawe	威慑
cdgps	Positioning
circumvent	智取
veinstone	脉石
starfish	海星
teen	激怒
sadhu	圣人
ninny	笨人
overall	全部的
unef	Nations
hoodoo	不祥的人
scheme	图谋
bacteriform	细菌状的
bashlyk	头巾
algorism	阿拉伯数字系统
northeastwardly	向东北
sempiternal	永久的
impeccability	无罪
rammish	象公羊的
honestly	公正地
whyever	无论为什么原因
aristate	有刺
decipher	密电译文
resplend	灿烂
heterogeneous	异类的
doughty	勇敢的
refractory	难熔
askance	斜
resale	再贩卖
fess	供认
photophilous	嗜光的
striven	strive的过去分词
guanidine	胍
recherche	罕有的
loo	洗手间
marshy	湿软的
infrared	红外线
delicate	灵敏的
apolitically	非政治地
key	使用钥匙
malleolus	踝
droog	流氓团伙成员
auteur	电影导演
aapss	American
stormy	多风暴
swellish	时髦的
taletelling	搬弄是非
stactometer	滴量计
zincky	含锌
concomitant	伴随物
oos	无库存
flamboyance	华丽
unoffended	未被冒犯
ileac	回肠的
rack	变形
calvarial	颅顶
antemeridian	上午
acidimetric	酸量滴定
kennel	狗屋
late	迟
hyp	疑病
speculum	金属镜
colorific	产生颜色的
pert	Evaluation
wheelbase	前后轮之车轮轴距离
watertight	不漏水的
quinacrine	阿的平
saving	挽救
bedclothes	床单被褥类
organic	器官
foreworld	史前世界
illegitimation	认为非嫡出子
clot	凝结
lethargize	使无生气
subinfeudatory	受分封者
escapeproof	十分牢靠的
solicitudinous	挂念
verbid	动词的非谓语形式
bdtr	Data
wound	伤口
fibbery	小谎
eternity	永远
cleanout	清除
pipit	田云雀之类
somnivolency	催眠药
windbaggary	空谈
wilding	野生的苹果树
mechanoreception	机械感受作用
townspeople	市民
glumpy	忧郁
quits	两相抵消
logorrhea	速语症
vivify	使生动
menstrual	月经的
prow	船首
undergo	遭受
overrule	驳回
tafia	塔非亚酒
horrific	可怕的
ectogenic	外生的
man	Area
text	课文
pensile	做吊巢的
depopulate	人口减少
lingy	石南很多
goldbrick	假金砖
broadcloth	一种精细棉布或人造丝织物
nongovernmental	非政治的
seed	结实
marginalia	旁注
coopery	制桶
alchemic	炼金术的
pipelining	流水线操作
dihydrate	二水合物
wharf	靠码头
retour	回到原地
counterplot	对抗策略
sculpsit	由……所雕刻
mount	衬纸
hongi	毛利族人的以鼻相触的见面礼
beanball	投中打击者头部的球
garuda	揭路荼
stoup	大杯子
insufflation	喷洒
demark	区别
teledu	獾类
ebn	north
nidamental	缠卵的
who	那……
cubby	小房间
dart	飞奔
bespeak	预订
russophobe	厌恶俄国者
hope	信心
crablike	似蟹行般的
insanity	精神错乱
acronical	日落时发生的
testamentary	遗嘱的
ceratin	=keratin
hierachical	等级制度的
streptococci	的复数形
invertebrate	无脊椎动物
instrumentally	仪器地
yaf	Americans
shin	爬
furred	毛皮制
profound	意义深远的
homonymous	同音异义的
dispositive	决定性的
groin	使成穹窿形
narcissist	自我陶醉者
ethos	风气
altocumulus	高积云
koumiss	马奶酒
admirer	景慕者
unscale	刮去的鳞
cap	戴帽子
counterprogram	9kaJntE`prEm/争夺观众
indelible	不能拭除
strategy	军略
ila	Association国际码头工人联合会
lox	液态氧
undoubled	不再对折
pricy	=pricey
excess	额外
immobilism	墨守成规
myofilament	肌丝
undemonstrable	难以证明的
enravish	=enrapture
exclusively	排外地
significs	意义学
ural	乌拉尔山脉的
mortally	致命
weldable	可焊的
phenetics	表现型分类法
unfinished	未染色的
atoxic	非毒的
uncleanness	不清洁
aerodynamically	空气动力学地
reducible	可还原的
intravital	作用于活体
inkwell	墨水池
eliminant	结式
dicrotisc	二波
essentialize	扼要表达
abundant	充裕的
about	在……周围
fumy	多蒸汽的
waste	消耗
compress	敷布
incremate	火葬
tortive	扭曲
outspan	去轭
tame	沉闷的
keratin	角蛋白
combust	消耗
westernmost	极西
assertion	声明
derivational	诱导的
foreigner	外国人
avouchment	保证
tweedy	爱穿粗花呢服装
refreshing	提神
accessory	补充
truehearted	忠实的
toft	宅地
lowery	阴暗的
cleistogamous	闭花受精的
surpassingly	卓越
galtonian	高尔顿优生学说
inconducive	无益的
perfect	完成式
gonion	下颌角点
able	有才能
conceptive	有想象
mastication	咀嚼
worsted	精纺的
methoxyflurane	二氟二氯乙基甲醚
unadvised	未曾受到劝告的
analysis	分解
produce	引起
tinnitus	耳鸣
bareheaded	不戴帽子
modernbuilt	现代建筑
blaze	照耀
seismographic	地震仪的
heddle	综线
pugilistic	拳击家
sexist	男性至上主义者
untoward	困难
fitted	按实物尺寸做
breezy	轻松愉快
counterpart	配对物
kvass	克瓦斯
humbleness	粗鄙
curiosa	奇品
bagarre	殴斗
indistinctively	不显著
ungual	爪
unfavourably	不利地
ballistically	弹道学
kirov	基洛夫(旧称维亚特卡
ciliated	有纤毛的
requiem	安灵祢撒
pallid	暗淡的
impeccant	无罪过的
slovene	斯洛文尼亚人的
license	许可
alkyl	烃基
isotropic	等方性的
infirm	柔弱的
interblend	相混
sonicguide	=sonic
koranic	可兰经
subadult	接近成年的人
slime	变粘滑
fnma	Federal
clericate	牧师的职位
mantelet	小斗蓬
hambone	扮黑人说黑人方言的杂耍演员
inquiry	调查
herodian	效忠希律一世
itn	Independent
dishonourable	不名誉的
water	流泪
imaginable	可能
external	表面
elliptoid	椭圆状
bluish	带蓝色
khanate	可汗的领土
locoplant	疯草
dogmatical	教理
illuviate	经受淀积作用
planigale	扁头袋鼠
whitehanded	诚实
singlehanded	独力
hecla	=Hekla
weave	织物
hendecahedral	十一面体的
discursively	推论地
uranology	天体学
brush	刷子
arret	逮捕
gutter	排水沟
pocket	钱
rabble	乌合之众
brace	撑牢
abstractively	抽象地
aboard	在船
yew	紫杉
australasian	澳大拉西亚人
ringwise	成环形
sucrier	糖罐
blast	冲击波
fluvioglacial	河冰的
infatuated	昏头昏脑的
pop	突然出现
typo	排字工
gloss	发光
excitement	兴奋
airliner	客机
steeliness	钢制
goldenrod	秋麒麟草属植物
streaked	不安的
saltationist	突变论
poikilitic	嵌晶结构的
client	顾客
means	想要
quindecagon	十五角形
caulicolous	附生在他种植物茎部
otherwise	别的方式
sudsy	肥皂一般的
gutterman	卖便宜货的小贩
italian	意大利语的
postorbital	眼窝后部的
famed	著名
iaf	Federation
systemic	全身的
tortious	侵权行为
manicotti	番茄沙司烙通心粉
final	报纸最晚版
proprietor	经营者
referenced	引用的
rake	耙子
dantean	但丁崇拜者
aurelian	昆虫采集家
warrant	批准
pare	剥
makable	可标记
adiabatic	绝热的
ophthalmitis	=ophthalmia
innumerability	无数
borak	挖苦
franseria	佛伦塞属植物
snugly	尚可
scullery	碗碟洗涤处
repentant	后悔
versatile	万能
daffodil	水仙花
tapeta	tapetum
diffusible	可传播的
feverish	狂热
epigram	警句
fumatory	烟薰的
wigged	戴假发的
disembosom	泄露
puffy	一阵阵吹的
retributive	报应
cry	喊声
unerringly	无过失
indebted	负债
cruelty	残忍
unsyllabic	不构成音节
afrikanerdom	南非白人统治集团
aphthoid	像口疮的
rsvp	you
tryptophan	色氨酸
combo	小型爵士乐团
bicorporeal	有两个主要部分的
ferment	酵素
president	总统
verticil	环生体
nonfigurative	没有比喻用法
bumbledom	妄自尊大
inferior	下级
calf	小腿
mantelshelf	壁炉架
design	花样
contumacious	不听令的
automatic	自动的
mortlake	弓形湖
ligulate	舌状的
elaborately	苦心经营
concern	关注
tradition	惯例
hippophagistical	食马肉的
masonry	石匠职业
formfitting	合身的
megabit	兆位
granular	由小粒而成
pictograph	古代石壁画
obviosity	显然的事物
bestially	野兽
enormously	巨大地
catching	传染
planigraph	图器
refurnish	再供给
babysitter	临时照顾幼儿者
homophonous	同音的
dsrv	deep
chinatown	唐人街
hyperglycaemia	高血糖症
reconcentrate	再集中
catafalque	灵柩台
sympathetic	有同情心
connatural	先天的
evan	埃文
nouny	具有名词性质的
methodically	有系统
notum	背板
frighten	惊恐
friskful	活泼的
periphrasis	迂回说法
kyack	驮袋
ironclad	打不破的
champion	战士
ribby	精疲力竭的
downstage	在舞台前
imbrute	残忍
folly	放荡
shaef	Headquarters
unimpassioned	不感情用事的
desire	期望
inoccupation	无职业
snoopy	爱管闲事的
pooch	狗
euphemistical	婉转的
aerotaxis	趋氧性
unacquirable	不能获得的
push	进取心
piratic	盗版的
ichthyoacanthotoxism	鱼刺中毒
oncidium	金蝶兰属植物
digest	摘要
juratory	以誓言表达的
tiepin	领带别针
restoration	复职
autochthon	土著
mazurka	玛祖卡舞曲
rehear	复审
ceriferous	产蜡的
bimillennial	两千周年的
veto	否决
valued	经估价
flinch	畏首畏尾
intellectual	智力的
polyploid	多倍数体
excursion	偏移
waistline	腰围
satisfaction	满足
tryptophane	色氨基酸
coryphaeus	主唱
furcate	分叉
partialness	偏爱的
wnp	威尔士国民党
ftc	Trade
scalar	数量
leeway	退路
indispensable	不可缺少的
zululand	祖鲁兰
scaletail	鳞尾松鼠
archeolithic	旧时器时代
transracial	不同种族间
jingoish	好战主义
plumbiferous	产铅的
sulphinyl	亚磺酰
atomix	Atomix
semistarved	半饥饿
trinary	三倍
corolline	似花冠的
unattended	没有同伴
screech	发出尖锐的声音
nulliparous	未产妇
indonesia	印尼
oppressive	压制性的
tide	趋势
perennial	四季不断
nbw	west
chawbacon	乡下人
keelboat	一种河船
deterrent	威慑
lawny	草坪般的
plotz	变得激动万分
impedimentary	妨碍的
floozie	粗俗的女子
aerometer	量气计
echograph	音响测深自动记录仪
changeful	富于变化
leukocytotic	白血球增多的
errand	使命
distressing	悲伤
floodlighting	泛光灯照明
ursine	象熊
scrofulous	淋巴结核
overturn	翻倒
yellowknife	耶洛奈夫
recruit	新分子
gastronomic	美食法
sigillography	印记学
immensely	庞大地
horsetail	马尾
irreversible	不能撤回
modernminded	有现代头脑的
dank	阴湿寒冷的
plug	插上
wavelike	波浪般的
bookmarker	书签
jury	临时应急
pop	流行的
afterglow	夕照
colourfast	不退色
dextrane	=dextran
flushing	使人脸红的
boniface	小旅店的老板
setback	顿挫
aging	使变老
unromantic	平淡无奇
holomorphic	对当
endogenic	内生的
divorce	离婚
prettily	悦人地
repeal	废除
catarrhal	鼻黏膜炎的
crackpot	疯子
ventriloquous	口技的
breathless	气喘吁吁的
bujumbura	布琼布拉(旧称乌松布拉
unfathered	私生的
counterstroke	反击
polarity	极性
tungstic	钨
marvel	奇迹
hindrance	妨碍
australian	澳洲的
untapped	塞子未开的
cycas	凤尾松
studious	勤学的
kanggye	江界
hydremia	稀血症
perceptible	感觉得到
jut	突出部分
unbounded	极大的
gemel	铰链
reflexible	可反射的
restructure	改组
homopolar	同极
superlatively	无上
stressor	紧张性刺激
unassuming	不装腔作势的
teenager	十几岁的青少年
undistinguishable	难辨别
puling	哀诉
thematic	主题
reconcilably	可调停地
multiparty	多党的
birdbath	供小鸟戏水或饮水的盆形装饰物
overfull	太满的
sensibly	敏感
hematopoiesis	造血作用
ekman	dredge埃克曼采泥器
pyrex	耐热玻璃
offhandedly	立即地
printmaking	版画复制
blockette'	NULL)
tcb	care
delphinium	飞燕草
intramuscular	肌肉
underemployed	学非所用
maenad	狂女
threnody	悲歌
underage	未到法定年龄的
sequestered	偏僻
titicaca	的的喀喀湖
protophyte	原生植物
carl	乡下人
miniature	缩小的模型
tactful	圆滑的
retractable	可收回
colossus	巨人
loathly	勉强
present	现在的
posh	极好的
avengingly	复仇地
complot	共谋
bosom	隐匿
geocentrical	以地球为中心的
undisguised	不戴假面具的
furred	穿毛皮
parietal	体壁
fetch	演绎出
himyaritic	希米亚里特文化的
ferreous	硬如铁
taeniasis	绦虫病
rimous	多裂口的
diaphone	对应音
sphagnum	泥炭藓
hypercorrect	纠正过头
angora	安哥拉猫
hattery	帽商的货品
tsetse	采采蝇
unconstrained	不受强制
rarified	=rarefied
doddery	蹒跚
quoin	榫子
especially	尤其
preterlegal	不根据法律的
enophthalmos	眼球内陷
masterpiece	名著
emancipate	使摆脱家长的管教而获得合法权利
times	时期
biennial	二年生的
tremendous	巨大
registrar	注册主任
galipot	松脂之一种
uncdf	United
harpy	鹰身女妖
fremd	外国
home	回家
waygoing	出发
aca	特许会计师学会准会员
veracious	真实的
hairtrigger	一触即发
infinite	无限的
ariose	旋律的
bicron	毫微米
sketch	勾画
dab	熟手
pentamer	五节聚化物
pardon	宽恕
synclinal	倾斜的
gauchist	激进分子
ditchwater	沟中的死水
househusband	操持家务的丈夫
affirmatory	确定
climacterical	=climacteric
mats	军事空运局
gravitate	移动
nihility	无
duplicity	口是心非
palma	帕尔马
puppy	小狗
becility	聪明
totally	整全
eventually	终于
nympho	慕男狂
inveiglement	诱惑
cowrie	宝贝科宝贝
strickle	磨快
inbeing	本质
pragmatize	使实际化
scoring	得分
concomitancy	共存
honduranean	=Honduran
telepathist	研究心灵感应术者
onwards	在先
extent	宽度
put	发芽
famed	著名的
londony	有伦敦特色
standpipe	管体式水塔
petty	不重要的
integrality	完整性
panic	恐慌
yucca	丝兰
dat	数据文件的扩展名
diction	用语
fluorometric	使用荧光计
whirlabout	旋转物
incapacitation	无能力
faculty	全体教员
pleach	编织
labourer	劳动者
distasteful	不愉快的
duodenary	十二
telegraphy	电信技术
demand	需求
tottery	蹒跚的
submission	降服
newsdealer	报刊经售人
omelette	煎蛋
muster	集合
queerness	不快
cessation	停止
nonobjectivism	抽象艺术
electropositive	阳性的
originate	起源
percentum	百分比
glulam	胶合层积材
conciliator	抚慰者
cowtail	似牛
undesirous	无欲望的
incognito	化名地
industrialism	产业主义
msie	of
audiotyping	录音打字
external	客观的
pogonia	朱兰
vitriform	玻璃状
detoxicant	麻醉的
hodgepodge	大杂烩
ivr	交互式语音响应
set	Electronics
applicably	可适用地
clinamen	趋势
bleak	凄凉的
passably	尚可
styptical	收敛的
