chrysograph	中世纪时代用金色或金银色墨水所写的文件
dizzy	使人晕眩的
crooknecked	曲颈
commy	共产主义者
manana	明天
praiseful	赞扬
pokey	无趣的
annam	安南
derogation	减损
atmometric	蒸发计量学的
usurpatory	侵占
seigniorage	君主特权
tuck	食物
prolific	多产
refinement	精致
opposeless	难抵抗
hades	冥府
chickling	雏鸡
fearless	无畏的
unloveliness	不漂亮
doozy	非常出色的人的
mutinous	反抗的
carbine	轻型半自动或自动步枪
err	做错
levkas	莱夫卡斯岛
gamey	=gamy
viscerotonia	内脏强健型
snapshot	急射
catonian	严厉的
invalid	残废者
mut	人
demurely	认真地
visceralization	内脏感染
syphilitic	梅毒的
repose	静止
overvalue	对……定价过高
soppy	湿透的
tinge	色调
ordinance	法令
unsought	未寻求
incrassation	增厚
ccd	Device
sapric	含极腐烂生物
wafd	华夫脱党
physiographic	地文学的
patulous	扩展
saccharize	使糖化
homophonic	同音的
ertebolle	新石器时代文化的
exorable	可说服的
pachyderm	迟钝的人
ovipara	卵生动物
shamash	=shamas
inexpedience	不适当
dde	Data
lydian	吕底亚语
electrodeposit	电镀
bargainor	卖方
novelette	中篇小说
cynosural	引人注目的
echo	回波
ziram	福美锌
sunburnt	起晒斑的
pulpous	果肉状
calcarious	=calcareous
call	叫牌
avail	有利
phallical	阴茎的
adjustive	调整
neostyle	复写器
limn	描写
squally	起风暴
semilethal	半致死
hardcore	中坚分子
metaphorical	隐喻性的
chip	芯片
plasmolysis	胞浆分离
hebrides	赫布里底群岛(被小明奇海峡分为内赫布里底群岛
slosh	溅
upstairs	楼上
gritstone	砂岩
thy	pro
pleasurable	合意的
jerk	牛肉干
mhz	兆赫
gigglish	好咯咯笑
solubilize	增溶
atelectasis	肺膨胀不全
sportfishing	消遣性钓鱼
pattern	形成图案
mishap	灾祸
cingulum	带状之物
mend	修补
pestle	杵
taymyr	=Taimyr
mavrodaphne	马弗罗达夫尼酒
parade	检阅
biliverdin	胆绿素
breakwater	防浪堤
mbfr	Force
cineangiogram	血管荧光电影记录
chromomere	染色粒
graeae	格里伊三姐妹
longshoreman	码头装卸工人
madid	湿润
apostatic	背教的
antipodal	正相反的
colter	犁刀
tubificid	颤蚓科环节动物
scissorsbill	愚笨的人
waziristan	瓦齐里斯坦
homochronous	同期发生的
affection	影响
catalufa	彩色大眼鱼
backless	无后盾
stably	稳定
helianthus	向日葵属的植物
sebaceous	脂肪质的
palatal	上腭音
limited	缺乏创见
nympholept	狂热者
distinguishability	可识别性
serous	浆液
prefrontal	额叶前部
misinformation	误传
abreast	并肩
zebu	瘤牛
narrowly	精细地
obovate	倒卵形
epistemic	认识
exoneration	免除
hurtlingly	疾驰
wider	宽的
subtersurface	表面下的
bowels	内脏
schoolmarm	女教师
frosting	霜状白糖
tappit	有冠的
discussible	可议论
mercurian	水星人
mephistopheles	恶魔似的人
hyperphysical	与物质无关的
worthy	有价值
eliminate	除去
outcross	使异型杂交
corporately	共同地
understrength	力量不足
tail	尾部
smsa	Metropolitan
recessionary	衰退期
soterial	救世的
digitated	有指
service	服现役
insusceptibly	无感觉地
scission	分开
irresoluble	不能解决的
distribution	发行
hillside	山坡
uninventive	才能
sassy	厚脸皮
sleigh	用雪橇运输
tramontane	来自群山彼边
verse	诗篇
impoverish	使枯竭
plowhead	=ploughhead
add	补充说
agress	攻击
renunciate	抛弃
lovelorn	失恋的
aftershaft	后羽干
towards	对
sideling	斜
beautyberry	紫珠
sinless	清白的
acronically	ally
fruitlessly	徒劳地
cashew	腰果树
buy	买卖
peaky	多峰
sixfold	六倍的
teleological	目的论
hobart	霍巴特
burglarious	窃盗的
recommendable	可取的
jackladder	木踏板绳梯
abound	充满
edaphology	土壤生态学
nightside	夜面
quick	急剧
mouthful	满口
uraemic	尿毒症的
ivba	Volleyball
appointor	财产受益人
aseismatic	抗震
skillful	熟练
pseudo	冒充的
yva	长江流域管理机构
adducent	内收
zacharias	扎卡赖亚斯
prior	预先
chimeric	荒诞不经的
strengthen	巩固
sparganum	裂头蚴
america	美国
rowdydowdy	喧嚷的
cyclothymic	循环性精神病患
gag	压制言论自由
buddhahood	成为佛陀的状态
underfinanced	财力不足
halt	停止
flightless	不能飞的
run	追究
polyclonal	多细胞系
wit	智力
simonize	把……擦亮
flaring	引人注目
sunk	凹陷
grits	粗玉米粉
opisthion	颅后点
indiscernible	看不见
juke	用假动作诱使离位
epistle	使徒书
thunderhead	圆块积云
rcaf	Force
devise	遗赠
thankfulness	感谢
computerate	非计算机盲
crass	粗鲁
constable	治安官
cauterant	灼烧
sectile	可切
vow	立誓
anamorphism	岩石变性
telekinesis	心灵遥感
bir	Inland
nonproficient	不熟练地的
present	出席的
encoignure	墙角柜
oracle	主要生产数据库产品
golden	金黄色的
rammish	腥臊味的
flavorful	充满……味道的
cyclophosphamide	癌得星
calk	填充……以防漏
matrimonial	与婚姻有关的
fairly	还算
reinaugurate	为……重新举行就职仪式
glenoid	浅窝的
atopic	遗传性过敏症
diuresis	多尿
cavitate	空化
nonconforming	非一致性
rookery	海豹等之穴
lustre	=luster
discipular	信徒的
orgone	生命力
charry	似炭的
reassurance	放心
demetrius	德米特里厄斯
great	强烈
backformation	逆序造词
poor	卑鄙的
arytenoidal	杓状
undistinguished	普通
conakry	科纳克里
chauffeur	司机
queue	排队等待
adjuratory	恳求的
rhyming	押韵
cagy	小心的
weiner	=wiener
iconodulic	崇拜偶像的
kbe	Empire
fog	以雾笼罩
nychthemeral	随昼夜差异而变化
crankery	怪诞念头
knucklejoint	指节铰接
teiid	臼齿蜥
monoacidic	一酸
leptoprosopic	面孔狭窄的
elegancy	优雅
parachute	降落伞
troublous	动乱
affine	仿射
prizefighting	职业拳击
guitar	弹吉他
knightlike	正义
arrhizal	没有根的
satellization	卫星国化
freak	畸形的动物或植物
abase	降低
edo	Extended
indigested	杂乱的
ointment	药膏
esplanade	游憩场
cupping	杯吸法
phytoplankton	浮游植物
afield	离开
customary	惯例
adulterate	掺杂
rosinweed	松香草
kraal	关着栏栅的部落
maker	制造者
sidetrack	使受牵制
dislikable	可憎
monist	一元论者
portacaval	门腔静脉的
atmospherical	空气的
choleraic	霍乱性
backstop	挡网
azury	青色的
straight	直
conglomeration	混合物
earnest	真挚
embassy	大使馆
vasostimulant	促血管舒缩剂
procne	普洛克涅
parturition	分娩
vinify	用……酿酒
orins	Institute
sanguine	血红色
adamite	人
aspirant	有野心者
accoucheur	产科男医师
might	力量
unconfessed	未供认
semiconsciousness	半意识
topology	拓扑学
boa	蟒蛇
furring	皮毛衬里
upriver	上游
cashmere	羊绒
deposition	革职
boathook	钩竿
ltjg	Lieutenant
calced	穿鞋
razee	拆除上层甲板的船
assuredness	确信
residually	剩下
hyperconscious	过于敏感
dustup	骚动
iupap	and
garnishry	装饰
agonisingly	烦恼地
neontology	近代生物学
audacious	卤莽的
hawaiian	夏威夷人
oary	桨状
primordial	原始的
gemeled	成对的
wort	麦芽汁
fecal	渣滓的
cense	燃香
hoarstone	灰色的古石
upswept	向上斜
ceramide	神经酰胺
diabolology	魔鬼学
scrofulosis	瘰疬质
flatways	平面朝前地
struggling	苦斗的
unveracious	不讲真话的
ashur	Assyria
colidar	相干光雷达
lay	外行
quotidian	每日的
ladrone	强盗
ampoule	一次用量的针剂
condemnation	谴责
hyperkinesis	=hyperkinesia
tress	把梳理成绺
tetrasepalous	四萼片
whitecap	浪端的白泡沫
unaptly	迟钝地
antirheumatic	防风湿病的
erotogenic	引起性欲的
anamorphosis	失真的形象
equal	对手
tcb	taking
basketfish	筐蛇尾
revisory	修订
tabasheer	竹黄
vertiginous	不稳定
pe	Product
wander	徘徊
signorina	未婚女子
outlast	比……长久
gasometric	气体定量分析学的
nim	夺取
brokenhearted	心碎的
concise	简练
mamelon	圆丘
malodorous	有恶臭
unleash	释放
aborigines	群
swank	打扮漂亮的
phthisical	肺结核
boeotian	迟钝
carabin	卡宾枪
disprize	轻蔑
nauseant	引起呕吐的
unilocular	单室的
commissariat	粮食补给
inorganized	无组织
loot	掠夺物
kincardine	金卡丁郡
painstaking	苦干
synclinal	向斜的
upgrade	往上
pilous	多毛
sevenfold	七倍的
polyopia	视物显多症
general	一般
sanguine	指望的
moralistic	教训
quag	泥沼
hindenburg	兴登堡(波兰南部城市扎布热
overfeed	给吃得过多
winebag	葡萄酒袋
faecal	渣滓的
qea	Empire
listen	听
flicker	闪光
fridge	电冰箱
contagion	腐化
oracular	谜似
saliferous	含盐
annullable	取消的
teentsy	小小
resect	切除
cyclone	龙卷风
dubitative	怀疑
ikaria	伊卡里亚岛
simbirsk	辛比尔斯克(苏联伏尔加河中游城市乌里扬诺夫斯克
tyrosine	酪氨酸
purpuric	紫癜
quoin	突角
unstiffen	使变得灵活
veratric	藜芦酸
prior	在
noteworthy	值得注目的
allred	全在大英帝国版图内的
munch	用力咀嚼
anthocyanin	花色醣苔
chlorosis	变色病
cms	system
radiate	广播
krooboy	克鲁人
mitered	斜接的
admonish	劝告
computerlike	计算机似
reinspect	重新视察
nature	自然状态
fallacious	虚伪的
direction	趋势
echinated	有棘皮的
fix	选定
proestrum	=proestrus
argentous	亚银的
transmountain	越过山的
fddi	光纤分布式数据接口
magniloquence	夸夸其谈
steerage	掌舵
unfriendly	不友善地
pine	松树
francophonic	讲法语的
gory	满是血
inulase	菊粉酶
receivership	破产管理
marasmus	衰弱
paddler	涉水者
saltant	跳跃的
corruptible	可以贿赂的
inosculation	连接
airways	航空公司
defensive	自卫
theatricalize	使成为剧性
dunghill	污秽物
boulangerie	=bakery
assertion	断言
candidly	坦白
enormously	非常地
anesthetic	麻药
reflectingly	反射
headteacher	中小学的校长
explosible	容易爆炸
leathercraft	皮革手工技巧
treasure	财富
briny	盐水
ionomer	离聚物
discretely	离散
treachery	背叛
ingravescent	病越来越重的
impracticably	无法可想
unpolled	未登记
impracticality	不切实际
viennese	维也纳人
presbytery	内殿
barge	游艇
spirituosity	含酒精
cowk	作呕
rotterdam	鹿特丹
clear	清澈
camphoric	搀有樟脑的
matripotestal	母权
jacana	水雉
poise	保持……姿势
tumbleweed	风滚草
impasto	厚涂的颜料
unijunction	单结
water	水生
versemonger	打油诗人
polyphonic	有许多声音
malaysia	马来群岛
antipasto	开胃食物
metonymical	转喻
notarial	公证人
remake	重制
pyogenesis	生脓
anoscope	肛门窥器
gossipist	columnist
improbity	不正直
bum	无价值
recurved	内弯
scheme	方案
ha	哈!
romanization	古罗马化
borak	开玩笑
landlordism	地主所有制
conchiferous	有贝壳
zhdanovism	日丹诺夫主义
agrologist	土壤学家
sylvite	钾盐
fontal	洗礼
traveling	旅行的
dimply	有酒窝
green	新鲜的
kindergarten	启蒙阶段的
proprioceptor	本体感受器
idc	Data
tremendous	极大的
roundly	完全地
enamour	迷住
linty	有棉毛的
sallowish	带灰黄色的
runner	奔跑者
embedded	深入
saturated	饱和的
unclassical	对古典作品不感兴趣的
ratproofed	作了防鼠处理的
glave	阔剑
communalistic	地方自治主义的
competently	适合地
predestinarian	命运注定论的信徒
glost	上釉的瓷器
promissory	允诺的
preference	优先选择
generic	一般
tampax	丹碧斯月经棉塞
texturology	粗质地法
dipteral	有双廊
botchy	难看的
intersected	分割的
calinago	阿拉瓦克语
forge	伪造
supersalesman	超级推销员
podgy	短粗的
queenhood	女王地位
paper	纸的
gloomy	令人沮丧
camion	载重汽车
pepperidge	=black
peremptory	强制的
silkgrower	养蚕人
gingerly	谨慎
measurable	可测量的
ensiform	剑形
multicoloured	多色彩的
elocutionary	雄辩术
funfest	同乐会
fiddler	胡乱拨弄者
byrnie	铠甲
underrepresentation	`QndE9reprI`zIzen`teIFEn/
plaintive	悲哀
sticktight	鬼针草
plebe	军官学校的最下级生
extramarginal	意识以外的
dioxin	二氧芑
frusemide	=furosemide
paintbrush	漆刷
counterplot	将计就计
bushwa	废话
dishing	凹陷的
losing	失败
soggy	浸水的
otalgic	耳痛
nannie	乳母
capitular	牧师会会员
german	德国
gooky	滑腻的
pleven	普列文
undercut	削球
cespitose	丛生的
retrolental	眼晶状体后面
daddle	鬼混
instrumentally	仪器
inebriation	陶醉
intermediary	调解者
rutter	开辙犁
uso	United
freeborn	自由民
sleigh	乘雪橇
gouge	以圆凿刨
insipidly	清淡
cyrenaicism	昔兰尼主义
exacerbation	恶化
malolactic	苹果乳酸
appetence	倾向
ghee	酥油
slavish	奴性
green	精力旺盛
nocent	伤害
excogitative	想出的
king	立……为王
rape	油菜
ductule	小导管
dupable	易于受骗的
countercry	对抗的叫喊声
woman	为……配备妇女
flews	下垂的上嘴唇
deambulatory	走动的
limicolous	生活在烂泥巴中
chinoiserie	具中国艺术风格的物品
tympanal	=tympanic
disadvantaged	处于不利地位的
nigeria	尼日利亚
cmy	减色系统
ragefully	狂怒地
surrender	投降
promises	允诺
aclu	美国公民自由协会
palatably	称心愉快
cherubic	天真无邪
strut	压杆
emperorship	皇帝的身份
pitch	树脂
prosify	使散文化
speir	=speer
admission	允许进入
traditional	传统的
sloppy	多阴雨
revaccinate	再种痘
stem	茎
apparition	幽灵
flysheet	广告传单
blandly	温和
width	宽度
amatory	恋爱
cytoecology	细胞生态学
fervent	炽热
arcadianism	朴素之田园风趣
parolee	凭誓获释者
monarchial	国王
meagrely	贫弱
multifarious	种种的
anaclinal	与四周地层反方向下降
manducate	咀嚼
ruthful	引起怜悯
housebound	居家不外出的
erectly	垂直
nutant	下垂
peasen	的复数
unabated	不减弱的
quiescing	停顿
rhizotomist	采药人
squinny	使斜看
loggia	凉廊
unfurl	公开
greenfeed	青绿饲料
flimsy	易坏的
triones	北斗七星
identic	形式相同
pandemonium	喧哗吵闹
belaud	高度赞扬
conrad	康拉德
quag	沼地
profaneness	渎神
grateful	感谢的
antalkaline	解碱的
chinoperl	Performing
demoid	某地质层组特有
hairlike	细微
kindling	放光
computer	计算机
locutory	修道院的谈话室
highbinding	欺诈
bigness	重大
metathesis	转位
algerine	阿尔及利亚
quantifiable	可以计量
psid	inch
thallous	第一铊盐的
charkha	纱车
orphanhood	孤儿状态
guttulate	有滴状斑点的
widf	Federation
exceeding	过度
comus	司酒宴之神
refusal	优先取舍的机会
shaduf	=shadoof
ifac	国际农业生产联盟
shilling	先令
spy	特工人员
altazimuth	地平经纬仪
tolerate	忍受
puffery	吹捧
resinous	树脂质的
conodont	牙形刺
wont	习惯
trepidation	颤抖
toothsome	好看的
granicus	格拉尼卡斯
serosity	如水液体
ambassadorial	使节
gwtw	Wind
hitlerian	希特勒式
patron	资助人
heartiness	诚实
landler	兰德勒舞曲
stivy	气闷的
impregnate	灌输
lacunose	多孔
unimpressive	不令人信服
anemic	患贫血症的
wctu	Temperance
vamoose	跑掉
achievable	可完成
centennially	每百年一次地
pericardiac	围心
proprietary	私人拥有
grotesquery	古怪
malingerer	装病的人
declivous	下坡的
golden	贵重的
quarterly	每季
kreosote	木馏油
adverbially	当副词
intacta	保持童贞的
fifer	吹横笛的人
debase	降低
hairpin	夹发针
autochthon	土著人
bacony	脂肪质
transkei	特兰斯凯
outrace	=outpace
cave	窑洞
gambir	棕儿茶
neurotrophic	亲神经
bituminous	含沥青
infundibular	有漏斗状器官
carpology	果实分类学
grandpapa	爷爷
hotchpotch	杂烩
fishwoman	卖鱼妇
luetically	疫病地
strangeness	陌生
custodian	管理人
militia	民兵
variceal	脉管曲张
voluminous	体积大
service	仆人
nitrosylsulphuric	亚硝基硫酸的
depth	深
tenzon	=tenson
stump	残余
larruping	特别
valuer	森林地估测者
constrained	拘泥
disarm	缓和
quadrangle	方院
wallaby	小袋鼠
whole	整个
faulted	有毛病
caledonian	苏格兰
aerodontalgia	牙痛
squelch	压制
alleyoop	杭育
sixpence	六便士
unvitiated	未腐败
dipteran	双翅昆虫
effort	努力
pedagogic	教育学的
torpefy	使麻木
cyanurate	氰尿酸盐
fidget	使烦乱
eclipse	衰落
cessative	表示停止
fastidious	难取悦
zhujiang	珠江
andvar	矮神安德瓦里
pitted	去核的
cachalot	抹香鲸
infix	插入词
enamour	使迷恋
sinew	加强
unregistered	未登记的
hamulus	钩状突起
ccd	电荷耦合装置
vaginated	有鞘
rollered	具有滑轮的
collocable	可搭配
codices	法律
tang	有浓味
libate	向……祭酒
squabbish	有点胖
unconsciousness	意识不清
cherubim	智天使
trowel	泥铲
bemire	使弄得混身泥巴
holyday	圣日
isp	互联网服务提供商
photodiode	光电二极管
appetent	热望
geobotany	植物地理学
edaphic	土壤
underhand	手不过肩
stepped	踏
exenteration	取出肚肠
praiseful	赞扬的
apogamic	无配子生殖的
directorial	管理的
nobbily	时髦地
eulogia	颂扬
holohedral	全面
antifungal	抗真菌
isomorphic	同构
harsh	粗糙的
balanoid	橡实形
corruptibility	易腐的倾向
mhr	Member
historiette	史话
parathyroidectomize	给……切除甲鬃状旁腺切除术
finical	过分注意的
spoony	多愁善感的
acerous	无触须
pockmarked	有痘疮的
apomict	无配偶生殖植物
most	很
welt	袜口
disgust	令人反感
hammersmith	锻匠
whizz	精明的人
scramble	搅乱
hdl	lipoprotein高密度脂蛋白
filiferous	有丝状物的
overtrade	贸易过度
ashake	摇动的
i2o	Intelligent
quorum	选出的团体
ixionian	伊克西翁的
yh	青年寄宿所
hieratical	=hieratic
brahma	梵天
packtrain	驮运货物的动物行列
enable	使能够
federate	公布联邦制
inexactly	不精密地
nok	最近亲者
interne	实习医师
proneness	倾向
coryphaeus	合唱团主唱
typhlitis	盲肠炎
scoff	笑柄
requite	酬谢
choreopoem	配舞诗剧
herbage	草本
mafioso	秘密政党成员
uglily	难看
lightly	轻轻地
jaculate	向前掷
girondist	党的
tungstic	钨的
compound	复合的
select	精选的
incredibly	不能相信地
skiscooter	=skidoo
cmh	Honor
shaggymane	一种可食用的蘑菇
wanderer	徘徊者
psychochemistry	精神病药物治疗
lithonephrotomy	肾石切除术
tenor	路程
purpure	紫色
knockabout	流浪汉
subclavian	锁骨下的
uruguay	乌拉圭
unendowed	没有天赋
spacious	大规模
byplay	枝节事故
psylla	木虱
uncomfortably	不舒适地
scheldt	斯凯尔特河
awane	衰落中的
sialagogue	催涎的
permittivity	介电常数
usphs	United
relieve	换班
immanuel	以马利
obsequious	奉承
ambassadorial	使节的
animated	活生生的
kuwait	科威特
bierhaus	小客栈
moreton	Bay
roseanna	罗莎娜
explosive	爆炸物
workgirl	女工
wand	棍
aphthongal	不读音字母的
crimp	卷发
scoria	铁渣
putamen	核
dismiss	下课
discomfort	不便之处
white	白种人
inextricably	解决不了地
dm	数学博士
overnight	昨晚一晚上
barbell	一种运动器械
overproud	太骄傲的
barren	贫瘠的
stearic	十八酸的
rory	罗里
dualistic	二元
barnstorm	在乡区作演说旅行
hoveller	无执照难船救助员
rubbish	垃圾
fidgety	烦燥
msph	of
entellus	癯猿
psephite	碎砾岩
platiniferous	含铂的
holohedral	全对称晶形的
polyglot	通晓数种语言的人
unlike	不相似的
interior	内
explanans	解释要素
cantonal	州
bereave	剥夺
governessy	一本正经的
knitting	编织品
mixotrophic	兼养的
semibold	半黑体
southwesternmost	极西南
touse	使蓬乱
exhaust	用尽
finned	有鳍
organism	生物体
verbatim	逐字
noisy	吵杂
vermicular	蠕动
hydrochloric	氯化氢的
slack	缓慢
bogeyman	精灵
successive	连续
outright	完全的
nucleoplasm	核原形质
aew	warning
flutist	笛手
frowsy	不整洁
nlaa	National
suprarenal	肾上腺
rateable	可评价
msfm	Science
martial	尚武的
allmains	万能供电的
fete	祭祀
moondoggle	月球探测
follicle	小囊
upswell	上涨
reformative	改善
rumour	谣传
gracile	纤弱的
aginner	反对变革的人
inviable	不可能生存
introspection	反省
italian	意大利文化
assonant	类韵
pagandom	异教徒的世界
account	帐目
luminesce	变明亮
suprathreshold	阈上
roupy	患黏膜炎的
paragraphist	=paragrapher
corrosively	腐蚀地
prepubertal	青春期前的
bps	bits
tyke	乡下佬
vibrotactile	震动触觉
antislavery	反对奴隶制度的
bolix	把事情弄糟
niggle	为琐事费心
theater	戏剧
nouny	使用许多名词
hydrothermal	热水的
structuralism	结构主义
blueish	带青色的
impetus	推动力
splinterless	不会裂成碎片的
inexpiable	不能抵偿
hep	熟知的
instillation	滴
sceptre	拥登王位
psychics	心理学
traditionalism	传统主义
entreaty	乞求
blitz	以闪电战攻击
struggling	努力
scaddle	易惊的
poppethead	滑轮轴
dioptric	视力矫正用
roman	罗马字体
ingenious	有独创性的
subcool	使过冷
verve	热情
fruity	洪亮的
chink	裂口
arcuate	弓形
pentahydrate	五水合物
jamaica	牙买加
antifeudal	反封建
vomitive	使呕吐的
impicture	描绘
legally	法律上
trusting	信任的
alternate	预备的
highteen	十八九岁
goggle	使瞪眼
bvm	Virgin
bulkhead	隔壁
hazel	榛树的
time	计时
extramural	校际比赛
extirpation	毁灭
jism	精液
extremity	临死
unswerving	始终不渝的
socializee	适应社会生活者
esophageal	食管
apathetic	无动于衷
cab	出租汽车
vocabulary	词汇
photopia	光适应
quartermaster	军需官
deathlike	象死人的
brickfielder	又干燥又热的北风
anastomosis	相接
dismay	使沮丧
paroxysmic	=paroxysmal
endearing	可爱的
overbid	出价高与
curatrix	女管理人或女监护人之团体
housebroken	经训练的
areometry	液体比重测定法
desalinize	淡化海水
mshe	家政学硕士
proglottid	节片
poort	要隘
drudgingly	辛劳
sheugh	沟
sarcenet	里子
lysogenesis	溶菌作用的产生
troche	药片
tritiation	氚化作用
preemptive	有先买权
ragged	粗糙
kinesthesis	=kinaesthesia
vlbi	long
mmm	Media
antheral	花药的
euhemeristically	神话即历史论地
tokology	产科学
syringa	紫丁香属的植物
dropsical	水肿
sheshbesh	中东15
chain	链
cess	税率
granitic	花岗石
chinchilla	南美栗鼠
elfin	小孩
landskip	陆上景色
epistasis	异位显性
miniature	微型的
torment	折磨
rummage	翻箱倒柜的寻找
lactary	奶
riparian	水滨的
underhand	手不过肩地
fusionist	联合论
heurism	启发式教育法
poetics	诗论
metapsychical	心灵学的
vertigo	眩晕
prorogation	休会
giddiness	眼花
unstuck	松开的
injure	损害
mask	掩饰
esl	a
consequentiality	理论上的一贯性
impedimentary	妨碍
noway	决不……
microtone	微音程
eusocial	完全群居
without	如果没有
baht	泰国货币单位
classical	古典
infant	婴儿
hedonism	快乐主义
pillaret	小支柱
spindly	细长
osteal	骨骼
phrasemonger	空谈的人
flurry	使恐慌
sanctification	使神圣
intermission	间断
millions	数百万
martemper	使等温淬火
inferior	劣等
austerity	严峻
unsocial	不合群的
wordily	罗嗦地
braggart	吹牛的
anthroposcopy	相面术
yewen	用紫杉木做的
withdrawal	退股
assheadedness	傻瓜
debrief	听取汇报
belted	束带
eggheaded	书呆子
meditative	沉思的
apoprotein	脱辅基蛋白
enure	使强固
unbearably	忍不住地
concoctive	策划的
ananym	倒名
deoxidizer	去氧剂
pocketful	一袋之量
functionalize	根据工作人员特定职能分派
padding	填料
vaporizer	蒸馏器
reverberatory	反响
nature	本性
inequable	不均匀
granulometric	颗粒测定
stirring	活跃的
yegg	抢劫金库者
dermatoid	皮样的
noninitially	不是起首字母地
boding	预感
stopcock	活塞
viceroyship	总督之任期
walloping	十足地
undenominational	非宗派约束的
fussily	大惊小怪地
discriminator	鉴别器
enantiomorphism	对映形态
removal	切除
ampullae	圣水瓶
landslip	山崩
silenus	西勒诺斯
musky	麝香
i2o	Input/Output
sop	浸
monumental	非常的
somewhy	由于某种原因
outward	外表
candu	加拿大重水铀反应堆
metatarsal	跖骨的
protrudent	伸出的
compromise	危及……的安全
luxe	豪美
libyan	利比亚人的
panhandle	狭长的土
shoplifter	商店扒手
ingenious	精制
roller	辊子
transplant	移种
bilateral	有两面
overstrain	过劳
copal	柯巴脂
nailbrush	指甲刷
official	公务员
dichogamy	雌雄蕊异熟
humph	发哼声
fungi	由真菌引起的
qualified	有资格
amniote	羊膜动物
patchouli	天竺薄荷
swinge	打鞭挞
homozygote	均质接合体
farmisht	混乱的
goa	西藏高原产的一种羚羊
syllogistically	演绎式地
exhilaration	令人高兴
cero	巨鲐
barroque	巴洛克式
recalesce	再炽热
sneakingly	偷偷地
cattleya	洋兰
maritime	海运的
spectrally	可怕
columbian	美洲
medley	混合的
powder	尘土
catonian	顽强的
procaryote	原核生物
klagenfurt	克拉根福
piratic	剽窃
sadistic	虐待狂
sixpence	六便士银币
errhine	催嚏药
voter	投票者
fluorometer	荧光计
gleichschaltung	划一化
antelope	羚羊
semisomnus	轻昏迷
felicitously	恰当
nonenzyme	不涉及酶作用
tamburlaine	泰姆勃兰
steatitic	块滑石的
furphy	谣传
cheliferous	带螯
viscose	纤维胶
antecessor	前辈
cangue	枷
equate	等同
monbazillac	蒙巴齐亚克白葡萄酒
febrifuge	退热的
underivative	非模仿他人
convulsion	震动
cameralistic	财政或经济
apheliotropism	背日性
outgroup	外集团
claudicant	跛的
weeklong	为时一周
advantage	有利条件
arminianism	荷兰神学家阿米纽派教义
apocrine	顶泌的
imperishable	不朽的
pythogenous	腐生的
balmy	芳香的
haussmannize	以奥斯曼式改建
penological	监狱管理学的
pathogenic	发病的
contracted	契约
akvabit	北欧所产的一种酒
dehair	除去……之毛
wellborn	出身名门的
folkloric	民间传说的
sad	悲哀
blende	闪锌矿
mortal	致命
determinately	确定地
hexane	乙烷
hepatobiliary	肝胆管
stp	protocol
borghese	鲍格才家族
jestingly	滑稽地
fatback	背部肥肉
nameless	不可名状
colourize	着彩色于
whole	纯粹
dendrophilous	爱树的
appetizer	开胃食品
paros	帕罗斯岛
shopgirl	女店员
chevalier	骑士
fulminatory	怒号的
radioman	无线电广播从业人员
wasteful	不经济
sphagna	水苔
congratulatory	庆祝的
trinomial	三项式的
rhq	Headquarters
corneous	似角
snakeskin	蛇皮
achech	有鸟翼的狮身怪物
lookum	棚子
doublet	紧身上衣
voluble	爱说话的
crimp	兵贩子
agenize	用埃净
bondwoman	女奴隶
visit	闲谈
wrcb	战时救济管理局
expectative	期待中的
processionist	行列中人
unfinished	未琢磨的
localize	停留在一地方
hateless	不憎恶的
pullout	撤退
eggshell	易碎的东西
chaliced	杯中
thammuz	=Tammuz
unbag	把……从袋里倒出来
exequatur	领事证书
moult	脱毛
stucco	粉刷
autolithograph	`R:tEJ9lIWEJ`y/9R:tEJlI`WC^rE:f/
masked	戴面具
donable	可赠与
gaulish	高卢的
rob	剥夺
fim	鳍
germanophobia	厌恶德国
floating	漂浮
understratum	底层
expulse	逐出
srs	Regiae
longinquity	久远
pia	Airlines巴基斯坦国际航空公司
rearward	后部
sepsis	脓毒病
piccata	嫩煎小牛肉片
swish	使带着嗖嗖声地挥动
buffoonery	滑稽
unlikely	靠不住的
opponent	反对者
thoroughly	彻底
utricular	有小囊
underripe	部分成熟的
debris	残骸
draught	一网
nut	难解的问题
synonymist	同义词研究者
soudanese	=Sudanese
dislocation	断层
wels	=sheatfish
sonicguide	guide
lanugo	柔毛
avaricious	贪财的
limpingly	跛行
curr	咕咕叫
pierce	突破
egality	均等
uncomely	不标致的
reservation	预约
exempla	exemplum的复数
spinsterish	似老处女
hump	驼峰
trient	=Trento
profundity	深刻
bup	British
countertype	相等型
fellowless	无可匹敌的
ecstasy	入迷
jockey	职业赛马骑师
allo	同分异构的
injuria	违法行为
inductor	授职的人
jughead	笨蛋
kennelman	养狗场主人
quassia	苦木树
inequality	不同
mediocre	普普通通
imagic	形象般
zedzap	是ZMODEM的扩充
polarimeter	偏光计
monospermy	单精入卵
chaffer	讲价
fluster	慌乱
terracotta	赤土色
soed	Dictionary
predecessor	前辈
invigorate	鼓舞
oblong	长方形的
distractible	不专心的
regrow	再生
agonic	无偏差
aplasia	先天萎缩
sodom	罪恶之
eniac	计算机
academy	学会
say	说
ctol	landing
shoddy	以次充好
labialisation	=labialization
shereef	阿拉伯国家的王子
unconcerned	不相关
proofplane	验电板
towering	高耸的
syntagm	结构段
diaconate	执事
