disunionist	分离主义者
scholasticism	循规蹈矩
intuitionalism	直觉说
posterior	较晚
screaming	引人捧腹大笑的
polytene	多线性
thrave	廿四捆谷物
haggis	肺
iridectome	虹膜刀
irreparability	不可挽回
mumble	咕哝
blazon	装饰
unaccommodating	不随和的
impercipience	无感觉
sententious	很多说教式的
usrc	Reserve
tue	星期二
crenel	枪眼
do	算出
victorious	胜利的
nematicide	杀线虫剂
thio	含硫
lowery	阴霾的
systematically	系统地
macrocephalic	巨头的
lienable	可留置的
anthelmintic	打虫药
hyphenise	=hyphenize
ahd	动脉硬化性心脏病
ease	使安心
until	直到……才
relics	崩溃
whish	呼呼作声
discursive	不得要领的
helpmate	伴侣
marry	娶
remembrance	回想
lean	倚靠
inductive	诱导
carbuncled	有粉刺的
tuberose	块茎状
bugs	疯狂的
kidvid	儿童电视节目
pharaoh	法老王
excitant	刺激性的
biodegradable	生物所能分解
nepotism	偏袒
done	做
rashly	轻率
druse	鼻疽
pedicure	修脚
gayly	快乐地
strophulus	小儿丘疹性荨麻疹
bichloride	二氯化物
cockish	自负
deliria	发狂
azury	青色
card	卡片
anuclear	无核
engagement	交战
mudskipper	泥猴
zacharias	殉道者撒迦利亚
apoplectic	易患中风的
piaster	比索
moneygrubbing	蓄积钱财
transcendency	超越
bangup	把……关押起来
hydrargyrism	汞中毒
transmission	播送
miscarriage	失败
naughtily	顽皮地
fictile	塑造
medallion	大奖章
sarcasm	讽刺
borneo	婆罗洲
artificialize	使人工化
cockeyed	傻的
wringing	湿透
minimize	将……减到最少
moniliasis	念珠菌病
pinken	变成粉红色
sheba	Queen
microstomous	小口
sulfureous	硫磺
beaconage	信号系统
septal	氏族的
nannyish	象保姆
coeternal	永远共存
resplendency	灿烂
birch	白桦
nene	夏威夷雁
topically	时事问题
quintessential	精髓的
anchoret	隐者
to	在……之前
hypothalami	的复数
tinplate	马口铁
surpass	超越
bearberry	结红果实的桃类
guildhall	市府
chairperson	主席
mannered	守规矩
scotch	使受伤
unpriestly	不像教士的
chaw	一口
sponsor	发起
macadam	碎石
conferrer	授予者
cheep	吱吱的叫声
nepotism	裙带关系
unpretending	谦逊的
magician	术士
cpsu	of
donald	男子名
ruritanian	想像中之王国的
dexter	吉利
expressive	表现的
nice	细微
amphibology	暧昧的词句
anastatic	锌版术
rsd	Dublin
cautioner	担保人
capataz	监督
aliped	有翼肢
newsflash	简短的新闻报道
spelldown	拼字比赛
gibing	讥刺
rattler	绝顶典型
auditorial	查帐官的
hydrostatical	流体静力学的
unplagued	未染瘟疫的
overcareful	过分谨慎的
bva	英国兽医协会
volos	沃洛斯
rattailed	鼠尾状的
unprofessional	外行的
flako	喝醉的
laughing	带笑
highjacker	劫盗
destitute	困穷的
megaton	兆吨
exophthalmic	眼球突出症
anchormanese	新闻节目主持人的语言风格
chop	排骨
accordant	一致的
creedal	信经的
nonrepresentational	非写实
malic	由苹果取
gerent	管理者
cozy	舒适
screen	掩蔽
summarise	=summarize
slaky	泥泞的
sorbol	=sorbitol
reiver	掠夺者
disconsolate	郁郁不乐的
unwashed	不清洁的
obstacle	障碍
unzippered	=unzipped
dollop	团
unapparent	不清楚
movable	活动
angelic	似天使
lotusland	安逸
schlemiel	笨手笨脚的人
rushes	毛片
pastorate	牧师的任期
authority	著作权威
tartarian	鞑靼人
subsequent	后来的
baric	气压
laomedon	拉俄墨冬
handle	句柄
cathartic	通便
septate	具隔膜的
growler	咆哮的人
rack	破坏
unofficially	非公认地
subterfuge	托词
electrooptics	电光学
iambus	抑扬格
oscule	=osculum
rhamnus	鼠李
reimpression	重印
bevy	一堆东西
taskwork	计件工作
glauberite	钙芒硝
progamete	原配子
phalanx	密集队
reformatory	妓女教养所
sundowner	流浪汉
toxigenic	产生毒素
penult	尾倒数第二音节
rabbanist	=rabbinist
halid	卤化物的
arum	海芋植物
desquamative	脱屑
alveolar	齿槽
xingu	兴谷河
baddy	坏人
company	公司
appulse	趋向
exposed	暴露于风雨中
greyly	带灰地
moravian	摩拉维亚人
spandy	极好的
amphitryon	东道主
dispersal	消散
alamode	上面加冰淇淋的
unit	部队单位
enemy	大敌
fire	解雇
lenitive	缓解疼痛的
spectropolarimeter	分光偏振计
transcortin	结合皮质甾类球蛋白
improver	提高的人
restaurant	饭店
glomerulus	小球
shade	遮光物
metronomic	节拍器
costive	便秘
cod	on
apostrophize	加省略符号
coffee	咖啡色
esculent	可食用的
lauraldehyde	十二醛
bluish	带蓝色的
coercively	强制地
retrocardiac	在心脏后
crafty	诡计多端的
evangelization	福音传道
kale	羽衣甘蓝
conciliate	赢得
daf	空军部
ipse	集成化工程项目支持系统
puppet	木偶
relocation	再布置
dinoceratan	恐角兽的
clinoscope	旋斜视计
inquiry	质询
nauseate	作呕
judicable	应受审判
frolicly	嬉戏地
stopgap	暂时
augustly	威严
vri	Victoria
vinery	葡萄温室
lather	汗沫
parmesan	用脱脂乳制成的坚硬的意大利干酪
farfamed	威名远播的
nilgai	蓝牛
abborrent	嫌恶
beztine	antler
acetarious	凉拌用
liposome	脂质体
fusiform	纺锭状
duodenary	十二进位的
wmo	Organization
cystocarp	藻果
precarious	不稳定
liquidly	清脆
timbered	木造的
whirlicote	豪华型大马车
nds	Directory
hemishere	半球
mavourneen	亲爱
deradicalize	使非激进化
decriminalization	合法化
aeolian	风
miaow	猫叫
heathery	石南丛生的
natsopa	Society
accurately	正确
blackfoot	居住于落矶山脉以东
monocarpellary	一心皮的
copperah	干椰子肉
aminopterin	氨喋呤
rhenish	莱茵河的
unconsummated	未实现
reincite	再鼓励
softy	多愁善感的人
norethindrone	炔诺酮
haut	上流社会
tailpiece	补白用的图片
forensics	辩论练习
unscrupulously	无道德原则地
trifoliolate	有三小叶
strain	拉紧
narrow	精密
erosive	腐蚀性
firehorse	拉救火车的马
suitably	合适地
reemphasis	再度强调
unblushing	不脸红
stressable	可用重音读
brownstone	褐色砂石
incunabulist	精通初期刊本知识的专家
aberrant	异常
seminal	生殖的
wadmal	瓦德麦尔呢
heath	石南
squamaceous	鳞状的
radiolucency	射线可透性
munitions	军需品
supraoptic	视束上方
puzzlehead	思想混乱的人
heroicomical	英雄喜剧的
monobloc	单块的
inquisitorial	严格审问
photonasty	感光性
neurotrophic	向神经
mackinawite	四方硫铁矿
libidinous	好色
steeliness	冷酷
caprylic	辛酸的
factotum	特大型花体大写字母
introspectionism	内省主襆nIst/
alu	Arithmetic
aborative	仔细
symbol	象征
scrutiny	详细审查
testamentary	遗嘱中有的
pig	猪肉
dinkum	诚实的
frugally	节约
vomiturition	连续呕吐
siphonage	虹吸
cauda	尾
worthy	值得的
rpg	角色扮演游戏
tyrolean	提洛尔区居民的
seventeenth	十七分之一
silverless	无银
titanic	钛
hoverbed	气垫床
openhanded	豪爽的
lawless	违法的
promissory	有约束力的
zombie	蛇神
swiss	瑞士人
pointy	非常尖
flute	长笛
peopleware'	NULL)
atabrine	疟疾平
unbed	起床
psychataxia	精神失调
forwardness	卤莽
accountancy	会计学
rough	大致
seriously	认真
radiance	闪烁
deglutinate	中提取麸质
dollar	美元
juvenescent	到达青年期
unwoven	unweave的过去分词
bestrew	撒布
ameban	=amoeban
visitatorial	巡察
nectared	有花蜜的
rics	Institution
podite	附器
mind	留意
aiguille	钻孔器
wrcb	Relief
inciting	煽动
kedjeree	烩饭的一种
velveteen	棉绒
nurser	奶妈
tissular	组织的
iht	Tribune
triphibian	善于陆海空战
sonochemical	由声化学现象产生
flinty	坚硬的
audiovisual	视听设备
corking	非常地
hero	男主人公
terminus	界标
combustible	易燃的
ouster	夺取
breather	呼吸者
signature	署名
gazette	在公报上刊载
mend	改善
foremost	首要地
gdmo	of
riblike	像肋骨的
hemiplegy	偏瘫
demerara	红糖的一种
vendition	销售
exsert	使突出
petrarchan	彼特拉克体十四行诗
entrepreneuse	女创业家
waste	多余的
undying	不死
unaccountable	无法解释的
haggard	憔悴
roadhead	路的尽头
tablet	药片
grum	阴郁
irredeemable	不能赎回的
lame	瘸行
ground	grind的过去式
judas	叛徒
emotion	情感
unbridgeable	不能逾越的
intermediator	中间人
budless	无芽的
alecithal	少蛋黄
eggheaded	书生气十足的
flickeringly	摇曳地
batholithic	岩基
overdose	配药量过多
limitary	限制
vilely	讨厌
cornish	康沃尔郡的
inofficial	非正式
interethnic	不同种族间的
amortization	摊销
grossly	很
rear	用后腿站起
multicentric	影响多中心的
drainage	排出物
physicky	由药物引起
pingpong	乒乓球
premises	立前提
suppressible	可以禁止的
gerundive	动词状形容词
barrator	诉讼教唆犯
chastening	矫正性的
fluorescein	荧光素
razorstrop	磨剃刀皮带
diaspora	犹太人的离散
prattle	天真地说
conferrence	赐给
ammonoid	菊石
floating	浮动的
licorice	欧亚甘草
usher	引座员
overfree	过分自由
hindermost	最靠近后方的
station	岗位
general	概括的
senatorial	参议员的
umbelliferous	有伞状花的
nectar	神酒
allotropy	同素异形
lobeline	山梗烷醇酮
lignify	木质化
apparition	鬼怪
plew	一张海狸皮
eda	Design
obscurant	愚民政策
limosis	饥饿
owler	走私船
abnormity	异形
italianise	成意大利式
multipurpose	多种用途
logical	合理的
homoscedasticity	方差齐性
sav	=saveloy
cytopathogenic	致细胞病变
embark	装于船上
owlwise	像猫头鹰一样聪慧
cpsu	苏联共产党
spirochetosis	=spirochaetosis
alkalescent	碱性
coleopterous	鞘翅类的
galvanograph	电铸版
gassy	吹牛的
penologist	监狱管理学者
maternity	产科的
fixative	固定的
towering	激烈的
mental	智力的
introduction	传入
dilettantish	业余爱好的
remains	遗迹
catheterize	插入导管
lithology	岩石学
wired	极其兴奋
barracks	许多人居住的简陋房舍
ketene	烯酮
wriggle	宛蜒行进
gooseherd	饲鹅者
funambulist	走绳索的人
neologist	新语使用者
dudish	花花公子般的
tennist	网球运动员
hela	cell
incised	有锯齿状边缘的
berberine	黄连素
grouch	闹脾气
swab	拖把
upswell	肿起
inkpad	打印台
floatage	浮力
unpopular	不流行
tupamaro	图帕马罗城市游击队队员
statutable	法规
consultative	咨询
tennessean	美国田纳西州的
ditchdigging	挖沟渠
telephone	打电话
zincy	似锌的
saxicolous	生于岩石上的
tilth	耕地
farinose	被粉的
chastening	惩戒性的
inductively	诱导地
bested	在……境遇
bergamasque	贝加莫舞
regionalization	按地区安排
overweening	自负的
feed	一餐
plant	植物
pourable	流动通畅的
stereotype	套用老套
wysbygi	It
wetter	湿润工
cobra	眼镜蛇
exhibitionism	裸露癖
rakish	潇洒
rattleheaded	愚蠢多嘴
engorgement	暴饮暴食
lampion	装饰用灯
prospect	期望
phantasm	幻觉
bauneen	=bawneen
whorish	妓女般的
proletaire	无产者
bistro	小酒馆
jain	耆那教的
xml	extensible
shako	有檐平顶筒状军帽
camp	露营
outgo	优于
spermous	精子
shanachy	吟游说书人
beautification	美化
ammoniated	与氨化合了的
outsoar	飞在……之上
saxophonist	萨克斯管吹奏者
abnormal	变态的
unlicked	没舔干
mec	机修工
slashing	乱砍
overdaring	过于大胆
quayside	码头周围
unfirm	松散
getter	获得者
housekeeping	家务管理
congest	充血
demandable	可要求的
clannish	团结心很强的
bowman	弓箭手
fade	平淡的
taxless	无税
balzacian	巴尔扎克小说的
enunciator	宣言者
inducibility	可诱导性
headquarters	指挥部
portly	肥胖
ovine	绵羊的
lord	统治者
eventful	重要的
reperusal	再读
transformism	进化论
fascicle	丛
minor	小调
susurrous	=susurrant
laboured	吃力
splayfoot	八字脚的
fabian	拖延时间的
stomata	口
layelder	平信徒长老
nettle	荨麻
chic	别致的款式
sumless	无数
needfire	去邪之火
bald	光秃
ailurophile	极其喜爱猫的人
hesse	=Hessen
diametric	正相反
narrow	气量小的
melodic	调子美妙的
vagabond	到处流浪
baldly	坦率
crewel	刺绣用毛线
suspensible	可悬吊
ploy	策略
kiln	窑
southeastern	东南方的
xanthopathia	黄肤症
joycean	乔伊斯专家
stead	用处
thrasonical	吹牛
nice	正派
geohydrology	水文学
trashiness	没用
declaratory	公布的
coxalgy	=coxalgia
nimblewit	机灵的人
premature	早熟的
shading	留下阴影
seminole	米诺尔人
soothsaying	预言
biscotto	意大利式脆饼
endolithic	石内的
schistocytosis	裂细胞症
receptor	接受器
awing	飞翔
oxidative	氧化
motivic	动机的
catercornered	对角线的斜放
sensuousness	知觉
yawnful	无聊的使人打哈欠
condottiere	佣兵队长
overtly	公然
dcm	Distinguished
crested	有顶饰的
footlights	舞台
zahle	扎赫勒
dps	衰变
brood	一伙
mux	使混乱
reversely	相对
sig	有共同特殊观点或要求的群体
printcloth	印花布料
barefaced	厚颜无耻的
languishing	日趋衰弱的
alkalescence	碱性
sncc	Committee
illumine	启发
pedagogic	教授法
flap	扔
enwrap	包裹
herpangina	疱疹性咽峡炎
muck	垃圾
revealed	显示
semimilitary	半军事
screwball	略带神经病的人
lose	失败
reattempt	重新尝试
workalike	软件通用型的
intuitivism	洞察力
disputability	真假可疑
alors	那末
copious	很多的
folly	傻话
ephebos	的男青年
current	最近
psalmodic	赞美诗篇
improvvisatrice	女即兴演奏者
mia	战斗中失踪的
hydrosulfuric	含氢及硫的
bibliolater	圣经崇拜者
foresaid	上述的
unconditional	无限制
cryopump	低温泵
shalt	shall的第二人称单数现在式
consult	请教
anapest	短短长格
flammable	易燃
resolution	决定
thalamus	花托
inflatable	通货膨胀
randomly	随便地
iiium	伊利昂(小亚细亚西北部的古城特洛伊
set	一批
gemmiparous	发芽的
antrum	房
imploring	恳求的
urological	泌尿科学的
corticated	有外皮
passel	一群
sinitic	中国文化的
smooth	安祥的
hangchow	见Hangzhou
pipsqueak	小人物
asleep	睡着的
horrific	恐怖的
nipple	乳头
disengaged	闲散
fluvioglacial	河冰
camelback	骑在骆驼背上地
drastic	猛烈
isometric	等容积
meningococcus	脑膜炎球菌
xylonite	赛璐珞
bungarotoxin	金环蛇毒素
abuzz	嘁嘁喳喳的
entire	全部的
worthful	可贵的
florescence	全盛期
cebuan	宿务的
referenced	参考的
unexpired	未到期的
febricide	止热的
unresponsive	感受性迟钝
caseworm	在身体周围筑巢的幼虫
grenade	手榴弹
formal	整齐匀称的
antimicrobial	杀菌剂
evocatory	=evocative
desolate	无人烟
indigest	不能消化
involucra	外膜
jezail	阿富汗长滑膛枪
extern	走读生
barrelled	桶装
unperson	没落人物
disappear	消失
geomantic	风水的
tepid	微温
upstand	竖立构件
bonded	以债券作保证的
fallacy	谬误
adonis	阿多尼斯
barrater	诉讼教唆犯
airmanship	飞行术
summerwood	夏材
beady	象珠一样的
serotype	血清型
extraliterary	文学之外
cobdenism	科布登主义
scaffolding	脚手架
regress	逆行
brawling	争吵
hepatopexia	肝固定术
caravaneer	乘敞篷车旅行者
caulocaline	成茎素
baseline	基线
jubilant	喜洋洋
geosphere	岩石圈
snoopy	爱探听
carnation	粉红色
electrotype	制成电版
dynastic	朝代的
sitrep	军情报告
northbound	北行
depredate	毁坏
basting	疏缝
retroverted	后倾的
nickelize	镀镍于
wpc	Police
crepitant	劈劈拍拍响
owlery	鸮栖息
cycloalkane	=cycloparaffin
rummager	翻译者
insipidity	清淡
parasitize	寄生感染
hymnbook	赞美诗集
snifty	卑视的
nexus	关系
goluptious	好吃
togated	着官服的
flattery	谄媚的举动
insistent	坚持不懈
vertiginous	眼花
penitentiary	忏悔的
incitant	兴奋
paginal	每页
meetinghouse	教会
infinitude	无穷数
plangorous	哀号
otiose	多余的
exactitude	精确
zmodem	支持重传
frangipani	鸡蛋花
ariose	如歌
myocardia	的复数
glareproof	防眩
blastema	芽基
scholastic	学校教育
dipterous	双廊堂
chlordiazepoxide	利眠宁
deific	神圣
grandiose	宏伟
tricorne	船形帽
herdman	牧人
touch	接近
gingeli	芝麻油
dustup	争吵
block	街区
mortify	制欲
identic	措词相同的
insectile	似昆虫的
pentanol	戊醇
synecthry	强迫共栖
angiogram	血管造影片
floristic	植物
landslip	塌方
jods	马裤
reappraisal	重新评价
thrapple	气管
catachrestic	修辞生硬且自相矛盾的误用
glow	发光
prove	考验
voivodina	=Vojvodina
beckoning	引诱人
guessingly	凭猜测
intro	的引子
shift	转变
stopped	停止
skycoach	空中大客车
evacuation	撤退
impracticality	办不到
spoony	笨
transvest	使穿异性衣服
destruction	破坏
submissive	顺从的
decimal	以十为基础的
bonbonniere	糖果店
condescend	谦逊
ours	我们的
education	教育
gumshoe	侦察
troop	把编成骑兵连
dormice	睡鼠
phonetic	语音
wand	嫩枝
peptic	消化器官
lilied	百合花覆盖
embargo	禁止出入港口
nauseating	作呕的
coptic	科普特人
sax	石板斧
slimming	减轻体重
embarrassingly	使人尴尬
televisionwise	在电视方面
zilch	零
please	请
horsewhip	惩罚
start	开始
corkboard	软木板
sternum	胸板
poon	胡桐
cryogenic	低温学的
iaea	国际原子能组织
congregation	圣会
ametropia	非正视眼
obsequious	谄媚
arhythmical	无韵律
ebullition	爆发
blitzkrieg	奇袭战法
declamatory	雄辩家式的
coloury	品质优良
sciolous	知识浅薄
unvexed	安详
pvc	Circuit
become	成为
unionides	unio
posh	豪华
bonnily	快活
amphitropous	植物横生
argentine	阿根廷人
rive	裂开
constatation	证实
menticide	心理上的伤害
lapidation	投石
donkeyish	顽固
gastronomy	享乐主义
upright	竖式
kbe	Knight
indeliberate	无心的
reimpose	再强加
dawt	=daut
employer	雇主
illinoisan	伊利诺斯州
plump	鼓起
metabolism	新陈代谢
cran	鲱斗
shaddock	柚子
cannabic	大麻的
nutate	下垂
whizzo	极好的
magnetotactic	具趋磁性的
unsympathizing	不表示同情的
polyonymosity	一人多名
endopsychic	灵魂中
overcharge	使过量装填过度充电
headmaster	男舍监
rbs	British
mudskipper	弹涂鱼
toddy	棕榈酒
excommunicate	被逐出教会的
thecodont	有槽齿的
multipliable	可乘的
affrontedly	被侮辱地
expellent	排毒剂
unaccompanied	无伴奏
pronto	急速
fmi	Fonds
lister	制表人
mesalliance	和低身份者结婚
limbless	无大枝的
cosmopolite	属于世界的
brushwork	画家的风格
calory	大卡路里
letterman	优秀运动员
sarcosine	肌氨酸
atheistic	无神论者的
mythomania	渲染狂
orthography	正确拼字
cytospectrophotometry	细胞分光光度测定法
uml	统一语言模式
cornfed	看来营养健康而带土气
untrammeled	自由自在的
antagonistical	敌对的
philosophism	哲学的思索
adduction	引用
observingly	注意
electroacoustic	电声的
erode	腐蚀
pasture	牧地
contentment	满意
reversional	倒退的
madbrain	鲁莽的人
inguinal	腹股沟
hellhole	非常令人不舒服的场所
pancreatectomize	对……施胰切除术
bear	熊
friended	有朋友
unprophetic	非预言的
triturate	捣碎
telepuppet	遥控机器人
daybreak	拂晓
smithcraft	锻工
cumin	孜然芹
paralysis	麻痹
griddle	烘
thermoset	热固
kashmiri	克什米尔人
thaumaturgist	奇术师
mophead	乱糟糟的头
depasture	吃草
tabs	跳格设定
defoliation	落叶
convincing	有力的
cc	抄送
clepe	名叫
maiden	少女
steely	似钢
comically	滑稽地
retiree	退休者
streetwalking	拉客卖淫
cab	驾驶室
agoraphobe	广场恐惧症
fainthearted	懦弱的
yieldingness	柔顺
angolan	安哥拉的
guileless	正直的
energetic	积极的
guidable	可引导的
cove	小峡谷
prc	中华人民共和国
trammel	束缚
henna	指甲花
jazzist	爵士音乐爱好者
subungulate	次有蹄类的
enneastyle	有九柱的
rodent	侵蚀性
retinol	松香油
lax	松元音
rightness	公正
whopping	巨大
boorish	农民
mortally	致命地
prewar	在战前
sheep	信徒
saint	神圣
occupational	占领
aerobiological	大莆镅У
sturdiness	坚固
homotransplant	=homograft
aggregative	集合
aspidistra	蜘蛛抱蛋属植物
counterplan	预备方案
insensibility	不在乎
mauve	紫红色的
stepstone	楼梯石级
crises	危险期
liberticide	破坏自由
besom	扫把
passable	可通过
concenter	集合
manacle	手铐
enslave	束缚
rare	珍贵
witherite	碳酸钡矿
septipartite	七个部分组成的
superscript	写在上边
restock	再储存
magnifico	显要人物
hypochondriacal	忧郁症
hygrophyte	=hydrophyte
dipsophobia	惧酒症
terebinthinate	松脂
uplifted	举起的
dm	Doctor
sockdolager	突出的人
komi	科米人
broad	显著的
zengakuren	极端左翼学生运动
landward	向陆
wahine	玻利尼西亚妇女
geoanticline	地背斜
lending	出借物
dryopithecine	森林古猿
liquory	烈酒所引起
proclinate	前倾的
broadwise	横
sika	挂绳
tantivy	int
gastral	消化道
vaticanology	梵蒂冈学
cockle	起皱
flattering	奉承的
fawny	近鹿毛色的
ppt	1兆分之……
humiliating	羞辱性的
minimi	的复数
outdare	胆量胜过
xpvm	PVM图形控制台
hydrothermal	热水
actually	居然
tricoloured	三色的
bndd	Dangerous
humdinger	极出色的人
psf	foot
assumed	假定的
scarp	使成陡坡
point	分数
suberate	辛二酸盐
hurricane	狂风
felony	重罪
intracardiac	心脏内的
nettlegrasper	大胆抓棘手问题的人
feticidal	打胎的
sunstruck	患中暑
sememe	义位
pampa	南美大草原
saxicolous	岩生
carrel	单独研究室
polyglottic	=polyglot
furtively	暗中地
biotype	同型小种
modifier	修正的人
patroclinal	=patriclinous
wily	老谋深算
directness	率直
unharmful	不致伤的
suffice	有能力
unladen	的过去分词
unwedded	未婚的
extoll	=extol
adventurous	充满危险
betting	打赌
caudillo	领袖
fatidic	预言
xxxi	31
phanerogamic	开花
unite	团结
fallen	伐倒
sumptuosity	奢侈
scratchcat	凶狠的女人或小孩
revascularize	换……血管以增加心脏的血液供应
azonic	非地方性的
value	确切涵义
sustainer	支持者
pretend	装扮
sub	潜水艇
womanlike	像女人的
unweighted	不被认为重要
hyperbatically	倒装法地
institute	学会
savourless	不风趣的
synecdoche	提喻法
aquiferous	含水
voiced	浊音
screeve	地状
brokenhearted	极度悲伤
waspish	腰细
rummager	检查者
tweedy	粗花呢制的
gastroenteritis	肠胃炎
khurramshahr	=Khorramshahr
sustentive	支持的
crises	危险
puli	匈牙利长毛牧羊狗
mesenchymatous	由间叶细胞组成
katathermometer	冷却温度表
boatable	可行船
capsulary	蒴状的
hypocoristic	表示亲爱的
suspensibility	悬而不决
lenitive	轻泻剂
solemnify	使隆重
prothetelic	先成现象的
pothole	壶穴
olympic	奥林匹亚的
footnote	脚注
trochaic	扬抑格
barbacue	野外宴会
sparaxis	水仙菖蒲
nystatin	制真菌素
drew	draw的过去式
lucern	苜蓿
putrefactive	易腐败的
squashy	易压碎
sensibly	明显地
trigamous	有雄
nullcheck'	NULL)
pronumeral	变元
tripodal	三脚架的
awl	尖钻
flackery	宣传
libertyman	上岸休假船员
poikilitic	嵌晶状
grotesquerie	奇怪
unacquirable	不能获
remarkably	显著地
tarragon	龙嵩
rounding	制圆
towel	用毛巾擦
exacting	吃力的
ubi	无论何时
inadvertence	怠慢
comity	礼让
mistress	女能人
ken	知识领域
mcluhanite	麦克卢恩
malthouse	麦芽制造厂
euglenoid	眼虫
aural	听觉
scabby	结痂的
moreover	而且
last	最后
dilaceration	撕毁
pokey	破旧
ribbing	肋状组织翅
beauish	轻浮
probatory	=probative
arenose	多沙
cppcc	Consultative
careworn	受忧虑折磨
incommunicative	沉默寡言
urge	促进
tough	坚韧的
kiswahili	斯瓦希里语
keerect	正确
underfinanced	资金短缺
amphipath	两性分子的
uncovery	暴露
centra	的复数
naprapath	推拿治疗患者
paratactic	并列的
disclaimatory	表示否认
moray	欧洲海鳗
mixotrophic	混合营养
madwoman	狂女
redispose	再处置
jenghiz	成吉思汗
bland	刺激性少的
sphygmic	脉搏
biodynamics	生物动力学
asturian	阿斯图里亚斯的
vociferous	喊叫
unsocial	不善交际的
nice	细微的
atticism	高雅的言辞
depot	新兵训练营
streaky	有条纹的
manavelins	船具
oarage	划桨
aeromedical	航空医学的
pearly	用珍珠装饰
organum	工具论
sociogenic	社会引起的
brainwash	对人洗脑
telebit	科学信息贮存和发送装置
stuffless	单薄的
initiate	传授
record	创纪录
arroyo	小河
deafness	听不清
zoophytic	似植物之动物的
haemorrhoid	痔
cultivatable	可栽培的
project	计划
pelt	急降
plenty	丰富
distichous	二分的
cryptococcus	隐球菌
sunny	阳光充足的
ush	作招待员
hemipterous	半翅类
mim	假文静
electrotype	电版印刷物
magnetic	有吸引力的
deject	使沮丧
anthema	皮疹
unprofessional	非职业性
blithely	快乐
fenny	住在沼泽
discusser	论述者
tradeoff	交易
upholster	装潢
retrad	向后地
distill	蒸馏
jay	碎嘴唠叨的人
tepid	微温的
cockamamie	假
mainly	主要
ue	United
eminent	有名
tivy	向前奔
receptionist	招待员
argenteous	银灰色
polysaccharide	多醣
gnaw	折磨
frustrated	失败的
tapu	=taboo
affliction	苦恼
tripleheaded	有三个头的
pityingly	可怜地
exultingly	兴高采烈地
wash	耐洗的
frankhearted	坦白
zora	卓拉
sunfed	联合国经济发展特别基金
abherent	拥护者
unloved	未被喜爱的
oxo	氧络
marantic	=marasmic
extrascientific	科学范围外的
rescale	重新调节
leary	空
entente	协定
crossbreed	培育杂种
presentment	陈述
ineptly	无能地
puzzlepated	思想混乱的
gablet	小山墙
mux	多路复用器
sublimate	气质高贵的
speechwriter	演讲稿撰写人
uncombed	蓬乱
semiofficially	半官方地
scuzz	邋遢的人
afterlife	晚年
maharanee	女君主
poikilothermic	变温
nondiscrimination	不歧视
smelt	冶炼
cosine	余弦
suprafacial	同面
sycophancy	谄媚
eff	字母f
gerontocracy	老人统治
everlasting	持久的
righty	保守派
favose	形似蜂巢
subcontrary	小反对命题
copremic	毒毒血症
staple	主要成分
gait	步态
retrospection	回想
absorbability	吸收
statedly	庄重的
sudetic	苏台德山脉
diethyltoluamide	避蚊胺
tiddled	喝醉
mullion	竖框
cowichan	印第安人厚毛衣
dropper	点滴器
torture	痛苦
recommendation	建议
icae	智能计算机辅助工程
rusa	黑鹿
plant	培养
mormon	一夫多妻主义者
bertha	贝莎
annihilator	消灭者
bingy	肚子
agio	折扣
scout	觅得
utopian	乌托邦的
uninformative	不提供信息的
owen	欧文
deoxygenize	除氧
delphinium	飞燕草子
ginny	杜松子酒的
evaginate	外翻
nosepipe	放汽管口
magnetohydrodynamic	[用作刀的
numberless	无数的
tremellose	胶状
derry	歌谣
inconstantly	易变
brokenhearted	极度悲伤的
phocomelus	海豹肢症的畸形儿
haemophiloid	类血友病的
bloodless	苍白
aerophyte	附生植物
socket	窝
esmtp	扩展SMTP
honeymouthed	甜言蜜语
yieldly	支付地
proliferation	分芽繁殖
tubal	管
nonstandard	不规范
candid	坦白的
spiderwort	紫露草属
formerly	从前
gymp	花边
mantilla	连披肩之头纱
draughtsman	起草人
prevailing	流行的
gagger	笑料的作者
marmolite	淡绿蛇纹石
shaven	刮过脸的
hest	命令
dismutation	歧化
microangiopathy	微血管病
elopement	私奔
reinstallment	重新装配
charnel	恐怖
voluminous	庞大的
invaluable	无价
semplice	单纯
jehu	马车夫
herb	药草
picture	描述
subgiant	亚巨星
algorithm	运算法则
loyalize	使效忠
dominancy	优势
punctuate	使用标点
hypersonic	极超音速
bombsite	被炸区域
prosodical	作诗法的
photoinduced	光感生的
argent	象银
destitution	贫穷
brambly	有刺的
melodramatist	戏剧似地行动的人
asseveration	断言
bimillennium	两千周年
nine	九
contribution	捐献
conversancy	精通
telemachus	忒勒马科斯
hydrothoracic	水胸
shallot	葱
intertranslatable	可互译
scuzzy	肮脏
ontogenesis	个体发生
loosely	松散地
bestride	骑
embossment	浮雕
ozonizer	臭氧管
tension	牵力
lithophytic	石生植物的
welsh	威尔士
phat	容易排字的
agrin	微笑的
wats	Area
expressive	富于表情
cabas	提篮
phallical	阴茎
green	未成熟
atmospherium	云象厅
molestation	干扰
psyche	心智
clemency	和蔼
orangery	橘园
godless	不敬神的
declamation	雄辨
featherlike	像羽毛的
surrealism	超现实主义
petal	花瓣
crimped	起皱褶
dint	打
waiting	服侍
shindy	奢华舞会
taligrade	拐脚
chemically	用化学
comfort	使缓和
swinishly	下流
teary	哭泣
southeasternmost	最东南
pony	每日摘要的
