colophony	松香
duster	防尘长外衣
jade	疲倦
hurtling	疾驰
bunraku	文乐木偶戏
rachet	=ratchet
hakka	客家语
vop	估价如原保险单所载
unbolted	未上栓
bogeyman	妖怪
freightage	货运
confusedly	混乱
unadvised	轻率的
aerotactic	趋气性
intended	有意的
googol	巨大的数字
expertise	专门技术
fizzle	嘶嘶声
macedoine	混杂物
daysman	调解人
hydrometeorological	水l/
somber	阴森的
cheliform	螯状
ladderlike	梯式前进的
fragment	断片
holophotal	全光反射的
westy	=West
lymphatolysis	淋巴组织溶解
unimpressionable	不易受感动的
frailty	过失
undivested	未被脱去
leftward	在左方的
insufflation	喷射
kaon	中介子
seedbed	发源地
worth	财产
chimb	凸边
ebulliometer	酒精测量器
overdose	使服药过量
contemptuously	轻蔑地
precessional	岁差
nonsignificant	不重要的
liberative	释放
rational	理性的
duckpins	鸭柱球中所用的短柱
guicowar	=Gaekwar
parking	停车的
score	二十
slowpoke	行动迟缓的人
corollaceous	象花冠的
candid	坦白
dehydratase	脱水酶
controvertible	可争论
degradative	使下降的
great	顺利
zinky	含锌的
medicine	药
afreet	恶魔
beefy	结实
pristane	姥鲛烷
constitutive	制定
ophthalmology	眼科学
dardan	特洛伊人
sagittate	箭头形的
trebuchet	投石机
accusatorial	控告者
coring	地层中取出之圆形岩石样品
do	Dominican
sensualise	=sensualize
branchial	鳃
inelegance	不雅
semidigested	半消化的
cesspool	污水坑
autumnal	已过中年
hotblood	易激动者
uncustomed	未付关税
pds	处理器直接插槽
pleadingly	诉愿地
stratoscope	同温层观测镜
desolate	荒凉的
unexpiated	未补偿
sidetrack	旁轨
magnifico	高官
decumulation	积聚物的处理
confounded	糊涂的
ungodly	不虔诚
fingerprint	采指纹
sperrylite	砷铂矿
drugola	以毒品形式付给的贿赂
metempsychosis	转生
eyepit	眼眶
biostatics	生物静力学
arizona	亚利桑那州
stash	隐藏处
cultivable	可耕种的
downsman	草原居民
rimous	龟裂的
gaolbird	囚犯
wolf	大吃
uranic	星学的
multifilament	多纤丝
disutility	无用
producer	生产者
expostulatory	训诫
pungent	尖锐的
implosive	闭塞
swim	游泳时穿戴的
twu	of
futtock	复肋材
assessable	可估价
cervine	鹿一样
lilied	纯洁的
angolese	安哥拉土人
hemosiderotic	血铁质
whaler	捕鲸船
busyness	忙碌
ruelle	小巷
hexapodous	昆虫
oeillade	秋波
queasily	令人恶心地
antiutopian	具有反面乌托邦特征
fault	过错
finitary	有限性
aeroallergen	气源性致敏原
blanketflower	=gaillardia
basehearted	性情卑鄙的
oxygenation	氧化
transplanter	移植者
fistfight	互殴
keister	小提包
prizewinner	得奖人
reclusive	隐居
rtl	Transistor
pregnant	富有意义
unbelieving	不相信
nonrecoverable	无法收回的
visibility	可见度
unwarmed	未温热过的
unscale	除去……的鳞片
peptize	使成胶体溶液
amie	爱人
omniscience	上帝
nonart	反传统的艺术作品
sulfonic	磺酸基的
spiteful	恶意
trichinous	患旋毛虫病
federative	联邦性
ineffectively	无用地
hippic	赛马
dependency	从属
psychedelicatessen	迷幻品商店
airflow	气流
suasion	劝告
heaves	马慢性肺气肿
dominating	主要
acellular	非细胞组成
kitbag	背包
skunk	臭鼬皮
gnn	Global
inadmissibility	不许可的事
sponge	海绵状物
markworthy	=noteworthy
supertonic	音阶第二音
immediate	紧靠
carlist	拥护卡洛斯争取西班牙王位者
obtrusively	冒失地
manned	有人操纵
musing	沉思
counterdrain	副阴沟
hunt	猎获
sillibub	=sillabub
smsa	Area
scum	泡沫
client	客户机程序
morpheme	形态素
braceleted	戴手镯的
mongoloid	蒙古人种的
chinoperl	Oral
war	打仗
bathybic	深海底
after	与……一致
upsweep	拢上去的头发
incidence	入射
inflammable	易怒
scent	发出气味
propitiatory	和解
craps	双骰儿赌博
halachist	哈拉卡权威
oos	缺货
kobold	小鬼
limbless	无翼的
lamelliform	薄片形
marshall	马歇尔
prescientific	近代科学以前的
unaverage	突出
cantate	圣经旧约诗篇第98
debility	无活力
maths	数学
sess	捐
zi	of
glider	滑行
therewithal	于是
overaggressive	过于放肆
subdue	征服
rhapsodize	狂热地描述
bimorph	双压电晶片元件
fleshy	肉质
poky	迟钝
consuetudinary	习俗
unfailingly	可靠
sacrament	沉默
voltmeter	伏特计
posthouse	驿馆
obtruncate	砍去头部
deciliter	1/10公升
meromorphic	亚纯的
boubou	宽大长袍
teleonomy	目的性
genevese	日内瓦
overceiling	超过最高限度
faulty	有缺点
fondly	溺爱
poltroon	胆怯的
mime	Mail
sib	亲戚
woof	纬线
lifeguard	救生员
symptomatic	有症状的
snippet	不知天高地厚的年轻人
summons	传唤到法院
catarrh	粘膜炎
roed	腹内充满卵
crista	脊
wardian	case
permanent	永久的
tastemaker	创造时髦风尚的人
phototropism	向光性
haymaking	割晒牧草
cutdown	缩小
pyroelectric	焦热电的
lopsided	不平衡的
suppurative	吸脓药
labourer	劳工
inject	注入
opsimath	晚年开始学习的人
scrumptious	极为愉快
girondist	党员
rondel	十四行的短诗
sagaman	萨迦叙述者
exhalable	可蒸发的
lassalleanism	拉萨尔主义
warty	似疣的
ute	轻型货车
ecotage	污染源破坏演示
nonpolluting	不会引起污染的
nobly	崇高
unswerving	不偏离的
penitential	赎罪规则书
sequentially	继续
fearless	勇敢
moonlet	小卫星
villager	村民
refutatory	反驳
loliginid	枪乌贼科
adagietto	更缓慢地
accountancy	会计师之职
sputter	咕哝
unissued	未发行的
import	有关系
renomination	再提名
curial	元老院的
used	用旧了的
swapo	African
inegalitarian	不平等
chaffingly	嘲笑
embolize	栓塞
felv	virus猫白血病毒
pixel	像素
indication	迹象
print	照片
belligerent	交战的
orb	圆形物
anglocentric	以英格兰为中心的
callus	愈合组织
hesvan	=Heshvan
dohc	camshaft
hawfinch	蜡嘴鸟
outgo	消耗
tyrannically	残暴地
rummy	酒鬼
thalamium	内室
upbringing	抚育
bridie	肉馅饼
caterer	指备办宴会者
mel	蜂蜜
viborg	=Vyborg
humdrum	单调的
palatably	美味
decamethonium	十甲季铵
decimal	小数的
anaesthesia	麻木
phanerophyte	高位芽植物
punic	没有信义
stearin	硬脂酸甘油油酯
brickdust	砖屑
confounded	讨厌的
homeward	向家地
torc	金属颈环
bicorporeal	有两个主要部分
break	破裂
proconsular	方总督
optima	光体字体
rite	惯例
inadmissible	不许可的
biparental	来自双亲
intrusive	打扰
whipper	似用鞭子抽打者
endowment	捐赠
negrophilism	亲近黑人
threat	恐吓
fossa	小窝
exhaustible	被竭尽的
diastole	心脏舒张期
browse	吃草
bfa	美术学士
tasmania	塔斯马尼亚岛
seropositive	血清反应阳性
jejune	不成熟
mirky	阴郁地的
unstuffed	不拥挤
belong	属于
troubleshooter	纷争解决者
statutable	法规的
incoherent	语无伦次的
dishonorably	不名誉
hemimetabolic	半变态的
impicture	以图表现
peewit	田凫的鸣声
fungi	由真菌引起
americologue	研究美国社会的学者
pragmatistic	实用主义
monomaniacal	偏执狂
maybe	疑虑
thrust	戳
payload	有效载荷
mace	权杖
excudit	]
kummel	烈性甜酒
hifi	高保真
agitato	兴奋地
unapprehensive	理解力差
heft	重达
imaginably	想象得出
mercery	绸布业
jewfish	海鲈
financing	筹集资金
metho	卫理公会教徒
popedom	罗马教宗的职位
photog	=photographer
virion	病毒体
unprecise	=imprecise
tinkler	小铃
slob	笨蛋
hyposensitive	弱敏
zif	Zero
cop	抓住
saltus	逻辑的飞跃
auc	condita(=in
fun	娱乐
darter	飞奔者
tritanopia	蓝盲
hornet	难缠的人物
curettage	刮除术
turtledove	斑鸠
migrate	随季节而移居
ownerless	无主的
grouch	发牢骚
literature	文艺
woolgathering	空想的
smoke	烟尘
courageous	有胆量的
liber	书籍
endothermic	吸热
statement	声明
able	能够的
pendent	未定
windblown	风飘型的
hopeful	有希望
unlike	不同
noser	强烈逆风
very	特别的
millionth	第一百万
mdccclxxxviii	罗马数字
immethodical	无次序
fatheaded	愚钝
glaum	一瞥
orientalize	东方化
coprolite	粪化石
untold	未说过
bedsock	睡时穿的保暖袜子
leisurable	悠闲
clivers	尤指猪殃殃
ruffian	无法无天的
kickshaw	无价值的饰物
chalklike	似白垩
doomed	命定的
centrilobular	小叶中心
stopgap	暂时的
holden	hold的过去分词
sjaa	Ambulance
ivanovo	伊凡诺沃
gallop	疾驰
interseptal	隔间
endostracum	壳内层
telomer	调聚物
snuffle	用鼻音讲
plagiarist	剽窃者
geographic	理
nationality	民族性
pacesetting	领头
inunction	涂油
truest	确实的
tacitean	简洁且多警句的
wash	流过
strategical	战略
pedlary	廉价品
religionism	宗教狂
pollucite	铯榴石
bemused	困惑的
external	客观
stria	细沟
rotund	圆形
granitiform	花岗岩状
unrounded	非圆唇
snowbreak	雪之融化
newish	稍新的
bp	呼机
welldoing	德行
amply	充足地
pereiopod	胸部附器
deliberation	从容
racialism	种族主义
bavarian	巴伐利亚人
resolution	决心
terminative	限定的
glitzy	眩目
ac	交流
paint	描绘
rheologist	流变学家
pedlary	沿街叫卖
cryptographic	关于暗号的
trinitrophenol	=picric
it	Information
obduct	将挤压至另一板块之上
caramelize	加熔熔化而变成焦糖
moistureless	干燥的
direct	顺行的
eidetically	仍在眼前
suprathermal	超热
alba	Duke
outsung	outsing
imprinter	压印机
gammy	跛足
stypticity	止血
cavity	空穴
cloverleaf	四叶苜蓿形的立体道路交叉点
lawfully	守法地
vendee	买主
vlcc	carrier
effective	被实施的
insatiably	贪得无厌地
flsa	Act公平劳动标准法
calash	篷形女用头巾
negligent	粗心大意
mozetta	带兜帽短斗篷
lemnaceous	水萍科植物
mshe	Home
rainbird	绿啄木鸟
exsufflate	呼出
amyloid	淀粉质
c	字母C
fine	罚款
undefendable	不可辩解的
comedo	粉刺
uneven	不平均
defy	挑衅
lumber	隆隆声
movement	运转
pastorally	牧歌般地
demos	古希腊城邦平民
trochoid	次摆线
stodge	油腻的食物
murmur	低沉连续的声音
birchen	桦树的
couturier	女裁缝师
glassworker	玻璃工人
calcimine	刷墙粉于
scrapbasket	废纸篓
planetologist	行星学家
fretted	附有弦马
confounded	糊涂
irreproducible	不能复制的
parvis	天井
reflexological	反射论
fugacity	不安定
solitaire	单人跳棋
vlsm	masks
postcommunion	领受圣餐后的祈祷
export	出口商品
waygoing	离开
jamesonite	脆硫锑铅矿
semiconscious	半意识
conscientious	尽责的
virginiamycin	威里霉素
fuck	与……性交
ineptly	不适当
amniote	脊椎动物
wetly	有湿气
bedlamite	疯狂
spumescent	泡沫状
umc	台湾联华电子公司
desultory	断断续续的
neolite	新石
spiculate	尖锐的
fecal	排泄物的
slush	烂泥
steep	险峻的
matchstick	火柴杆似的东西
merchandising	商品之广告推销
trichinous	旋毛虫病的
ocellated	单眼的昆虫
citify	使都市化
berth	卧铺职业
acerate	一端尖的
doughy	面团的
inscrutable	不能预测的
damaraland	达马拉兰
druidical	督伊德教的
vesical	椭圆形的
hydrophilic	吸水的
unveil	揭幕
infractor	破坏
comtism	实证哲学
cinemactress	电影女演员
inspectorate	视察员
notchboard	梯级搁板
iis	Internet
quartersaw	把原木锯成四块
oligosaccharide	寡糖
erosive	侵蚀性
rpq	quotation
alimental	富有养分的
undiluted	未搀水
ethnobiology	人种生物学
annihilation	灭绝
enwrap	围绕
philanthropic	博爱
yugoslavic	南斯拉夫的
acronym	只取首字母的缩写词
markhoor	捻角山羊
inchoate	早期的
impeller	推进者
derivative	系出
discomfiture	挫折
surge	使汹涌奔腾
scale	天平
faldstool	祈祷用小案
privation	被剥夺了某物的状态
pharos	航标灯
transconfessional	教派间的
impinge	撞击
movement	乐章
latten	镀锡铁板
openmouthed	惊讶的
fleshpots	奢侈的生活
groovelike	墨守成规的
aut	Teachers大学教师协会
burthen	负担
shoshonean	肖肖尼语的
moll	的昵称
unerringly	正确
ceroplastic	蜡塑的
kabul	喀布尔
hectogram	一百公克
exsert	使伸出
equal	合适的
exchangeable	可兑交
churchwoman	女教友
uncaused	非外因引起
cassegrain	卡塞格伦望远镜
xylophagous	蚀木的
irrefutable	不能反驳
authoritative	有权威
absently	心不在焉地
allocate	分配
whoop	喘息声
cyclopaedic	百科辞典的
braise	蒸
blossomy	花盛开
march	步伐
sulfureous	硫磺的
larrigan	上油高统皮靴
affiliation	从属关系
backfire	逆火
vhf	特高频
souari	油桃木
cocoa	可可粉
coulee	深谷
ignore	不理睬
elaborate	精细
siglos	西格劳斯
attitudinarian	装模作样者
pluto	阴间之神
final	决赛
floor	难倒
grand	极重要的
cerebrotonia	气质孤僻
chucker	投掷者
wive	与……结婚
subjunctive	虚拟的
lade	装载舀出
rate	鉴定等级
passkey	万能钥匙
titmouse	山雀
tomahawk	钺
remedially	治疗
clothesman	旧衣商
below	在……下面
pending	未决
slack	漏水
communicate	感染
imbower	憩于树荫
ensilage	新鲜秣草之保藏
stillborn	死产的
monopolistic	垄断的
eniac	电子数字积分计算机
servitude	使用权
inbuilt	内藏
venal	贪污
histopathologic	组理学说
liminal	阈限的
oni	Office
somatogamy	体细胞配合
autofit	最适合的行高
caitiff	卑劣的
unrepealed	未被撤销的
confessingly	像忏悔者一般
agglutinin	凝集素
warpwise	经向地
catarrhal	卡他
herd	成群
redintegration	复旧
lapm	Modem
crotchety	有怪想的
hawaiian	夏威夷语
whereabouts	所在
bastinado	杖笞
misanthrope	不愿与人来往者
knowable	可知的
surgent	汹涌的
gymkhana	比赛
liverleaf	獐耳细辛
shakiness	不稳定
rbe	relative
refresh	更新
stigmatize	打烙印
retroflex	翻转
communalize	归市
unswathe	拆开
seamanlike	海员般
strut	大摇大摆地走
quarte	四张同花顺
beat	敲打
metaboly	新陈代谢
inbeing	内在
symmetry	对称
posttraumatic	外伤后
transportation	/
luetically	梅毒地
huzza	欢呼等的声音
vlcc	crude
shmegegge	=schmegeggy
dispersible	可分散的
rasped	刺耳
hulled	有船身
aps	Advanced
dryly	枯躁无味地
cosey	舒适
intervention	干涉
transmitter	发射机
tombola	一种彩券
delightedly	快乐
acantha	刺
idea	想法
underclass	一、二年级学生
ido	伊多语
clary	鼠尾草属的植物
oppressively	沉重地
idea	意见
opiumize	用鸦片处理
fjp	Philanthropies
hepatica	獐耳细辛
heterotrophically	不是自养
madonna	圣母像
photocinesis	=photokinesis
hyposulfite	硫代硫酸钠
am	Amplitude
ichthyophagist	以鱼为主食的人
falconry	猎鹰训练术
undertake	许诺
ochlocrat	暴民政治家
contracture	挛缩
joint	贴合
reduce	减少
tungstic	六价钨
spinage	菠菜
eisa	Standard
alternant	交互
rivage	海岸
legislation	法律的制定
putrefactive	腐败
north	在北方
heraclid	自称为大力神赫拉克勒斯后裔的人
retractive	缩进
engraft	灌输
vanish	弱化音
fuck	利用
derangement	扰乱
headwaiter	服务生领班
hiplength	长至臀部
fallage	伐木
gibberish	快速而不清说的言语
becrawl	往……上爬
falangist	长枪党党员
undertrump	将牌低吃
gutty	挑动性的
psychotoxic	有害
arabella	阿拉贝拉
roi	Institute
distributively	分配
chromogen	媒染染料的一种
parametrical	参量的
aldermanry	市府议员或参事之职位
sternness	严格
epoxy	环氧的
stanch	不透水
remarkable	不平常
lapactic	泻药
remonstrator	提出异议的人
dimethylaniline	二甲基苯胺
cleome	醉蝶花属
stem	茎干
roughwrought	粗制
lacunose	凹陷
diatonicism	全音阶
concept	概念
axonometric	轴测法
hakea	哈克木属植物
fallacious	不合理
unsuitable	不适合的
engorge	大吃
apostatize	放弃信仰
kith	亲戚知己
miniaturise	=miniaturize
tacmar	战术多功能相控阵雷达
polymeric	聚合
furcation	叉形
lexemic	词位学
accelerate	促进
cockleshell	海扇
morality	道德的
unadaptable	不能适应的
subcutaneous	皮下的
rendition	翻译
parenthetic	附加说明的
insatiable	贪求无厌的
foreland	前沿地
rounceval	大豌豆
cinquecento	此时期意大利艺术风格
warbler	用颤音歌唱的人
uncannily	危险地
musicomania	音乐狂
living	活的
separative	有分离倾向的
blunder	犯大错
wharfie	装卸工人
antimeric	对称部分的
emulatory	好胜
trashery	废物
this	这
dichasial	歧聚伞花序
acerous	无触须的
detraction	诽谤
crackbrained	颠狂
separate	分开
swirl	涡状形
pother	烦恼
drearily	可怕地
preteen	13岁以下
lrl	laboratory
omniphibious	全能着陆
hydropathic	水疗法的
burladero	木防护板
midsection	中央部分
sputter	发劈啪声
buckthorn	人心果科属树
stochastics	推测学
tumblerful	一杯的量
dewy	露湿的
elective	选任
dedicatory	奉献
uncongeal	融化
howbeit	然而
backroom	暗中
homocercality	正尾
lab	实验室
downrange	发射中心和沿着试验航向地
replicative	复制的
natatorial	游泳的
discontinuance	废止
glost	铅釉药
denunciator	指责者
governable	可支配
cuboid	三次方
electromigration	电迁移
glutton	酷爱……的人
titer	滴定量
radiation	放射物
neva	涅瓦河
carucage	每一卡勒凯特的土地税
fcis	Institute
imaginal	想象的
detergent	去垢剂
polyandric	一妻多夫
fairly	公正地
proceeding	会议录
avulse	撕脱
scillism	海葱中毒
woody	多树木
zoot	=zoot
dragonesque	似龙的
screed	泥水匠用的匀泥尺
backstair	间接
benzaldehyde	安息香醛
sumless	无数的
sillily	糊涂地
band	乐队
footstone	基石
bratty	不服从
last	最近的
saceur	Allied
philippians	腓力比书
wring	扭动
pfda	Administration
ennoble	使高贵
felonious	极恶
beatrice	比阿特丽斯
before	在……之前
incident	附带的
cut	伤口
undemanding	容易
reappraisal	重新估计
sputteringly	气急败坏
defend	防护
morphogenic	=morphogenetic
undescribable	难以笔墨形容
arfvedsonite	钠角闪石
delate	弹劾
stretch	伸长
saliferous	含盐的
delinquent	拖欠债务
summon	鼓起
liable	很有可能的
earthling	世人
pilus	菌毛
ctol	conventional
isotonic	等张
tenia	头带
hydrotaxis	趋水性
epee	重剑术
smoothie	善于讨好女人的男子
possibilist	可能主义者
wolfram	钨
ludditish	勒德主义的
velveret	粗天鹅绒
oxycalcium	由氧钙产生
jodie	征兵不录
accentuation	强调
circulate	传播
principled	有原则
deduction	减除
trigoneutic	一年三化
mastiff	獒
gourde	海地的货币单位
rockfish	岩鱼
lustreless	无光彩
glossarial	词汇的
handraulic	手力
pad	加上衬垫
garp	Research
thunderation	究竟
baae	Aeronautical
tongueless	无舌头
sixpenny	便宜
tipnet	网
oxyhydrogen	氢氧的
roar	吼叫
undevout	不虔诚
frondescence	叶丛
metonymical	转喻的
threescore	六十岁
iad	国际天体物理十年
showup	暴露
rodingitize	使变为异剥钙榴岩
vive	有生气
hermit	隐士
intransitivize	使不及物化
expedition	探险队
ebu	Union
folly	耗费巨大而又无益的事
unadulterated	没有搀杂的
supertransuranic	超重的
reviler	辱骂者
reprocess	再加工
ladin	说拉汀语的人
bodiless	无形的
smallwares	女人用化妆品
aegeus	埃勾斯
dormer	老虎窗
nematocystic	刺细胞
lentiform	小扁豆似的
sciuroid	松鼠尾巴的
hesitatingly	踌躇
outcamp	偏远的营
pine	渴慕
dole	失业救济金
reprehensible	应该谴责
unpoetic	无想象力的
sernyl	苯环己哌啶
stereotype	陈腔滥调
sensuality	感觉性
glumpy	闷闷不乐的
microelectronics	微电子学
unsolicitous	不关怀
streptolysin	链球菌溶血素
regular	规则的
amerindian	美国印地安人或爱斯基摩人
juvie	失足青年
mailable	可邮寄
idiotropic	内向
boundlessly	无穷地
life	生命
pyloric	幽门
adurol	一种显像剂
lapp	拉普兰语
otherworldly	修来世的
unaverage	杰出的
vmi	Institute
kittredge	基特里奇
uncorrected	未调整
indiscriminating	/
headachy	头痛
lealty	信实
vera	维拉
plant	庄稼
betrothed	订婚了
winterless	没有冬天
riffy	连复段过多的
intrant	加入
fan	风扇
whist	无声地
rio	Reusable
doghouse	狗窝
idealistic	唯心论的
conduplicate	折合状
captive	被俘
outbrave	在勇气上超过
jdisplay	J
zoom	图象电子放大
corotate	作同速旋转
threadlike	线状的
sequestrum	死骨片
unclos	Conference
gaywings	少叶远志
dictation	口述
woefully	悲伤
rankle	怨恨
crunode	叉点
sun	美国Sun公司
delectus	拉丁或希腊文选
msbc	Master
pedicular	虱子的
learner	学习者
identical	同样的
calking	塞缝
fop	花花公子
tracery	花饰窗格
cuttlefish	乌贼
abcd	Delivery
autonomy	自治
hobbler	跛行之人或动物
retentiveness	保持力
aristo	贵族
inp	Index
formulate	明确地表达
disfiguration	=disfigurement
curmudgeonly	小气的
venezuelan	委内瑞拉
degradand	被降职者
fenestral	具透明点的
chewy	不易嚼碎
koniology	微尘学
robin	Robin
dialectal	方言的
rosamund	罗莎蒙德
grind	折磨
intertwine	缠绕
cinc	in
multipliable	可乘
littlish	较小的
gneissic	有片麻岩石性质
mughal	=Mogul
septuagenarian	七十岁的
triphyllous	具三叶的
navarin	洋葱马铃薯炖羊肉
unreserved	不隐瞒
heaping	放得太多
ambrosial	特别美味的
griseous	珍珠灰
oppositionist	反对派成员
envelop	包裹
oyes	静听
imputation	污名
kidd	基德
reinforcement	加强
received	被一般承认
skimeister	职业滑雪运动员
areocentric	以火星为中心
revoltingly	叛乱
rishon	里肖恩
onflow	洪湍
forsworn	不守誓言的
esol	操其他语种者的英语课程
skibob	连橇
dislikable	可憎的
nonacceptance	拒绝接受支票
snaky	弯弯曲曲的
cracow	=Krakow
feeblish	较弱
official	官方
displode	=explode
jbs	Birch
russellite	钨铋矿
muscovy	俄国
lippy	爱顶嘴
wecht	=weight
insipidly	没有味道
constate	证实
skice	迅速奔跑
literalism	拘泥于字句
jacinthe	淡橙色
shapelessly	无定形地
pinda	花生果
visitatorial	有权检查的
confounded	困惑的
flattery	恭维话
enunciative	发音清晰
atone	弥补
bubal	狷羚
dsp	数字信号处理
accrete	附着
crossgrained	固执
suspectable	有嫌疑
pasteurellosis	巴斯德菌病
saccharide	糖类
regenerate	新生
over	上面的
hiplength	盖住臀部
equitableness	正当
unimpeached	无可指摘
aggressive	好斗
restatement	重述
dishing	凹陷
unsackable	不可解雇的
eternally	永恒地
equipotential	有相等潜力
blastie	丑陋的矮人
correct	告诫
chowmatistic	理财的
cariocan	里约热内卢之居民
superfecundation	同期复孕
peck	啄食
improvisatorial	即兴的
tangent	接触
transmontane	野蛮的
segregative	分离
mannered	守规矩的
webbed	有蹼的
dialogist	问答者
ifps	交互式财务计划系统
corsican	科西嘉方言的
periodic	定期
cracknel	脆煎肉片
maven	专家
hydraulician	水力学家
field	田赛
dilate	膨胀
carmine	深红色
sigmate	S形
jibe	与……一致
undesirous	不存想望的
punctum	点
clwyd	克卢伊达郡
ocherous	含赭石的
hardcore	赤裸裸描写性行为
spiel	演说
unreckonable	难预测
fix	贿赂
miraculous	奇迹的
flexibility	挠性
accredited	质量合格的
thriftily	节俭
stylistic	格式上的
screwhead	螺丝头
pellicular	薄皮
dialytically	用渗析法
technologic	工艺的
cater	投合
pluriglandular	多腺性的
maukin	=malkin
jadish	毫无价值的
bioclimatic	有关生物与气候的
roper	用索套捕牲口的牧人
livestock	牲畜
pursual	追赶
balkhash	巴尔喀什湖
polyimide	聚酰亚胺
anzac	2澳新军团
potboy	酒馆的侍者
minus	减
norland	北部地方
joint	接合
hiron	工字梁
aspect	方面
ogle	媚眼
suspectable	可疑
clause	条款
marbleize	作成大理石状
paragenesis	:
cutis	皮肤
tedious	单调乏味的
landlordly	房东的
indent	缩排
migration	移民
aspca	Animals
pingpong	桌球
finery	漂亮
accurst	被咒的
scrubby	多短硬毛的
subsidise	下沉
unitarianism	集权制
sponsor	发起人
transporter	输送人
chatty	饶舌的
nhra	National
tedder	翻晒者
graphomaniac	书写狂者
kinghood	国王的王位
breechloading	后膛装弹
bimestrial	每两个月发生一次
tryst	幽会
sixern	苏格兰长型六桨渔船
wire	金属丝
nonenzymatic	非酶
unsubstantial	无实质
tuft	一蔟
radiophonics	无线电发出的声音
dotty	精神不定
space	空地
erivan	埃里温
epaxially	轴后地
cellarer	衣食住管理员
vixen	泼妇
gambol	欢跳
cutlet	炸肉排
spanking	强烈
chapbook	廉价的小册子
classy	上等
uniterm	单元词
lethal	致命
fiery	火焰
turista	旅游者腹泻
stockily	一本正经
kcps	kilocycles
educe	得出
remnant	残余
cameralistic	财政或经济的
rotisserie	电转烤肉架
mean	意谓
remissive	宽恕
custodial	保管人的
hetero	异性恋
supersell	超级推销
pathologic	病理的
skite	一拳
demonologically	鬼神学地
underlet	廉价出租
bucketful	一桶之量
brittonic	=Brythonic
undivested	未被剥夺的
magnesic	镁的
anuretic	尿闭
caricature	漫画
counsel	商议
stirabout	吵闹
ingroup	派系
siquis	圣职人选公告
parure	全套首饰
eristic	论客
arisen	兴起
starting	开始
smooch	接吻
bouncing	巨大
diminutively	仅仅
platte	普拉特河
withering	进行干燥处理的
spicknel	伞形科植物
elegance	优雅
vasculitis	血管炎
sirian	天狼星
jurassic	侏罗纪的
vinegarroon	大形蝎子之一种
ganof	扒手
rollered	装在滑轮上
half	半时
asymmetric	不均匀
irremediable	不能挽回
actinomycotic	放射菌病的
early	早
archenteric	原肠之消化道的
antiwhite	反对人的
creephole	躲藏之洞穴
plastid	质体
laches	疏忽
windsail	帆布制的通风筒
hypsometer	测高计
zigzag	锯齿形的
simulacrum	像
activex	微软倡导的ActiveX
ultraclean	特净
far	遥远地
unapproved	未经同意的
bureaucratise	=bureaucratize
mycenaean	迈锡尼文明的
overeaten	overeat的过去分词
thetatron	角向收缩
integral	完整
accidentalist	偶然论
natsopa	and
camlet	羽纱
rhemish	Rhemish
cystine	双硫丙氨酸
unnecessarily	未必
inscrutable	难以了解的
premiership	首相之职位与任期
priest	牧师
neomorphic	新变体
flaxen	亚麻的
ring	成环形
aristocratic	贵族的
mitt	拳击手套
bearish	粗暴的
hybridist	杂种繁殖者
theory	推测
munificence	宽宏大量
title	扉页
august	August
albumin	清蛋白
smear	抹去
dressing	装饰
cms	颜色管理系统
bento	盒饭或饭盒
chronotron	瞬间计时器
stridulate	吱吱叫鸣
twig	了解
idea	主意
carob	长豆角
wally	第一流的
tisza	蒂萨河
closestool	马桶
leukopoietic	白血球形成
hernial	脱肠
hent	目
rammish	淫荡的
bingle	短发
fulgid	灿烂
virulent	充满敌意
roadable	适于在路面行驶的
chiloe	智鲁岛
nephroid	肾形
equator	赤道
sphacelous	患坏疽的
apprehensible	可理解
nonpeak	非高峰
furioso	强有力地
source	源
inimitable	无比
misknow	误解
martially	好战地
countercharge	反击
economic	经济的
thematic	词干
bani	恶骂
subtle	稀薄的
housemasterly	男舍监式
fimbriate	有须毛为缘
venomous	有毒的
pompom	大型机关枪之一种
recirculation	再通行
shuttle	梭子
mobilize	动员
supplementation	追加
add	计算……总和
saffron	藏红花
calced	穿鞋的
monothematic	单主题
woof	低音
sagittate	箭头形
muddily	下流
phalera	金属圆牌
lindgrenite	钼铜矿
drupaceous	核果性的
transmural	透壁
ammunition	弹药
airy	通风的
sextuple	六倍
local	当地的
outwardly	外观上地
astringency	严酷
left	左侧
customization	定制
sorehead	落魄的
crosshatch	以交叉线作出阴影
bellwaver	徘徊不已
mm	缅甸
functionary	机能
mercuric	水银的
holily	神圣地
odt	Defense
gospel	福音书
armenian	亚美尼亚
hag	丑婆
circumspectly	留心地
subtotal	几乎全部
immortalisation	不朽
private	士兵
zoolatry	动物崇拜
and	及
hastiness	火急
unchangeable	不变的
ort	剩菜
gwyn	Eleanor
vesicatory	起泡
supereminent	极为出色的
language	术语
comitragedy	喜悲剧
sorbose	山梨糖
downcourt	前场篮下方向的
blm	of
arcuation	弓曲
scaglia	亚平宁页岩
equipment	设备
scraggly	凸凹不平的
hvar	机载高速火箭
anthropotomy	人体解剖学
jut	突击
fortalice	小堡垒
corsican	科西嘉人的
magnify	赞美
muckhill	=muckheap
schizoid	精神分裂症的
acrogenous	顶生的
tackle	用具
suplex	后拉抱
earnest	认真的
thrustful	劲头十足的
overparted	分配担任力不胜任的角色的
trendy	流行的
channel	海峡
foamflower	泡沫花
glandered	患鼻疽病
korean	韩国语的
financing	理财
repossession	恢复
