insectivorous	食虫动植物的
iaea	Energy
yield	生产
laicise	=laicize
unsteadily	不稳定
moonfaced	圆脸
perfect	熟练
bipack	二重彩色胶片
ciborium	圣礼容器
unyoke	卸除轭
pillowcase	枕头套
landsturm	国民军
gumptious	机灵
redcoat	英国军人
foliiform	叶形的
threatening	胁迫的
grinding	磨
residency	住处
cloud	云
study	攻读
gigglish	喜欢傻笑
exodontia	拔牙术
unrelatable	不相关的
ache	疼痛
mortally	凡人般
pluckily	大胆地
guarantee	保证
japanology	日本学
astrolatry	天体崇拜
square	符合
map	由LINK工具生成的一种文本文件
airsick	患航空病
bnoc	Oil
apterous	无翅
perimorph	包被矿物
shambles	混乱的地方
synovectomy	滑膜切除术
ticklish	忌讳的
rewind	重绕
elfland	仙境
intersection	交叉点
rotundity	圆形
temporal	世俗的
sophist	诡辩家
ingurgitate	大吃大喝
flimflammer	骗子
stroboradiograph	频闪射线照片
zoomy	利用促镜拍摄
obvious	显而易见的
sextant	圆的六分之一
pri	优先级
unnoteworthy	不显著
buonaparte	波拿巴家族
taurin	=taurine
hypergamy	与上层阶层或地位高贵的人联姻
waxy	生气的
unshakeable	坚定不移
ironist	讽刺作家
aleksandrovsk	亚历山德罗夫斯克
fictile	陶土制
freemasonry	共济会的组织会员
pimply	有疙瘩的
rackettail	球拍尾蜂鸟
idea	思想
fist	紧握
proboscidate	有长鼻的
carbonation	碳酸饱和
choregus	合唱团之指挥
pusher	推动器
atmological	水蒸气学的
undiscerning	迟钝的
abduce	使外转
navy	海军
amends	赔偿
nagged	感到厌烦的
ciceroni	导游
cowl	连有头巾的修道士服
synapse	形成突触
sauger	加拿大鰤鲈
quarterly	一年四次的
cleanser	擦亮粉
philhellenic	亲希腊的
misperceive	看错
recrudesce	复发
goldwater	=goldwasser
stably	坚定
accomplishable	可完成
anamorphic	变形
wake	醒
snakefly	蛇蛉
midas	大富翁
ginny	有杜松子酒味
streamy	多河流的
ashake	摇动
celeb	著名人士
tercom	matching
bloodshot	充血
unveil	除去面纱
telecommunication	/
morphosyntax	词素句法学
chiller	冷却器
aching	痛
quai	=quay
pout	大头鱼类
hypsography	地势
walach	=Vlach
jar	刺耳声
nehemiah	世纪的希伯来领导人
duplicate	使成双
andromache	安德洛玛刻
function	职责
beater	搅拌器
dethronement	废位
wonted	惯例
unendowed	不具有的
imminent	逼近
criticastry	没有价值之批评
antiunion	反对工会的
scheme	安排
peacebreaker	破坏和平者
obsequence	奉承拍马
playscript	剧本
conveyable	可搬运
aspiration	热望
blunge	掺水拌
albigensianism	阿比尔派的教义
toehold	排除障碍的方法
plover	珩
angiotomy	血管解剖术
railroad	铁路
exposed	暴露于风雨中的
undefined	未下定义
nonnatural	强迫
politically	贤明
campanological	铸钟学
upscale	高消费阶层的
ambiguous	暧昧
nzima	恩济马语
precipitate	陡然下降
tattle	闲谈
neoclassic	新古典主义
jugoslav	南斯拉夫人
consensus	一致同意
overjoy	使大喜
coffee	咖啡茶
streptodornase	链球菌去氧核糖核酸酶
billposting	广告张贴
nonofficeholding	在野
seventeen	十七
neutrophilic	嗜中性的
colonial	殖民
befriend	帮助
dm	数据挖掘
oversimplify	过分地单纯化
arachnoid	蛛网状的
interneuron	neuron
jazzetry	爵士乐伴奏的诗歌朗诵
renascent	复活的
neovascularization	新血管化
vacuole	空泡
instant	紧迫
absquatulate	溜脱
pulsate	搏动
fledgy	有羽毛的
penutian	佩纽蒂语群
animistic	万物有灵论
christianlike	如基督徒
orthographic	拼字正确
jingoist	沙文主义者
subtersurface	表面下
superior	高傲的
emploment	雇用
panic	没有理由的
intimacy	亲密
men	的复数
humanness	人性
humane	仁慈
tore	tear的过去式
learner	初学者
naw	不是
bowl	碗状物
mammary	乳腺的
wide	远离目标的
bortz	=bort
defeatism	失败主义
inquilinism	寄居动物
vertiginous	眼花的
glyconic	格莱坎诗体的诗
sporulate	使变为孢子
hal	Hardware
dissave	vi
charging	炉料
purple	紫色
shoal	大量
misdone	misdo
votable	能投票的
bmoc	man
norwards	往北
film	变成朦胧
montanic	多山
hyperphysically	超自然地
caricature	讽刺画
apopetalous	离生花瓣的
sediment	沉淀物
brazen	黄铜制的
straightforward	正直地
headachy	令人头痛的
brachydactylic	短趾的
seriation	顺序排列
unversed	不精通
leptodactyl	有细长脚趾
rediffusion	转播
trichogyne	受精丝
teutomaniac	醉心于条顿民族的人
starched	浆硬的
bookshelves	书架
prograde	与其他天体作同方向运行
fond	喜爱
tacloban	塔克洛班
estafette	骑马的信差
fornicate	拱状
corporate	社团
mirror	反映
co	中心机房
error	误差
corollar	类似花冠的
unsuppressed	未镇压的
flintiness	燧石质
information	起诉
unrevealed	未揭露的
calumniatory	诽谤的
taiwanese	台湾的
fifteenfold	十五倍的
tarragon	龙嵩叶
fls	the
paleogeophysics	古地球物理学
ascription	归属
hyson	熙春茶
lordship	支配
mercilessly	无慈悲
accouchement	生产
hob	滚刀
tights	紧身衣
voltaic	电流的
imperil	使处于危险
cymous	聚伞状
equipped	预备
licity	合法
amentiferous	具葇荑花序
english	英文的
ogle	送秋波
jobholder	有固定工作者
tetramer	四聚物
steamroll	粉碎
rebroadcast	转播
symbol	符号
baltic	波罗的海的
brood	沉思
hammer	锤子
sesquipedalian	冗长的单字
event	事变
caroler	欢唱的人
chelonian	龟
shunter	扳道员
micromesh	微型小网眼料子
accoucheuse	女助产士
nigrescence	变黑
praetor	长官
landlady	女地主
hideous	骇人听闻的
last	最后的
dotty	多点的
arkansan	阿肯色州人
reason	动机
wysbygi	See
astronomic	星学
panegyrist	致颂词者
submerge	淹没
mre	of
caprate	癸酸盐
valvar	=valvular
spoken	口头
sextuple	六重的
asprawl	伸开手足躺卧的
artifactitious	人工制品
nereid	涅瑞伊得斯
backroom	秘密完成
revolving	旋转的
milligrame	毫克
interzonal	带间
nonintervention	不干涉
adjacence	接近
plutocrat	富豪
ssafa	Families
titrimetric	滴定的
distortive	曲解
pherentasin	弗伦塔辛
slot	缝
license	执照
eventuality	不测的事
unfoiled	未受挫的
drainage	排水装置
periplast	周质体
valuable	有价值
turncock	龙头开关员
plute	财阀
alinement	排列
titillation	愉快
evidentiary	证据的
unsuppressed	未压制
terroristic	恐怖主义的
imponderability	失重
cannabinoid	大麻的化学成分
exasperate	激怒
culpable	该责备的
gasless	不用气体
blithesome	愉快的
serrate	锯齿状
expressions'	NULL)
aorist	不定过去时
hinterland	腹地
shockingly	怕人地
hazardous	危险的
trehalose	海藻糖
subclavian	锁骨下
infernally	恶魔似地
boastful	喜夸耀的
conferment	商量
humanisation	=humanization
trail	跟踪
definitive	确定
scout	轻蔑地拒绝
stallage	摆摊用地
brooch	胸针
minimal	最小的
normality	常态
kuznetsk	Basin
sweated	使用血汗劳工
firedamp	甲烷
thermostable	耐热的
dirtily	卑陋地
brainpower	智能
mixt	mix的过去式及过去分词
pandora	潘多拉
ramate	有分枝
skookum	极好的
reticula	网状组织
accountably	可辩解地
cluster	丛生
balcony	楼厅
underhung	下颚突出
teat	奶头
tinnient	丁当响的
warrior	战斗
knee	膝盖
gerontocracy	老人政治
generalization	广义性
injective	内射
pie	喜鹊
cybernate	使受电脑控制
fin	装上翅
rocking	摇摆的
arcuation	弯曲
multipotent	能产生多种效果的
incommensurable	不能比较的
bluebonnet	蓝色的呢绒帽
jokingly	打趣
manual	体力
tolerant	宽恕
mennonist	=Mennonite
uniovular	单卵的
replant	改种
dead	无感觉
lustful	好色
slack	疏忽的
put	投击
indispensability	不可缺少
confessionary	告解所
taperstick	小烛烛台
assemble	装配
undisguisedly	公然地
suberose	似软木
foxed	变酸的
encompass	环绕
pavilion	亭
piety	孝行
jefe	政界领袖
twifold	两倍
crafty	诡计多端
tactics	策略
dengue	登革热
corny	有鸡眼
disproof	反驳的证据
sparkish	俊俏的
intertribal	部族间
reddle	赭土
blinking	闪光
bomber	轰炸员
consulship	领事的任期
regret	歉意
raised	有凸起花纹的
darwinism	进化论
maintain	主张
absorptive	吸收性的
elapse	流逝
dashy	浮华的
iupap	of
clink	丁当声
washwoman	洗衣女工
pseudo	冒充
pedobaptism	幼时洗礼
holdback	妨害
modernminded	有现代头脑
macrocephalic	巨头
genbakusho	=radiation
moccasin	鹿皮鞋
female	雌的
measles	风疹
timbered	用木材的
nucleophilic	亲质子
knitgoods	针织品
caracol	半旋转
smacking	发出响声
jokey	好开玩笑
termite	白蚁
doughy	苍白
walk	步
agrestic	粗野的
abbreviation	缩写
dehydrogenate	使脱氢
reasoningly	理性地
halidom	圣物
superciliary	眼睑上
plagiocephalism	斜头
octocentenary	持续800年的
inscrutable	不能预测
pun	说双关语
clindamycin	氯林可霉素
cranic	脑
pleasure	愉快
sculptural	雕刻
loculus	胞
heatronic	高频加热处理的
xeroform	干仿
octocentenary	800周年纪念的
helianthine	B半日花素B
particularism	完全忠于一种理论
stress	重点
archanthropine	灵长目动物
intuitive	直觉
spur	距
predispose	预先安排
paravion	航空邮寄
sinfully	罪孽深重
anastatic	凸版
recessive	退行的
fibrositis	纤维组织炎
inaccessibly	达不到
obliterate	涂去
longtimer	老资格
astronomic	天文学
rubricator	加红字标题的人
translation	翻译
ingleside	炉旁
lowell	洛厄尔
yaqui	雅基河
sparsely	稀疏
backstairs	诡秘的
iridology	虹膜学
dns	Name
crown	顶
aurorean	晨曦
factoried	工厂林立的
chlamydomonas	衣滴虫
reasonably	相当地
robustious	粗野
start	出发点
npcf	Foundation
iaea	Agency
appealable	可上诉的
recruitment	补充
taffrail	船尾栏杆
demonologist	鬼神学家
defy	公然反抗
zimbabwean	津巴布韦人
ectopia	异位:
score	乐谱
farfamed	驰名
scurrilous	使用低级粗俗语言
ruth	鲁思
total	整个
erective	建立的
tabby	平纹织物的
hateless	不憎恶
closehanded	小气的
nodum	植被抽象单位
pyorrhoea	脓漏
coppice	矮林
womanlike	女人般地
semiretirement	半退休
phyllode	叶状柄
orbit	进入轨道
mora	音节延长度
insecticidal	杀虫的
pet	受宠爱的人
clabber	凝乳
garrison	卫戍部队
unlike	和……不同
couth	文雅
existent	生存
shift	办法
undivided	专一的
spatulate	竹片状
ditchdigging	掘沟渠之工作
adenoidal	腺状的
ease	减轻
remarkable	不平常的
schizogenic	=schizogenous
illustrational	例证
nc	Network
leptonic	产生轻子
slavey	女佣人
journeywork	临时工
vigo	比戈
larvivorous	以幼虫为食的
preemployment	录用前
heterogenesis	自然发生
awane	减弱中的
pneumogastric	迷走神经的
gallican	教宗权制限主义者
exemplum	说教故事
abstractive	具有抽象能力的
irrationally	无理性
dankish	潮湿
quarrel	争论
underachieve	学习成绩不良
volcanological	火山学
tough	强硬
comminjute	使成碎末
magic	魔术
opsin	视蛋白
ultrathin	极细
noncommittal	不承担义务
stigma	污名
euthyroid	甲状腺机能正常
everyday	平常的
inevitability	必然性
petrologic	岩石学的
unitary	归一
hobohemia	游民所居之贫民窟
blithe	愉快
palm	藏……于掌中
turkmenian	土库曼语
tradespeople	开商店者及其家属
procrustes	古代希腊的强盗
sansom	桑塞姆
rhyton	古希腊的角状环
rocker	摇的人
polarimeter	旋光计
asthmatic	哮喘
nonbank	不由银行办理
zealotic	热心者
cloud	乌云密布
subaltern	次
underground	面下
oversexed	性欲过剩的
cultivated	有教养的
accuse	控告
submaxilary	下颚骨
darner	缝补的人
lethargic	昏睡的
reload	再装填弹药
unjustly	不法
nutrition	营养
lcvp	personnel车辆人员登陆艇
slavist	=Slavicist
mascara	染眉毛油
nob	有钱人
proteid	含蛋白质的
carbonylic	羰基的
cinzano	沁扎诺酒
craniate	有头盖的
aluminium	铝的
sacrosciatic	骶骨坐骨的
damoclean	达摩克利斯的
lausanne	洛桑
smear	抹掉
reloan	再借
skylab	太空实验室
stubbornly	顽固
shutter	快门
diglottic	=diglot
unclassified	不保密的
thriftlessly	不节俭地
icaaaa	Association
mesocephalon	=mesencephalon
impassioned	热情洋溢的
sedately	安详地
bndd	Bureau
eric	Educational
footling	微不足道
toxoplasmosis	弓形体病
allpowerful	最强大
gearless	无齿轮
lophobranch	Ⅰ
escap	and
sob	哭泣
popular	受欢迎
prince	王子
kirsten	柯尔斯顿
fraternity	兄弟会
toynbeean	汤因比历史观的
navelwort	琉璃革
gftu	Unions工会总联合会
vinification	葡萄酒酿造法
supermultiplet	超多重态
obstreperous	任性
photonuclear	光核的
contradictorily	反驳
unialgal	单种藻
diamagnetic	反磁性的
lordliness	皇室气派
effortful	需要努力的
tarnation	咒骂
dialectology	方言研究
tornado	大雷雨
glimmer	闪烁
charactron	字码管
minifestival	小节日
chromogenic	发色体的
supervoltage	超高压
couchy	茅草丛生
lurch	挫折
trisodium	三钠
malaceous	苹果科
foolish	愚蠢
clearwing	透明翅膀的蛾
tryst	约会
hazardous	冒险
pristine	质朴
advocatory	拥护者
rejoicingly	高兴
warrant	证明
oxbow	呈U字形弯曲
cetology	鲸类学
spatial	空间
anglia	英格兰的拉丁名称
deaconship	会长之职位
metro	地下铁道
blacketeer	marketeer
recreation	消遣
negotiatory	交涉的
jihad	讨伐异教徒
polysorbate	聚山梨醇酯
devilishly	过分地
refix	重新装设
reconsolidate	重新巩固
wcc	Council
gunpaper	经硝酸处理后能爆炸的纸
nanoid	矮小
semideaf	半聋的
rectorial	院长的
ini	初始化设置文件的后缀名
od	自然力
inappellable	不得上诉
neurotrophic	亲神经的
heaping	放得太多的
accrete	合生
bangzone	音爆影响的区域
interferometric	干涉仪的
suprahepatic	肝上
ceremony	报幕员
ana	一则轶事
pharmacy	药剂学
indifferent	无关紧要
humidifier	增湿器
conservatory	音乐学校
extrusion	赶出
epizoon	体表寄生动物
flagellate	鞭挞
albescent	带白
ccitt	Telegraph
ue	美国电气、无线电和机器工人联合会
dimension	元
rich	富有的
playdown	决赛
padua	帕多瓦
myofibril	肌原纤维
pecksniff	式
unvitiated	未腐败的
interuniversity	大学校际的
gourmet	能精选品评美食、美洒的人
kozhikode	科泽科德(旧称卡利卡特
gunman	制造枪械者
communique	公报
cogent	使人首肯的
cohort	步兵大队
daughterly	女儿似
unformat	恢复被意外格式化的磁盘
dominating	专横
grandisonian	模范绅士
fission	分体
poetical	理想化
marquisate	侯爵领
exorbitancy	不当
improved	改良
cornetti	的复数
rocambole	胡蒜
probationary	缓刑
pteryla	羽区
flounderingly	总是失败地
extrovertive	偏向于外向
tanzanite	坦桑黝帘石
drooly	非常可爱的
pisciculture	养鱼业
houseplace	大起居室
dubitatively	怀疑地
englishment	英译本
fodgel	矮胖的
redbone	美洲赤狗
shaft	轴
flagging	石板路
mythical	神话
spadicose	似肉穗花序的
toothy	多齿的
vhs	家用录像系统
deflationary	物价低廉的
wob	overboard
filterable	可滤过的
coachful	马车满载之量
discerning	有辨识能力的
undimmed	明亮的
dreamscape	幻景
lickerish	讲究吃
roguish	无赖的
supercrescent	寄生
elegy	悲歌
shivering	颤抖
duplation	二倍
muralist	壁画家
rack	行李架
confluction	融合
futility	无益
maladjustive	不利于调节的
metrication	十进位制
mgd	million
architectural	建筑上的
assimilatory	同化力的
manstopping	用以杀伤冲锋士兵
cavernous	似巨穴
hypotensive	低血压患者
upbear	支持
pcav	Partial
convect	使热空气对流
derrick	起重机
incompleteness	不完全
buttlegger	不法香烟贩子
limewood	椴木
inalienability	不能夺取
whitewash	用石灰水把……刷白
labdanum	劳丹脂
russian	俄国的
discoid	平圆形的
surpassingly	超群地
ponderance	严重性
dryad	森林女神
thylakoid	类囊体
unequable	无规律的
tavr	Reserve本土军和陆军志愿后备队
catchwork	山坡灌溉水沟
bunch	串
adi	intake
dutifully	忠贞
adjacent	接近的
tale	流言蜚语
forfeitable	可没收的
ciliary	睫毛
congener	同类的
hallucinatory	引起幻觉
carbenoxolone	生胃酮
preprimer	学龄前儿童读物
decolorant	有脱色作用
stub	残余
phasedown	分阶段减少
position	阵
congeniality	适意
tikker	断续装置
illude	欺骗
lambskin	羊皮纸
harvesting	收获
hyperthermal	过高热
caressing	爱抚的
undisturbed	镇定
closure	使终止
riffraff	渣滓
calibration	刻度
wad	填料
splendor	壮观
stubbed	残断的
namierite	=Namierian
palaestra	健身房
camphoraceous	樟脑特有的
fabulosity	惊人
gulch	干谷峡谷
oaw	Optically
stinkpot	一种小麝龟
mainly	大体上
fabled	寓言中的
forficulate	形状像小剪刀
amenity	宜人
inorb	包围
sertoman	塞托玛俱乐部成员
overdraft	透支
dependence	信任
polynomial	字以上组成的学名
cosmogonist	宇宙进化论者
explodent	爆破音
percentage	百分率
morellian	莫雷利批评法的
bannock	一种薄饼
gladness	欢乐
age	成年
charm	符咒
malpighia	金虎尾科
version	翻译
buccolingual	颊舌
amateurship	业余者的资格或身份
stopgap	权宜
wrecky	身体垮了
avionics	电子设备
biogeochemical	生物地球化学
chinoperl	Literature
fingerfish	海星
buckler	防御物
haggadist	哈加达的作者
pierogi	=pirogi
every	每隔……的
umptieth	=umpteenth
uncalled	未叫到
witchcraft	魔法
prelatic	高级教士职位
dholl	=dhal
setoff	装饰品
jv	Junior
impeachable	可控告
oboe	双簧管
pododynia	=podalgia
honeyed	甜如蜜
mooch	偷
removalist	搬运工
martlet	无足鸟
darch	of
sawtooth	锯齿
afdc	Families
zooxanthella	虫黄藻
mac	Media
masty	危险的人
contingency	可能性
unshaded	无光度或色泽差别
equivoque	含糊措辞
parametric	参量的
irrevocability	不能挽回的事
chileanize	使置于智利政府控制之下
yearlong	整整一年的
carmine	洋红色
underappreciated	未得到正确评价
burning	强烈的
rally	决心
serrate	锯齿状的
rising	上升的
thrustful	积极进取的
linked	显示连环遗传
stolid	感觉迟钝的
woozy	虚弱的
knotter	打结的人
savage	未开化的
unforced	自然的
colza	菜子
transoceanic	在海洋彼岸
misrepresent	误传
acold	寒冷
seedily	心情不佳地
passively	被动地
cannonry	连续炮击
ectogenic	体外发育
face	面对
dentine	象牙质
hemoglobinuric	血红素尿
piddling	微不足道的
venomous	恶意的
rampage	乱闹
rabbet	槽口
hesper	黄昏星
natural	本位号
iranair	伊朗国家航空公司
sequentially	从而
outward	公开的
reredos	壁炉的背部
uniflow	单向流动的
wirehair	硬毛狗
wallpaper	墙纸
feedback	反应
lockless	无船闸的
undoubled	松开的
reptiliary	蛇馆
villose	有绒毛的
petrifactive	石化性
abbreviationist	惯用缩写字的人
excusal	原谅
hypoacid	酸度过低
flaunt	招展
often	经常
nephrotic	肾病变
withamite	黄红帘石
minto	明妥薄荷糖
ironic	说反话
thorntail	刺尾蜂鸟
henhearted	胆小的
incubative	孵蛋的
aganippe	灵感之来源
sunlit	被日光照射了
hermeneutic	解释学
musculoskeletal	肌骨骼
hammam	澡堂
cantiga	民歌
faithful	可靠
contend	主张
persifleur	爱挖苦人的人
vaccine	牛痘的
stemmed	有茎的
spinose	有刺
plastogene	质体基因
pedobaptist	幼儿洗礼论者
signorine	小姐
scale	等级
volatilizable	可发散
apocopate	语尾音节删除的
shopboy	年轻男店员
toast	烤面包
gooky	粘
trot	疾走
tumultuously	喧闹地
petalody	花瓣化
danseur	男芭蕾舞蹈家
caustic	腐蚀性的
laminae	板
airy	轻快
tame	沉闷
overexertion	努力过度
melodion	=melodeon
headband	头巾
strepitous	嘈杂
fault	缺点
interventionism	IntE5venFEnIstLm/干涉謏
oilseed	含油种子
bam	哄骗
previous	早先
underwork	下层结构
endosmosis	浸透
super	上等
mailing	农场租金
dingbat	容易投掷的东西
diplomatese	外交语言
pig	生小猪
meditative	冥想
airy	空气
preocular	眼前的
thickly	厚
orb	成球形
skinny	皮的
shawn	肖恩
plead	恳求
equinox	春分或秋分
physiotherapy	物理疗法
hypoploid	染色体数目较少的
tribolet	=triblet
immusical	对音乐不感兴趣
outdoorsy	适用于户外
intine	内壁
clouding	湿润
memoire	备忘录
harshly	苛刻地
immigrant	移民的
heteroploid	异倍体的
english	英文
ketolytic	解酮作用的
time	时间/日期
dihydroergotamine	双氢麦角胺
needlessly	无用地
inositol	纤维糖
psg	sergeant
reginal	女王的
acanthoid	棘状
wistfully	渴望
xenomania	外国狂
unwisdom	缺乏智慧
proclamatory	布告的
mecism	过长
conarial	松果体
amr	声音和调制解调器插卡
languorous	没精打采的
rawinsonde	无线电探空测风仪
home	避难所
conservative	保守
gamb	胫
sleuth	警犬
counterbalance	势均力敌
wirehaired	硬毛
extrorse	向外的
ephemeris	历书
enthral	奴役
peopleless	无人居住的
rascallion	流氓
irresponsive	无感应的
pertinence	相关性
rake	掠过
cetrimide	溴棕三甲铵
upside	上面
despotic	暴虐
defuse	去掉……的雷管
hypolydian	副利第亚调
cycle	周期
legalist	守法主义者
idiocratically	癖好
hominoid	人的
anaclastic	屈折
finery	华丽的服饰
photoproduction	光致产生
breezy	有微风
premaxillary	前颌骨的
clag	妨碍
melinda	梅林达
stretch	伸展
shadowy	多荫
logged	笨拙
radiance	光辉
cosmography	宇宙学
rageful	盛怒的
package	包裹
jcl	control
discontentedly	不平地
laguna	小湖
current	流通的
gerard	杰勒德
absoluteness	绝对
offhand	无准备
asean	Nations
dispersedly	散开地
bile	愤怒
accrete	使连接
polyidrosis	=polyhidrosis
preovulatory	排卵期前
kent	的过去式和过去分词
bricolage	利用手头东西制成的物品
hydrophily	水媒
apothecial	子囊盘
undetected	未被发现的
vitiation	损害
bleareye	睑缘炎
deloul	单峰骆驼
stragglingly	脱离队伍
various	各种各样的
bouncing	活泼
fire	开枪
guianese	圭亚那地区
kazakh	哈萨克人
gonocyte	性原细胞
ditch	沟
semiconscious	半意识的
asthmatoid	气喘性的
tautochronism	等时性
hoariness	老年
batter	猛击
schizo	精神分裂症
repleviable	可发还的
shaddock	文旦
spiculum	骨针
neighbouring	毗邻的
ossuarium	=ossuary
liable	有责任
crake	秧鸡的叫声
varioloid	类似天花
eurhythmic	音乐舞蹈体操的
ensorcel	蛊惑
kona	storm
monopolizer	独占的人
alaska	阿拉斯加州
grozing	iron用于烫平铅管接头的烙铁
mithraic	密特拉教的
exteriorly	表面上
prowess	威力
sherbet	冰冻果子露
such	这种
rhenic	含铼
dephlegmator	提聚器
armonica	玻璃口琴
snugly	贴身地
terrorism	恐怖主义
daunomycin	道诺霉素
take	拿走
netsuke	坠子
fulsome	过分的
fluidify	使流体化
impermanent	暂时的
spiritedly	活泼
speechcraft	口才
appeasement	缓和
jar	冲突
fortune	给……以大宗财富
maladjustive	引起失调的
vaporization	蒸馏器
consulship	领事的职位
level	对准
palm	棕榈
antipyrotic	消炎的
ruthenic	四价钌的
frcp	Royal
villainy	罪恶
chondrule	陨石球粒
seed	精液
embedded	内含
halophile	喜盐生物
winglike	翼状的
fratricide	杀兄弟的行为
sahelian	萨赫勒地区
substantialism	本体论
brownette	棕发女人
pushcart	手推车
paperbacked	纸面
artistically	有艺术
appreciatory	欣赏力的
fitch	臭猫皮
ionophone	离子扬声器
momentous	重要的
crinoline	四周鼓出的裙
ambulatory	流动
viscoidal	有黏性
louvered	装有百叶窗板的
decree	法令
imbibition	吸入
trabeated	横梁式的
trabeate	横梁式
methane	甲烷
precontract	预约
callipash	=calipash
fart	放屁
penetralia	密室
airy	空中的
defluent	向下流的
desired	想得到的
romaic	现代希腊语的
depancreatize	切除胰脏
powerword	金山词霸
unlooked	未经检查
commend	表扬
pedicel	蒂
cyke	弧形背景幕
projective	投射
gorilla	歹徒
flee	逃走
mounting	衬托纸
airmanship	导航技术
downstairs	下楼
brushy	如毛刷
inchoation	发端
hawaiian	夏威夷的
physiological	生理学的
lignitize	使变为褐煤
leporine	野兔的
questioner	质问者
bung	桶等的塞子
frivolously	愚昧地
ramate	分枝
seasonal	周期性
preemployment	雇用前
halfling	半成年人
dishonour	拒收
semiskilled	半熟练
unevenness	不均衡
caudillo	元首
turd	粪
ornithomancy	鸟占术
indigenize	使本地化
crustless	没有外壳的
staghead	上部树枝枯萎病
aniseed	八角
umbral	阴暗的
emendation	校正
hidalgo	西班牙的绅士
hypochondriacal	忧郁症的
abusive	滥用的
blagueur	说大话者
deltoid	字形的
unscramble	整理
thracian	色雷斯的
subcellar	地下室的第二层
copemate	伙伴
carioca	卡里奥克舞
infirmary	医院
carsickness	晕车
autoboat	机动艇
fishfag	渔妇
jady	如玉的
irrespective	无关
adjacency	邻接
donnish	装模作样
freeborn	适于自由民的
foziness	肥胖
disennoble	使低贱
lhc	High
ogbomosho	奥格博莫朔
detruncation	截短
woozy	糊涂
piezometric	压力计
delir	说胡话
mshe	Economics
cardinal	主要
unfortunate	使人遗憾
electronical	电子
gfwc	of
roadeo	卡车司机车技表演比赛会
epithet	绰号
above	超出
knapper	碎石槌
antimeric	体辐
netfs	Television
oxpecker	黄嘴牛椋鸟
message	差使
chitinous	壳质的
apostleship	使徒之身份
augmentation	增加
finality	结尾
refashion	再做
unreligious	世俗的
sprawl	四肢伸开的躺卧姿势
schwartza	=schvartze
haunted	闹鬼
praedial	耕
prohibitory	禁止的
distant	关系远
colluvial	塌积
severely	激烈
hostile	敌方
hurtless	无害
cuttlebone	海螵蛸
anthropological	人类学
sigil	魔诀
diseuse	单口相声演员
materialise	=materialize
grasping	贪婪的
physiocracy	重农主义
slan	loco
in	Intelligent
iniquitious	极不公正的
gastrectasia	胃胀
handstand	手倒立
rowdyish	粗野的
machinator	策划者
say	表示
fact	真相
apricot	杏树
flowing	流动
draft	设计
humanity	仁慈
interdigitate	互相交叉
rented	租用
illegibly	难读地
rabbet	开槽口于
airy	轻快的
subtractive	负
downhearted	闷闷不乐的
saturnian	农神
condensed	浓缩
meanly	吝啬
lochial	恶露的
thornbush	山楂林
stockroom	仓库
prestissimo	最快的
lamprophyre	煌斑岩
rsc	英国皇家莎士比亚剧团
hyperbatic	倒装法的
decemvirate	十大官之职位
axillary	叶腋
blithely	愉快
crossbeam	横梁
uniface	单面的
univalve	单壳软体动物
galvanoplasty	电铸法
episcopate	主教
goby	虾虎鱼
moslemic	穆斯林
tunnage	总吨数
irradiation	放射
abstruse	奥妙
furious	极为激烈
quatercentennial	400周年的
plebeianize	使粗俗
backhouse	后面的小屋
morphinize	用吗啡治疗
karyosystematics	染色体组型分类学
doctrine	教条
sizzle	咝咝声
tanning	制革法
hashery	经济餐馆
octonarius	八音步诗
neronian	暴虐
gleamingly	若隐若现
craterlet	小火山口
antennal	触角的
mcm	1900
flitch	大比目鱼的肉片
suffering	患病的
tutenag	一种白铜
megalithic	巨石造成的
lentoid	透镜状结构
crises	紧要关头
fludrocortisone	氟氢可的松
monastical	僧院
subequal	近似相等
apia	阿皮亚
unchristian	非基督教的
ectoenzym	外酶
nonresidential	非居住
rubblework	表面粗糙的石头建筑
korean	朝鲜人的
sacerdotalism	僧侣政治
calix	圣餐杯
unalienated	未转让的
rescue	营救
fraction	分数
caritas	博爱
couturier	女服设计师
obfuscate	使迷乱
sweated	低工资
argentine	银的
regain	重新夺得
enrollment	登记
obtainable	能得到
upscale	质优价高
graciously	优雅地
eclectic	折衷学派
elfin	淘气鬼
concentricity	同心
come	出现
unimplemented	未执行
facility	简易
pebbly	有卵石花纹的
precis	大纲
gratitude	感谢的心情
liposarcoma	脂肪肉瘤
spectrofluorimeter	分光荧光计
untenanted	无人租赁的
harmonistic	悦耳
interleaved'	NULL)
titular	有名无实的
pochismo	夹杂英语词汇的西班牙语
vestibule	门廊
nameless	无名
hyperventilation	强力呼吸
patronize	资助
resurrective	使死者复活
uplift	升起
boldfaced	粗体字
apulian	阿普利亚区
thermoform	热力塑型
tough	凶恶的
undeviating	不离正道的
ric	Royal
dissolutely	荒淫地
basque	一种妇人用短上衣
araucaria	南洋杉属树
quick	快的
ganoid	珐琅质的
dextral	右侧
gray	阴沉的
fluctuant	波动
imaginabale	可能
presbyope	老花眼者
subvariety	从属品种
briefly	简要地
slammer	监狱
experientialism	经验论者
dispersal	散布
overeat	使吃过量
corrigenda	勘误表
numinosum	对神既敬畏又向往的感情交织
morcellate	分碎
laotian	老挝的
