traveling	滑动
vlaie	沼泽
crazed	癫狂的
radiac	辐射测量器
lilacky	淡紫色的
blanquette	用白醋调味的小牛肉
ample	丰富的
deliverance	意见
cholera	霍乱
wringing	淋湿的
somewise	以某种方式
unidentifiable	无法识别的
calorifacient	发热
annihilationism	tic//
unscrupulously	不客气地
hillcrest	山顶
foulmouthed	口出粗俗
suffocatingly	令人窒息
kcps	per
spatial	空间的
wrecky	衰弱
unspecific	不确定
bulldike	女子同性恋中充当男角者
bouvet	布维岛
forward	转寄
hysterically	歇斯底里
alveolar	小泡的
mercury	汞
rnase	=ribonuclease
cleistogamous	闭花受胎的
disjunct	分离
produce	创作
generalizable	可概括的
sigmoidectomy	乙状结肠切除术
womanity	女子气质
llano	大草原
corinna	科琳娜
resultant	作为结果而发生
squareman	木匠
unchain	释放
meiobenthos	较小型底栖生物
honorific	表示敬意
adventurous	敢做敢为的
scotch	粉碎
insistence	坚持
privateersman	私掠船之船员或船长
rda	allowance
unbearably	不堪忍受地
barycenter	重心
governessy	大惊小怪的
haiti	海地
headword	标题字
recognizance	保释金
awmous	施舍物
chaptalize	增加糖分
hominid	原始人类
superexcellent	绝佳
ferriferous	含铁
oniomania	购买癖
clodhopping	粗鲁的
anonym	化名
glisteningly	闪烁
sadomasochist	施虐受虐狂者
singularity	稀有
gimme	me
peloponnesos	伯罗奔尼撒半岛
outwatch	看守得比……长久
griseous	浅灰
iaupe	English
stomata	气孔
overgrew	overgrow
trailing	拖尾的
superdominant	上属音
lengthy	冗长
expensive	花费的
conidial	分生孢子
certainly	当然
push	推进
creosote	碳酸
babism	巴布教
oeec	Cooperation欧洲经济合作组织
puruloid	脓样
ozone	臭氧
drumble	行动缓慢之人或动物
riverine	河边的
viewer	阅读器
cudgel	棍棒
accentor	领唱者
bummer	游民
befool	欺骗
majestical	宏伟的
soldiership	军人的职务
corporality	肉体性
nerine	尼润属植物
billhook	钩镰
perissad	奇价
purgation	洗涤
pictorialist	运用绘画风格的人
decently	端正地
snide	伪造
canonicity	合乎教会法
barrelled	有枪身的
tusky	有獠牙的
intrigue	诡计
awaken	唤起
animative	令人振奋的
extortionist	强求者
axial	轴
abruption	分离
thankless	忘恩负义的
becoming	合适
rascal	淘气鬼
roofscape	屋顶景色
craniopagus	头盖骨连在一起的
sx	16位I/O之CPU
sittable	可坐
swift	敏捷的
pulsation	跳动
osfcw	Fuels
tyrannously	暴虐地
ordinand	续任神职之候补者
backwater	死水
phonic	有声
pelt	毛皮
liveborn	活产
quotidian	平凡的
ataxia	共济失调
foretop	额发
zygoma	颊骨
vrml	虚拟现实建模语言
modelly	具有模特儿特点
spermatology	精子学
scrummage	并列争球
coha	Council
sick	有病
bassist	低音歌手
apopemptic	临别
ingenerate	天生
usib	States
retype	重打字
academy	学院
australian	澳大利亚人的
unchristian	粗野
unfitted	不合适的
ultramodern	超现代化
erythrosin	新品酸性红
circumpolar	拱极的
impious	不尊敬
midwifery	促成
axenic	无异种生物混杂的
gangsterdom	黑社会
brachylogy	省略语
flexility	敏捷性
ridge	屋脊
excaudate	没有尾的
sanctum	书房
puckish	淘气
monolithic	单片电路
ergatoid	具有拟工蚁特征的
saucy	漂亮的
septuagesima	四旬斋前的第三个星期日
haem	血红素
centuplicate	百倍
aid	相关标识
pretty	恰当的
ponticello	琴桥
way	非常
skilly	羹汤
mitigation	平静
saker	猎隼
hadhramautian	哈达拉毛语的
employment	职业
sciuroid	松鼠
humble	粗陋
astonished	惊讶
ahold	迎风航驶
vestryman	教区会成员
rapturously	兴高采烈地
troupial	黄鸟
sestet	六重唱曲
baume	波美比重计
wise	英明
dmd	Doctor
copperhead	铜斑蛇
billabong	洼地
caip	IP
megaunit	100万单位
metapsychic	心灵学
fieldsman	外场员
micritic	微晶灰岩含量高的
transplant	移民
platysma	阔肌
gufa	圆形篮状船
magyar	马扎尔人
arbitrator	公断者
gook	日本人
karlsbad	Vary
pdq	Pretty
naughty	顽皮
nontelevised	电视上不播放
contend	竞争
unsleeping	时刻戒备的
hypnopompic	半醒的
riffy	多连复段
robustly	要用体力地
causation	出现
unfading	不衰的
cacao	可可豆
eeoc	Commission
megathere	大地懒
unwatched	未被观看的
chuffy	像农夫的
identical	同一
anticline	背斜
thowless	没精打采的
rumpless	无尾椎
lemnian	利姆诺斯岛
tricklet	小溪
epanisognathous	上齿比下齿窄的
cribble	粗筛
marry	嫁
connection	关系
gnathite	颚形附器
endurable	可忍受
extramental	精神以外的
pookoo	=puku
assuagement	缓和物
charter	租
sandy	沙
morbific	引起疾病
conceivable	可想像的
palestine	巴勒斯坦
antagonist	对手
bovine	耐心的
casey	凯西
dilatorily	慢吞吞地
mole	鼹鼠
unweighted	无重负
stratocracy	军阀政治
lcd	Liquid
lovesickness	相思病
marisat	海洋卫星
orangy	似橙的
background	后台
by	附近
copygraph	油印机
essentially	本质上
agamous	无性的
temporal	颞的
reflectance	反射系数
crouch	蹲伏
entisol	新成土
empurple	使成紫色
broking	经纪业
subentry	内条
harrowing	痛心的
videographer	电视录像制作人
prearrangement	预定
woodstock	伍德斯托克音乐节
actinomorphous	幅射量
peacebreaker	肇事者
synchronizer	同步闪光装置
narrow	狭窄的
postsynchronization	后期录音合成
pitchfork	干草叉
foldboat	折艇
jovial	高兴
degrease	脱脂
graphitoidal	似石墨
retaliate	报复
occlusive	咬合
relier	依赖者
solemnly	严肃
furbelow	衣裙边饰
subsidence	沉淀
decane	癸烷
clone	复制
breasthook	船首肘板
boisterous	喧闹
gambade	乱跳
uncivilized	不文明的
crackpot	狂想者
microtubule	微管
inconducive	没有帮助的
incontinent	立即
fleecy	羊毛似
kennel	进狗窝
tigrinya	提格里尼亚语
slobbery	流口水
squash	压制
sleepyhead	懒鬼
hazard	赌运气
gook	菲律宾人的蔑称
uae	Emirates
prepared	精制
phyllotaxic	叶序的
spent	失去效能
twine	搓
bbb	bath
gnarled	粗糙
governessy	大惊小怪
nib	削尖
jugal	面颊的
strandline	滨线
strictly	严格地
modestly	适当地
granularity	粒度
moiety	半族
mildly	温和地
sevenfold	七倍地
cowlstaff	杠棒
submissiveness	服从
abbreviate	缩写为
dispositioned	有某种性情的
resiniferous	含树脂
joint	联合
fin	鳍
telekineticist	心灵致动者
leopard	美洲豹
ablutionary	沐浴的
bioglass	生物玻璃
lachrymal	流泪的
rapidity	急速
imperialize	帝制化
wartwort	=wart
folknik	民谣歌星
avengingly	报仇
crankous	急躁的
immunohistochemical	免疫组织化学的
hoggish	贪婪
foxed	变色
specilization	特别化
path	路线
pleasant	舒适的
patrist	的人
nontraditional	非传统的
overpassed	过去了
scopy	能力
benignantly	有益
smart	痛苦
feathered	有羽毛
special	特别的
calced	有蹄铁的
trinitrotoluene	TNT
antifebrile	退热的
jugglery	魔术
pop	通俗
sedum	景天属的植物
tharm	腹
nailless	没有指甲的
discolor	使脱色
lanigerous	羊毛状的
semifinished	半制
protogyny	雌蕊先熟
laughter	笑
monogamous	单配的
abet	帮助
sao	Session
payout	支出
snugly	隐蔽地
laxation	轻泻剂
null	无价值的
recapitulate	重述要点
scousian	利物浦人的
gratulation	欣喜
rubberlike	橡皮状
liquid	易变的
argentous	亚银
expurgatorial	修订的
hemoblast	血小板
ural	乌拉尔
absquatulate	开小差
nes	e
embryotomy	难产时的碎胎术
risk	风险
cupel	用灰皿提炼
verbalization	冗长
washer	洗衣人
verbally	口头
slipknot	活结
rapturously	狂喜地
celbenin	二甲氧苯基青霉素钠
talus	距骨
knucklehead	傻瓜
optional	随意
menstruous	月经的
tail	使架住
stateside	美国的
abscondence	失踪
soil	国家
parade	夸耀
reconsider	重新考虑
ethnopsychology	民族心理学
gentle	文雅的
spotty	质量不一
linac	直线性加速器
thusly	=thus
drowsily	睡地
unseparated	不分离的
dr	医生
scurrilously	下流地
stargaze	空想
jawline	下巴的外形
hyaloplasmic	透明质的
pejoration	语义转贬
trochee	扬抑格
foreyard	前桅最下部的帆桁
lissome	柔软的
unprofitable	没有用的
nemoral	适林的
study	计划
monarchic	君主政体的
subhuman	低于人类的
dionysius	为叙拉古的暴君
pyrolyze	使裂解
blatherskite	听无聊话的人
bovine	耐心
decagynous	具十花柱的
antifederalist	反联邦主义者
knowledgeble	知识丰富的
geneva	日内瓦城
gossamer	轻飘飘的
kultur	沙文主义
embouchure	管乐器之吹奏口
calendry	压光车间
sanctum	圣所
federate	结成同盟
finity	有限
jointless	无关节的
drinker	喝的人
affirmatory	确定的
armageddon	哈米吉多顿
obsequence	巴结
gennemic	声象的
heterogamete	异形配子
unrazored	未修过面的
madrepore	石珊瑚
uneconomical	浪费的
paramo	高山稀疏草地
angiokeratoma	血管扩张性疣
nipple	奶嘴
uncreated	自存
pekinese	北京的
highness	高位
widespread	普遍
revisable	可订正的
finny	鱼族
orally	口述
implacable	不安静的
fledgy	有羽毛
pinpoint	极微小的
tumbler	大玻璃杯
uncommon	难得的
whisper	耳语
lusterless	没有光泽
yaroslavl	雅罗斯拉夫尔
electrolytic	电解的
creche	孤儿院
aja	Japanese
wadna	not
philanthropy	慈善事业
vitality	生命力
burman	缅甸人的
florid	绚丽的
biotypology	生物属型学
fuzzy	模糊的
clerically	如牧师般地
mercuric	汞
lorikeet	吸蜜鹦鹉
unwalkable	不适宜散步
binal	双重
zoo	动物园
shqip	阿尔巴尼亚语
apb	all
paranasal	鼻侧的
magellanic	以麦哲伦命名的
chantry	附属于礼拜堂的小教堂
difficult	艰难的
seducement	引诱
heartquake	震撼心灵
sensuality	好色
indefinably	不明确地
outward	向外的
soberly	严肃
preoccupant	抢先占有的
reconstructive	改造
morphosyntax	形态句法学
nymphlike	似
sorehead	落魄
grammaticalize	以语法结构表示
race	使空转
unenclosed	没围起来的
arpa	Projects
serjeancy	=sergeancy
risotto	意大利调味饭
inept	不称职的
decongest	解除充血
inferiority	次等
unisonous	和谐的
finsen	lamp芬森氏炭弧灯
nipponese	日本人
niggard	小气
worshipful	可敬的
polygonal	多边形的
nonboarding	不搭伙的
towerless	无塔的
pdu	协议数据单元
try	试验
mendacity	虚假
amiss	错误
caseous	干酪似的
assumed	装
allen	艾伦
humanity	人性
maidenliness	谨慎
chubby	丰满
downwards	向下
deniable	可拒绝
chainman	测量时拿尺的人
besotted	愚蠢的
fortuitous	偶然
simulative	假装的
resplendence	辉煌
iyft	Finger
regulate	校准
papal	教皇制度
brasswind	铜管乐器
reconciliatory	一致的
lonely	人迹罕至的
winslow	温斯洛
dyspeptic	消化不良的
periclean	伯里克利
ethnologic	民族
inanimation	没有生命
second	秒
arpa	Advanced
ultracritical	过于批评
hipped	忧郁的
juniorate	两年制预修班
unrent	未撕裂
snakelike	蛇形
epural	鱼脊尾稍的骨或软骨尾上骨
coal	煤
necrophobia	尸体恐怖
bairiki	拜里基
nerol	橙花醇
somesthetic	躯体感觉的
consilient	一致
daytime	日间
azoth	万应灵丹
washy	无活力的
harassment	折磨
jangler	争吵者
lameness	僵而疼痛
tanist	凯尔特族酋长继承人
home	有效的
ccst	Character
soul	精力
fatuous	愚昧的
alacritous	活泼
ligroin	轻石油
feather	用羽毛装饰
scrawny	骨瘦如柴
tiptop	绝顶
bathos	虚伪的
avgas	飞机用的汽油
theatrically	戏剧化地
embedded	内含的
unfixed	不固定的
unpoetic	无诗意的
scramble	攀登
agio	贴水
gneissic	片麻岩的
welfarism	社会福利国家主义
wicked	缺德
brisk	轻快
irretention	不能保持
therapsid	兽孔目
cervine	鹿的
swift	敏捷地
colotomy	结肠切开术
disoperative	不合作的
babyism	婴儿时期
unprinted	未印出的
rezaiyeh	=Rizaiyeh
fenian	爱尔兰古代勇士
cleared	清除的
factualistic	求实精神
helluva	很难的
forwardness	早熟
ensue	跟着发生
walkway	人行道
green	绿色的
agorot	的复数形
victimless	无受害人的
sternforemost	船尾向前地
concise	简练的
jacobin	雅各宾党人
sandunga	萨恩杜加舞
nutpick	取出胡桃果仁时所用的尖形挑针
substantive	真实的
suckle	吮吸
dysphoria	烦躁不安
triad	三个一组
fecund	生殖力旺盛的
chimerism	嵌合性
vitalization	赋予生命
grazioso	幽雅
turkmenistan	土库曼斯坦
gwtw	Gone
spermous	精液状的
blithe	愉快的
merchant	贸易商
lutrine	水獭的
deuteranope	患绿色盲的人
vile	简陋的
favorable	良好的
nampo	南浦
cornflakes	脆玉米片
nye	奈
madding	狂乱的
haggard	野性
cosmism	宇宙论
drogulus	无形实体
coxy	骄傲
cacogastric	消化不良的
morbific	引起疾病的
autochthonal	土著
tarheel	焦油脚人
jealous	嫉妒
syphiloid	象梅毒的
rearmost	最后
iaa	acid
firer	放火者
saida	赛伊达
mime	protocol
invincible	不能征服
blind	盲目的
detectable	可发觉的
twopenny	不足道的
eisegetical	穿凿附会
astronautically	太空航行
salted	盐腌的
fireless	没有火焰的
quattuordecillion	一后面有四十五个零之数
herbarize	=botanize
holder	持有者
dunt	重击
file	琢磨
polypoid	水螅似
visard	覆面
hcs	somatomammotrophin人绒毛膜生长促乳素
providence	深谋远虑
fountful	多喷泉
vermonter	佛蒙特州人
hii	Institute
tabor	单面小鼓
plough	耕
cabalistic	犹太教神秘哲学
cattleship	载运牲畜的船
touchpen	触笔
realizable	可了解的
checkrein	控制
kroo	克鲁族
appulsively	撞击地
gourdful	一葫芦的量
telpher	使用缆车运输
ferromagnetism	铁磁性
levorotation	左旋转
dissociableness	孤癖
homogamy	同子生殖
sparkling	闪烁的
verso	反面
nether	下层社会
pert	辛辣
mst	山区时区
overpowering	无法抵抗的
roadworthy	适于行路
subsistent	现存
excisable	可割取的
inegalitarian	赞成不平等的
paleoenvironment	古环境
tagmeme	法位
reboso	=rebozo
crystallitic	微晶的
shadowy	有阴影
ingenuous	自然的
kinsey	金赛
pendular	摆动的
impeccable	没有缺点
permute	序列改变
coinheritance	共同继承
associational	协会的
minestrone	蔬菜通心粉汤
tsoris	痛苦
whipt	whip的过去式及过去分词
platelet	血小板
pushchair	折叠式婴儿车
message	预言
churn	搅乳器
windup	结尾的
disciplinarian	规律的
meshuga	失常的
deport	驱逐
barnard	巴纳德
rusty	铁锈色
coign	隅石
hance	拱腰
volumenometer	排水容积计
benty	硬草的
prepackage	出售前预先包装
hurdle	跳过
magnific	庄严
endocardium	心内膜
liquid	明亮
kappa	10字
intangibly	模糊地
desterilization	解除禁止使用
staggeringly	摇晃
reefer	收帆的人
special	特派员
sardinia	撒丁岛
tricoloured	有三色的
numina	numen的复数
respectively	分别地
enticement	诱惑
paneling	嵌板
wob	浪击落水
haybag	女人
apperception	知觉
nighted	入夜
deltawing	有三角翼的
splendidly	华丽
isolation	隔绝
currant	黑醋栗
psalmodist	唱圣歌的人
felly	外轮
oblique	不坦率的
humoral	由体液引起的
kosher	合适的
tollbooth	过路收费亭
smutty	煤黑
stop	车站
heeled	有后跟的
subvertical	接近垂直的
sedentary	坐惯
antefix	末端装饰
distortive	事实
vibrotactile	震动触觉的
pop	开枪打
dinghy	小游艇
uncanny	离奇的
surfcasting	激浪投钓
irresponsive	无答复的
gesneria	苦苣苔科的
tele	电视
dermographia	皮肤画纹现象
mural	壁画
obtect	具被的
somatotroph	亲躯体细胞
outright	彻底的
thermodynamic	热力学
decollation	断头
ritzy	豪华的
windblown	被风吹斜
expellant	有驱逐力的
psychotomimetic	拟精神病
metayer	对分佃农
piagetian	皮亚杰的
upset	混乱
septuplicate	乘以七
egregious	过分
tribespeople	部落成员
outspan	脱卸马具
prop	支持者
squireen	小地主
bellman	更夫
brimming	满溢的
ecru	米色
informed	见多识广的
stepper	以特殊姿态行走的人或动物
uncensored	无保留
joking	戏谑的
macroorganism	大生物体
biquarterly	三个月两次
cellobiose	纤维二糖
rejuvenate	使复原
nooky	性交
makebate	惹是生非的人
ascertain	探知
blowout	爆裂
about	转向
rupestrian	在岩石上发现
pedigreed	血统明白
strac	Army
devastating	破坏性
infamatory	中伤的
larva	幼虫
tenderness	嫩
cluster	串
fountainhead	根源
munch	大声咀嚼
untasted	未经辨味的
hypercautious	过于小心的
hydrofluoric	含氢和氟的
reflectingly	反映
goblinry	小妖精行为
clad	clothe的过去式和过去分词
bursiform	囊形的
middlebuster	=middlebreaker
mortal	人类的
marry	和……结婚
nameless	不知名
abruptly	唐突地
handguard	护手盘
lokanta	饭店
shortstop	游击
aiche	American
flabellifoliate	叶呈扇形排列
irreformable	难以纠正的
yardmaster	调车场场长
furor	狂热
mutarotase	变旋酶
tunicate	有被膜的
bubble	潺潺的流
machiavellian	马基雅弗利的
flory	=fleury
toehold	攀登悬崖时的小立足点
overstrength	人员超编
finish	完美
peripatus	栉蚕
sponsorial	主办者的
bedlam	混乱
xp	Programming
uninhabited	杳无人迹的
thematic	论题的
wscf	Federation
bimetal	双金属器件
forward	运送
amazonian	有男子气的
menstruum	溶剂
sec	书记
barbotine	装饰用料浆
subadult	接近成年的
plonko	酒鬼
vellicative	能拔
oenophile	酒的行家
pluperfect	过去完成时的
ethnologic	人种学的
sax	for
underproof	酒精含量在标准浓度下的
dish	碟形卫星天线
quadrangularly	四边形
psychoenergetic	[量的
interoceptor	内部感受器官
macedoine	杂样水果冻
acalephe	水母
anchovy	凤尾鱼
wa	Washington
exceptionable	可抗议的
resentment	怨恨
fulgurate	用电气烧灼
acquiescent	默许
hesitative	支吾其辞
painstaking	辛苦的
monotheism	一神论
filiform	纤维状
acrodynia	肢端痛
cricetid	仓鼠
run	熔化的
tuberose	晚香玉
dungy	满地是粪的
previous	返回上一级菜单
bargaining	商讨
hexagonal	六边形的
bughouse	疯狂的
scope	机会
partnership	合伙企业
countryside	乡下居民
chyliferous	输送乳糜
lifo	out
soupiness	多愁善感
crutch	帮助
frightful	非常
deterrable	可威慑住
petite	细的
annuli	轮
former	以前的
confiscator	充公
begin	首先
uncorrected	未加管教和
leavisian	利维斯风格
mobility	灵活性
bicornuate	双角
authoritarian	独裁主义的
styptical	止血
alloimmune	同种免疫
residential	与居住有关
tridimensional	立体的
brevetcy	名誉晋升的军衔
spirituel	愉快的
pawnbroker	典当商
entrepreneuse	女主办人
rooflet	小屋顶
uvula	悬雍垂
bia	Analytics
dealership	经销权
thyrosis	甲状腺机能病
crackajack	上等的
aerodrome	机场
variable	变量
hauler	运输业者
reject	被弃之物
enormous	凶暴
filicauline	有丝状茎
miri	mir的复数
russ	俄国人
extenuative	情有可原
thundering	雷鸣的
outrange	超过
fend	供养
chemosmotic	化学渗透现象的
goaty	山羊似
crystal	水晶饰品
eerie	奇异的
zygogenesis	合子形成
laith	厌恶的
bojardo	博亚尔多
onychomycosis	甲癣
tan	茶色
aleatory	偶然
muscle	肌
talliate	向……征税
iconomachy	对偶像之敌视
hemialgia	单侧痛
hymnodist	赞美诗学者
schmaltz	极端流于感伤的音乐
sweetback	男妓
lwop	without
ludicrous	滑稽的
diadochy	同晶性型
undisguised	公开的
bratty	讨厌的
esemplastic	有融合作用
photoelastic	光弹性的
precipitate	突如其来
quarantinable	应受检疫
furioso	强有力
sweaty	出汗
seignory	领地
succedaneum	代用品
rewinder	重绕机
antisymmetric	反对称的
burstone	以矽石做的臼
hieroglyphologist	象形文字学
imaginabale	可能的
celebrated	著名
tutti	全体齐奏
turbidimeter	浊度表
motherly	母亲的
insinuation	暗讽
anthropomorphic	神、人同形ze/9AnWrEpEJ`mR:fIk/
benefice	僧侣所领之禄
hectograph	胶版印刷
carfare	票价
lipotropism	抗脂
gaiter	绑腿
pedestrianism	徒步
snipe	诽谤
contestant	争论者
shackle	脚镣
piffling	不足道
elastomer	人造橡胶
sootily	熏得乌黑地
inappellable	不得上诉的
private	私营
wallow	沉迷
taboo	禁止使用
dane	丹麦人
psalter	诗篇集
oubliette	地下密牢
running	流动的
detractor	诽谤者
zonal	带状
feep	尖笛声
revisit	再访
verify	查证
frivol	虚度日子
handfast	婚约
retractile	取消的
psychosomatic	精神身体相关
score	获得
fallow	不活跃
melodrame	=melodrama
interproximal	邻间
inimicable	有害的
reginal	像女王的
resurrective	促成复活的
tripodic	有三脚的
qea	Airways
exsect	切去
mendicant	乞丐
probational	缓刑的
homocyclic	同素环状的
executioner	刽子手
instancy	迫切
provencal	普罗旺斯语
topless	高得好像望不到顶
millenarianism	千福年说
sombrous	昏暗
prelithic	石器使用前的
succinct	紧身
wintry	冬天
drifting	飘动
physiological	生理学
suberization	栓化作用
mobility	活动性
delator	控告者
somber	昏暗的
experiment	进行实验
forbiddance	禁令
millenarian	一千年的
supersensuous	超感觉的
unnoticed	被忽视
thecate	具膜
affront	轻蔑
avg	average
state	正式
pyrocellulose	焦纤维素
thickset	粗短的
phytozoon	植形动物
bronchial	支气管的
uncivilized	不文明
ferryboat	渡船
stage	阶段或时期
undesigned	偶然
arcuate	弓形的
bassoon	巴颂管
paal	桩
appropriation	占有
correlate	和……相关
sled	摘棉
torsional	扭转的
kantele	康特勒琴
vortically	旋转
halfnote	二分音符
chrp	Reference
synergism	合作
funereal	适合葬礼
criticize	责备
pericardial	心包
antinoise	抗噪音的
monocarpellary	单心皮
benignantly	仁慈地
flush	发红
spherical	球形
foraminiferous	有孔虫目的
thermophil	嗜热
flusteration	=flustration
quotable	可引用
puniness	弱小
undying	不朽的
azion	再生蛋白质纤维
volitant	飞
nocturnality	夜间活动
judah	犹太
nse	Stock
conversable	健谈
cicerone	导游
mughul	=Mogul
campaign	参加活动
numerous	众多
nostology	老人病学
dm	Management
sixer	以6分计算的击球
micropulsation	微脉动
stinking	烂醉的
fine	细微
intricacy	错综
aquarian	宝瓶座时代
importer	输入者
arresting	可观的
fatidic	预言性
very	恰好
savageness	野蛮
pyogenesis	化脓
translatable	可译的
mouchoir	手帕
imposturous	欺骗
hitachi	日立
stravage	游荡
late	新近的
villagization	村有化
reptilarium	=reptiliary
poroplastic	多孔柔韧
hearty	丰盛的
usable	合用的
separate	个别
pigmentary	色素的
psychotherapeutics	心理疗法
tantivy	疾速
nasofrontal	鼻额骨
arthral	关节的
sniffle	鼻子哼哼的做声
exculpatory	辩解
macarthur	麦克阿瑟
parascience	超科学
ethynyl	乙炔基
apocalyptical	启示论的
frolicsome	爱闹着玩的
glanders	马鼻疽
kiss	接吻
liquorish	讲究吃的
charitarian	慈善家
demented	发狂
monotony	千篇一律
befrogged	饰有盘花钮扣的
plagiocephalic	斜头的
fade	消失
dissociably	可分离
bathymeter	测深计
crinoid	百合样
novel	小说
diabetic	糖尿病的
confiscator	没收
intrepid	无畏
alluring	诱惑
lapse	下降
scintillant	闪烁
neandertal	=Neanderthal
calced	有蹄铁
cogent	恰到好处的
posadero	客栈老板
biting	尖锐
lao	老挝人
apa	all
abomasum	皱胃
snorty	流鼻涕的
nonage	未成熟
picrate	苦味酸盐
palomino	身体淡褐色并有白色鬣毛和尾的一种马
uvulitis	悬雍垂炎
pork	与性交
certainly	的确
snorter	强烈的打击
picked	摘下的
marshy	生于沼泽的
bargirl	酒吧女
zolaesque	左拉
frondent	叶子很茂盛
bossism	领袖的政党控制
adamancy	坚硬
uninspired	缺乏创见的
reagency	反应作用
thrust	推力
relique	遗体
disconformity	n
bullate	肿胀
rewire	再接电线
christy	=Christie
episteme	知识
leucomaine	蛋白碱
mint	大量
pinhead	小东西
oppressive	压迫的
unuseful	无用的
sneering	嘲笑的
uneducational	不推进教育的
batdambang	=Battambang
antimicrobial	抗菌剂
wrest	曲解
guzerat	=Gujarat
inhaust	饮
roorbach	在选举前为中伤敌政而作的诽谤性谣言
vestiary	衣服的
eteocles	厄特俄克勒斯
biconical	双锥
metathoracic	后胸的
guacharo	南美产鹰的一种
cyproheptadine	二苯环庚啶
aphony	=aphonia
water	流体
nicol	=Nicol
calisaya	黄金鸡纳树皮
wider	广阔的
green	青春的
pippip	再见
crunchiness	脆弱
charolais	夏洛来牛种
metalsmith	金工技工
inferential	推论性
contracted	已定约
unscrew	从……旋出螺丝
womanish	柔弱
alingual	任何语言都说不流利的
perpendicularity	直立
floating	浮动
microwave	微波
circumspectly	慎重地
subpleural	胸膜下
versify	把改写为诗
carbuncle	痈
circe	女巫
chromoplasmic	易染浆的
penannular	近于环状
squamulose	多小鳞片
waspish	尖刻的
vacationist	度假者
sterling	英币
joyo	com
welter	滚动
postmenopausal	绝经后
oligocarpous	果实不多的
manorial	庄园的
tap	分接
labouratory	化验室
telephonic	电的
hypsometrical	测高术
outrageous	无耻
radioautograph	放射线映像
wifedom	=wifehood
symbolism	象征主义
horoscope	占星
untidy	不简练
tinned	镀锡
unexpectedly	想不到地
terrane	岩层
omnitude	普遍性
certified	被鉴定
heilungkiang	见Heilongjiang
zodiacal	黄道带内的
tricrotic	三重搏
toothbrush	牙刷
aftermath	后果
smudge	染污
dissyllabic	二音节的
lifeful	充满活力
abiogenetic	自然发生论
blithering	胡扯的
flubdubbed	易犯错误的
overdramatize	过分夸大
kgb	Bezopasnosti
slavery	奴隶身分
ciliate	有纤毛
cavu	云高及能见度无限
vestry	小礼拜室
kiwanian	基瓦尼俱乐部的
sahelian	萨赫勒地区的
caesaropapism	国家高于教会
bodleian	牛津大学图书馆的
mdclxvi	1666
aethereally	天上
jumpily	易变动
blizzard	大风雪
intertwist	缠绕
miesian	密斯
safar	回历2月
handclap	鼓掌
ciliary	睫毛的
statistical	统计学的
hucklebone	坐骨
neve	粒雪
please	取悦
unsharp	不明显的
visualization	清楚地呈现在心
motordrome	汽车试车场
groovelike	墨守成规
charnel	似停尸房
hallowmas	万圣节
taa	Assistance
royal	第一流
mtu	Unit
motorway	汽车高速公路
square	平方
intercoastal	两岸间的
cock	雄鸟
flavorous	可口的
recorder	记录器
odds	成败的可能性
total	总的
lilylike	像百合的
tawie	易驾驭的
inbox	收件箱
unglamorous	单调的
freemasonic	共济会
scutcheon	名牌
descensive	向下的
syntactically	依照句法
concealment	隐蔽处
hyperfocal	超焦的
extensively	广阔地
exacerbate	使烦恼
graphomotor	运动的
gallican	古代Gaul教会
omniscient	无所不知
apprehension	理解
trikerion	三叉烛台
hammer	锤击
rush	赶紧
rostov	罗斯托夫
transatlantic	大西洋彼岸的
guitarfish	犁头鳐
perspicuously	显明
piggywiggy	小猪
kite	高而轻的帆
gametocyte	配子细胞
autotrophic	自造营养物质的
circadian	以24小时为周期的
vfr	flight
metempsychosis	轮回
choreman	打杂工
practically	几乎
secretaryship	书记
thrive	旺盛
momentous	重大
theatergoer	戏剧家
sysop	系统操作员
yttrotungstite	钇钨华
wattle	板条
unprimitive	非原始
solvend	溶质
matriclan	母系氏族
nautili	nautilus
obovate	倒卵形的
quatercentennial	400周年
cablecast	用电缆电视播送
inerrant	确实
terylene	涤纶
nursemaid	育婴女佣
lame	无说服力
sandal	穿上便鞋
facetiae	诙谐
choleric	易怒的
budget	编入预算
dm	of
wtp	无线办理协议
nonviable	无法生活的
intercalary	插在中间
carissima	亲爱的
predominate	成为主流
overfed	overfeed的过去式及过去分词
turbotrain	汽轮机列车
concerning	关于
elective	有选举权的
louse	虱子
brush	刷
wobbegong	=carpet
lodgment	沉淀
msie	Master
medieval	老式的
silklike	丝状的
disentrance	使从迷惘中觉醒
designing	阴谋
exsufflate	吹走
plumbite	铅酸盐
sunfed	Special
hostile	敌方的
confirmatory	确定
excitosecretory	兴奋分泌
de	Etching
liberation	解放
antifederalist	反联邦党员
aram	Royal
backswept	向后倾斜
divesture	=divestiture
swakara	西南非洲卡腊库耳羔羊皮
kurtosis	峰态
nautical	海上
condemnatory	处罚
isolation	绝缘
cutoff	近路
inobtrusive	客气
balladize	将
rebate	减少
like	愿意
pyrotechnic	出色的
phototropism	趋光性
falcon	猎鹰
catadioptrics	兼反射光及折射光
retroverted	倒退
kyloe	苏格兰高地产的长角种小牛
pomander	香盒
admit	容许
plastocyanin	质体蓝素
seeing	视力
flitch	腌的猪肋肉
vole	孤注一掷
hackery	两轮牛车
exquisitely	精巧
datcha	别墅
sonochemical	声化学
determinate	确定
