disagreement	争论
antidepressant	抗抑郁病药
corruptibly	易腐败地
torrify	=torrefy
plush	豪华
schizophrenese	精神分裂症性言语
ammoniacal	氨
iocu	of
cystic	膀胱的
brier	野蔷薇
pettifogging	骗人
separatory	分离性
virescence	绿化
nim	扒
bacteriocin	细菌素
flyaway	轻浮的
fen	沼池
soliflucted	因泥流作用而移动的
carnous	肉的
lamentableners	拙劣
flagellate	鞭状的
parolee	假释犯
leptonic	轻子的
costless	不须花钱
adrenergic	释放肾上腺素的
grueling	严惩
cogent	使人首肯
clerisy	知识分子
circumambient	周围
umbilicate	有肚脐的
invariable	不变
disarray	混乱
rancher	牧场主
scolecite	钙沸石
holly	冬青树
offcast	被抛弃的人或物
diablo	又称恐惧
eupepticity	消化良好的感觉
extramarital	私通的
eupneic	平静呼吸的
quakerish	像贵格会教派
triton	I/O控制芯片集
ethnarchy	总督的身份
block	木块
dispread	向四方张开
rising	上涨的
alienable	可让与
ledge	暗礁
panjandrum	大人
sore	痛的地方
pseudoscorpion	假蝎
serous	含浆液
drizzle	细雨
arrester	避雷器
gigavolt	十亿伏特
sanity	心智健全
shoddy	翻制的
catcall	发嘘声
lamia	女怪
baronial	与男爵有关的
giddify	使头昏眼花
donkeyish	愚蠢的
philhellenic	爱好希腊的
ionogen	电解物
hexaemeric	创世之六天记述
sulcate	有沟
mandrake	曼德拉草根
instant	直接的
offenbach	奥芬巴赫
reedy	脆弱
provisory	有附文的
tuner	调谐电路
golgotha	受难的场所
doyen	老前辈
doltish	愚蠢
odontornithic	齿鸟类
gallophobia	憎恶法国
northwestwardly	西北
afterdamp	爆发后的毒气
cuttlebone	墨鱼骨
wobbly	不稳定
unhinge	使移走
coquet	卖弄风情
flooey	不行
unicef	Fund
baseborn	出身微贱
enumerably	可点数地
indebtedness	亏欠
holosericeous	有丝状短毛的
humiliator	侮辱者
tuesdays	每星期二
demonian	魔鬼似的
uplift	振奋
poll	民意测验
convict	宣告……有罪
bill	清单
midge	侏儒
fiend	魔鬼
xenotropic	向异
pulsant	搏动
competency	能力
raiser	酵母
impressionistic	给人深刻印象的
probabilism	盖然论
foretoken	预示
ovibos	ox
jokey	滑稽
saltish	略带咸味的
urinometer	尿比重计
herbescent	似草的
epistasis	上位
akinete	藻类细胞附生的一种胞子与母细胞壁合为一体
sheila	Sheila
punny	一语双关的
mirthless	沉闷
howl	嚎哭
lease	出租
tragedian	悲剧作家
cortile	内院
inquisite	审讯
sprig	小枝
tinge	风味
torus	圆环面
ucla	Los
mycobiont	地衣共生菌
subtorrid	=subtropical
unplucked	未摘下
excitation	刺激
discipleship	做弟子的身份
endoparasite	内部寄生物
beamingly	喜气地
wider	广阔
monarchical	国王的
partner	伴侣
infallibility	绝对可靠性
hermaphroditism	雌雄同体性
putsch	造反
undouble	松开
surgical	外科病房
steatitic	块滑石
hexaemeric	创世之六日的
unco	不可思议
terezina	=Teresina
enow	足够
antiepileptic	抗
vomerine	犁骨
anticly	奇怪
obscurity	身份低微
yawnful	无聊的使人打哈欠的
draggly	不整洁的
disinhume	挖掘
latteen	=lateen
lipogenous	产生脂肪的
dipterous	双翅类
nonrefundable	不可归还
touch	触及
rooftree	屋顶
syphilous	=syphilitic
commanding	居高临下的
rbs	of
ictus	爆发
countable	可计算
autoalarm	自动报警器
eastabout	向东地
cembalo	拨弦古钢琴
juniper	刺柏属丛木或树木
plumulaceous	关于绒羽的
makable	可建造的
factualistic	求实精神的
allopatric	在不同地区发生的
hate	讨厌
somatoplasm	体细胞浆
contributory	捐助者
anorexia	食欲减退
needleman	缝衣工人
hohum	令人生厌
nouny	多名词
sustainer	主动动机
detection	发现
razee	删节
idiomatically	使用惯用语句
fortunebook	占卜的书
bengaline	孟加拉织品
transplantation	移植
pulverable	能研成粉末的
discontinuance	中止
matchet	=machete
movable	活动的
jaguar	英、法合作研制的超音速攻击机
charmingly	愉悦
leftover	剩余的
crustily	粗鲁
organizer	建立者
ascot	宽领带
linguistic	语言学上
unfirm	不结实的
noonday	正午的
droopy	下垂的
grungy	低劣
prothetelic	先成现象
feel	摸
reformatory	感化的
immoderation	过度
coterie	同行
citywide	全市的
electrosensory	电感的
anastatic	凸版的
staging	分段运输
reduplication	复制器
perinea	perineum的复数
handling	操作的
paleocene	古新世
valiancy	勇猛
deintegro	重新
monofier'	NULL)
dinar	第纳尔
cornuted	有角的
childproof	对孩童安全的
surnominal	别名
electrotypist	电版术
infamatory	诽谤的
wtp	Wireless
priggish	自负
frostline	冰冻线
