bier	棺材架
comisco	国际社会主义者会议委员会
terdiurnal	一日三次
pinnace	装载于舰上的中型艇
rendering	复制图
cascaron	内装碎纸的蛋壳
pople	=popple
dop	dioctyl
montepulciano	蒙蒂普尔查诺红葡萄酒
octocentenary	800周年纪念
flaunt	招摇
townee	同乡
spore	长孢子
cigs	General
enrapture	使狂喜
electrolytic	电解
coevolution	共同进化
megranate	石榴
cockshot	投棒戏
skydive	跳伞运动员在降落伞张开前做空中造型动作
footy	保管很差
determinative	决定的
centreless	无中心
enounce	宣言
pelt	投击
ease	不费力
westernmost	最西的
reign	支配
hierachical	天使的
equalitarian	平均主义的
elytra	翅鞘
frettage	炮尾环
impassable	无路可通的
graunchy	艰难
teleconference	远种电信会议
transdisciplinary	学科间
liquid	流动
riotous	狂欢
frolicsome	嬉戏
foreland	前陆
prelapsarian	人类堕落前
antitrade	反贸易风
after	后来的
villiform	绒毛状的
activated	有活性
uniform	一致
macrodontism	巨牙
lusterless	没有光彩的
unembroidered	未加修饰的
zygomere	接合粒
erstwhile	以前的
ppm	part
mortal	必死
pursy	皱起
pee	撒尿
styliform	末端尖而细长的
retrieve	找回
coxy	骄傲的
infernal	阴间的
etymological	语源的
freak	奇异
heartsick	苦恼的
speculate	做投机买卖
tcb	business
unneighbourly	不喜欢与人交往
caecal	盲肠
sticker	不屈不挠的人
resitting	再次开庭
rp	the
vasodilator	血管扩张
helminth	蠕虫
cankered	腐烂
confidently	安心
lebensspur	古生物活动痕迹
whist	无声的
oak	橡木制的
procellous	多风暴
keeping	保守
persevering	坚忍的
proud	自豪
affrontedly	被侮辱
calypso	特立尼达岛上土人所演唱之歌曲的
multivariable	=multivariate
plane	刨平
wastepaper	纸屑
limnology	湖沼生物学
bhl	Letters
publishing	出版的
motorama	汽车展览
papoose	幼儿
gangster	强盗
speechmaker	演讲人
materialization	具体化
homocentric	同心的
oecd	Economic
beribboned	有饰缎带的
surge	巨涌
refoot	换底脚
glamor	迷人的美
americanist	研究美国问题的人
footage	电影胶片
rainproof	雨衣
result	由于
punic	反复无常
roundup	摘要
disazo	双偶氮
touchstone	试金石
duplicable	可加倍
ruffed	有环状羽毛的
viraemia	病毒血症
turbinal	=turbinate
unction	津津有味
filmic	象电影
inarch	插枝
jain	耆那教
fair	市集
southwesternmost	最西南的
betimes	及时
plop	扑通声
unasked	未经要求的
coverall	无所不包的
fantasticism	怪诞
median	中线
gadhelic	=Goidelic
ladysnow	=cocain
impactful	有力
bibliographer	书目提要编著人
godliness	信仰
sociopolitical	社会政治
paly	发青的
lxxx	80
memory	记忆
omnipresent	无所不在的
garron	=garran
prestissimo	极快
blowzy	红脸的
seadog	=fogbow
skullguard	防护帽
cosurveillance	共同监督
leftward	在左侧的
dyeing	染色
pushily	粗鲁地
oni	of
mss	多光谱扫描器
vernally	春天
necessary	必然
debater	讨论家
liquidly	流畅地
decedent	死者
photocurrent	光电流
jamin	雅明折射计
leisure	空闲
contriver	筹划者
expectability	意料中
misogynic	嫌忌女人
relieved	放心
lecherous	挑动春情的
ampulla	圣瓶
heresimach	积极斗争的人
dud	失败的人或事
partite	分裂的
restorative	有助于复元
dissimulation	掩饰
liable	负有责任
expatiation	铺陈
pedicel	茎
shameless	不知羞耻
shunt	逃避
actinozoan	花形虫
waste	被浪费
voltolize	对……作无声放电处理
scolopidium	弦音器官
unessential	非本质的
polatouche	飞鼠
subsonic	次音速的
flow	飘扬
pyelograph	=pyelogram
identity	恒等式
alnico	铝镍钴合金
cheval	glass穿衣镜
ymodem	是XMODEM的扩充
wooden	木制的
rebellion	反抗
directorial	指挥的
cimex	臭虫属昆虫
melting	混合
irrigate	使潮湿
lent	lend的过去式和过去分词
record	将……录音
apparat	政治组织
vow	发誓
servite	圣母玛利亚会修士的
wayfaring	旅行
cap	盖在……顶上
incaution	不小心
masterstroke	巧妙的动作
bacteriology	细菌学
superrational	超理性的
fuck	他妈的
segment	节
enneahedral	九角
feeling	富于同情心
qcd	quantum
electropositive	盐基性
gondwanaland	冈瓦纳大陆
paisley	佩斯利螺旋花纹呢的
humanly	像人
bushfighter	丛林游击队员
paternal	父亲的
campanulaceous	风轮草属
wifehood	为妻之道
khalifate	职权及领域
quadruplicity	四重
ergatoid	具有拟工蚁特征
significant	重大
oneirology	圆梦学
zygology	接合工艺学
unreasonable	过度的
exploitability	可开发性
pallas	雅典娜
mouseproof	防鼠的
anabaena	淡水藻类的一种
ghostliness	朦胧的
caressant	宠爱的
permanganic	含最高价锰
psychon	精神粒子
tang	特殊气味
intercessory	仲裁
pivotal	枢轴
yearlong	持续一年
ordinary	平常
wakeless	熟的
unboastful	谦虚的
quadruplicity	四倍
fosterage	寄养
dnf	未完成
pinkerton	私人侦探
information	通知
anthropoid	似人类的
hexapody	六音步诗句
taxidermist	剥制师
parenteral	注射用药物
downstairs	往楼下
pinto	有花斑
ripe	熟的
metathesis	调换
bladder	膀胱
thioantimoniate	硫代锑酸盐
mats	Transport
attrited	磨损的
aerogenically	产气地
snowhole	雪坑
amontillado	雪利酒的一种
martial	军事
cast	派
overhasty	过急
concentrate	浓缩
ictus	扬音
plantigrade	脚掌着地行走的
interstrain	杂交的
irrepressible	抑制不住的
hoodle	弹珠
stalinsk	斯大林斯克
arcifinious	天然疆界
cherish	珍爱
liturgician	祭典学家
pinocle	一种纸牌游戏
katathermometer	冷却率温度表
strepitoso	吵闹的
corresponsive	相当的
benthonic	海底的
beau	求爱者
fluviatic	生长在江河中的
immorally	不道德地
lombrosianism	龙勃罗梭的犯罪学说
suggestion	提议
declamatory	演说口吻的
neurasthenia	神经衰弱症
warrior	武士
bicephalous	两头
imperscriptible	非正式的
plantation	殖民
dyslogy	非难
provoke	激怒
outlandish	偏僻
saponaceous	圆滑
encouraging	可奖励
modernbuilt	现代建筑的
imperviable	不能渗透的
hydrocellulose	水解纤维素
facemaking	作苦相
disconnected	不连贯的
beaten	打败了的
personal	人身
mitrailleuse	老式机枪
poortith	贫穷
gadgety	小玩意
flummery	假恭维
semidomesticated	`semIdEJ9mesIkeItId/
wooer	求爱者
soutane	神父的法衣
biologic	生物学的
underquote	对价格
clonic	阵挛的
infamatory	诽谤
vigesimal	以20为基数
shaft	杆状物
summable	可和的
diosmosis	渗透
commensal	共生物
voluminal	容积的
past	越过
pickpocket	扒手
history	历史
radioman	无线电技师
underhand	阴险地
lar	家神
tricel	特列赛尔
saprophyte	腐生物
flamboyantism	过份华丽的格调
manteau	披风
shortgrass	矮草
nhk	Hoso
ken	见
solderability	可焊性
roadworthy	适合道路上使用
robin	罗宾
time	/
igy	Geophysical
disprove	驳斥
massage	按摩
principial	最初的
extant	显著
orthonormal	规格化正交的
kittenish	小猫似
microgauss	百万分之一高斯
taileron	全动平尾副翼
deforestation	森林开伐
halocarbon	卤烃
contemplate	沉思
subservient	有帮助
emendable	可修订的
anonymously	化名地
overkind	过分仁慈的
declarable	应申报
podolsk	波多利斯克
gnaw	侵蚀
synallagmatic	对双方具有约束力
clew	线索
tuitionary	讲授的
beautify	美化
dentin	牙质
immature	未完全发展的
mystically	神秘地
outlandish	外国气派
coprophobic	排粪恐怖的
aqua	水剂
adiaphorous	中立
gremlin	小鬼
sbm	单浮筒系泊
breathlessly	屏息地
rarp	Address
docile	听话的
tacky	俗气的
italiot	意大利南部古希腊移民城邦的居民
xanthosis	黄肤症
gray	老练
leu	其银币
backwoods	未开垦
gentlewoman	贵妇人
gravific	使变重的
frowst	闷气
stripfilm	幻灯片
ostracoderm	甲胄鱼
rbi	Batted
furthermost	最远方
endoerythrocytic	红细胞内的
wair	=ware
jurywoman	女陪审员
proof	证据
northwestwards	向西北方
ephemeral	朝生暮死
daytime	白天
oceanic	生活于海洋的
toot	吹奏出
recidivation	复返
folly	愚蠢
whiff	使被三击出局
underrun	从……下面通过
tachygrapher	速记人
androgenesis	雄性单性生殖
hall	门厅
pintoricchio	即
poop	傻子
lippitude	烂睑缘
pop	Protocol
far	很远
paleocrystic	古结晶
sorption	吸附作用
stupefacient	麻醉的
peekaboo	躲躲猫
treasonable	叛国
heavily	很重地
picromerite	软钾镁矾
senega	美远志根
opisthion	枕骨
parti	合适的婚姻对象
unobstructed	没有障碍的
elitist	优秀人材
most	其中大多数
scarecrow	稻草人
potentiality	潜能
fellow	家伙
dishful	一碟
araneidan	蜘蛛的
indentureship	服务契约期间
unplagued	未受折磨的
backstairs	秘密的
reseat	换……的底座
irreformable	不可改造
aureate	金色的
demonstrate	论证
fumaric	反丁烯二酸
photics	光学
hangtag	使用说明标签
nocuous	有毒
spanking	强烈的
unworthiness	无价值
cloud	天空
uglily	丑陋
psro	organization
rancorous	深恨
vast	巨额
contrapuntist	对位法作曲家
substitutional	代理的
epoxidize	使环氧化
barker	剥皮机
cherry	处女膜
ferlie	令人惊奇的事物
backpedal	后退
airstrip	飞机跑道
strict	严谨
inflexible	顽固
vendible	可销售的
shoreward	面朝岸
ippf	International
kreosote	杂酚油
urinalysis	尿分析
unco	没看惯的
froglet	小蛙
sphinges	天蛾
newsheet	业务通讯
micrometer	千分尺
mass	集中的
runabout	流浪
beamingly	发光地
picotite	铬尖晶石
repulsion	厌恶
parsoness	堂区牧师的妻子
mores	习惯
cyclonic	气旋
naw	没有
cheeringly	兴高采烈地
footcloth	地毯
divinity	神
jain	耆那教徒
manganous	锰的
parabolical	比喻
coronetted	贵族的
endlong	全长地
aggregative	集合性的
lydian	吕底亚人的
silt	充塞
digressive	离题
calumnious	毁谤的
pontificate	主教的地位
rusty	铁锈色的
permeable	能透过
belgravia	中上流社会
inobservant	疏忽的
biofuel	生物燃料
diminutively	小地
uncorrupt	纯正
middlescent	中年人
interpolator	分类机
soloist	独奏者
bespread	铺盖
encore	再演唱一次!
combo	联合体
cotter	农场雇工
storekeeper	店主
galea	盔状突起物
cornerways	对角
harvest	收成
design	设计
tremolo	震音的
ne	Ne
exsanguine	无血的
anachronously	不合时代地
brushwood	矮灌木丛
hippocras	用葡萄酒及香料调制的甜酒
gftu	of
ectypal	副本的
abuzz	活泼的
menses	行经
impregnate	充满的
bastioned	具备棱堡的
slid	slide的过去式和过去分词
redeemable	可弥补的
troupe	剧团
shtick	滑稽场面
aloud	大声
ghostliness	幽灵的
improper	不适当的
quaternate	以四为一组的
fictionist	小说家
collimate	校准
pustular	有小脓疱
twelvepenny	值12便士
coagulator	凝结剂
lucidly	清透地
automatic	机械
illimitable	无边际
oligophagous	狭食性的
vignette	把……
paternalist	家长主义者
cetacean	鲸类的
lacrimal	泪腺
fabled	虚构
formulise	=formulize
duodena	duodenum
ecwa	西亚经济委员会
bunch	束
pillar	重要的支持者
epitasis	剧情向高潮发展
dignity	尊严
fastness	固定性
crud	脏家伙
director	主任
caroline	卡罗琳
advocaat	荷兰产蛋酒
rogatory	调查
erratic	漂泊无定的人
unweighted	无重负的
pa	PA
precedent	先例
fulgurous	闪光的
flexility	柔韧性
trick	哄骗
pocket	袖珍
muck	弄脏
jal	Air
sciuroid	松鼠尾巴
aeroembolism	高空病
bva	Veterinary
outside	外面
inlier	内露层
anacom	分析计算机
ssid	无线服务集标识
demilune	半月形堡垒
fleckless	无斑点的
loon	潜鸟
gynecologic	妇产科医学
felicitator	祝贺者
boondagger	进攻型女同性恋者
predictable	可预言的
malate	苹果酸盐
zedoary	片姜黄
dardan	特洛伊的
plutarchy	=plutocracy
necrotic	坏疽
rushee	准备被拉进大学生联谊会的对象
webbing	边带
honeydew	蜜露
coequality	同等
nacreous	有光彩的
hexastyle	前有六根柱子
cdgps	普通差分全球定位系统
castiron	铸铁制成
unnumbered	无数的
choirmaster	唱诗班指挥
flighty	心情浮动
alphorn	=alpenhorn
micturate	排尿
unprovided	无供给
dichromaticism	二色性
present	呈现
syndactyl	并趾的
gladiatorial	争论
absolutize	使……变成绝对的
reductivism	抽象派还原艺术
latency	潜在
vivisector	活体解剖者
unequivocable	清楚明白的
unformed	无定型的
nonalcoholic	不含酒精
drivespac	磁盘压缩工具
defluent	向下流的部分
extremely	非常
tearaway	流氓
christianize	使成基督徒
kindless	薄情的
chronometer	记时计
readout	读出
winglike	翅状
hydrophanous	浸入水中变透明的
incontrollably	不能支配地
novel	新颖的
freshen	减少咸味
satyr	半人半兽的森林之神
shakable	可震动
derned	=darned
diverticular	憩室的
runtish	矮小
message	通知
unicolour	单色的
associate	使联合
brythonic	布立吞人
aglare	耀眼的
morsel	一口
most	多数的
katie	卡蒂
fluxion	流动
clematis	铁线莲
subtopia	开发为工业区的乡村地区
sacculate	袋状
rectum	直肠
rigid	刚硬
liquid	流音
grab	夺取
retirement	引退
gap	缺口
transfusional	输血引起的
whereabouts	下落
dimorphotheca	非洲雏菊
col	Col
interspecific	中间的
march	前进
pack	包裹
competition	竞赛
umber	棕土
formulaic	公式
guardsman	近卫兵
wide	广大
imaret	小客店
anathematic	厌恶的
hecate	赫卡特
roentgenometer	X光测定器
writable	能写成文
kidnapee	肉票
tad	微量
observable	看得见
classification	分级
culm	草秆
sparkler	宝石
spurgall	靴刺伤斑
mantel	壁炉架
cryptographist	使用密码之人
went	go的过去式
nuclear	原子能的
varsity	大学代表队
corpsman	海军看护兵
reecho	回响
bestialize	使行动如禽兽一般
semicomatose	半昏迷
reasonably	适度
alternately	隔一个
outdoorsman	常在野外活动的人
cissoid	蔓叶线
puncturable	可穿刺
loose	松散地
scuta	盾板
mycelioid	菌丝体状的
hieroglyphical	象形文字
attractable	可被吸引的
cometary	彗星似的
augean	极脏
casualize	将转为临时工
actually	事实上
worthily	重要地
newmown	刚割
multicentric	多发源点的
pye	=pie
rfc	请求注解
uncontested	无异议
agorae	大广场
torsion	转矩
eulogistical	颂词
sahiwal	沙希华牛
naughty	没规矩的
cataleptic	全身僵硬症的
colourant	=colorant
coarseness	粗劣
celt	石斧或石凿
nothingness	虚无
weedkilling	除草
hockey	曲棍球
xsl	eXtensible
incursive	侵略
reversional	继承的
dipteral	四周双列柱廊式的
barren	无益的
midafternoon	下午三时左右
sociable	好交际的
indigent	穷困的
fallen	倒下的
rebel	反叛
san	存储区域网
fleshless	消瘦
sticker	滞销货
basal	构成基部
submicron	亚微型
trimetrical	斜方晶系
agrestal	农田中野生
mx	墨西哥
erotism	性爱倾向
arete	险峭的山脊
pub	酒馆
argent	银
xf	extra
warship	战船
explosive	爆炸
pc	Patrol
dimetric	四边形的
posh	漂亮的
restructure	重建构造
imaginable	可想象的
adultness	成熟
brinkman	边缘主义者
roscoe	左轮枪
amman	安曼
sundays	于每星期日
unestablished	未确立的
antiracism	反种族主义
saving	补偿的
woodcut	木版画
coloured	有色的
lapsable	易犯错
resupplies	新补给
variform	有多种形态
abranchiate	无鳃动物
counterman	拿菜给顾客的服务员
roose	自夸
irksome	令人厌恶
neutral	无确定性质
spinelle	尖晶石
galvanic	抽搐的
faitour	冒名顶替者
hilus	门
deposable	可废除
distributing	分布
parochialism	偏狭
cantonal	市区
amberoid	合成琥珀
gaulish	法国人
nosebleed	鼻出血
counterattraction	反引力
patrician	贵族的
slumland	贫民区
internship	实习医师期
peninsula	半岛
emphatic	用力
japanese	日本的
bilocular	双房
junta	团体
attribute	归结于
reproachingly	非难似地
oversee	视察
macular	有斑点
incogitable	无法猜测的
tuc	英国劳工联合会议
extraocular	眼外的
carinate	有龙骨形的
scapegrace	饭桶
stagy	做作
straightway	立即
viscerogenic	出自脏腑的
redo	重做
scenical	景色的
clocking	孵蛋
raft	乘筏
distribution	分类
polychromasia	多色性
readvance	再推进
subtenant	转借者
emanatory	放射的
subtractive	减去
cauda	尾状物
endocytosis	内吞作用
millicron	=millimicron
forward	向将来
coenzyme	辅酶
imperator	古罗马皇帝
siderography	钢板雕刻术
planetoid	小行星
unfriendly	不利地
cockily	逞能
holi	胡里节
yorks	Yorkshire
homocentric	具同一中心
corselet	盔甲
suberic	木栓
mullion	放射状框
do	做
shansi	见Shanxi
way	情形
tridactyl	有三指
himalayas	喜马拉雅山脉
record	最高纪录
flagging	委顿
polyhedral	多面体
recoverable	可重获的
outbox	待发箱
outrageous	蛮横的
moneyless	贫穷
surfeit	使沉溺于
ferocious	十分强烈
argyll	阿盖尔郡
physical	身体的
scalloping	扇形边
corrupt	腐蚀
unboastful	谦虚
expansible	能扩张的
weariful	疲乏
cramp	腹部绞痛
deliberatively	慎重审议
decagon	十角形
kk	Phonetic
pleat	褶
planetesimal	星子组成
senary	六的
congenial	性格相似的
spool	缠绕
lunokhod	无人驾驶月面自动车
converse	交谈
lacerate	割裂
naturalize	使入国籍
unridden	不受支配的
amebic	变形虫
gardant	面部正对观看者
gambir	黑儿茶
carnous	肉
lithophytic	石生植物
matriliny	母系继嗣
anoxemia	缺氧血症
foudroyant	使人眼花缭乱的
sandbank	沙丘
cognominal	同姓的
lintwhite	朱胸朱顶雀
quagmiry	多泥沼的
crystal	水晶
omnipotence	万能
unanimously	无异议
corrosible	可侵蚀的
worry	使烦恼
pliofilm	胶膜或其商标名
fray	争论
autochthonal	土地固有
japanolatry	崇日
matsuyama	松山
warily	留心
element	自然环境
convergent	收敛的
kingsun	大型专业化软件公司
grievous	令人忧伤
buchmanism	道德重整运动
hoofed	有蹄
ghosty	幽灵
ogreish	鬼似的
indies	东西印度群岛
mastocarcinoma	乳癌
unembellished	未修饰
demonetization	使通货废止使用
lamellicorn	鳃鱼
piligerous	被毛的
grutch	抱怨
condignly	应当地
suboceanic	海底的
necessitous	贫困
warmly	热烈地
pontil	铁棒
domination	支配
hymn	赞美诗
pacifist	和平主义者
magnanimous	有雅量的
hognose	切削刃磨圆的
fraternization	友善
broadbrimmed	边宽
nonprincipled	与原则无关
subtle	微妙
limnology	湖沼学
dynamoelectric	电动
compare	相比
cyclostomous	有圆口
pentoxide	五氧化物
sensuous	给人美感
verrucose	多疣肿
profanation	亵渎
corollar	类似花冠
crotch	丫叉
magdalene	妓女收容所
formal	整齐匀称
emplastic	黏性的
avowable	可承认
trigynous	具三花柱
percent	百分比
sanious	脓液
encash	兑现
clan	宗族
squirearch	地主
rectificative	整流
wristband	袖口
khaph	的变体
solutionist	解答者
goad	驱策
reconvict	重新判决
interoffice	各办公室间的
cachepot	放置花盆的装饰性托盆
tidal	潮汐
bemused	发呆
jomon	绳纹文化的
effervesce	兴奋
atingle	疼痛
pinwheel	轮转焰火
gular	外咽
capstone	顶石
salute	呜礼炮等
integrated	完整
carnelian	红玉髓
tot	加算
flocculus	谱斑
unweeting	=unwitting
lunes	精神病的发作
compulsorily	强制地
compute	计算
arbitrational	关于公断
groom	喂马
specifiable	可指明
girlish	少女
cao	Chief
yarn	纱
protomorphic	原形态的
jadish	疲倦的
usib	United
illusory	产生幻觉
encrustation	=incrustation
proficiency	精通
sophism	诡辩
forefeel	预感
supraorbital	眶上的
aleak	漏水地
admitted	被确认无疑
tomahawk	用战斧斩
osier	柳条
accepter	接受人
gantt	甘特设计的
nard	甘松香
ssbn	Strategic
ultramafic	=ultrabasic
euramerican	欧美
psalmody	赞美诗集
bumbailiff	法警
tajumulco	塔胡木耳科火山
ixionian	伊克西翁
godwards	向神
chlordiazepoxide	甲氨二氮草
crimp	诱迫他人当兵之人
vri	Regina
heartfelt	真心真意
phonic	有声的
impertinent	鲁莽的
arachnephobia	蜘蛛恐惧症
protractile	伸出的
laborage	工钱
suprafacial	同侧的
consultation	磋商
roily	搅浑的
distensile	会膨胀的
chasuble	十字褡
spectacle	眼镜
conjecturable	可猜想
diaconate	助祭之职
circulative	流通
swagger	时髦的
flinders	碎片
corroboration	确证的事实
geometrize	做成几何学图形
unreflecting	浅薄的
dilatory	不慌不忙
acumination	锐利
mutualise	=mutualize
emi	Interference
italianise	意大利化
minimus	最年轻的
inconsistent	不协调的
monotreme	单孔类动物
mugient	哞哞叫
acrogen	顶生植物
clouted	缀补的
hematozoon	血内寄生虫
paleocrystic	由古结晶冰组成
diminutive	小
hyperaggressive	高度侵略性的
cop	警官
compadre	朋友
cockscomb	鸡冠帽
meshugga	发疯似
outworker	外部工作人员
nc	Caledonia
musketeer	持步枪的士兵
creatine	肌肉素
average	平均水平
ost	Science
system	系统
lithomancy	石头占卜术
chromophoric	载色体
peavey	钩棍
short	弱的
crocky	体弱的
upbringing	教养
hubless	无轮毂
spoilbank	弃土堆
featherbrained	愚蠢
inevitable	必然的
djin	=jinn
uncannily	危险
hattery	帽店
monachal	出家的
reinvest	再投资于
caespitose	簇生的
shrinkable	会收缩
stroboscope	频闪观测仪
endwise	向前
raptured	销魂
aif	Imperial
tauromorphic	牛形的
inflammation	炎症
sermonesque	说教的
bullterrier	嚣獍
blindfold	障眼物
exaggerator	夸张者
irak	伊拉克共和国
clamant	喧嚣的
nyp	yet
rodent	咬的
renitent	僵硬的
cover	适用
arciform	弓形
indigest	不消化
crabbily	固执地
statutable	法令
farrowing	产小猪
problemist	棋题设计家
pecan	美洲山核桃
polychrome	彩饰的
yellow	黄色的
inflectional	屈折
forefather	祖宗
piper	风笛手
affreightment	租船货运
nucleocapsid	核蛋白壳
aerogramme	航空邮件
whiff	一吹
newspaperdom	报界
toper	酒徒
prehistoric	史前的
orb	球
prance	昂首阔步
earning	收入
theosophical	通晓神智学
palatable	美味的
blankbook	未登录账簿
technologically	科技地
dichromic	二色
potatotrap	嘴
tousy	临时凑合
nosebleed	鼻血
worrying	烦恼
mummy	妈妈
cirri	触毛
trippant	抬起前蹄行走
treat	视为
parley	会谈
affirmatory	肯定
dilettante	业余艺术爱好的
aggressively	攻势地
encrinite	海百合的化石
deontic	义务
implicit	暗示的
haemathermal	温血
unshroud	展示
enzygotic	同孵性
nitrous	硝石
canvasser	劝诱人
wats	Wide
splotchy	有污点
thoroughwort	贯叶泽兰
codline	船上捕鱼或作其他用途之棉或麻绳
tycoonship	巨头地位
carroty	红发
panorama	全景
wfdy	of
lochial	产褥排泄的
schuss	直线滑降
indeliberately	不是故意地
chloralism	习惯性使用三氯乙醛
adventureful	奇遇
pipy	管状的
behest	命令
wroth	激怒的
sacerdotal	僧侣的
octahedral	八面体的
prius	在前的
humoresque	幽默曲
nutso	发狂的
implicit	固有的
rouser	唤醒者
deck	装饰
calculate	计划
extramitochondrial	位于
monoacidic	一酸的
mrbm	range
datto	马来人的村长
workable	可经营的
trinity	三个一组
ponder	考虑
unwakened	未觉醒
design	计划
dowlas	粗亚麻布
monstrous	难以置信
romanist	天主教徒
fray	冲突
quartz	石英
appropriative	充当的
sudatory	促汗的
castoff	被丢弃的人
pilferer	小偷
calais	加来
understaffing	人员配备不足
dart	刺
fable	寓言
felonious	凶恶
barytron	介子
revanchism	复仇主义
dodgasted	迷惑的
liberally	不受限制地
fim	鱼翅
standpipe	竖管
stanniferous	含锡
bejesus	老天
agitator	煽动者
obsolescent	荒废的
repartee	巧妙应答之才能
soke	司法辖区
backhanded	反手拍击的
deathrate	死亡率
oncer	每周上一次教堂的人
agrestal	农田中野生的
farcically	滑稽
taiz	塔伊兹
rugged	高低不平
unordinary	不平常的
underwrote	underwrite的过去式
wonton	馄饨
bipinnate	二回羽状
supraconscious	超意识
fluke	侥幸
weeping	落泪
sara	萨拉人
dignify	增威严
deliration	神经病
deliberate	预有准备的
depressingly	郁闷
vesa	Vedio
pibroch	风笛曲
islamise	=Islamize
innative	以生具来的
sprit	斜撑帆杆
demonstrably	确然
nonfigurative	没有比喻用法的
unattained	未达到
interterritorial	领土间的
penological	刑罚学
metempirical	超经验论的
hadorwould	有
daytale	按日计酬的
freighter	货船
commensal	共生的
adumbrative	预示的
beauish	轻浮的
apropos	适当地
politicize	使具有政治性
prestigious	享有声望
dehair	拔……之毛
recondensation	凝结
chalcopyrite	黄铜矿
christian	基督教的
infuscate	被弄糊涂
unsight	不检查
larrikin	恶棍
woodskin	用树皮制造的小划子
unescorted	无人陪同
businesslike	有条理
godown	仓库
misspent	misspend的过去式及过去分词
eudiometric	量气管的
carcinomatosis	癌扩散
nitrogen	氮
dittograph	重复的词
hoverferry	气垫渡船
wae	Wireless
catatonic	紧张性精神症的
oestrous	诱发发情
chipper	爽朗的
confrere	同行
septicemic	败血病
scimitar	弯刀
nitty	笨
semilanceolate	半矛尖形的
prosify	写散文
gunslinging	带枪的
raincoat	雨衣
antilyssic	预防狂犬病
eburnation	骨质象牙化
badass	到处惹是生非
unequal	不胜任
oss	open
enrich	装饰
sonorific	产生声音
nonessential	不重要的人
myotropic	侵袭肌肉
buffalofish	牛鱼
insufflate	吹入
advance	预先
electrometry	量电法
cv	计算机视觉
entire	整个
epidermoid	表皮状的
poltroon	胆小鬼
ethical	民族特有的
guide	领路人
pathbreaking	开路先锋
prompter	敦促者
leachability	可滤去
cast	演员表
dah	长划
restoration	归还
momently	时时刻刻
ochrea	=ocrea
theatergoing	看戏
larkishly	嬉戏
gangly	身材瘦长的
screen	筛
thermophile'	NULL)
untearable	扯不破的
preemption	优先购买
stocky	矮壮的
quaintly	离奇有趣
shading	遮蔽
fragmental	破片的
cooker	炊具
shockingly	非常地
federalism	联邦政治
chief	首席的
trucker	卡车司机
taa	技术援助管理处
nudism	裸体主义
reverent	虔诚的
logic	逻辑
divisional	分区
corrasive	侵蚀的
queasiness	恶心
phytography	植物分类学
multiflash	使用多个闪光灯拍摄的
gray	灰暗
uncalculated	一时冲动而造成
jovial	快活
hairiness	有毛
chagrin	懊恼
hwan	圆
cytopathogenic	致细胞病变的
cypriote	塞浦路斯岛之希腊方言
magnanimous	宽宏大量
ungalled	未擦伤的
refractional	折射
ambrosial	芬香的
shock	乱蓬的头发
equivoque	双关语
subventionize	资助
finland	芬兰
moschate	有麝香气味的
unstained	清白的
bedlamite	疯狂的
hairdye	染毛剂
bunkum	博取欢心的演说
fricative	摩擦产生的
col	关隘
dextrous	巧妙
fertility	生产力
phosphatidylethanolamine	磷脂酰乙醇胺
overlord	霸王
frothy	起泡
uc	ubiquitous
imprint	留下烙印
subadolescent	=preadolescent
solfege	视唱练习
rehearse	背诵
conchiferous	有贝壳的
deperm	减少磁性
ancillary	副
piezometer	压力计
subsidise	消退
eurocurrency	欧洲货币
botanize	采集植物
pyemia	脓血症
finality	定局
gobble	狼吞虎咽
momently	时时刻刻地
file	文件夹
leptosomatic	细长型
emigrator	移居外国的人
xl	large
imparipinnate	奇数羽状的
chypre	西普香水
wholescale	不加区别
slotware	槽件
softish	有点软的
blare	奏鸣
sheading	马恩岛的行政区
fuze	引信
cephalic	头
spectacle	展览物
prance	欢跃
transitoriness	暂时
internationally	国际性
crushing	决定性的
solutionist	解谜专家
unsalable	滞销的
roseate	乐观的
publication	出版物
pun	用双关语
picescent	黑色
peltate	盾状
polychrome	多彩艺术品
tassie	=tass
slp	Party
loth	憎恶
novate	契约的代替
monstrous	荒谬
fame	使有名望
dismiss	解散
orange	橙
fermentative	有发酵力的
simulative	假装
cow	威吓
safedeposit	安全保管的
familism	家庭主义
folksy	有民间风味
priapism	阴茎持续勃起症
cheltenham	切尔滕纳姆
acknowledge	答谢
stott	=stot
identifiableness	可认明
platinous	亚铂
cuckoopint	斑叶阿若母
chasmogamy	开花受精
pharyngitis	咽炎
underslung	重心低
psychoenergetic	`psaIkEJ9enE`VetIk/
slaver	奴隶贩卖船
afterschool	供课外活动用
ferromolybdenum	钼钢
alleviation	缓和
corporeity	形体之存在
weatherboarding	护墙板
politely	斯文地
tideway	潮流
idle	空闲
aerostatic	空气静力学
histographically	组织论地
c	/
refinement	文雅
chronicler	年代记编者
desiderate	希求
broadbrimmed	边宽的
unctuously	油腔滑调地
swish	时髦
decree	教令
diadem	王冠
chimera	狂想
uterine	子宫的
lectrice	受雇大声朗读的妇女
hemagogue	通经药
seismic	地震的
rape	葡萄渣
hypospray	无针注射器
msls	Master
gamecock	勇敢有生气的人
doughty	强的
aurantiaceous	似橘柑
granitic	花岗石的
fearmonger	散布恐惧心理者
sufferable	可容忍
poultice	敷膏状药于
