celticist	研究凯尔特文化的人
notion	想法
notion	意见
notion	打算
notion	主张
notion	小饰物
barbiturism	因过度使用巴比妥酸类药品而引起的慢性中毒
transubstantiate	trAnsEbstAnFIeIt/
transubstantiate	使变质
inappositely	不适合地
inappositely	不适合
inappositely	不贴切的
inappositely	不贴切
tarlatan	塔勒坦布
immunopathology	免疫病理学
disharmony	不调和
unreprieved	未缓解的
unreprieved	未缓解
gunsmith	军械工人
psephology	选举学
repulsive	推斥的
repulsive	推斥
repulsive	排斥的
repulsive	排斥
repulsive	严拒的
repulsive	严拒
repulsive	令人厌恶的
repulsive	令人厌恶
stiffener	使僵硬的人
knockwurst	大香肠
naysaid	拒绝
naysaid	反对
amagasaki	尼崎
you	pro
you	你
you	你们
repudiate	批判
noncom	未受任命的士官
noncom	军士
readableness	值得一读
readableness	易读
skittish	易激动的
skittish	易激动
skittish	轻佻的
skittish	轻佻
misplug	误插
misplug	误塞
weathering	侵蚀
weathering	风化
dumbbell	哑铃
dumbbell	蠢人
dumbbell	笨蛋
dumbbell	傻瓜
commonwealth	国民整体
commonwealth	共和国
commonwealth	联邦
kepi	法国军用平顶帽
opium	鸦片
opium	用鸦片处理
capriform	如山羊的
capriform	如山羊
hegemony	霸权
spd	即DIMM印刷板上一块容量为2048bit的EPROM
anchylosis	长合关节
disintegrator	分解者
disintegrator	粉碎机
dissuasion	劝阻
murk	黑暗
urethroscopy	尿道镜检查
pout	撅嘴
pout	板脸
pout	生气
pout	大头鱼类
pout	撅嘴
pout	绷脸
legumen	荚
legumen	豆
wider	宽的
wider	宽
wider	广阔的
wider	广阔
preemployment	雇用前的
preemployment	雇用前
preemployment	录用前的
preemployment	录用前
sensationalize	使引起轰动
sensationalize	以耸人听闻的手法处理
impersonify	=personify
occultation	隐藏
riverside	河岸
riverside	河畔
entrain	使乘火车
entrain	拖
entrain	产生
entrain	导致带走
entrain	使空气以气泡状存在于混凝土中
entrain	乘火车
rhabdomere	感杆
cariole	小型马车
cariole	雪橇
strep	链锁状球菌
unbitter	没有仇恨的
unbitter	没有仇恨
unbitter	非恶意的
unbitter	非恶意
pathogenicity	病原性
pathogenicity	致病性
seiche	湖面波动
seiche	湖震
perambulatory	巡视的
perambulatory	巡视
perambulatory	巡行的
perambulatory	巡行
kohlrabi	大头菜
unobserved	没有观察到的
unobserved	没有观察到
unobserved	无人遵守的
unobserved	无人遵守
decidophobia	决策恐惧
mycophagist	食菌者
mycophagist	食菌动物
sst	supersonic
sst	transport
soothe	使缓和或减轻
querist	询问者
querist	质问者
heigh	嗨!
thermal	热的
thermal	热
thermal	热量的
thermal	热量
cryptography	密码使用法
cryptography	密码系统
cryptography	密码术
mammal	哺乳动物
harmine	骆驼蓬碱
harmine	肉叶芸香碱
devilishly	过分地
devilishly	过分
devilishly	厉害地
devilishly	厉害
wisehead	=wiseacre
endways	末端向前地竖着
endways	向着两端
endways	在末端
czarevitch	沙皇的长子
interlay	插入中间
interlay	插于中间装饰
viridescence	嫩绿
amido	氨基
amido	氨基的
amido	氨基
inductile	不能延伸的
inductile	不能延伸
inductile	没有延性的
inductile	没有延性
inductile	不屈的
inductile	不屈
pleader	抗辩人
batdambang	=Battambang
unpresented	未提出的
unpresented	未提出
unpresented	未呈递的
unpresented	未呈递
heliotypography	珂罗版印刷
ocellation	眼斑
ocellation	眼点
nazarite	拿撒勒人
kashruth	犹太教的饮食教规
gadolinium	钆
anapaest	抑抑扬格
anapaest	短短长格
municipality	市政当局
municipality	自治市
dottle	残烟丝
nundine	市集日
veni	came
veni	I
veni	saw
veni	I
veni	conquered
veni	恺撒大帝
brix	白利糖度的
brix	白利糖度
brix	德国科学家]
mayhap	希望
mayhap	但愿
clownery	滑稽
clownery	粗鲁
foresighted	有先见之明的
foresighted	有先见之明
foresighted	深谋远虑的
foresighted	深谋远虑
foresighted	能预料的
foresighted	能预料
resist	抵抗
resist	反抗
resist	抗
resist	忍得住
runout	避开
runout	逃开
carboy	用藤罩保护的大玻璃瓶
cragginess	嵯峨
cragginess	崎岖
zonally	地带地
zonally	带
zonally	区域地
zonally	区域
extramarital	私通的
extramarital	私通
lastness	最终性
ungimmicky	不耍花招的
ungimmicky	不耍花招
ungimmicky	不骗人的
ungimmicky	不骗人
preincubation	预孵化
preincubation	预培养
preincubation	预诱导
disentitle	剥夺……的权利
disentitle	剥夺……的称号
pulsant	脉动的
pulsant	脉动
pulsant	搏动的
pulsant	搏动
parget	灰泥
parget	粗涂灰泥
heirless	无继承人的
heirless	无继承人
heirless	无后嗣的
heirless	无后嗣
ferrimagnet	铁氧磁材料
gambling	赌博
lengthman	路段养路工
unseen	未见过的
unseen	未见过
unseen	看不见的
unseen	看不见
unseen	未经预习的
unseen	未经预习
squalor	肮脏
squalor	悲惨
squalor	贫穷
arenaceous	沙的
arenaceous	沙
arenaceous	沙质的
arenaceous	沙质
arenaceous	多沙的
arenaceous	多沙
chitarrone	基塔隆尼琴
chitarrone	长双颈诗琴
retinue	随行人员
retinue	扈从
unendowed	不赋有的
unendowed	不赋有
unendowed	不具有的
unendowed	不具有
unendowed	没有天赋的
unendowed	没有天赋
steelworks	钢厂
bandhnu	扎染
delible	可抹掉的
delible	可抹掉
delible	可除掉的
delible	可除掉
reassumption	再接受
reassumption	再假定
photoautotroph	`fEJtEJ9R:
photoautotroph	tEf/
photoautotroph	生物
unpromising	无前途的
unpromising	无前途
unpromising	没有希望的
unpromising	没有希望
overture	建议
miniaturize	使小型化
hangnail	手指头的倒拉刺
fibroelastic	纤维弹性组织的
fibroelastic	纤维弹性组织
pharyngoscope	咽镜
coffeepot	咖啡壶
smolder	郁积
smolder	闷烧
smolder	闷烧
sixer	以6分计算的击球
sixer	得6分的一击
excitron	单阳极汞池整流管
excitron	汞气整流管
scission	切断
scission	分开
scission	分离
scission	分裂
covalency	=covalence
beamed	有梁的
beamed	有梁
beamed	定向的
beamed	定向
outrecuidance	极端自大
outrecuidance	目空一切
conversus	教友
conversus	庶务修士
hemispherectomy	大脑半球切除术
shammas	=shamas
siphonostele	管状中柱
triene	三烯
cheapie	廉价品
cheapie	便宜货
pilipino	菲律宾语
counterweight	平衡物
counterweight	称锤
counterweight	平衡力
seraphic	纯洁的
seraphic	纯洁
seraphic	六翼天使的
seraphic	六翼天使
seraphic	天使一般的
seraphic	天使一般
proprietor	所有者
proprietor	经营者
wampumpeag	白贝壳串珠
bucker	突然跃腾使骑者摔下
bucker	跳跃的马
technophobia	技术恐惧
pseudoplastic	假塑性的
pseudoplastic	假塑性
marzacotto	透明釉料
chaussee	公路
gesticulate	做姿势表达
gesticulate	用手势谈话
attribute	属性
attribute	品质
attribute	特征
attribute	加于
attribute	归结于
polyoestrous	=polyestrous
caiaphas	该亚法
chiller	使寒冷之人或事物
chiller	冷却器
cockiness	骄傲自大
emulator	竞争者
asarh	印度历的4月
simulator	模拟器
simulator	假装者
pollinizer	=pollenizer
umbriel	天卫二
prosperously	繁荣地
prosperously	繁荣
prosperously	幸运地
prosperously	幸运
preglacial	冰河期前的
preglacial	冰河期前
cryptographic	关于暗号的
cryptographic	关于暗号
cryptographic	用密码写的
cryptographic	用密码写
minnie	女人名
minnie	追击炮
payroll	薪水册
gerontophilia	亲老人癖
gerontophilia	对老年人的过度关爱
miee	Member
miee	of
miee	the
miee	Institution
miee	of
miee	Electrical
miee	Engineers
miee	电机工程师协会会员
naupliiform	甲壳动物无节幼体形的
naupliiform	甲壳动物无节幼体形
tacitus	塔西佗
bulbous	球根的
bulbous	球根
bulbous	球根状的
bulbous	球根状
bulbous	球根长成的
bulbous	球根长成
podgorica	波德戈里察(南斯拉夫南部城市铁托格勒
dyehouse	染坊
marrowy	多髓的
marrowy	多髓
marrowy	有力的
marrowy	有力
appositive	同位格的
appositive	同位格
appositive	同位格字
chorology	分布学
chorology	分布论
plateau	高地
plateau	高
plateau	高原
duds	衣服
duds	旧衣
duds	服饰
duds	行李
tragedian	悲剧演员
tragedian	悲剧作家
fitfully	发作地
fitfully	发作
fitfully	断断续续地
fitfully	断断续续
thermosiphon	热虹吸
thermosiphon	温差环流系统
luteous	略带绿色之黄金色的
luteous	略带绿色之黄金色
activise	使活动
activise	使活泼
benzopyrene	苯并芘
primage	运费贴补
electrometry	测电术
electrometry	量电法
confide	倾诉
confide	委托
confide	信赖
turbinal	=turbinate
evacuant	排泄药
evacuant	泻剂
waitress	女服务生
biosynthesize	用生物学方法合成
vigilantly	警觉地
vigilantly	警觉
vigilantly	警惕地
vigilantly	警惕
nigrosine	苯胺黑
cavalier	骑士
cavalier	武士
cavalier	对女人献殷勤
cavalier	有礼貌的绅士
pendular	摆动的
pendular	摆动
spinsterhood	独身
spinsterhood	未婚
gorki	高尔基
lecherous	淫荡的
lecherous	淫荡
lecherous	色情的
lecherous	色情
lecherous	挑动春情的
lecherous	挑动春情
antimilitarism	反军国主义
psychometrist	=psychometrician
kiddie	小孩
rebroadcast	转播
rebroadcast	重播
determination	决心
determination	果断
webwheel	板轮
webwheel	盘式轮
syllogism	三段论法
syllogism	推论法
syllogism	演绎
finality	结尾
finality	定局
finality	终结
finality	最后的事物
finality	最后的言行
cymbalom	=cimbalom
pachydermatous	厚皮类动物的
pachydermatous	厚皮类动物
pachydermatous	迟钝的
pachydermatous	迟钝
wiping	擦拭
kelp	海藻
kelp	海藻灰
infirmary	医院
infirmary	医务室养老院
infirmary	救济院
rossiya	=Russia
excaudate	没有尾的
excaudate	没有尾
durability	经久
durability	耐久力
subterminal	接近端点的
subterminal	接近端点
subterminal	几乎在末端的
subterminal	几乎在末端
corriedale	考力代羊
valletta	瓦莱塔
portulan	chart航海指南
rainbelt	雨带
rainbelt	多雨地带
rootedness	根深蒂固
rootedness	牢不可破
shiny	擦亮的
shiny	擦亮
shiny	有光泽的
shiny	有光泽
shiny	晴朗的
shiny	晴朗
shiny	闪耀的
shiny	闪耀
shiny	发亮的
shiny	发亮
chieftaincy	酋长或首领的地位
commend	称赞
commend	表扬
commend	推荐
commend	委托
commend	吸引
conradian	康拉德的
conradian	康拉德
conradian	有康拉德特色的
conradian	有康拉德特色
discursion	漫谈离题
discursion	推论
discursion	推理
butty	伙伴
butty	监工
vasopressor	血管加压的
vasopressor	血管加压
ellipsoidal	椭圆体的
ellipsoidal	椭圆体
coi	Central
coi	Office
coi	of
coi	Information
coi	中央新闻署
requin	=requiem
requin	shark
koromiko	类似慈菇的草木
saturnine	阴郁
integraph	积分仪
integraph	积分器
avoid	避免
avoid	消除
undiscussed	未讨论过的
undiscussed	未讨论过
undiscussed	未辩论过的
undiscussed	未辩论过
waterfall	瀑布
waterfall	瀑布似的东西
limbal	缘的
limbal	缘
malignity	狠毒
xenocurrency	国外货币
gustavus	古斯塔夫斯
hetaera	古希腊的高级妓女
hetaera	名妓
hetaera	妾
hetaera	交际花
farmergeneral	包税人
gorblimey	竟有这等事
gorblimey	岂有此理
overexertion	努力过度
overexertion	用力过分
proportional	比例的
proportional	比例
proportional	成比例的
proportional	成比例
proportional	相称的
proportional	相称
proportional	均衡的
proportional	均衡
consequentially	必然地
consequentially	必然
sequal	结构化查询语言
libration	振动
libration	天平动
algerish	提倡艰苦创业精神的
algerish	提倡艰苦创业精神
collectivistic	集体主义的
collectivistic	集体主义
montadale	蒙特代羊
cithara	类似竖琴的乐器
nematology	线虫学
haunted	闹鬼的
haunted	闹鬼
haunted	鬼魂出没的
haunted	鬼魂出没
haunted	受到折磨的
haunted	受到折磨
semispheric	=hemispheric
flagellated	生有鞭毛的
flagellated	生有鞭毛
flagellated	生有匍匐茎的
flagellated	生有匍匐茎
fermi	费尔米
gutter	水槽
gutter	檐槽
gutter	排水沟
gutter	槽
gutter	贫民区
gutter	开沟于
gutter	流
gutter	装订线
kamaishi	釜石
imaginal	成虫的
imaginal	成虫
imaginal	想象的
imaginal	想象
electroacoustic	/
electroacoustic	电声学礳ally//
electroacoustic	电声裞s/I9lektrEJE`kUstIk/
electroacoustic	电声的
electroacoustic	电声
acidimetry	酸量滴定法
acqierement	学得
acqierement	学
acqierement	学识
acqierement	才艺
spectacularity	壮观
spectacularity	壮丽
spectacularity	引人注目
protopodite	原节
protopodite	原肢
remonstration	抗议
remonstration	规劝
donga	峡谷
donga	沟壑
confessingly	像忏悔者一般地
confessingly	像忏悔者一般
kazatski	哥萨克舞
presumptive	假定的
presumptive	假定
ai	Anguilla
ai	安格拉
ai	Aritificial
ai	Intelligence
ai	人工智能
ai	artificial
ai	insemination
ai	人工授精
straighten	弄直
straighten	伸直
nightclothes	睡衣
porphyropsin	视紫
hypobaropathy	低气压病
hypobaropathy	高空病
fidelismo	古巴革命主义
wiretapper	搭线窃听者
wiretapper	窃听器
illusory	产生幻觉的
illusory	产生幻觉
illusory	幻影的
illusory	幻影
illusory	错觉的
illusory	错觉
illusory	虚假的
illusory	虚假
illusory	不牢靠的
illusory	不牢靠
abomasum	皱胃
loaner	债权人
loaner	代替品
emmenagogue	通经剂
emmenagogue	调经剂
medici	=Medicean
etruscology	伊特鲁里亚学
keltic	凯尔特族的
keltic	凯尔特族
keltic	凯尔特人的
keltic	凯尔特人
talliate	向……征税
swage	用型铁弄弯曲n
swage	型铁
swage	铁模
flectional	可弯曲的
flectional	可弯曲
flectional	屈折的
flectional	屈折
representable	能被描绘
representable	可被代表的
representable	可被代表
propagator	传播者
extrapolability	凭已有资料进行推断的能力
coco	椰子树
pertinacious	固执的
pertinacious	固执
unsaleable	非卖品的
unsaleable	非卖品
unsaleable	无销路的
unsaleable	无销路
solaria	solarium的复数
amatory	恋爱的
amatory	恋爱
amatory	情人的
amatory	情人
chanciness	偶然性
chanciness	危险性
dockside	码头前沿
dockside	码头邻区
dockside	坞边
dockside	坞边的
dockside	坞边
oniony	洋葱似的
oniony	洋葱似
oniony	洋葱臭味的
oniony	洋葱臭味
exemplarily	作为模范地
exemplarily	作为模范
exemplarily	可为鉴戒地
exemplarily	可为鉴戒
russet	黄褐色的
russet	黄褐色
russet	赤褐色的
russet	赤褐色
russet	赤褐色
russet	黄色苹果之一种
taihang	Mountains
taihang	太行山
forge	稳步前进
forge	铸造
forge	伪造
applecart	苹果车
washingtonite	钛铁矿
jivaro	黑瓦洛人
heelpost	门柱
idlesse	空闲
idlesse	懒散
inadvisable	失策的
inadvisable	失策
fulbright	富布莱特法案基金
dastardliness	懦弱的行为
dastardliness	卑鄙的行为
windbreak	防风林
windbreak	防风物
windbreak	防风墙
windbreak	防风设备
inkyo	引退
inkyo	隐居
inkyo	引退者
inkyo	隐居者
mischievous	有害的
mischievous	有害
mischievous	恶作剧的
mischievous	恶作剧
mischievous	淘气的
mischievous	淘气
mischievous	为害
nitride	氮化物
ionophoresis	离子电泳作用
salmon	鲑鱼
salmon	大麻哈鱼
salmon	鲜肉色
cypriote	塞浦路斯岛人
cypriote	塞浦路斯岛之希腊方言
cypriote	塞浦路斯的
cypriote	塞浦路斯
strange	陌生的
strange	陌生
strange	生疏的
strange	生疏
strange	前所未知的
strange	前所未知
strange	奇怪的
strange	奇怪
strange	奇异的
strange	奇异
strange	不惯的
strange	不惯
nonproficient	不熟练地的
nonproficient	不熟练
optional	可选择的
optional	可选择
optional	随意的
optional	随意
radux	计数制的基数
bystreet	横街
bystreet	胡同
existent	存在的
existent	存在
existent	生存的
existent	生存
existent	现存的
existent	现存
existent	存在的事物
existent	生存者
erosible	=erodible
flexural	曲折的
flexural	曲折
flexural	弯曲的
flexural	弯曲
limoges	法国中部Limoges地方产的瓷器
premundane	创世前的
premundane	创世前
sawtooth	锯齿
sawtooth	锐齿
caravansary	商队旅馆
caravansary	大旅舍
stormy	暴风雨的
stormy	暴风雨
stormy	多风暴的
stormy	多风暴
stormy	激烈的
stormy	激烈
stormy	暴怒的
stormy	暴怒
stormy	有暴风雨的
stormy	有暴风雨
hurtless	无害的
hurtless	无害
hurtless	不会受伤的
hurtless	不会受伤
graniteware	花岗石纹的法琅铁器
graniteware	花岗石花纹的陶器
unformed	未成形的
unformed	未成形
unformed	无定型的
unformed	无定型
unformed	未充分发展的
unformed	未充分发展
och	啊!
och	哦!
canadianize	加拿大化
puggry	印度人用的头巾
cockneyfy	使具有伦敦人的特性
drupe	核果
physoclistous	闭鳔的
physoclistous	闭鳔
placidly	平稳地
placidly	平稳
placidly	平静地
placidly	平静
omphale	翁法勒
dysthymia	心境恶劣
dysthymia	心情恶劣
dysthymia	精神抑郁
transshipment	转载
mismanagement	办错
mismanagement	管理不善
mimeograph	油印机
mimeograph	油印
hippocampus	海马
incontrollable	不能控制的
incontrollable	不能控制
angelic	天使的
angelic	天使
angelic	似天使的
angelic	似天使
unalienable	=inalienable
suggestion	提议
suggestion	意见
suggestion	暗示
suggestion	微量
fishline	钓丝
ib	Intelligence
ib	Building
ib	智能大厦
rebarbative	令人讨厌的
rebarbative	令人讨厌
echogram	音响测深图
echogram	回声深度记录
fertilizable	可受精的
fertilizable	可受精
fertilizable	可施肥的
fertilizable	可施肥
divestment	剥夺
divestment	夺取
inquiring	咨询的
inquiring	咨询
inquiring	打听的
inquiring	打听
inquiring	爱追根究底的
inquiring	爱追根究底
eccentrically	离开中心
eccentrically	反常地
eccentrically	反常
shivering	颤抖的
shivering	颤抖
nonofficial	非公式的
nonofficial	非公式
pyrosulphate	焦硫酸盐
corrosively	腐蚀地
corrosively	腐蚀
corrosively	侵蚀地
corrosively	侵蚀
bessy	贝茜
vfat	Virtual
vfat	File
vfat	Allocation
vfat	Table
vfat	虚拟文件分配表
algal	海藻的
algal	海藻
nodulate	生根瘤
interior	内部的
interior	内部
interior	内的
interior	内
interior	内部
lemuralia	驱亡魂节
tartarian	鞑靼人的
tartarian	鞑靼人
tartarian	鞑靼的
tartarian	鞑靼
polyphyletic	多源的
polyphyletic	多源
gorgonian	如蛇发女怪的
gorgonian	如蛇发女怪
gorgonian	可怕的
gorgonian	可怕
justiciary	司法上的
justiciary	司法上
justiciary	司法官
justiciary	高等法院法官
cautioner	担保人
cautioner	警告者
shoehorn	鞋拔
shoehorn	硬塞进
hippo	河马
intercession	代为求情
intercession	代祷
intercession	调解
fasciole	狭窄的色带
aye	赞成票
aye	投赞成票者
aye	是
professedly	在表面上
adjacency	邻接
sulfate	硫酸盐
sulfate	以硫酸或硫酸盐处理
sulfate	使变为硫酸盐
misdemean	做不规矩事
misdemean	行为不正
zoon	发育完全的个体
embroil	使卷入
embroil	牵连
embroil	使纠缠
photomechanical	照相工艺的
photomechanical	照相工艺
tubicorn	有空角的
tubicorn	有空角
tubicorn	有洞角的
tubicorn	有洞角
oxidative	氧化的
oxidative	氧化
oxidative	具有氧化特性的
oxidative	具有氧化特性
compulsively	强制地
compulsively	强制
compulsively	禁不住地
compulsively	禁不住
defendant	被告
defendant	辩护的
defendant	辩护
defendant	为自己辩护的
defendant	为自己辩护
fiddlefucking	操他妈的
fiddlefucking	操他妈
fiddlefucking	该诅咒的
fiddlefucking	该诅咒
parmesan	用脱脂乳制成的坚硬的意大利干酪
gotter	=got
gotter	to
nookie	=nooky
lycurgus	莱克格斯
acrodrome	脉向尖聚集的
acrodrome	脉向尖聚集
think	想
think	思索
think	认为
think	认为
think	以为
think	预料
olea	oleum的复数
gum	齿龈
gum	树脂
gum	橡胶
gum	橡胶树
gum	口香糖
gum	香口胶
gum	泡泡糖
teosinte	墨西哥类蜀黍
lignification	木质化
lignification	木化
zulu	祖鲁族人的
zulu	祖鲁族人
zulu	字母Z的代称
wattless	无功的
wattless	无功
wattless	无功率的
wattless	无功率
berm	城墙与外濠间之狭道
berm	崖径
auditor	计员
auditor	核数师
molder	腐朽
molder	崩溃
molder	分裂
molder	使腐朽
molder	铸工
molder	制模工
lallation	将
lallation	r
lallation	音发成
lallation	l
lallation	音
milimeter	公里
milimeter	千米
viscountship	子爵的身份
viscountship	地位
viscountship	头衔等
cazique	酋长
cazique	热带金莺
encrustation	=incrustation
significs	符号学
significs	语义学
significs	意义学
paletot	一种男女通用的宽外套
thermotherapy	温热疗法
virtuosi	古玩癖
virtuosi	名家
ariadne	阿里阿德涅
humanitarian	人道主义者
lockhouse	船闸管理人值班房
linguister	翻译员
debag	脱去……的裤子
punji	尖竹钉
rhachis	=rachis
dekametric	=decametric
monostrophic	单韵律的
monostrophic	单韵律
searching	透彻的
searching	透彻
searching	搜索
epithalamion	=epithalamium
manganate	锰酸盐
shangrila	理想乐园
solicitude	关怀
solicitude	热心
flooey	糟
flooey	不行
memento	纪念品
nitrogen	氮
reemerge	再度出现
inaccurate	错误的
inaccurate	错误
inaccurate	不准确的
inaccurate	不准确
googol	10的100次方
googol	巨大的数字
defectology	缺损学
demagoguism	煽动
demagoguism	煽动方式
subsistent	存在的
subsistent	存在
subsistent	现存的
subsistent	现存
pseudonym	假名
pseudonym	笔名
reirradiate	再照耀
reirradiate	重新用辐射处理
reirradiate	再用辐射
disorganized	紊乱的
disorganized	紊乱
disorganized	无组织的
disorganized	无组织
xianggang	香港
triceps	三头肌
viscoelasticity	黏弹性
enregister	登记
enregister	记录
anzac	澳洲
anzac	新西兰军团之士兵
anzac	澳新军团士兵
anzac	2澳新军团
cargador	搬运工
cargador	监督畜群装运者
ultramafic	=ultrabasic
caster	投手
caster	轮脚
caster	调味瓶
choking	窒息的
choking	窒息
choking	憋闷的
choking	憋闷
choking	透不过气来的
choking	透不过气来
aestival	夏季的
aestival	夏季
ingroup	内集团
ingroup	派系
ingroup	小集团
europium	铕
glycin	甘氨酸
performance	履行
performance	执行
performance	成绩
performance	性能
performance	表演
performance	演奏
barite	重晶石
reproachless	无可非难的
reproachless	无可非难
reproachless	无可非议的
reproachless	无可非议
humanly	像人地
humanly	像人
humanly	用人力
scotticise	=Scotticize
oaw	Optically
oaw	Assisted
oaw	Winchester
oaw	光学辅助温氏技术
cokernut	椰子
loosely	宽松地
loosely	宽松
loosely	松散地
loosely	松散
syssarcosis	肌性骨联接
impetus	推动力
impetus	促进
romper	嬉戏者
romper	背心连裤子的衣服
landowner	地主
landowner	土地所有者
hepatocyte	肝细胞
kokobeh	果皮粗糙的
kokobeh	果皮粗糙
disruption	中断
disruption	分裂
disruption	瓦解
disruption	破坏
seasonal	季节的
seasonal	季节
seasonal	季节性的
seasonal	季节性
seasonal	周期性的
seasonal	周期性
aeronautical	航空学的
aeronautical	航空学
gemmulation	发芽
gemmulation	生芽
median	中央的
median	中央
median	中线
median	中值
freeware	免费软件
haemolymph	血淋巴
pyin	脓蛋白
pyin	脓素
jaff	复式干扰
groid	黑人
psychrometer	干湿球湿度计
psychrometer	干湿计
amputation	切断手术
unmethodical	无方法的
unmethodical	无方法
unmethodical	无顺序的
unmethodical	无顺序
export	输出
export	出口货
export	输出
export	出口
export	出口商品
export	出口
skean	双刃短剑
semiarc	半弧
chunnel	通道
chunnel	水底铁路隧道
albarrello	一种陶器瓶子
inc	公司
inc	包括
implacentate	无胎盘的
implacentate	无胎盘
implacentate	无胎盘动物
introductive	前言的
introductive	前言
introductive	序文的
introductive	序文
introductive	介绍的
introductive	介绍
disme	1角硬币
eugenist	优生学家
egregious	异乎寻常的
egregious	异乎寻常
egregious	过分的
egregious	过分
egregious	惊人的
egregious	惊人
unisist	联合国政府间科技情报系统
underwork	次要工作
underwork	秘密工作
underwork	下层结构
rosulate	成玫瑰花形排列的
rosulate	成玫瑰花形排列
natsopa	National
natsopa	Society
natsopa	of
natsopa	OperativePrinters
natsopa	and
natsopa	Assistants
nincompoopery	愚蠢
nincompoopery	傻瓜
revalve	装新阀于
magnetist	磁学家
refution	反驳
refution	辩驳
refution	反驳的言论或意见
tarsi	跗骨
tarsi	睑板
dene	沙地
dene	沙
dene	沙丘
dene	长有森林的溪谷
discretely	分离地
discretely	分离
discretely	离散地
discretely	离散
scraggly	零乱的
scraggly	零乱
scraggly	锯齿状的
scraggly	锯齿状
scraggly	起伏的
scraggly	起伏
scraggly	凸凹不平的
scraggly	凸凹不平
bronchopulmonary	支气管肺的
bronchopulmonary	支气管肺
ampullaceous	瓶状的
ampullaceous	瓶状
combatant	战士
combatant	战斗员
combatant	战斗的
combatant	战斗
mantlerock	土被
mantlerock	风化层
intervention	干涉
sarin	沙林
sarin	甲氟膦酸异丙酯
topeka	托皮卡
savourless	不风趣的
savourless	不风趣
savourless	缺少风味的
savourless	缺少风味
savourless	无情趣的
savourless	无情趣
cabrilla	热带海水鲈鱼
loris	懒猴属动物
loris	尤指懒猴
coenocytic	多核细胞的
coenocytic	多核细胞
coenocytic	多核体的
coenocytic	多核体
dazed	头昏的
dazed	头昏
dazed	眼花的
dazed	眼花
rhyme	韵
rhyme	押韵
rhyme	押韵的词
rhyme	押韵
rhyme	作诗
rhyme	韵律和谐
rhyme	使押韵
rhyme	用韵诗表达
rhyme	把……写成诗
tumorous	肿胀的
tumorous	肿胀
tumorous	肿瘤性的
tumorous	肿瘤性
tumorous	浮华的
tumorous	浮华
tumorous	浮夸的
tumorous	浮夸
biocoenosis	生物群落
asway	摆动的
asway	摆动
asway	摇摆的
asway	摇摆
asway	摆动地
asway	摆动
structure	结构
structure	构造
structure	建筑物
structure	建筑
structure	构成
structure	组织
backbencher	后座议员
pig	猪
pig	猪肉
pig	贪婪的人
pig	生小猪
pig	贪婪地吃
precipitate	沉淀物
precipitate	猛抛
precipitate	使陷入
precipitate	促成
precipitate	使沉淀
precipitate	猛地落下
precipitate	突如其来的
precipitate	突如其来
precipitate	陡然下降的
precipitate	陡然下降
precipitate	贸然轻率的
precipitate	贸然轻率
abeam	与船的龙骨成直角
subvert	推翻
subvert	暗中破坏
subvert	搅乱
parergon	副业
parergon	第二职业
inurbanity	粗鄙
inurbanity	无礼粗野
plagiarism	剽窃
plagiarism	剽窃物
inebriated	酒醉的
inebriated	酒醉
inextirpable	无法根除的
inextirpable	无法根除
inextirpable	无法消灭的
inextirpable	无法消灭
unprecise	=imprecise
dubious	可疑的
dubious	可疑
dubious	不确定的
dubious	不确定
cangue	枷
cainite	诺斯替教之信徒
cankerworm	尺蠖
miscue	撞歪
miscue	失误
miscue	撞歪
cockscomb	鸡冠
cockscomb	鸡冠花
cockscomb	鸡冠帽
mocambique	=Mozambique
disputation	争论
disputation	驳斥
disputation	议论
vulcanic	硫化的
vulcanic	硫化
eniac	电子数字积分计算机
eniac	ENIAC
eniac	计算机
liberticide	破坏自由
liberticide	破坏自由的
liberticide	破坏自由
pleuroperitoneal	`plJErEJ9perItE`ni:El/
pleuroperitoneal	胸膜腹膜的
pleuroperitoneal	胸膜腹膜
hairweaving	假发编入
quadriad	四个一组
colonnade	柱廊
sphalerite	闪锌矿
bootlick	拍马屁
bootlick	谄媚
dipartite	区分的
dipartite	区分
dipartite	划分的
dipartite	划分
patricide	杀父
pupal	蛹的
pupal	蛹
usquebaugh	威士忌
centesis	穿刺术
tarheel	焦油脚人
unshakable	不可动摇的
unshakable	不可动摇
unshakable	坚定不移的
unshakable	坚定不移
prank	胡闹
prank	开玩笑
prank	恶作剧
prank	装饰
prank	打扮
prank	打扮得漂亮
irdp	ICMP
irdp	Router
irdp	Discovery
irdp	Protocol
irdp	ICMP路由发现协议
wimple	用头巾遮
wimple	使折叠
wimple	妇女头巾
wimple	起涟漪
wimple	泛细浪
wimple	起皱摺
dural	硬脑膜的
dural	硬脑膜
dural	硬脊膜的
dural	硬脊膜
spat	蚝卵
spat	口角
spat	掌击
spat	一巴掌打去
spat	争吵
taintless	无污点的
taintless	无污点
taintless	纯洁清白的
taintless	纯洁清白
option	选项
option	选择权
option	买卖的特权
rectangle	长方形
rectangle	矩形
electroplate	电镀
electroplate	电镀物品
clockface	钟面
naan	=nan
acd	Automatic
acd	Call
acd	Distributor
acd	自动呼叫转发器
entoptoscope	眼内媒质镜
geta	日本式木屐
chambezi	赞比及河
elementary	初步的
elementary	初步
elementary	基本的
elementary	基本
elementary	元素的
